# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.103
metadata : {}


# id : NWRW1800000041.103.1.1
[중·한 코리아 가이드 매거진 ‘니하오’]해외명품이 한자리에, 롯데면세점 월드점

[중·한	[/SS+중/NNP+·/SP+한/NNP
배려한	배려/NNG+하/XSV+ㄴ/ETM
동선을	동선/NNG+을/JKO
갖추고	갖추/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.103.2.4
주얼리군, 패션·의류군, 화장품군 등 상품의 성격에 따른 ‘존(Zone)’ 중심으로 매장을 구성했다.

주얼리군,	주얼리군/NNG+,/SP
패션·의류군,	패션/NNG+·/SP+의류군/NNG+,/SP
화장품군	화장품군/NNG
등	등/NNB
상품의	상품/NNG+의/JKG
성격에	성격/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
‘존(Zone)’	‘/SS+존/NNG+(/SS+Zone/SL+)/SS+’/SS
중심으로	중심/NNG+으로/JKB
매장을	매장/NNG+을/JKO
구성했다.	구성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.103.2.5
롯데면세점 관계자는 “쇼핑의 집중도를 높인 결과 강남 최고의 면세점으로 거듭날 수 있었다”며 “롯데면세점의 다(多)점포화에 큰 도움이 됐다”고 말했다.

롯데면세점	롯데면세점/NNP
관계자는	관계자/NNG+는/JX
“쇼핑의	“/SS+쇼핑/NNG+의/JKG
집중도를	집중도/NNG+를/JKO
높인	높이/VV+ㄴ/ETM
결과	결과/NNG
강남	강남/NNP
최고의	최고/NNG+의/JKG
면세점으로	면세점/NNG+으로/JKB
거듭날	거듭나/VV+ㄹ/ETM
수	수/NNB
있었다”며	있/VA+었/EP+다/EF+”/SS+며/EC
“롯데면세점의	“/SS+롯데면세점/NNP+의/JKG
다(多)점포화에	다/NA+(/SS+多/SH+)/SS+점포/NNG+화/XSN+에/JKB
큰	크/VA+ㄴ/ETM
도움이	도움/NNG+이/JKC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.103.2.6
롯데면세점 잠실점은 최근 제2롯데월드로 이전한 후 월드타워점으로 이름을 바꾸고 아시아에서 두 번째, 세계에서 세 번째로 큰 규모의 면세점으로 거듭났다.

롯데면세점	롯데면세점/NNP
잠실점은	잠실점/NNG+은/JX
최근	최근/NNG
제2롯데월드로	제/XPN+2/SN+롯데월드/NNP+로/JKB
이전한	이전/NNG+하/XSV+ㄴ/ETM
후	후/NNG
월드타워점으로	월드타워점/NNG+으로/JKB
이름을	이름/NNG+을/JKO
바꾸고	바꾸/VV+고/EC
아시아에서	아시아/NNP+에서/JKB
두	두/MMN
번째,	번/NNB+째/XSN+,/SP
세계에서	세계/NNG+에서/JKB
세	세/MMN
번째로	번/NNB+째/XSN+로/JKB
큰	크/VA+ㄴ/ETM
규모의	규모/NNG+의/JKG
면세점으로	면세점/NNG+으로/JKB
거듭났다.	거듭나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.103.2.7
롯데면세점은 이 과정에서 외국인과 내국인들의 선호도가 높은 420여 개의 브랜드를 중심으로 매장을 구성하는 데 역점을 뒀다.

롯데면세점은	롯데면세점/NNP+은/JX
이	이/MMD
과정에서	과정/NNG+에서/JKB
외국인과	외국인/NNG+과/JC
내국인들의	내국인/NNG+들/XSN+의/JKG
선호도가	선호도/NNG+가/JKS
높은	높/VA+은/ETM
420여	420/SN+여/XSN
개의	개/NNB+의/JKG
브랜드를	브랜드/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
매장을	매장/NNG+을/JKO
구성하는	구성/NNG+하/XSV+는/ETM
데	데/NNB
역점을	역점/NNG+을/JKO
뒀다.	두/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.103.2.8
특히 중국인 관광객들이 국산 화장품, 패션 브랜드를 선호한다는 점을 염두에 뒀다.

특히	특히/MAG
중국인	중국인/NNG
관광객들이	관광객/NNG+들/XSN+이/JKS
국산	국산/NNG
화장품,	화장품/NNG+,/SP
패션	패션/NNG
브랜드를	브랜드/NNG+를/JKO
선호한다는	선호/NNG+하/XSV+ㄴ다는/ETM
점을	점/NNG+을/JKO
염두에	염두/NNG+에/JKB
뒀다.	두/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.103.2.9
국산 화장품 전문 존을 새로 만들었고 국내 패션 브랜드 매장도 기존 규모의 120%로 늘렸다.

국산	국산/NNG
화장품	화장품/NNG
전문	전문/NNG
존을	존/NNG+을/JKO
새로	새로/MAG
만들었고	만들/VV+었/EP+고/EC
국내	국내/NNG
패션	패션/NNG
브랜드	브랜드/NNG
매장도	매장/NNG+도/JX
기존	기존/NNG
규모의	규모/NNG+의/JKG
120%로	120/SN+%/SW+로/JKB
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.103.2.10
해외 유명 브랜드 취급 규모도 확대했다.

해외	해외/NNG
유명	유명/NNG
브랜드	브랜드/NNG
취급	취급/NNG
규모도	규모/NNG+도/JX
확대했다.	확대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.103.2.11
티파니 IWC 등 프리미엄 브랜드를 새로 입점시켰고 롤렉스 오메가 티토니 등 고급 시계 브랜드 매장 규모도 키워 전문 매장화했다.

티파니	티파니/NNP
IWC	IWC/SL
등	등/NNB
프리미엄	프리미엄/NNG
브랜드를	브랜드/NNG+를/JKO
새로	새로/MAG
입점시켰고	입점/NNG+시키/XSV+었/EP+고/EC
롤렉스	롤렉스/NNP
오메가	오메가/NNP
티토니	티토니/NNP
고급	고급/NNG
시계	시계/NNG
브랜드	브랜드/NNG
매장	매장/NNG
규모도	규모/NNG+도/JX
키워	키우/VV+어/EC
전문	전문/NNG
매장화했다.	매장/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.103.2.12
이뿐만 아니라 고객의 연령층에 맞춘 특화 매장도 마련했다.

이뿐만	이/NP+뿐/JX+만/JX
아니라	아니/VCN+라/EC
고객의	고객/NNG+의/JKG
연령층에	연령/NNG+층/XSN+에/JKB
맞춘	맞추/VV+ㄴ/ETM
특화	특화/NNG
매장도	매장/NNG+도/JX
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.103.2.13
20, 30대 젊은 남성을 위한 남성존, 유아·아동 제품을 망라한 베이비존 등이 그 예다.

20,	20/SN+,/SP
30대	30/SN+대/NNB
젊은	젊/VA+은/ETM
남성을	남성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
남성존,	남성/NNG+존/NNG+,/SP
유아·아동	유아/NNG+·/SP+아동/NNG
제품을	제품/NNG+을/JKO
망라한	망라/NNG+하/XSV+ㄴ/ETM
베이비존	베이비/NNG+존/NNG
등이	등/NNB+이/JKS
그	그/MMD
예다.	예/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.103.2.14
인테리어도 이전보다 고급화했다.

인테리어도	인테리어/NNG+도/JX
이전보다	이전/NNG+보다/JKB
고급화했다.	고급/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.103.2.15
월드타워점은 설계 초기부터 동선을 넉넉하게 확보하는 것을 목표로 삼았다.

월드타워점은	월드타워점/NNG+은/JX
설계	설계/NNG
초기부터	초기/NNG+부터/JX
동선을	동선/NNG+을/JKO
넉넉하게	넉넉하/VA+게/EC
확보하는	확보/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
목표로	목표/NNG+로/JKB
삼았다.	삼/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.103.2.16
매장 인테리어와 마감재에 투입한 비용은 기존 면세점 점포의 두 배에 이른다.

매장	매장/NNG
인테리어와	인테리어/NNG+와/JC
마감재에	마감재/NNG+에/JKB
투입한	투입/NNG+하/XSV+ㄴ/ETM
비용은	비용/NNG+은/JX
기존	기존/NNG
면세점	면세점/NNG
점포의	점포/NNG+의/JKG
두	두/MMN
배에	배/NNG+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.103.2.17
롯데면세점은 또 층고를 기존 매장의 1.3배인 3.4m로 높이기도 했다.

롯데면세점은	롯데면세점/NNP+은/JX
또	또/MAG
층고를	층고/NNG+를/JKO
기존	기존/NNG
매장의	매장/NNG+의/JKG
1.3배인	1/SN+./SP+3/SN+배/NNG+이/VCP+ㄴ/ETM
3.4m로	3/SN+./SP+4/SN+m/SW+로/JKB
높이기도	높이/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.103.2.18
고객 편의시설도 확충했다.

고객	고객/NNG
편의시설도	편의/NNG+시설/NNG+도/JX
확충했다.	확충/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.103.2.19
기존 점포에 비해 고객 라운지와 안내 데스크, 상담실의 규모를 크게 늘렸다.

기존	기존/NNG
점포에	점포/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
고객	고객/NNG
라운지와	라운지/NNG+와/JC
안내	안내/NNG
데스크,	데스크/NNG+,/SP
상담실의	상담실/NNG+의/JKG
규모를	규모/NNG+를/JKO
크게	크/VA+게/EC
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.103.2.20
고객 휴게 공간의 경우 기존의 2배, 상담실은 기존의 3배로 커졌다.

고객	고객/NNG
휴게	휴게/NNG
공간의	공간/NNG+의/JKG
경우	경우/NNG
기존의	기존/NNG+의/JKG
2배,	2/SN+배/NNG+,/SP
상담실은	상담실/NNG+은/JX
3배로	3/SN+배/NNG+로/JKB
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.103.2.21
또 내국인과 외국인 안내 데스크를 분리해 상담 속도와 만족도를 동시에 높였다는 것이 롯데면세점의 설명이다.

또	또/MAG
내국인과	내국인/NNG+과/JC
외국인	외국인/NNG
안내	안내/NNG
데스크를	데스크/NNG+를/JKO
분리해	분리/NNG+하/XSV+아/EC
상담	상담/NNG
속도와	속도/NNG+와/JC
만족도를	만족도/NNG+를/JKO
동시에	동시/NNG+에/JKB
높였다는	높이/VV+었/EP+다는/ETM
것이	것/NNB+이/JKS
롯데면세점의	롯데면세점/NNP+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.103.2.22
교통이 혼잡해질 것에 대비해 외국인 단체버스 승·하차장을 별도로 마련하기도 했다.

교통이	교통/NNG+이/JKS
혼잡해질	혼잡/NNG+하/XSA+아/EC+지/VX+ㄹ/ETM
것에	것/NNB+에/JKB
대비해	대비/NNG+하/XSV+아/EC
외국인	외국인/NNG
단체버스	단체/NNG+버스/NNG
승·하차장을	승·하차장/NNG+을/JKO
별도로	별도/NNG+로/JKB
마련하기도	마련/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.103.2.23
외국인 관광객 전용 버스주차장 규모는 성수기 유입량의 2배가 들어와도 수용 가능할 정도로 크다.

외국인	외국인/NNG
관광객	관광객/NNG
전용	전용/NNG
버스주차장	버스/NNG+주차장/NNG
규모는	규모/NNG+는/JX
성수기	성수기/NNG
유입량의	유입량/NNG+의/JKG
2배가	2/SN+배/NNG+가/JKS
들어와도	들어오/VV+아도/EC
수용	수용/NNG
가능할	가능/NNG+하/XSA+ㄹ/ETM
정도로	정도/NNG+로/JKB
크다.	크/VA+다/EF+./SF


# id : NWRW1800000041.103.2.24
롯데면세점은 월드타워점에서만 사용되는 비주얼 아이덴티티(VI)도 개발했다.

롯데면세점은	롯데면세점/NNP+은/JX
월드타워점에서만	월드타워점/NNG+에서/JKB+만/JX
사용되는	사용/NNG+되/XSV+는/ETM
비주얼	비주얼/NNG
아이덴티티(VI)도	아이덴티티/NNG+(/SS+VI/SL+)/SS+도/JX
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.103.2.25
이 VI는 매장뿐만 아니라 쇼핑백 쿠폰 등에도 적용된다.

이	이/MMD
VI는	VI/SL+는/JX
매장뿐만	매장/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
쇼핑백	쇼핑백/NNG
쿠폰	쿠폰/NNG
등에도	등/NNB+에/JKB+도/JX
적용된다.	적용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.103.2.26
한편 롯데면세점 월드타워점은 개장을 기념해 한류 스타인 배우 김수현을 전속모델로 내세워 활발한 홍보활동을 벌이고 있다.

한편	한편/MAG
롯데면세점	롯데면세점/NNP
월드타워점은	월드타워점/NNG+은/JX
개장을	개장/NNG+을/JKO
기념해	기념/NNG+하/XSV+아/EC
한류	한류/NNG
스타인	스타/NNG+이/VCP+ㄴ/ETM
배우	배우/NNG
김수현을	김수현/NNP+을/JKO
전속모델로	전속/NNG+모델/NNG+로/JKB
내세워	내세우/VV+어/EC
활발한	활발하/VA+ㄴ/ETM
홍보활동을	홍보/NNG+활동/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.103.2.27
월드타워점은 점포에서 1달러어치 이상을 구매한 외국인 고객을 대상으로 추첨을 통해 김수현 이민호 장근석 등 롯데면세점 모델의 피규어를 제공하는 이벤트를 열고 있다.

월드타워점은	월드타워점/NNG+은/JX
점포에서	점포/NNG+에서/JKB
1달러어치	1/SN+달러/NNB+어치/XSN
이상을	이상/NNG+을/JKO
구매한	구매/NNG+하/XSV+ㄴ/ETM
외국인	외국인/NNG
고객을	고객/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
추첨을	추첨/NNG+을/JKO
통해	통하/VV+아/EC
김수현	김수현/NNP
이민호	이민호/NNP
장근석	장근석/NNP
등	등/NNB
롯데면세점	롯데면세점/NNP
모델의	모델/NNG+의/JKG
피규어를	피규어/NNG+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
이벤트를	이벤트/NNG+를/JKO
열고	열/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.103.2.28
‘세계의 랜드마크를 가다’ 이벤트도 펼치고 있다.

‘세계의	‘/SS+세계/NNG+의/JKG
랜드마크를	랜드마크/NNG+를/JKO
가다’	가/VV+다/EF+’/SS
이벤트도	이벤트/NNG+도/JX
펼치고	펼치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.103.2.29
월드타워점에서 1달러어치 이상 제품을 구매한 내·외국인을 대상으로 진행되는 행사다.

월드타워점에서	월드타워점/NNG+에서/JKB
1달러어치	1/SN+달러/NNB+어치/XSN
이상	이상/NNG
제품을	제품/NNG+을/JKO
구매한	구매/NNG+하/XSV+ㄴ/ETM
내·외국인을	내·외국인/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
진행되는	진행/NNG+되/XSV+는/ETM
행사다.	행사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.103.2.30
당첨자에게는 미국 중국 등 7개국의 초고층 건물을 방문할 수 있는 기회가 주어진다.

당첨자에게는	당첨자/NNG+에게/JKB+는/JX
미국	미국/NNP
중국	중국/NNP
등	등/NNB
7개국의	7/SN+개국/NNB+의/JKG
초고층	초/XPN+고층/NNG
건물을	건물/NNG+을/JKO
방문할	방문/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회가	기회/NNG+가/JKS
주어진다.	주어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.103.2.31
고객 동선과 거리가 있는 브랜드(보브 오즈세컨 토소웅 키플링 등)의 제품을 추가 할인하는 행사도 이달 말까지 진행한다.

고객	고객/NNG
동선과	동선/NNG+과/JKB
거리가	거리/NNG+가/JKS
있는	있/VA+는/ETM
브랜드(보브	브랜드/NNG+(/SS+보브/NNP
오즈세컨	오즈세컨/NNP
토소웅	토소웅/NNP
키플링	키플링/NNP
등)의	등/NNB+)/SS+의/JKG
제품을	제품/NNG+을/JKO
추가	추가/NNG
할인하는	할인/NNG+하/XSV+는/ETM
행사도	행사/NNG+도/JX
이달	이달/NNG
말까지	말/NNB+까지/JX
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.103.2.32
주중 1000달러 이상, 주말 1500달러 이상을 구매하는 고객에게는 월드타워점의 자랑인 엘 라운지를 이용할 수 있는 쿠폰을 증정한다.

주중	주/NNG+중/NNB
1000달러	1000/SN+달러/NNB
이상,	이상/NNG+,/SP
주말	주말/NNG
1500달러	1500/SN+달러/NNB
이상을	이상/NNG+을/JKO
구매하는	구매/NNG+하/XSV+는/ETM
고객에게는	고객/NNG+에게/JKB+는/JX
월드타워점의	월드타워점/NNG+의/JKG
자랑인	자랑/NNG+이/VCP+ㄴ/ETM
엘	엘/NNG
라운지를	라운지/NNG+를/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
쿠폰을	쿠폰/NNG+을/JKO
증정한다.	증정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.103.2.33
이동대 롯데면세점 월드타워점장은 “고객의 쾌적한 쇼핑을 위해 설계 단계에서부터 세심한 노력을 기울였다”며 “월드타워점을 한국의 대표적인 관광·쇼핑 명소로 만들기 위해 노력할 것”이라고 말했다.

이동대	이동대/NNP
롯데면세점	롯데면세점/NNP
월드타워점장은	월드타워점장/NNG+은/JX
“고객의	“/SS+고객/NNG+의/JKG
쾌적한	쾌적하/VA+ㄴ/ETM
쇼핑을	쇼핑/NNG+을/JKO
위해	위하/VV+아/EC
설계	설계/NNG
단계에서부터	단계/NNG+에서부터/JKB
세심한	세심하/VA+ㄴ/ETM
노력을	노력/NNG+을/JKO
기울였다”며	기울이/VV+었/EP+다/EF+”/SS+며/EC
“월드타워점을	“/SS+월드타워점/NNG+을/JKO
한국의	한국/NNP+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
관광·쇼핑	관광/NNG+·/SP+쇼핑/NNG
명소로	명소/NNG+로/JKB
만들기	만들/VV+기/ETN
노력할	노력/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


