# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.215
metadata : {}


# id : NWRW1800000026.215.1.1
[세종시 수정안 부결 이후] 청와대·내각 개편은;"키워드는 탕평과 세대교체 靑 이달 중순, 내각은 하순 쯤"

[세종시	[/SS+세종시/NNP
14일	14/SN+일/NNB
라디오	라디오/NNG
연설에서	연설/NNG+에서/JKB
"준비되는	"/SS+준비/NNG+되/XSV+는/ETM
대로	대로/NNB
청와대와	청와대/NNP+와/JC
내각의	내각/NNG+의/JKG
진용을	진용/NNG+을/JKO
새로이	새로이/MAG
갖추겠다"고	갖추/VV+겠/EP+다/EF+"/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있고,	있/VA+고/EC+,/SP
청와대는	청와대/NNP+는/JX
6·2지방선거	6/SN+·/SP+2/SN+지방/NNG+선거/NNG
직후부터	직후/NNG+부터/JX
인적	인/NNG+적/XSN
개편을	개편/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
후보군	후보군/NNG
선정	선정/NNG
및	및/MAG
검증	검증/NNG
작업을	작업/NNG+을/JKO
계속해	계속/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.215.2.3
청와대 관계자는 6월 30일 "이번 인사의 키워드는 '탕평'과 '세대교체'에 맞춰져 있다"고 했다.

청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
6월	6/SN+월/NNB
30일	30/SN+일/NNB
"이번	"/SS+이번/NNG
인사의	인사/NNG+의/JKG
키워드는	키워드/NNG+는/JX
'탕평'과	'/SS+탕평/NNG+'/SS+과/JC
'세대교체'에	'/SS+세대교체/NNG+'/SS+에/JKB
맞춰져	맞추/VV+어/EC+지/VX+어/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.215.2.4
이에 따라 호남·충청 출신과 40~50대 젊은 인사들의 중용이 점쳐진다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
호남·충청	호남/NNP+·/SP+충청/NNP
출신과	출신/NNG+과/JC
40~50대	40/SN+~/SO+50/SN+대/NNB
젊은	젊/VA+은/ETM
인사들의	인사/NNG+들/XSN+의/JKG
중용이	중용/NNG+이/JKS
점쳐진다.	점치/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.215.3.1
청와대의 경우 이 대통령이 순방에서 돌아온 후 7월 중순쯤 개편이 이뤄질 것이란 전망이 많다.

청와대의	청와대/NNP+의/JKG
경우	경우/NNG
이	이/NNP
대통령이	대통령/NNG+이/JKS
순방에서	순방/NNG+에서/JKB
돌아온	돌아오/VV+ㄴ/ETM
후	후/NNG
7월	7/SN+월/NNB
중순쯤	중순/NNG+쯤/XSN
개편이	개편/NNG+이/JKS
이뤄질	이뤄지/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
전망이	전망/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000026.215.3.2
이미 사의를 표명한 정정길 대통령실장을 비롯, 정무·홍보·국정기획·민정 등 주요 수석들이 모두 교체 선상에 올라 있다.

이미	이미/MAG
사의를	사의/NNG+를/JKO
표명한	표명/NNG+하/XSV+ㄴ/ETM
정정길	정정길/NNP
대통령실장을	대통령실장/NNG+을/JKO
비롯,	비롯/XR+,/SP
정무·홍보·국정기획·민정	정무/NNG+·/SP+홍보/NNG+·/SP+국정/NNG+기획/NNG+·/SP+민정/NNG
등	등/NNB
주요	주요/NNG
수석들이	수석/NNG+들/XSN+이/JKS
모두	모두/MAG
교체	교체/NNG
선상에	선상/NNG+에/JKB
올라	오르/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.215.3.3
대통령실장으로는 백용호 국세청장이 초반부터 후보군에 올라 있고, 정우택 전 충북지사, 정운천 전 농수산식품부 장관 등도 거론된다.

대통령실장으로는	대통령실장/NNG+으로/JKB+는/JX
백용호	백용호/NNP
국세청장이	국세청장/NNG+이/JKS
초반부터	초반/NNG+부터/JX
후보군에	후보군/NNG+에/JKB
올라	오르/VV+아/EC
있고,	있/VX+고/EC+,/SP
정우택	정우택/NNP
전	전/MMD
충북지사,	충북/NNP+지사/NNG+,/SP
정운천	정운천/NNP
농수산식품부	농수산/NNG+식품부/NNG
장관	장관/NNG
등도	등/NNB+도/JX
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.215.3.4
임태희 노동부장관도 대통령실장 또는 다른 자리에 중용될 것이란 얘기가 계속 나온다.

임태희	임태희/NNP
노동부장관도	노동부/NNG+장관/NNG+도/JX
대통령실장	대통령실장/NNG
또는	또는/MAG
다른	다른/MMD
자리에	자리/NNG+에/JKB
중용될	중용/NNG+되/XSV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
얘기가	얘기/NNG+가/JKS
계속	계속/MAG
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.215.3.5
또 울산대 총장 출신인 정정길 실장의 경우처럼 학계에서 후임을 물색 중이란 말도 있다.

또	또/MAG
울산대	울산대/NNP
총장	총장/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
정정길	정정길/NNP
실장의	실장/NNG+의/JKG
경우처럼	경우/NNG+처럼/JKB
학계에서	학계/NNG+에서/JKB
후임을	후임/NNG+을/JKO
물색	물색/NNG
중이란	중/NNB+이/VCP+란/ETM
말도	말/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.215.4.1
청와대 수석으로는 신재민 문화체육관광부 1차관, 박영준 국무차장 등 이 대통령 측근 중 정부에 나가 일해온 인사들이 주로 거명된다.

청와대	청와대/NNP
수석으로는	수석/NNG+으로/JKB+는/JX
신재민	신재민/NNP
문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
1차관,	1/SN+차관/NNG+,/SP
박영준	박영준/NNP
국무차장	국무/NNG+차장/NNG
등	등/NNB
이	이/NNP
대통령	대통령/NNG
측근	측근/NNG
중	중/NNB
정부에	정부/NNG+에/JKB
나가	나가/VV+아/EC
일해온	일/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
인사들이	인사/NNG+들/XSN+이/JKS
주로	주로/MAG
거명된다.	거명/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.215.4.2
청와대 고위 관계자는 "청와대 수석들은 평소 이 대통령의 의중을 잘 아는 '대통령 팀'으로 짜일 가능성이 있다"고 했다.

청와대	청와대/NNP
고위	고위/NNG
관계자는	관계자/NNG+는/JX
"청와대	"/SS+청와대/NNP
수석들은	수석/NNG+들/XSN+은/JX
평소	평소/NNG
이	이/NNP
대통령의	대통령/NNG+의/JKG
의중을	의중/NNG+을/JKO
잘	잘/MAG
아는	알/VV+는/ETM
'대통령	'/SS+대통령/NNG
팀'으로	팀/NNG+'/SS+으로/JKB
짜일	짜이/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.215.4.3
청와대는 조직 개편 작업도 상당히 진행한 것으로 알려졌다.

청와대는	청와대/NNP+는/JX
조직	조직/NNG
개편	개편/NNG
작업도	작업/NNG+도/JX
상당히	상당히/MAG
진행한	진행/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.215.4.4
홍보수석실과 메시지기획관실 통합, 대변인 단일화, 국정기획수석실 폐지, 시민사회수석실 신설 등의 방안이 검토 중인 것으로 전해졌다.

홍보수석실과	홍보/NNG+수석실/NNG+과/JC
메시지기획관실	메시지/NNG+기획관실/NNG
통합,	통합/NNG+,/SP
대변인	대변인/NNG
단일화,	단일/NNG+화/XSN+,/SP
국정기획수석실	국정/NNG+기획/NNG+수석실/NNG
폐지,	폐지/NNG+,/SP
시민사회수석실	시민/NNG+사회/NNG+수석실/NNG
신설	신설/NNG
등의	등/NNB+의/JKG
방안이	방안/NNG+이/JKS
검토	검토/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.215.5.1
개각은 청와대 개편과 한나라당 전당대회(14일) 이후 7·28 재·보선을 전후해 이뤄질 것이란 관측이 많다.

개각은	개각/NNG+은/JX
청와대	청와대/NNP
개편과	개편/NNG+과/JC
한나라당	한나라당/NNP
전당대회(14일)	전당/NNG+대회/NNG+(/SS+14/SN+일/NNB+)/SS
이후	이후/NNG
7·28	7/SN+·/SP+28/SN
재·보선을	재·보선/NNG+을/JKO
전후해	전후/NNG+하/XSV+아/EC
이뤄질	이뤄지/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
관측이	관측/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000026.215.5.2
교체 폭은 2년 이상 일한 장관들을 위주로 중폭 이상이 될 가능성이 크다.

교체	교체/NNG
폭은	폭/NNG+은/JX
2년	2/SN+년/NNB
이상	이상/NNG
일한	일/NNG+하/XSV+ㄴ/ETM
장관들을	장관/NNG+들/XSN+을/JKO
위주로	위주/NNG+로/JKB
중폭	중/NNG+폭/NNG
이상이	이상/NNG+이/JKC
될	되/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000026.215.5.3
정 총리가 교체될 경우 이번에는 호남 출신 총리가 나오는 것 아니냐는 얘기가 청와대 주변에서 나온다.

정	정/NNP
총리가	총리/NNG+가/JKS
교체될	교체/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
이번에는	이번/NNG+에/JKB+는/JX
호남	호남/NNP
출신	출신/NNG
나오는	나오/VV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
얘기가	얘기/NNG+가/JKS
청와대	청와대/NNP
주변에서	주변/NNG+에서/JKB
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.215.5.4
김덕룡 대통령 국민통합특보, 강현욱 새만금코리아 이사장 등이 그런 차원에서 후보로 거론된다.

김덕룡	김덕룡/NNP
대통령	대통령/NNG
국민통합특보,	국민/NNG+통합/NNG+특보/NNG+,/SP
강현욱	강현욱/NNP
새만금코리아	새만금/NNP+코리아/NNP
이사장	이사장/NNG
등이	등/NNB+이/JKS
그런	그런/MMD
차원에서	차원/NNG+에서/JKB
후보로	후보/NNG+로/JKB
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.215.5.5
이석채 KT 회장, 심대평 국민중심연합 대표 등도 총리 후보군에 속한다고 한다.

이석채	이석채/NNP
KT	KT/SL
회장,	회장/NNG+,/SP
심대평	심대평/NNP
국민중심연합	국민중심연합/NNP
대표	대표/NNG
등도	등/NNB+도/JX
총리	총리/NNG
후보군에	후보군/NNG+에/JKB
속한다고	속하/VV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.215.6.1
내각에는 진수희 한나라당 의원, 박재완 청와대 국정기획수석 등의 입각설이 나온다.

내각에는	내각/NNG+에/JKB+는/JX
진수희	진수희/NNP
한나라당	한나라당/NNP
의원,	의원/NNG+,/SP
박재완	박재완/NNP
청와대	청와대/NNP
국정기획수석	국정/NNG+기획/NNG+수석/NNG
등의	등/NNB+의/JKG
입각설이	입각설/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.215.6.2
안철수 카이스트 교수, 김태호 전 경남지사 등의 장관 기용설도 있다.

안철수	안철수/NNP
카이스트	카이스트/NNP
교수,	교수/NNG+,/SP
김태호	김태호/NNP
전	전/MMD
경남지사	경남/NNP+지사/NNG
등의	등/NNB+의/JKG
장관	장관/NNG
기용설도	기용설/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.215.6.3
청와대 관계자는 "개각은 한나라당 전당대회, 청와대 개편 결과에 따라 지역 안배 등의 측면에서 영향을 받을 것"이라고 말했다.

청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
"개각은	"/SS+개각/NNG+은/JX
한나라당	한나라당/NNP
전당대회,	전당/NNG+대회/NNG+,/SP
개편	개편/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
지역	지역/NNG
안배	안배/NNG
등의	등/NNB+의/JKG
측면에서	측면/NNG+에서/JKB
영향을	영향/NNG+을/JKO
받을	받/VV+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


