# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.373
metadata : {}


# id : NWRW1800000044.373.1.1
“2000t급 사고 때 왜 세월호만 국정원에 먼저 보고하나”

“2000t급	“/SS+2000/SN+t/SW+급/NNG
재보궐선거를	재/XPN+보궐/NNG+선거/NNG+를/JKO
하루	하루/NNG
앞둔	앞두/VV+ㄴ/ETM
29일,	29/SN+일/NNB+,/SP
야당은	야당/NNG+은/JX
세월호	세월호/NNP
선내에	선내/NNG+에/JKB
있던	있/VA+던/ETM
업무용	업무/NNG+용/XSN
노트북에서	노트북/NNG+에서/JKB
복원된	복원/NNG+되/XSV+ㄴ/ETM
‘국정원	‘/SS+국정원/NNG
지적사항’	지적/NNG+사항/NNG+’/SS
문건과	문건/NNG+과/JC
세월호가	세월호/NNP+가/JKS
사고	사고/NNG
발생	발생/NNG
시	시/NNB
국가정보원에	국가/NNG+정보원/NNG+에/JKB
보고하도록	보고/NNG+하/XSV+도록/EC
된	되/VV+ㄴ/ETM
이유	이유/NNG
등을	등/NNB+을/JKO
따져보기	따지/VV+어/EC+보/VX+기/ETN
위해	위하/VV+아/EC
국회	국회/NNG
정보위원회를	정보/NNG+위원회/NNG+를/JKO
소집하자고	소집/NNG+하/XSV+자고/EC
거듭	거듭/MAG
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.373.7.2
여당은 재보선을 앞둔 정치적 공세라고 맞섰다.

여당은	여당/NNG+은/JX
재보선을	재보선/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
정치적	정치/NNG+적/XSN
공세라고	공세/NNG+이/VCP+라고/EC
맞섰다.	맞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.373.8.1
국회 정보위원회의 새정치민주연합 간사인 신경민 의원은 이날 국회에서 기자회견을 열고 “국정원과 세월호의 ‘특수관계’를 규명하라”고 주장했다.

국회	국회/NNG
정보위원회의	정보/NNG+위원회/NNG+의/JKG
새정치민주연합	새정치민주연합/NNP
간사인	간사/NNG+이/VCP+ㄴ/ETM
신경민	신경민/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
국회에서	국회/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열고	열/VV+고/EC
“국정원과	“/SS+국정원/NNG+과/JC
세월호의	세월호/NNP+의/JKG
‘특수관계’를	‘/SS+특수/NNG+관계/NNG+’/SS+를/JKO
규명하라”고	규명/NNG+하/XSV+라/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.373.8.2
이에 앞서 세월호 가족대책위원회는 지난 25일 복원된 세월호 노트북에서 나온 ‘선내 여객구역 작업 예정 사항-국정원 지적사항’이란 문건을 근거로 국정원이 세월호 운영·관리에 관여했다는 의혹을 제기했다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
세월호	세월호/NNP
가족대책위원회는	가족/NNG+대책/NNG+위원회/NNG+는/JX
지난	지나/VV+ㄴ/ETM
25일	25/SN+일/NNB
복원된	복원/NNG+되/XSV+ㄴ/ETM
노트북에서	노트북/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
‘선내	‘/SS+선내/NNG
여객구역	여객/NNG+구역/NNG
작업	작업/NNG
예정	예정/NNG
사항-국정원	사항/NNG+-/SO+국정원/NNG
지적사항’이란	지적/NNG+사항/NNG+’/SS+이/VCP+란/ETM
문건을	문건/NNG+을/JKO
근거로	근거/NNG+로/JKB
국정원이	국정원/NNG+이/JKS
운영·관리에	운영/NNG+·/SP+관리/NNG+에/JKB
관여했다는	관여/NNG+하/XSV+았/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.373.8.3
2013년 2월27일 작성된 이 문건은 텔레비전 부족, 냉장고 팬 불량, 화장실 환풍기 도색작업, 작업수당 보고서 작성 등 모두 100가지 지시사항이 적혀 있다.

2013년	2013/SN+년/NNB
2월27일	2/SN+월/NNB+27/SN+일/NNB
작성된	작성/NNG+되/XSV+ㄴ/ETM
이	이/MMD
문건은	문건/NNG+은/JX
텔레비전	텔레비전/NNG
부족,	부족/NNG+,/SP
냉장고	냉장고/NNG
팬	팬/NNG
불량,	불량/NNG+,/SP
화장실	화장실/NNG
환풍기	환풍기/NNG
도색작업,	도색/NNG+작업/NNG+,/SP
작업수당	작업/NNG+수당/NNG
보고서	보고서/NNG
작성	작성/NNG
등	등/NNB
모두	모두/MAG
100가지	100/SN+가지/NNB
지시사항이	지시/NNG+사항/NNG+이/JKS
적혀	적히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.373.8.4
세월호 가족대책위 부위원장인 박주민 변호사는 <한겨레>와의 통화에서 “뿐만 아니라 세월호는 2000t급 내항선 중 유일하게 해양사고 때 국정원에 보고를 하도록 돼 있다”며 “왜 유독 세월호와 국정원의 관계가 이렇게 끈끈한 것인지 밝혀야 한다”고 말했다.

세월호	세월호/NNP
가족대책위	가족/NNG+대책위/NNG
부위원장인	부위원장/NNG+이/VCP+ㄴ/ETM
박주민	박주민/NNP
변호사는	변호사/NNG+는/JX
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“뿐만	“/SS+뿐/JX+만/JX
아니라	아니/VCN+라/EC
세월호는	세월호/NNP+는/JX
2000t급	2000/SN+t/SW+급/NNG
내항선	내항선/NNG
중	중/NNB
유일하게	유일/NNG+하/XSA+게/EC
해양사고	해양/NNG+사고/NNG
때	때/NNG
국정원에	국정원/NNG+에/JKB
보고를	보고/NNG+를/JKO
하도록	하/VV+도록/EC
돼	되/VV+어/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“왜	“/SS+왜/MAG
유독	유독/MAG
세월호와	세월호/NNP+와/JC
국정원의	국정원/NNG+의/JKG
관계가	관계/NNG+가/JKS
이렇게	이렇/VA+게/EC
끈끈한	끈끈하/VA+ㄴ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EF
밝혀야	밝히/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.373.9.1
이에 대해 국정원은 “세월호가 국가보호장비로 지정이 됐기 때문에 지난해 2월 보안측정 예비조사를 했다”며 “당시 보안사각지대 해소를 위한 폐회로텔레비전(CCTV) 추가 신설, 비상시에 대비해 객실 내 일본어 표기 아크릴판 제거, 탈출방향 화살표 제작 등 4가지만 지적했을 뿐 나머지 96가지 지시사항은 국정원과 관련 없다고 해명했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
국정원은	국정원/NNG+은/JX
“세월호가	“/SS+세월호/NNP+가/JKS
국가보호장비로	국가/NNG+보호/NNG+장비/NNG+로/JKB
지정이	지정/NNG+이/JKC
됐기	되/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
지난해	지난해/NNG
2월	2/SN+월/NNB
보안측정	보안/NNG+측정/NNG
예비조사를	예비/NNG+조사/NNG+를/JKO
했다”며	하/VV+았/EP+다/EF+”/SS+며/EC
“당시	“/SS+당시/NNG
보안사각지대	보안/NNG+사각지대/NNG
해소를	해소/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
폐회로텔레비전(CCTV)	폐회로/NNG+텔레비전/NNG+(/SS+CCTV/SL+)/SS
추가	추가/NNG
신설,	신설/NNG+,/SP
비상시에	비상시/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
객실	객실/NNG
내	내/NNB
일본어	일본어/NNP
표기	표기/NNG
아크릴판	아크릴판/NNG
제거,	제거/NNG+,/SP
탈출방향	탈출/NNG+방향/NNG
화살표	화살표/NNG
제작	제작/NNG
등	등/NNB
4가지만	4/SN+가지/NNB+만/JX
지적했을	지적/NNG+하/XSV+았/EP+을/ETM
뿐	뿐/NNB
나머지	나머지/NNG
96가지	96/SN+가지/NNB
지시사항은	지시/NNG+사항/NNG+은/JX
국정원과	국정원/NNG+과/JKB
관련	관련/NNG
없다고	없/VA+다고/EC
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.373.9.2
또한 “세월호가 국정원에 사고를 보고하게 돼 있는 것도 청해진해운이 정한 것이지 국정원과는 상관없다”고 주장했다.

또한	또한/MAG
“세월호가	“/SS+세월호/NNP+가/JKS
국정원에	국정원/NNG+에/JKB
사고를	사고/NNG+를/JKO
보고하게	보고/NNG+하/XSV+게/EC
돼	되/VV+어/EC
있는	있/VX+는/ETM
것도	것/NNB+도/JX
청해진해운이	청해진해운/NNP+이/JKS
정한	정하/VV+ㄴ/ETM
것이지	것/NNB+이/VCP+지/EC
국정원과는	국정원/NNG+과/JKB+는/JX
상관없다”고	상관없/VA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.373.10.1
그러나 국정원의 이런 해명에도 불구하고 의혹은 정치권으로 번지고 있다.

그러나	그러나/MAJ
국정원의	국정원/NNG+의/JKG
이런	이런/MMD
해명에도	해명/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
의혹은	의혹/NNG+은/JX
정치권으로	정치/NNG+권/XSN+으로/JKB
번지고	번지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.373.10.2
신 의원은 “(세월호) 문건 작성자가 누구인지 조사하고 분명히 해명해야 한다.

신	신/NNP
의원은	의원/NNG+은/JX
“(세월호)	“/SS+(/SS+세월호/NNP+)/SS
문건	문건/NNG
작성자가	작성자/NNG+가/JKS
누구인지	누구/NP+이/VCP+ㄴ지/EF
조사하고	조사/NNG+하/XSV+고/EC
분명히	분명히/MAG
해명해야	해명/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000044.373.10.3
또 누가 사고보고 체계도에 국정원을 집어넣었는지 밝혀야 국정원과 관련된 의혹이 해소될 것”이라고 말했다.

또	또/MAG
누가	누구/NP+가/JKS
사고보고	사고/NNG+보고/NNG
체계도에	체계도/NNG+에/JKB
국정원을	국정원/NNG+을/JKO
집어넣었는지	집어넣/VV+었/EP+는지/EF
밝혀야	밝히/VV+어야/EC
국정원과	국정원/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
의혹이	의혹/NNG+이/JKS
해소될	해소/NNG+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.373.11.1
이에 대해 정보위 새누리당 간사인 이철우 의원은 보도자료를 내 “당 지도부가 모두 재보선 현장에 나와 있는 와중에 국회 정보위 소집을 요구한 것은 국정원 관련 의혹을 부풀려 득표에 유리하도록 연결시키려는 선거용 전략”이라고 주장했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
정보위	정보위/NNG
새누리당	새누리당/NNP
간사인	간사/NNG+이/VCP+ㄴ/ETM
이철우	이철우/NNP
의원은	의원/NNG+은/JX
보도자료를	보도/NNG+자료/NNG+를/JKO
내	내/VV+어/EC
“당	“/SS+당/NNG
지도부가	지도부/NNG+가/JKS
모두	모두/MAG
재보선	재보선/NNG
현장에	현장/NNG+에/JKB
나와	나오/VV+아/EC
있는	있/VX+는/ETM
와중에	와중/NNG+에/JKB
국회	국회/NNG
소집을	소집/NNG+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
국정원	국정원/NNG
관련	관련/NNG
의혹을	의혹/NNG+을/JKO
부풀려	부풀리/VV+어/EC
득표에	득표/NNG+에/JKB
유리하도록	유리/NNG+하/XSA+도록/EC
연결시키려는	연결/NNG+시키/XSV+려는/ETM
선거용	선거/NNG+용/XSN
전략”이라고	전략/NNG+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


