# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.87
metadata : {}


# id : NWRW1800000046.87.1.1
영어·수학보다 '나라' 배우는 게 더 중요합니다

영어·수학보다	영어/NNP+·/SP+수학/NNG+보다/JKB
고증하는	고증/NNG+하/XSV+는/ETM
작업을	작업/NNG+을/JKO
병행하고	병행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.87.4.4
김창묵 회장은 만세운동기념사업을 효과적으로 마무리하기 위해 동창마을 근처 척야산에 아예 거처를 만들고 서울을 오가며 생활하고 있다.

김창묵	김창묵/NNP
회장은	회장/NNG+은/JX
만세운동기념사업을	만세/NNG+운동/NNG+기념사업/NNG+을/JKO
효과적으로	효과/NNG+적/XSN+으로/JKB
마무리하기	마무리/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
동창마을	동창마을/NNP
근처	근처/NNG
척야산에	척야산/NNP+에/JKB
아예	아예/MAG
거처를	거처/NNG+를/JKO
만들고	만들/VV+고/EC
서울을	서울/NNP+을/JKO
오가며	오가/VV+며/EC
생활하고	생활/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.87.5.1
동창만세운동은 홍천 갑부 집안을 몰락시켰다.

동창만세운동은	동창/NNP+만세/NNG+운동/NNG+은/JX
홍천	홍천/NNP
갑부	갑부/NNG
집안을	집안/NNG+을/JKO
몰락시켰다.	몰락/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.87.5.2
일경은 김덕원을 체포하려고 일가친척을 들쑤셨고, 천석꾼 재산이 순식간에 사라졌다.

일경은	일경/NNG+은/JX
김덕원을	김덕원/NNP+을/JKO
체포하려고	체포/NNG+하/XSV+려고/EC
일가친척을	일가친척/NNG+을/JKO
들쑤셨고,	들쑤시/VV+었/EP+고/EC+,/SP
천석꾼	천/NR+석/NNB+꾼/XSN
재산이	재산/NNG+이/JKS
순식간에	순식/NNG+간/XSN+에/JKB
사라졌다.	사라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.87.5.3
"어머니가 쌀을 얻으러 다니는 처지가 됐어요.

"어머니가	"/SS+어머니/NNG+가/JKS
쌀을	쌀/NNG+을/JKO
얻으러	얻/VV+으러/EC
다니는	다니/VV+는/ETM
처지가	처지/NNG+가/JKC
됐어요.	되/VV+었/EP+어요/EF+./SF


# id : NWRW1800000046.87.5.4
누가 선뜻 내주겠어요?" 김창묵의 어린 시절 기억은 대부분 배고파 울던 모습이다.

누가	누구/NP+가/JKS
선뜻	선뜻/MAG
내주겠어요?"	내주/VV+겠/EP+어요/EF+?/SF+"/SS
김창묵의	김창묵/NNP+의/JKG
어린	어리/VA+ㄴ/ETM
시절	시절/NNG
기억은	기억/NNG+은/JX
대부분	대/XPN+부분/NNG
배고파	배고프/VA+아/EC
울던	울/VV+던/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.87.5.5
어른들은 일본식 교육을 수치로 여겼다.

어른들은	어른/NNG+들/XSN+은/JX
일본식	일본식/NNG
교육을	교육/NNG+을/JKO
수치로	수치/NNG+로/JKB
여겼다.	여기/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.87.5.6
못 배우니 가난은 한층 나락으로 떨어졌다.

못	못/MAG
배우니	배우/VV+니/EC
가난은	가난/NNG+은/JX
한층	한층/MAG
나락으로	나락/NNG+으로/JKB
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.87.6.1
그는 열여섯에 농업개척단원으로 만주에 갔다.

그는	그/NP+는/JX
열여섯에	열여섯/NR+에/JKB
농업개척단원으로	농업/NNG+개척/NNG+단원/NNG+으로/JKB
만주에	만주/NNP+에/JKB
갔다.	가/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.87.6.2
7년 뒤 어느 날 광복이 왔다.

7년	7/SN+년/NNB
뒤	뒤/NNG
어느	어느/MMD
날	날/NNG
광복이	광복/NNG+이/JKS
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.87.6.3
"여의도 1000평을 불하받아 농사짓고 영등포시장 음식 쓰레기로 돼지와 오리를 키웠는데, 술술 잘 풀렸어요."

"여의도	"/SS+여의도/NNP
1000평을	1000/SN+평/NNB+을/JKO
불하받아	불하/NNG+받/XSV+아/EC
농사짓고	농사짓/VV+고/EC
영등포시장	영등포시장/NNP
음식	음식/NNG
쓰레기로	쓰레기/NNG+로/JKB
돼지와	돼지/NNG+와/JC
오리를	오리/NNG+를/JKO
키웠는데,	키우/VV+었/EP+는데/EC+,/SP
술술	술술/MAG
잘	잘/MAG
풀렸어요."	풀리/VV+었/EP+어요/EF+./SF+"/SS


# id : NWRW1800000046.87.7.1
그때 6·25가 터졌다.

그때	그때/NNG
6·25가	6/SN+·/SP+25/SN+가/JKS
터졌다.	터지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.87.7.2
피란지 마산에서 돌아오니 여의도엔 비행장이 들어서 있었다.

피란지	피란지/NNG
마산에서	마산/NNP+에서/JKB
돌아오니	돌아오/VV+니/EC
여의도엔	여의도/NNP+에/JKB+ㄴ/JX
비행장이	비행장/NNG+이/JKS
들어서	들어서/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.87.7.3
"빈민으로 전락하는 건 순간인데 회복은 이렇게나 어려운 것이구나….

"빈민으로	"/SS+빈민/NNG+으로/JKB
전락하는	전락/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
순간인데	순간/NNG+이/VCP+ㄴ데/EC
회복은	회복/NNG+은/JX
이렇게나	이렇/VA+게/EC+나/JX
어려운	어렵/VA+ㄴ/ETM
것이구나….	것/NNB+이/VCP+구나/EF+…/SE+./SF


# id : NWRW1800000046.87.7.4
솔직히 만세운동을 주도한 어른들이 원망스럽기도 했죠."

솔직히	솔직히/MAG
만세운동을	만세/NNG+운동/NNG+을/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
어른들이	어른/NNG+들/XSN+이/JKS
원망스럽기도	원망/NNG+스럽/XSA+기/ETN+도/JX
했죠."	하/VX+았/EP+죠/EF+./SF+"/SS


# id : NWRW1800000046.87.8.1
1953년 형이 송아지 팔아 준 돈으로 남대문시장에 양말 노점을 열었다.

1953년	1953/SN+년/NNB
형이	형/NNG+이/JKS
송아지	송아지/NNG
팔아	팔/VV+아/EC
준	주/VX+ㄴ/ETM
돈으로	돈/NNG+으로/JKB
남대문시장에	남대문시장/NNP+에/JKB
양말	양말/NNG
노점을	노점/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.87.8.2
그러다 점포 얻고 미싱(재봉틀) 두 대를 들여 팬티를 만들었다.

그러다	그러/VV+다/EC
점포	점포/NNG
얻고	얻/VV+고/EC
미싱(재봉틀)	미싱/NNG+(/SS+재봉틀/NNG+)/SS
두	두/MMN
대를	대/NNB+를/JKO
들여	들이/VV+어/EC
팬티를	팬티/NNG+를/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.87.8.3
1960년대 초 북유럽에 스웨터를 수출할 기회를 얻었다.

1960년대	1960/SN+년대/NNB
초	초/NNB
북유럽에	북유럽/NNP+에/JKB
스웨터를	스웨터/NNG+를/JKO
수출할	수출/NNG+하/XSV+ㄹ/ETM
기회를	기회/NNG+를/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.87.8.4
재료를 받아와 스웨터 짜서 보내는 것인데, 한국 1세대 수출 품목이다.

재료를	재료/NNG+를/JKO
받아와	받/VV+아/EC+오/VX+아/EC
스웨터	스웨터/NNG
짜서	짜/VV+아서/EC
보내는	보내/VV+는/ETM
것인데,	것/NNB+이/VCP+ㄴ데/EC+,/SP
한국	한국/NNP
1세대	1/SN+세대/NNG
수출	수출/NNG
품목이다.	품목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.87.8.5
"점점 자리가 잡혔죠.

"점점	"/SS+점점/MAG
자리가	자리/NNG+가/JKS
잡혔죠.	잡히/VV+었/EP+죠/EF+./SF


# id : NWRW1800000046.87.8.6
기업가 소리도 듣게 됐어요." 그렇게 가난에서 벗어났다.

기업가	기업가/NNG
소리도	소리/NNG+도/JX
듣게	듣/VV+게/EC
됐어요."	되/VV+었/EP+어요/EF+./SF+"/SS
그렇게	그렇/VA+게/EC
가난에서	가난/NNG+에서/JKB
벗어났다.	벗어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.87.9.1
1982년 이른 봄이다.

1982년	1982/SN+년/NNB
이른	이르/VA+ㄴ/ETM
봄이다.	봄/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.87.9.2
새벽에 골목을 나서는데 맨발 소년이 신문을 돌리고 있다.

새벽에	새벽/NNG+에/JKB
골목을	골목/NNG+을/JKO
나서는데	나서/VV+는데/EC
맨발	맨/XPN+발/NNG
소년이	소년/NNG+이/JKS
신문을	신문/NNG+을/JKO
돌리고	돌리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.87.9.3
앞만 보고 달렸던 예순의 사업가는 소년 뒷모습에서 어린 시절 자신을 보았다.

앞만	앞/NNG+만/JX
보고	보/VV+고/EC
달렸던	달리/VV+었/EP+던/ETM
예순의	예순/NR+의/JKG
사업가는	사업가/NNG+는/JX
소년	소년/NNG
뒷모습에서	뒷모습/NNG+에서/JKB
어린	어리/VA+ㄴ/ETM
시절	시절/NNG
자신을	자신/NNG+을/JKO
보았다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.87.9.4
"저 애들도 배우지 않으면 나처럼 고생하겠구나 싶었죠."

"저	"/SS+저/MMD
애들도	애/NNG+들/XSN+도/JX
배우지	배우/VV+지/EC
않으면	않/VX+으면/EC
나처럼	나/NP+처럼/JKB
고생하겠구나	고생/NNG+하/XSV+겠/EP+구나/EF
싶었죠."	싶/VX+었/EP+죠/EF+./SF+"/SS


# id : NWRW1800000046.87.10.1
그때부터 조선일보사에 배달원 장학금을 보내온 것이 33년째다.

그때부터	그때/NNG+부터/JX
조선일보사에	조선일보사/NNP+에/JKB
배달원	배달원/NNG
장학금을	장학금/NNG+을/JKO
보내온	보내오/VV+ㄴ/ETM
것이	것/NNB+이/JKS
33년째다.	33/SN+년/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000046.87.10.2
지금까지 958명의 배달원과 자녀에게 모두 2억8000만원이 지급됐다.

지금까지	지금/NNG+까지/JX
958명의	958/SN+명/NNB+의/JKG
배달원과	배달원/NNG+과/JC
자녀에게	자녀/NNG+에게/JKB
모두	모두/MAG
2억8000만원이	2/SN+억/NR+8000/SN+만/NR+원/NNB+이/JKS
지급됐다.	지급/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.87.10.3
조성된 기금은 10억원 규모다.

조성된	조성/NNG+되/XSV+ㄴ/ETM
기금은	기금/NNG+은/JX
10억원	10/SN+억/NR+원/NNB
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.87.10.4
김창묵 회장은 고향인 강원의 지역 신문에도 매년 성금을 내고, 남대문시장 영세 상인 자녀들에게도 꾸준히 학비를 지원한다.

김창묵	김창묵/NNP
회장은	회장/NNG+은/JX
고향인	고향/NNG+이/VCP+ㄴ/ETM
강원의	강원/NNP+의/JKG
지역	지역/NNG
신문에도	신문/NNG+에/JKB+도/JX
매년	매년/MAG
성금을	성금/NNG+을/JKO
내고,	내/VV+고/EC+,/SP
남대문시장	남대문시장/NNP
영세	영세/NNG
상인	상인/NNG
자녀들에게도	자녀/NNG+들/XSN+에게/JKB+도/JX
꾸준히	꾸준히/MAG
학비를	학비/NNG+를/JKO
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.87.10.5
이렇게 30여년간 기부한 돈이 100억원이 넘는다.

이렇게	이렇/VA+게/EC
30여년간	30/SN+여/XSN+년/NNB+간/XSN
기부한	기부/NNG+하/XSV+ㄴ/ETM
돈이	돈/NNG+이/JKS
100억원이	100/SN+억/NR+원/NNB+이/JKS
넘는다.	넘/VV+는다/EF+./SF


