# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.233
metadata : {}


# id : NWRW1800000044.233.1.1
유대균 “아버지 사망 몰랐다”

유대균	유대균/NNP
권윤자(71·구속)씨는	권윤자/NNP+(/SS+71/SN+·/SP+구속/NNG+)/SS+씨/NNB+는/JX
남편의	남편/NNG+의/JKG
주검이	주검/NNG+이/JKS
발견된	발견/NNG+되/XSV+ㄴ/ETM
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
22일	22/SN+일/NNB
장례	장례/NNG
절차에	절차/NNG+에/JKB
참여하겠다며	참여/NNG+하/XSV+겠/EP+다며/EC
일시	일시/MAG
석방을	석방/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
구속집행정지를	구속/NNG+집행/NNG+정지/NNG+를/JKO
신청했다고	신청/NNG+하/XSV+았/EP+다고/EC
인천지법이	인천지법/NNP+이/JKS
밝혔다.	밝히/VV+었/EP+다/EF+./SF


