# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.236
metadata : {}


# id : NWRW1800000021.236.1.1
‘속병’ 재발한 한나라, 이번에도 응급 봉합?

‘속병’	‘/SS+속병/NNG+’/SS
보여주는	보이/VV+어/EC+주/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.236.2.4
박 전 대표의 이날 한마디는 친이계와 친박, 주류와 비주류로 분열된 채 ‘한 지붕 두 가족’으로 어색한 동거를 하고 있는 공룡 여당의 구조적인 취약함을 여실히 드러냈다.

박	박/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
이날	이날/NNG
한마디는	한마디/NNG+는/JX
친이계와	친/XPN+이/NNP+계/XSN+와/JC
친박,	친/XPN+박/NNP+,/SP
주류와	주류/NNG+와/JC
비주류로	비/XPN+주류/NNG+로/JKB
분열된	분열/NNG+되/XSV+ㄴ/ETM
채	채/NNB
‘한	‘/SS+한/MMN
지붕	지붕/NNG
두	두/MMN
가족’으로	가족/NNG+’/SS+으로/JKB
어색한	어색하/VA+ㄴ/ETM
동거를	동거/NNG+를/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
공룡	공룡/NNG
여당의	여당/NNG+의/JKG
구조적인	구조/NNG+적/XSN+이/VCP+ㄴ/ETM
취약함을	취약/NNG+하/XSA+ㅁ/ETN+을/JKO
여실히	여실히/MAG
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.236.2.5
○찬물 끼얹은 박근혜 발언

○찬물	○/SW+찬물/NNG
끼얹은	끼얹/VV+은/ETM
박근혜	박근혜/NNP
발언	발언/NNG


# id : NWRW1800000021.236.3.1
박 전 대표가 19일 ‘반대표 발언’을 하기 전까지만 해도 한나라당은 일사불란하게 움직였다.

박	박/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
19일	19/SN+일/NNB
‘반대표	‘/SS+반대표/NNG
발언’을	발언/NNG+’/SS+을/JKO
하기	하/VV+기/ETN
전까지만	전/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
한나라당은	한나라당/NNP+은/JX
일사불란하게	일사불란/NNG+하/XSA+게/EC
움직였다.	움직이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.236.3.2
친박(친박근혜)은 물론 개혁 성향의 소장파 의원들도 한목소리로 미디어법 처리의 당위성을 역설했다.

친박(친박근혜)은	친/XPN+박/NNP+(/SS+친/XPN+박근혜/NNP+)/SS+은/JX
물론	물론/MAG
개혁	개혁/NNG
성향의	성향/NNG+의/JKG
소장파	소장파/NNG
의원들도	의원/NNG+들/XSN+도/JX
한목소리로	한목소리/NNG+로/JKB
미디어법	미디어법/NNG
처리의	처리/NNG+의/JKG
당위성을	당위/NNG+성/XSN+을/JKO
역설했다.	역설/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.236.3.3
안상수 원내대표는 이번 임시국회 초반부터 친박과 개혁파 의원들을 일대일로 접촉하며 법안처리가 시급하다는 점을 강조했다.

안상수	안상수/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이번	이번/NNG
임시국회	임시/NNG+국회/NNG
초반부터	초반/NNG+부터/JX
친박과	친/XPN+박/NNP+과/JC
개혁파	개혁파/NNG
의원들을	의원/NNG+들/XSN+을/JKO
일대일로	일대일/NNG+로/JKB
접촉하며	접촉/NNG+하/XSV+며/EC
법안처리가	법안/NNG+처리/NNG+가/JKS
시급하다는	시급하/VA+다는/ETM
점을	점/NNG+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.236.3.4
지난달 26일 의원총회에서 ‘여야 합의대로 6월 국회에서 미디어법을 표결 처리한다’는 당론을 확정할 때 어느 누구도 반대의견을 낸 의원이 없었다.

지난달	지난달/NNG
26일	26/SN+일/NNB
의원총회에서	의원/NNG+총회/NNG+에서/JKB
‘여야	‘/SS+여야/NNG
합의대로	합의/NNG+대로/JX
6월	6/SN+월/NNB
국회에서	국회/NNG+에서/JKB
미디어법을	미디어법/NNG+을/JKO
표결	표결/NNG
처리한다’는	처리/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
당론을	당론/NNG+을/JKO
확정할	확정/NNG+하/XSV+ㄹ/ETM
때	때/NNG
어느	어느/MMD
누구도	누구/NP+도/JX
반대의견을	반대/NNG+의견/NNG+을/JKO
낸	내/VV+ㄴ/ETM
의원이	의원/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.236.3.5
안 원내대표가 19일 강행처리 방침을 밝히며 소집령을 내렸을 때도 마찬가지였다.

안	안/NNP
원내대표가	원내/NNG+대표/NNG+가/JKS
19일	19/SN+일/NNB
강행처리	강행/NNG+처리/NNG
방침을	방침/NNG+을/JKO
밝히며	밝히/VV+며/EC
소집령을	소집령/NNG+을/JKO
내렸을	내리/VV+었/EP+을/ETM
때도	때/NNG+도/JX
마찬가지였다.	마찬가지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.236.3.6
상당수 친박 의원들은 본회의장을 사수했다.

상당수	상당수/NNG
친박	친/XPN+박/NNP
의원들은	의원/NNG+들/XSN+은/JX
본회의장을	본회의장/NNG+을/JKO
사수했다.	사수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.236.4.1
하지만 이 같은 기류는 박 전 대표의 한마디에 180도 바뀌었다.

하지만	하지만/MAJ
이	이/NP
같은	같/VA+은/ETM
기류는	기류/NNG+는/JX
박	박/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
한마디에	한마디/NNG+에/JKB
180도	180/SN+도/NNB
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.236.4.2
안 원내대표가 ‘박근혜 투표 참여’ 발언을 한 것이 박 전 대표를 자극했다는 얘기가 나왔지만 충분한 설명은 되지 못했다.

안	안/NNP
원내대표가	원내/NNG+대표/NNG+가/JKS
‘박근혜	‘/SS+박근혜/NNP
투표	투표/NNG
참여’	참여/NNG+’/SS
발언을	발언/NNG+을/JKO
한	하/VV+ㄴ/ETM
것이	것/NNB+이/JKS
박	박/NNP
전	전/MMD
대표를	대표/NNG+를/JKO
자극했다는	자극/NNG+하/XSV+았/EP+다는/ETM
얘기가	얘기/NNG+가/JKS
나왔지만	나오/VV+았/EP+지만/EC
충분한	충분하/VA+ㄴ/ETM
설명은	설명/NNG+은/JX
되지	되/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.236.4.3
민주당의 실력 저지로 법안 처리에 난항을 겪고 있는 당 지도부에선 박 전 대표의 ‘예상치’ 못한 발언으로 인해 정부 여당의 법안 추동력이 크게 떨어질 것을 우려하는 분위기가 역력하다.

민주당의	민주당/NNP+의/JKG
실력	실력/NNG
저지로	저지/NNG+로/JKB
법안	법안/NNG
처리에	처리/NNG+에/JKB
난항을	난항/NNG+을/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
당	당/NNG
지도부에선	지도부/NNG+에서/JKB+ㄴ/JX
박	박/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
‘예상치’	‘/SS+예상/NNG+하/XSV+지/EC+’/SS
못한	못하/VX+ㄴ/ETM
발언으로	발언/NNG+으로/JKB
인해	인/NNG+하/XSV+아/EC
정부	정부/NNG
여당의	여당/NNG+의/JKG
추동력이	추동력/NNG+이/JKS
크게	크/VA+게/EC
떨어질	떨어지/VV+ㄹ/ETM
것을	것/NNB+을/JKO
우려하는	우려/NNG+하/XSV+는/ETM
분위기가	분위기/NNG+가/JKS
역력하다.	역력하/VA+다/EF+./SF


# id : NWRW1800000021.236.4.4
일부 친이(친이명박) 의원은 ‘포퓰리즘 정치’라면서 박 전 대표를 향해 불만을 털어놓고 있다.

일부	일부/NNG
친이(친이명박)	친/XPN+이/NNP+(/SS+친/XPN+이명박/NNP+)/SS
의원은	의원/NNG+은/JX
‘포퓰리즘	‘/SS+포퓰리즘/NNG
정치’라면서	정치/NNG+’/SS+이/VCP+라면서/EC
박	박/NNP
전	전/MMD
대표를	대표/NNG+를/JKO
향해	향하/VV+아/EC
불만을	불만/NNG+을/JKO
털어놓고	털어놓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.236.4.5
한 친이계 의원은 “박 전 대표가 결국 당을 쪼개고 나가겠다는 뜻 아니냐”고 말했고, 다른 초선 의원은 “친박 의원 다수의 생각과 박 전 대표의 생각이 다르다면 의사소통에 문제가 있는 게 아니냐”고 따졌다.

한	한/MMN
친이계	친/XPN+이/NNP+계/XSN
의원은	의원/NNG+은/JX
“박	“/SS+박/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
결국	결국/MAG
당을	당/NNG+을/JKO
쪼개고	쪼개/VV+고/EC
나가겠다는	나가/VX+겠/EP+다는/ETM
뜻	뜻/NNG
아니냐”고	아니/VCN+냐/EF+”/SS+고/JKQ
말했고,	말/NNG+하/XSV+았/EP+고/EC+,/SP
다른	다른/MMD
초선	초선/NNG
“친박	“/SS+친/XPN+박/NNP
의원	의원/NNG
다수의	다수/NNG+의/JKG
생각과	생각/NNG+과/JC
박	박/NNP
대표의	대표/NNG+의/JKG
생각이	생각/NNG+이/JKS
다르다면	다르/VA+다면/EC
의사소통에	의사소통/NNG+에/JKB
문제가	문제/NNG+가/JKS
있는	있/VA+는/ETM
게	거/NNB+이/JKC
따졌다.	따지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.236.5.1
○친박, 일단은 봉합 기류

○친박,	○/SW+친/XPN+박/NNP+,/SP
일단은	일단/MAG+은/JX
봉합	봉합/NNG
기류	기류/NNG


# id : NWRW1800000021.236.6.1
박 전 대표 발언의 파장이 일파만파로 확산되자 친박계 의원들은 곤혹스러운 표정을 감추지 못했다.

박	박/NNP
전	전/MMD
대표	대표/NNG
발언의	발언/NNG+의/JKG
파장이	파장/NNG+이/JKS
일파만파로	일파만파/NNG+로/JKB
확산되자	확산/NNG+되/XSV+자/EC
친박계	친/XPN+박/NNP+계/XSN
의원들은	의원/NNG+들/XSN+은/JX
곤혹스러운	곤혹/NNG+스럽/XSA+ㄴ/ETM
표정을	표정/NNG+을/JKO
감추지	감추/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.236.6.2
결정적인 순간을 맞을 때마다 당 지도부보다 훨씬 큰 영향력을 발휘하는 박 전 대표의 발언이지만 당내 분열과 갈등을 부채질한다는 비난이 적지 않은 등 후폭풍이 심상치 않을 조짐이기 때문이다.

결정적인	결정/NNG+적/XSN+이/VCP+ㄴ/ETM
순간을	순간/NNG+을/JKO
맞을	맞/VV+을/ETM
때마다	때/NNG+마다/JX
당	당/NNG
지도부보다	지도부/NNG+보다/JKB
훨씬	훨씬/MAG
큰	크/VA+ㄴ/ETM
영향력을	영향력/NNG+을/JKO
발휘하는	발휘/NNG+하/XSV+는/ETM
박	박/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
발언이지만	발언/NNG+이/VCP+지만/EC
당내	당내/NNG
분열과	분열/NNG+과/JC
갈등을	갈등/NNG+을/JKO
부채질한다는	부채/NNG+질/XSN+하/XSV+ㄴ다는/ETM
비난이	비난/NNG+이/JKS
적지	적/VA+지/EC
않은	않/VX+은/ETM
등	등/NNB
후폭풍이	후폭풍/NNG+이/JKS
심상치	심상하/VA+지/EC
않을	않/VX+을/ETM
조짐이기	조짐/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.236.6.3
친박계 의원들은 박 전 대표의 발언에 대해 “미디어법 자체에 대한 문제 제기가 아니었다”는 점을 강조하고 있다.

친박계	친/XPN+박/NNP+계/XSN
의원들은	의원/NNG+들/XSN+은/JX
박	박/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
발언에	발언/NNG+에/JKB
대해	대하/VV+아/EC
“미디어법	“/SS+미디어법/NNG
자체에	자체/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
문제	문제/NNG
제기가	제기/NNG+가/JKC
아니었다”는	아니/VCN+었/EP+다/EF+”/SS+는/ETM
점을	점/NNG+을/JKO
강조하고	강조/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.236.6.4
박 전 대표는 19일 발언 후 국회 문화체육관광방송통신위원회의 한나라당 간사인 나경원 의원과의 통화에서 미디어법 수정안의 세부 내용에 대해 설명을 들은 것으로 알려졌다.

박	박/NNP
전	전/MMD
대표는	대표/NNG+는/JX
19일	19/SN+일/NNB
발언	발언/NNG
후	후/NNG
국회	국회/NNG
문화체육관광방송통신위원회의	문화/NNG+체육/NNG+관광/NNG+방송/NNG+통신/NNG+위원회/NNG+의/JKG
한나라당	한나라당/NNP
간사인	간사/NNG+이/VCP+ㄴ/ETM
나경원	나경원/NNP
의원과의	의원/NNG+과/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
미디어법	미디어법/NNG
수정안의	수정안/NNG+의/JKG
세부	세부/NNG
내용에	내용/NNG+에/JKB
대해	대하/VV+아/EC
설명을	설명/NNG+을/JKO
들은	듣/VV+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.236.7.1
내부적으로는 박 전 대표의 발언을 그대로 전달한 이정현 의원에게 화살을 돌리는 기류도 없지 않다.

내부적으로는	내부/NNG+적/XSN+으로/JKB+는/JX
박	박/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
발언을	발언/NNG+을/JKO
그대로	그대로/MAG
전달한	전달/NNG+하/XSV+ㄴ/ETM
이정현	이정현/NNP
의원에게	의원/NNG+에게/JKB
화살을	화살/NNG+을/JKO
돌리는	돌리/VV+는/ETM
기류도	기류/NNG+도/JX
없지	없/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000021.236.7.2
한 친박계 중진 의원은 “안 원내대표가 ‘박 전 대표가 투표장에 나오겠다고 하더라’라는 말을 듣고 화가 난 상태에서 한 말을 이 의원이 그대로 전하는 바람에 문제를 더욱 키웠다”고 말했다.

한	하/VV+ㄴ/ETM
친박계	친/XPN+박/NNP+계/XSN
중진	중진/NNG
의원은	의원/NNG+은/JX
“안	“/SS+안/NNP
원내대표가	원내/NNG+대표/NNG+가/JKS
‘박	‘/SS+박/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
투표장에	투표장/NNG+에/JKB
나오겠다고	나오/VV+겠/EP+다고/EC
하더라’라는	하/VV+더라/EF+’/SS+이/VCP+라는/ETM
말을	말/NNG+을/JKO
듣고	듣/VV+고/EC
화가	화/NNG+가/JKS
난	나/VV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
이	이/MMD
의원이	의원/NNG+이/JKS
그대로	그대로/MAG
전하는	전하/VV+는/ETM
바람에	바람/NNB+에/JKB
문제를	문제/NNG+를/JKO
더욱	더욱/MAG
키웠다”고	키우/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.236.8.1
하지만 친박 의원들은 당내 갈등이 더 이상 증폭되는 것을 원하지 않는 모습이다.

하지만	하지만/MAJ
친박	친/XPN+박/NNP
의원들은	의원/NNG+들/XSN+은/JX
당내	당내/NNG
갈등이	갈등/NNG+이/JKS
더	더/MAG
이상	이상/NNG
증폭되는	증폭/NNG+되/XSV+는/ETM
것을	것/NNB+을/JKO
원하지	원/NNG+하/VV+지/EC
않는	않/VX+는/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.236.8.2
박 전 대표의 발언은 ‘국정 비협조’라는 꼬리표를 달 수밖에 없기 때문이다.

박	박/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
발언은	발언/NNG+은/JX
‘국정	‘/SS+국정/NNG
비협조’라는	비/XPN+협조/NNG+’/SS+이/VCP+라는/ETM
꼬리표를	꼬리표/NNG+를/JKO
달	달/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없기	없/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.236.8.3
그동안 ‘협력과 비판’이라는 정치적 명분을 내세웠던 친박계 의원들이 당혹해하는 것도 이 같은 이유 때문이다.

그동안	그동안/NNG
‘협력과	‘/SS+협력/NNG+과/JC
비판’이라는	비판/NNG+’/SS+이/VCP+라는/ETM
정치적	정치/NNG+적/XSN
명분을	명분/NNG+을/JKO
내세웠던	내세우/VV+었/EP+던/ETM
친박계	친/XPN+박/NNP+계/XSN
의원들이	의원/NNG+들/XSN+이/JKS
당혹해하는	당혹/NNG+하/XSV+아/EC+하/VX+는/ETM
것도	것/NNB+도/JX
이	이/NP
같은	같/VA+은/ETM
이유	이유/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.236.8.4
자칫 박 전 대표의 발언에 ‘국정 비협조’라는 꼬리표가 붙을 수 있기 때문이다.

자칫	자칫/MAG
박	박/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
발언에	발언/NNG+에/JKB
‘국정	‘/SS+국정/NNG
비협조’라는	비/XPN+협조/NNG+’/SS+이/VCP+라는/ETM
꼬리표가	꼬리표/NNG+가/JKS
붙을	붙/VV+을/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.236.8.5
○박근혜 ‘직격탄’의 뿌리는

○박근혜	○/SW+박근혜/NNP
‘직격탄’의	‘/SS+직격탄/NNG+’/SS+의/JKG
뿌리는	뿌리/NNG+는/JX


# id : NWRW1800000021.236.9.1
박 전 대표의 측근들은 한결같이 “박 전 대표가 이명박 정부의 성공을 바라고 있고 이를 위해 자신이 몸을 낮추는 것이 성공을 돕는 길이라고 생각하고 있다”고 전한다.

박	박/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
측근들은	측근/NNG+들/XSN+은/JX
한결같이	한결같이/MAG
“박	“/SS+박/NNP
대표가	대표/NNG+가/JKS
이명박	이명박/NNP
정부의	정부/NNG+의/JKG
성공을	성공/NNG+을/JKO
바라고	바라/VV+고/EC
있고	있/VX+고/EC
이를	이/NP+를/JKO
위해	위하/VV+아/EC
자신이	자신/NNG+이/JKS
몸을	몸/NNG+을/JKO
낮추는	낮추/VV+는/ETM
것이	것/NNB+이/JKS
돕는	돕/VV+는/ETM
길이라고	길/NNG+이/VCP+라고/EC
생각하고	생각/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
전한다.	전하/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.236.9.2
그러나 이들은 박 전 대표가 이 대통령과 당 지도부를 기본적으로 불신하고 있다는 사실은 부인하지 않는다.

그러나	그러나/MAJ
이들은	이/NP+들/XSN+은/JX
박	박/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
이	이/NNP
대통령과	대통령/NNG+과/JC
당	당/NNG
지도부를	지도부/NNG+를/JKO
기본적으로	기본/NNG+적/XSN+으로/JKB
불신하고	불신/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
사실은	사실/NNG+은/JX
부인하지	부인/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000021.236.10.1
4월 재·보선 이후 쇄신 논란이 불거졌을 때 화합형 원내대표 추대 움직임에 대해 박 전 대표가 “국정과 당 운영의 실패를 계파 갈등의 탓으로 돌리고 있다”는 취지로 말한 것도 같은 맥락이다.

4월	4/SN+월/NNB
재·보선	재·보선/NNG
이후	이후/NNG
쇄신	쇄신/NNG
논란이	논란/NNG+이/JKS
불거졌을	불거지/VV+었/EP+을/ETM
때	때/NNG
화합형	화합/NNG+형/XSN
원내대표	원내/NNG+대표/NNG
추대	추대/NNG
움직임에	움직임/NNG+에/JKB
대해	대하/VV+아/EC
박	박/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
“국정과	“/SS+국정/NNG+과/JC
당	당/NNG
운영의	운영/NNG+의/JKG
실패를	실패/NNG+를/JKO
계파	계파/NNG
갈등의	갈등/NNG+의/JKG
탓으로	탓/NNG+으로/JKB
돌리고	돌리/VV+고/EC
있다”는	있/VX+다/EF+”/SS+는/ETM
취지로	취지/NNG+로/JKB
말한	말/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
같은	같/VA+은/ETM
맥락이다.	맥락/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.236.10.2
박 전 대표가 막판에 미디어법 직권상정에 제동을 건 것 또한 이명박 정부를 국정의 동반자로 생각하지 않는 인식과 궤를 같이한다.

박	박/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
막판에	막판/NNG+에/JKB
미디어법	미디어법/NNG
직권상정에	직권/NNG+상정/NNG+에/JKB
제동을	제동/NNG+을/JKO
건	걸/VV+ㄴ/ETM
것	것/NNB
또한	또한/MAG
이명박	이명박/NNP
정부를	정부/NNG+를/JKO
국정의	국정/NNG+의/JKG
동반자로	동반자/NNG+로/JKB
생각하지	생각/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
인식과	인식/NNG+과/JC
궤를	궤/NNG+를/JKO
같이한다.	같이/MAG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.236.10.3
최근 여권에서 제기되는 충청권 총리설과 자유선진당에 대한 러브콜이 박 전 대표와 어떤 논의도 거치지 않은 것을 이번 파동과 연결하는 시각도 없지 않다.

최근	최근/NNG
여권에서	여권/NNG+에서/JKB
제기되는	제기/NNG+되/XSV+는/ETM
충청권	충청/NNP+권/XSN
총리설과	총리/NNG+설/NNG+과/JC
자유선진당에	자유선진당/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
러브콜이	러브콜/NNG+이/JKS
박	박/NNP
전	전/MMD
대표와	대표/NNG+와/JKB
어떤	어떤/MMD
논의도	논의/NNG+도/JX
거치지	거치/VV+지/EC
않은	않/VX+은/ETM
것을	것/NNB+을/JKO
이번	이번/NNG
파동과	파동/NNG+과/JKB
연결하는	연결/NNG+하/XSV+는/ETM
시각도	시각/NNG+도/JX
없지	없/VA+지/EC
않다.	않/VX+다/EF+./SF


