# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.81
metadata : {}


# id : NWRW1800000041.81.1.1
[사회공헌 Together]인니 청년에 정비 가르치고, 아프리카 주민 자립 도와

[사회공헌	[/SS+사회/NNG+공헌/NNG
이	이/MMD
드림센터는	드림센터/NNP+는/JX
약	약/MMA
1716m²	1716/SN+m²/SW
규모	규모/NNG
부지에	부지/NNG+에/JKB
교실,	교실/NNG+,/SP
컴퓨터실,	컴퓨터실/NNG+,/SP
엔진	엔진/NNG
워크숍,	워크숍/NNG+,/SP
페인팅숍	페인팅/NNG+숍/NNG
등을	등/NNB+을/JKO
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.81.6.4
초중급, 중급, 고급 등 3개 교육과정으로 구성된 7개월 과정에서 자동차 정비 기술을 가르치고 창업을 지원해준다.

초중급,	초중급/NNG+,/SP
중급,	중급/NNG+,/SP
고급	고급/NNG
등	등/NNB
3개	3/SN+개/NNB
교육과정으로	교육/NNG+과정/NNG+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
7개월	7/SN+개월/NNB
과정에서	과정/NNG+에서/JKB
자동차	자동차/NNG
정비	정비/NNG
기술을	기술/NNG+을/JKO
가르치고	가르치/VV+고/EC
창업을	창업/NNG+을/JKO
지원해준다.	지원/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.81.7.1
현대차는 졸업생들을 대상으로 창업을 위한 소액 대출 프로그램을 운영할 계획이다.

현대차는	현대차/NNP+는/JX
졸업생들을	졸업/NNG+생/XSN+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
창업을	창업/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
소액	소액/NNG
대출	대출/NNG
프로그램을	프로그램/NNG+을/JKO
운영할	운영/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.81.7.2
현지에 있는 현대차 대리점에서 졸업생 일부를 채용하기도 할 방침이다.

현지에	현지/NNG+에/JKB
있는	있/VA+는/ETM
현대차	현대차/NNP
대리점에서	대리점/NNG+에서/JKB
졸업생	졸업/NNG+생/XSN
일부를	일부/NNG+를/JKO
채용하기도	채용/NNG+하/XSV+기/ETN+도/JX
할	하/VX+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.81.8.1
기아차는 지난달 아프리카 모잠비크 헬레네 지역에서 ‘그린 라이트 프로젝트’의 시작을 알리는 행사를 열었다.

기아차는	기아차/NNP+는/JX
지난달	지난달/NNG
아프리카	아프리카/NNP
모잠비크	모잠비크/NNP
헬레네	헬레네/NNP
지역에서	지역/NNG+에서/JKB
‘그린	‘/SS+그린/NNG
라이트	라이트/NNG
프로젝트’의	프로젝트/NNG+’/SS+의/JKG
시작을	시작/NNG+을/JKO
알리는	알리/VV+는/ETM
행사를	행사/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.81.8.2
헬레네는 주민 대다수가 의료 및 교육의 혜택을 전혀 받지 못하고 있는 아프리카의 대표적인 빈곤 지역이다.

헬레네는	헬레네/NNP+는/JX
주민	주민/NNG
대다수가	대/XPN+다수/NNG+가/JKS
의료	의료/NNG
및	및/MAG
교육의	교육/NNG+의/JKG
혜택을	혜택/NNG+을/JKO
전혀	전혀/MAG
받지	받/VV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
아프리카의	아프리카/NNP+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
빈곤	빈곤/NNG
지역이다.	지역/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.81.8.3
임신부를 자전거에 태워 병원으로 데려갈 정도다.

임신부를	임신부/NNG+를/JKO
자전거에	자전거/NNG+에/JKB
태워	태우/VV+어/EC
병원으로	병원/NNG+으로/JKB
데려갈	데려가/VV+ㄹ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.81.8.4
이렇게 열악한 환경에서 기아차는 우선 헬레네에 프로젝트의 거점 역할을 할 중등학교를 건립하고 등교, 이동 진료, 자립 지원 등의 용도로 개조된 봉고트럭 3대를 제공할 계획이다.

이렇게	이렇/VA+게/EC
열악한	열악하/VA+ㄴ/ETM
환경에서	환경/NNG+에서/JKB
기아차는	기아차/NNP+는/JX
우선	우선/MAG
헬레네에	헬레네/NNP+에/JKB
프로젝트의	프로젝트/NNG+의/JKG
거점	거점/NNG
역할을	역할/NNG+을/JKO
할	하/VV+ㄹ/ETM
중등학교를	중등학교/NNG+를/JKO
건립하고	건립/NNG+하/XSV+고/EC
등교,	등교/NNG+,/SP
이동	이동/NNG
진료,	진료/NNG+,/SP
자립	자립/NNG
지원	지원/NNG
등의	등/NNB+의/JKG
용도로	용도/NNG+로/JKB
개조된	개조/NNG+되/XSV+ㄴ/ETM
봉고트럭	봉고/NNP+트럭/NNG
3대를	3/SN+대/NNB+를/JKO
제공할	제공/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.81.8.5
기아차는 단순히 인프라를 제공하는 자선적 차원을 넘어 5년간 지속적 지원을 통해 주민들의 자립을 도울 계획이다.

기아차는	기아차/NNP+는/JX
단순히	단순히/MAG
인프라를	인프라/NNG+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
자선적	자선/NNG+적/XSN
차원을	차원/NNG+을/JKO
넘어	넘/VV+어/EC
5년간	5/SN+년/NNB+간/XSN
지속적	지속/NNG+적/XSN
지원을	지원/NNG+을/JKO
통해	통하/VV+아/EC
주민들의	주민/NNG+들/XSN+의/JKG
자립을	자립/NNG+을/JKO
도울	돕/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.81.9.1
현대차그룹의 대표 사회공헌 프로그램으로 자리 잡은 ‘기프트카 캠페인’은 업종 전문성을 살린 참신한 시도로 주목을 받아왔다.

현대차그룹의	현대차그룹/NNP+의/JKG
대표	대표/NNG
사회공헌	사회/NNG+공헌/NNG
프로그램으로	프로그램/NNG+으로/JKB
자리	자리/NNG
잡은	잡/VV+은/ETM
‘기프트카	‘/SS+기프트카/NNG
캠페인’은	캠페인/NNG+’/SS+은/JX
업종	업종/NNG
전문성을	전문/NNG+성/XSN+을/JKO
살린	살리/VV+ㄴ/ETM
참신한	참신하/VA+ㄴ/ETM
시도로	시도/NNG+로/JKB
주목을	주목/NNG+을/JKO
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.81.9.2
지난해엔 2012년보다 20대 늘린 50대의 기프트카를 저소득·취약계층에 선물했다.

지난해엔	지난해/NNG+에/JKB+ㄴ/JX
2012년보다	2012/SN+년/NNB+보다/JKB
20대	20/SN+대/NNB
늘린	늘리/VV+ㄴ/ETM
50대의	50/SN+대/NNB+의/JKG
기프트카를	기프트카/NNG+를/JKO
저소득·취약계층에	저/XPN+소득/NNG+·/SP+취약/NNG+계층/NNG+에/JKB
선물했다.	선물/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.81.10.1
기프트카 주인공으로 선정되면 현대차 ‘포터’와 ‘스타렉스’, 기아차 ‘봉고’와 ‘레이’ 중 창업 계획에 가장 적합한 차종을 지원받는다.

기프트카	기프트카/NNG
주인공으로	주인공/NNG+으로/JKB
선정되면	선정/NNG+되/XSV+면/EC
현대차	현대차/NNP
‘포터’와	‘/SS+포터/NNP+’/SS+와/JC
‘스타렉스’,	‘/SS+스타렉스/NNP+’/SS+,/SP
기아차	기아차/NNP
‘봉고’와	‘/SS+봉고/NNP+’/SS+와/JC
‘레이’	‘/SS+레이/NNP+’/SS
중	중/NNB
창업	창업/NNG
계획에	계획/NNG+에/JKB
가장	가장/MAG
적합한	적합/NNG+하/XSA+ㄴ/ETM
차종을	차종/NNG+을/JKO
지원받는다.	지원/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000041.81.10.2
차량 등록에 필요한 세금과 보험료는 최대 250만 원까지 현대차그룹이 부담하고 창업자금도 지원해준다.

차량	차량/NNG
등록에	등록/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
세금과	세금/NNG+과/JC
보험료는	보험료/NNG+는/JX
최대	최대/NNG
250만	250/SN+만/NR
원까지	원/NNB+까지/JX
현대차그룹이	현대차그룹/NNP+이/JKS
부담하고	부담/NNG+하/XSV+고/EC
창업자금도	창업/NNG+자금/NNG+도/JX
지원해준다.	지원/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF


