# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.231
metadata : {}


# id : NWRW1800000037.231.1.1
재주는 투수가 부리고, 돈은 타자가 벌었다

재주는	재주/NNG+는/JX
4명을	4/SN+명/NNB+을/JKO
뺀	빼/VV+ㄴ/ETM
나머지	나머지/NNG
선수와는	선수/NNG+와/JKB+는/JX
재계약을	재/XPN+계약/NNG+을/JKO
마무리	마무리/NNG
지었다.	짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.231.5.1
올해 연봉 재계약에서는 넥센을 제외한 7개 구단이 타자보다는 투수들에게 더 후한 대접을 해줬다.

올해	올해/NNG
연봉	연봉/NNG
재계약에서는	재/XPN+계약/NNG+에서/JKB+는/JX
넥센을	넥센/NNP+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
7개	7/SN+개/NNB
구단이	구단/NNG+이/JKS
타자보다는	타자/NNG+보다/JKB+는/JX
투수들에게	투수/NNG+들/XSN+에게/JKB
더	더/MAG
후한	후하/VA+ㄴ/ETM
대접을	대접/NNG+을/JKO
해줬다.	하/VV+아/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.231.5.2
두산은 새로운 에이스로 떠오른 노경은의 연봉을 지난해보다 무려 191%나 인상해줬다.

두산은	두산/NNP+은/JX
새로운	새롭/VA+ㄴ/ETM
에이스로	에이스/NNG+로/JKB
떠오른	떠오르/VV+ㄴ/ETM
노경은의	노경은/NNP+의/JKG
연봉을	연봉/NNG+을/JKO
지난해보다	지난해/NNG+보다/JKB
무려	무려/MAG
191%나	191/SN+%/SW+나/JX
인상해줬다.	인상/NNG+하/XSV+아/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.231.5.3
SK도 투수 윤희상에게 팀 내 최고인 188.9%의 인상률을 안겨줬다.

SK도	SK/SL+도/JX
투수	투수/NNG
윤희상에게	윤희상/NNP+에게/JKB
팀	팀/NNG
내	내/NNB
최고인	최고/NNG+이/VCP+ㄴ/ETM
188.9%의	188/SN+./SP+9/SN+%/SW+의/JKG
인상률을	인상/NNG+률/XSN+을/JKO
안겨줬다.	안기/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.231.6.1
지난해 돌풍을 일으켰던 넥센의 투수 박성훈과 한현희도 연봉 인상률에서 100%를 넘겼지만 지난 시즌 최우수선수(MVP) 박병호와 신인왕 서건창을 넘어서기에는 역부족이었다.

지난해	지난해/NNG
돌풍을	돌풍/NNG+을/JKO
일으켰던	일으키/VV+었/EP+던/ETM
넥센의	넥센/NNP+의/JKG
투수	투수/NNG
박성훈과	박성훈/NNP+과/JC
한현희도	한현희/NNP+도/JX
연봉	연봉/NNG
인상률에서	인상/NNG+률/XSN+에서/JKB
100%를	100/SN+%/SW+를/JKO
넘겼지만	넘기/VV+었/EP+지만/EC
지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
최우수선수(MVP)	최/XPN+우수/NNG+선수/NNG+(/SS+MVP/SL+)/SS
박병호와	박병호/NNP+와/JC
신인왕	신인왕/NNG
서건창을	서건창/NNP+을/JKO
넘어서기에는	넘어서/VV+기/ETN+에/JKB+는/JX
역부족이었다.	역부족/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.231.6.2
박병호와 서건창은 각각 254.8%와 220.8%가 인상돼 프로야구 선수 전체 연봉 인상률에서 나란히 1, 2위에 올랐다.

박병호와	박병호/NNP+와/JC
서건창은	서건창/NNP+은/JX
각각	각각/MAG
254.8%와	254/SN+./SP+8/SN+%/SW+와/JC
220.8%가	220/SN+./SP+8/SN+%/SW+가/JKS
인상돼	인상/NNG+되/XSV+어/EC
프로야구	프로/NNG+야구/NNG
선수	선수/NNG
전체	전체/NNG
연봉	연봉/NNG
인상률에서	인상/NNG+률/XSN+에서/JKB
나란히	나란히/MAG
1,	1/SN+,/SP
2위에	2/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.231.7.1
연봉 액수에서 가장 많이 오른 선수 역시 롯데와 넥센을 제외하고는 7개 구단 모두 투수들이 차지했다.

연봉	연봉/NNG
액수에서	액수/NNG+에서/JKB
가장	가장/MAG
많이	많이/MAG
오른	오르/VV+ㄴ/ETM
선수	선수/NNG
역시	역시/MAG
롯데와	롯데/NNP+와/JC
넥센을	넥센/NNP+을/JKO
제외하고는	제외/NNG+하/XSV+고/EC+는/JX
7개	7/SN+개/NNB
구단	구단/NNG
모두	모두/MAG
투수들이	투수/NNG+들/XSN+이/JKS
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.231.7.2
경기장을 지배하고 있는 ‘투고타저(投高打低)’ 현상이 연봉 협상 무대에서도 위력을 떨친 것이다.

경기장을	경기장/NNG+을/JKO
지배하고	지배/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
‘투고타저(投高打低)’	‘/SS+투고타저/NNG+(/SS+投高打低/SH+)/SS+’/SS
현상이	현상/NNG+이/JKS
연봉	연봉/NNG
협상	협상/NNG
무대에서도	무대/NNG+에서/JKB+도/JX
위력을	위력/NNG+을/JKO
떨친	떨치/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.231.8.1
반대로 각 구단의 최고 연봉 선수는 넥센의 김병현을 제외하고는 모두 타자들이 차지했다.

반대로	반대/NNG+로/JKB
각	각/MMD
구단의	구단/NNG+의/JKG
최고	최고/NNG
연봉	연봉/NNG
선수는	선수/NNG+는/JX
넥센의	넥센/NNP+의/JKG
김병현을	김병현/NNP+을/JKO
제외하고는	제외/NNG+하/XSV+고/EC+는/JX
모두	모두/MAG
타자들이	타자/NNG+들/XSN+이/JKS
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.231.8.2
한화의 김태균과 삼성의 이승엽, 두산의 김동주는 프로야구 전체 연봉 순위에서 1, 2, 3위를 각각 차지했다.

한화의	한화/NNP+의/JKG
김태균과	김태균/NNP+과/JKB
삼성의	삼성/NNP+의/JKG
이승엽,	이승엽/NNP+,/SP
두산의	두산/NNP+의/JKG
김동주는	김동주/NNP+는/JX
프로야구	프로/NNG+야구/NNG
전체	전체/NNG
연봉	연봉/NNG
순위에서	순위/NNG+에서/JKB
1,	1/SN+,/SP
2,	2/SN+,/SP
3위를	3/SN+위/NNB+를/JKO
각각	각각/MAG
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.231.8.3
최근 몇 년간 마운드의 강세가 두드러지면서 구단마다 강타자에 대한 수요가 그만큼 커졌기 때문으로 보인다.

최근	최근/MAG
몇	몇/NR
년간	년/NNB+간/XSN
마운드의	마운드/NNG+의/JKG
강세가	강세/NNG+가/JKS
두드러지면서	두드러지/VV+면서/EC
구단마다	구단/NNG+마다/JX
강타자에	강타자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
수요가	수요/NNG+가/JKS
그만큼	그만큼/MAG
커졌기	커지/VV+었/EP+기/ETN
때문으로	때문/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.231.9.1
한편 올 시즌이 끝난 뒤 자유계약 선수로 풀리는 선수를 구단들이 놓치지 않기 위해 올해 연봉을 크게 인상해 줄 거라는 이른바 ‘FA 효과’는 예상만큼 크지 않았던 것으로 나타났다.

한편	한편/MAG
올	올/NNG
시즌이	시즌/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
자유계약	자유/NNG+계약/NNG
선수로	선수/NNG+로/JKB
풀리는	풀리/VV+는/ETM
선수를	선수/NNG+를/JKO
구단들이	구단/NNG+들/XSN+이/JKS
놓치지	놓치/VV+지/EC
않기	않/VX+기/ETN
위해	위하/VV+아/EC
올해	올해/NNG
연봉을	연봉/NNG+을/JKO
크게	크/VA+게/EC
인상해	인상/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
거라는	거/NNB+이/VCP+라는/ETM
이른바	이른바/MAG
‘FA	‘/SS+FA/SL
효과’는	효과/NNG+’/SS+는/JX
예상만큼	예상/NNG+만큼/JKB
크지	크/VA+지/EC
않았던	않/VX+았/EP+던/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.231.9.2
롯데 강민호의 연봉만 지난해보다 2억5000만 원 인상됐을 뿐 나머지 예비 FA 선수들은 인상액이 2억 원을 넘지 못했다.

롯데	롯데/NNP
강민호의	강민호/NNP+의/JKG
연봉만	연봉/NNG+만/JX
지난해보다	지난해/NNG+보다/JKB
2억5000만	2/SN+억/NR+5000/SN+만/NR
원	원/NNB
인상됐을	인상/NNG+되/XSV+었/EP+을/ETM
뿐	뿐/NNB
나머지	나머지/NNG
예비	예비/NNG
FA	FA/SL
선수들은	선수/NNG+들/XSN+은/JX
인상액이	인상액/NNG+이/JKS
2억	2/SN+억/NR
원을	원/NNB+을/JKO
넘지	넘/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


