# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.353
metadata : {}


# id : NWRW1800000021.353.1.1
‘노사 이면합의’ 금융공기업 CEO 해임

‘노사	‘/SS+노사/NNG
측에	측/NNB+에/JKB
요구한	요구/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
확인된	확인/NNG+되/XSV+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.353.3.1
▶본보 28일자 A1면 참조

▶본보	▶/SW+본보/NNG
28일자	28/SN+일/NNB+자/NNG
A1면	A/SL+1/SN+면/NNG
참조	참조/NNG


# id : NWRW1800000021.353.4.1
공공기관 선진화의 주무부처인 재정부 관계자는 28일 “최근 노사협상을 끝내고 임금삭감 방안을 확정 발표한 금융 공기업 전체의 합의사항을 여러 경로로 확인해 이면계약 사실이 드러나면 강력히 징계할 방침”이라고 밝혔다.

공공기관	공공/NNG+기관/NNG
선진화의	선진/NNG+화/XSN+의/JKG
주무부처인	주무/NNG+부처/NNG+이/VCP+ㄴ/ETM
재정부	재정부/NNG
관계자는	관계자/NNG+는/JX
28일	28/SN+일/NNB
“최근	“/SS+최근/MAG
노사협상을	노사/NNG+협상/NNG+을/JKO
끝내고	끝내/VV+고/EC
임금삭감	임금/NNG+삭감/NNG
방안을	방안/NNG+을/JKO
확정	확정/NNG
발표한	발표/NNG+하/XSV+ㄴ/ETM
금융	금융/NNG
공기업	공기업/NNG
전체의	전체/NNG+의/JKG
합의사항을	합의/NNG+사항/NNG+을/JKO
여러	여러/MMN
경로로	경로/NNG+로/JKB
확인해	확인/NNG+하/XSV+아/EC
이면계약	이면/NNG+계약/NNG
사실이	사실/NNG+이/JKS
드러나면	드러나/VV+면/EC
강력히	강력히/MAG
징계할	징계/NNG+하/XSV+ㄹ/ETM
방침”이라고	방침/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.353.5.1
금융 공기업은 산업은행, 기업은행, 수출입은행, 신용보증기금, 기술보증기금, 자산관리공사, 예금보험공사 등 18곳이다.

금융	금융/NNG
공기업은	공기업/NNG+은/JX
산업은행,	산업은행/NNP+,/SP
기업은행,	기업은행/NNP+,/SP
수출입은행,	수출입은행/NNP+,/SP
신용보증기금,	신용보증기금/NNP+,/SP
기술보증기금,	기술/NNG+보증/NNG+기금/NNG+,/SP
자산관리공사,	자산관리공사/NNP+,/SP
예금보험공사	예금보험공사/NNP
등	등/NNB
18곳이다.	18/SN+곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.353.5.2
원래 임금 수준이 낮은 일부를 뺀 대부분의 공기업이 경제위기 극복과 일자리 창출에 동참한다는 취지에서 5% 안팎의 임금삭감을 발표한 반면 예보는 노사간의 의견 차이가 커 합의안을 내지 못하고 있다.

원래	원래/MAG
임금	임금/NNG
수준이	수준/NNG+이/JKS
낮은	낮/VA+은/ETM
일부를	일부/NNG+를/JKO
뺀	빼/VV+ㄴ/ETM
대부분의	대/XPN+부분/NNG+의/JKG
공기업이	공기업/NNG+이/JKS
경제위기	경제/NNG+위기/NNG
극복과	극복/NNG+과/JC
일자리	일자리/NNG
창출에	창출/NNG+에/JKB
동참한다는	동참/NNG+하/XSV+ㄴ다는/ETM
취지에서	취지/NNG+에서/JKB
5%	5/SN+%/SW
안팎의	안팎/NNG+의/JKG
임금삭감을	임금/NNG+삭감/NNG+을/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
반면	반면/NNG
예보는	예보/NNP+는/JX
노사간의	노사/NNG+간/NNB+의/JKG
의견	의견/NNG
차이가	차이/NNG+가/JKS
커	크/VA+어/EC
합의안을	합의안/NNG+을/JKO
내지	내/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.353.6.1
재정부는 최고경영자(CEO)와 노조의 이면계약이 공기업 부조리의 가장 큰 원인이었던 만큼 이면계약을 한 사실이 확인되면 단순 주의나 경고를 넘어 해당 공기업 CEO의 해임 절차를 밟을 방침이다.

재정부는	재정부/NNG+는/JX
최고경영자(CEO)와	최고/NNG+경영자/NNG+(/SS+CEO/SL+)/SS+와/JC
노조의	노조/NNG+의/JKG
이면계약이	이면/NNG+계약/NNG+이/JKS
공기업	공기업/NNG
부조리의	부/XPN+조리/NNG+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
원인이었던	원인/NNG+이/VCP+었/EP+던/ETM
만큼	만큼/NNB
이면계약을	이면/NNG+계약/NNG+을/JKO
한	하/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
확인되면	확인/NNG+되/XSV+면/EC
단순	단순/NNG
주의나	주의/NNG+나/JC
경고를	경고/NNG+를/JKO
넘어	넘/VV+어/EC
해당	해당/NNG
CEO의	CEO/SL+의/JKG
해임	해임/NNG
절차를	절차/NNG+를/JKO
밟을	밟/VV+을/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.353.6.2
감사원도 탈법적인 노사협약 때문에 공공기관이 방만하게 운영되는 사례가 드러나면 경영진에 대한 해임요구권을 적극 행사할 방침이라고 밝힌 바 있다.

감사원도	감사원/NNG+도/JX
탈법적인	탈법/NNG+적/XSN+이/VCP+ㄴ/ETM
노사협약	노사/NNG+협약/NNG
때문에	때문/NNB+에/JKB
공공기관이	공공/NNG+기관/NNG+이/JKS
방만하게	방만하/VA+게/EC
운영되는	운영/NNG+되/XSV+는/ETM
사례가	사례/NNG+가/JKS
드러나면	드러나/VV+면/EC
경영진에	경영진/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
해임요구권을	해임/NNG+요구/NNG+권/XSN+을/JKO
적극	적극/NNG
행사할	행사/NNG+하/XSV+ㄹ/ETM
방침이라고	방침/NNG+이/VCP+라고/EC
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


