# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.122
metadata : {}


# id : NWRW1800000033.122.1.1
외국 사진집-그림책 번역본 해외서 인쇄해 오는 이유는

외국	외국/NNG
# id : NWRW1800000033.122.5.2
이 때문에 출판사 측이 초판부터 5000∼1만 부씩 대량 주문하는 경우가 많다.

이	이/NP
때문에	때문/NNB+에/JKB
출판사	출판사/NNG
측이	측/NNB+이/JKS
초판부터	초판/NNG+부터/JX
5000∼1만	5000/SN+∼/SO+1/SN+만/NR
부씩	부/NNB+씩/XSN
대량	대량/NNG
주문하는	주문/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000033.122.5.3
재고량이 떨어질 경우 재주문하는 데도 수개월이 걸릴 수 있기 때문에 1년치를 미리 주문하는 것이다.

재고량이	재고량/NNG+이/JKS
떨어질	떨어지/VV+ㄹ/ETM
경우	경우/NNG
재주문하는	재/XPN+주문/NNG+하/XSV+는/ETM
데도	데/NNB+도/JX
수개월이	수개월/NNG+이/JKS
걸릴	걸리/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
1년치를	1/SN+년/NNB+치/NNB+를/JKO
미리	미리/MAG
주문하는	주문/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.122.6.1
‘고릴라’ 그림으로 유명한 영국의 동화 작가 앤서니 브라운의 작품도 전량 해외에서 인쇄한다.

‘고릴라’	‘/SS+고릴라/NNG+’/SS
그림으로	그림/NNG+으로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
영국의	영국/NNP+의/JKG
동화	동화/NNG
작가	작가/NNG
앤서니	앤서니/NNP
브라운의	브라운/NNP+의/JKG
작품도	작품/NNG+도/JX
전량	전량/NNG
해외에서	해외/NNG+에서/JKB
인쇄한다.	인쇄/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.122.6.2
특히 입체 그림책인 팝업북은 제작 설계 노하우를 공개하지 않기 위해 해외에서 제작까지 전부 해오는 경우가 많다.

특히	특히/MAG
입체	입체/NNG
그림책인	그림책/NNG+이/VCP+ㄴ/ETM
팝업북은	팝업/NNG+북/NNG+은/JX
제작	제작/NNG
설계	설계/NNG
노하우를	노하우/NNG+를/JKO
공개하지	공개/NNG+하/XSV+지/EC
않기	않/VX+기/ETN
위해	위하/VV+아/EC
해외에서	해외/NNG+에서/JKB
제작까지	제작/NNG+까지/JX
전부	전부/MAG
해오는	하/VV+아/EC+오/VX+는/ETM
경우가	경우/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000033.122.6.3
정가 3만 원인 로버트 사부다의 팝업북 ‘용과 괴물들이 펼치는 전설의 세계’(비룡소)도 해외에서 제작됐으며 초판을 1만 부 이상 주문했다.

정가	정가/NNG
3만	3/SN+만/NR
원인	원/NNB+이/VCP+ㄴ/ETM
로버트	로버트/NNP
사부다의	사부다/NNP+의/JKG
팝업북	팝업/NNG+북/NNG
‘용과	‘/SS+용/NNG+과/JC
괴물들이	괴물/NNG+들/XSN+이/JKS
펼치는	펼치/VV+는/ETM
전설의	전설/NNG+의/JKG
세계’(비룡소)도	세계/NNG+’/SS+(/SS+비룡소/NNP+)/SS+도/JX
해외에서	해외/NNG+에서/JKB
제작됐으며	제작/NNG+되/XSV+었/EP+으며/EC
초판을	초판/NNG+을/JKO
1만	1/SN+만/NR
부	부/NNB
이상	이상/NNG
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.122.6.4
이 밖에 ‘1900년 이후의 미술사’(세미콜론) ‘아트 앤드 아이디어’(한길사)처럼 도판이 중요한 미술책도 해외에서 인쇄해 수입하는 경우가 늘고 있다.

이	이/NP
밖에	밖/NNG+에/JKB
‘1900년	‘/SS+1900/SN+년/NNB
이후의	이후/NNG+의/JKG
미술사’(세미콜론)	미술사/NNG+’/SS+(/SS+세미콜론/NNP+)/SS
‘아트	‘/SS+아트/NNP
앤드	앤드/NNP
아이디어’(한길사)처럼	아이디어/NNP+’/SS+(/SS+한길사/NNP+)/SS+처럼/JKB
도판이	도판/NNG+이/JKS
중요한	중요/NNG+하/XSA+ㄴ/ETM
미술책도	미술책/NNG+도/JX
해외에서	해외/NNG+에서/JKB
인쇄해	인쇄/NNG+하/XSV+아/EC
수입하는	수입/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.122.7.1
출판계에서는 해외 유명 출판사가 일부 국가에서 일어나는 번역판 판매부수 조작을 막기 위해 직접 인쇄 및 제작에 나섰다는 분석도 나온다.

출판계에서는	출판/NNG+계/XSN+에서/JKB+는/JX
해외	해외/NNG
유명	유명/NNG
출판사가	출판사/NNG+가/JKS
일부	일부/NNG
국가에서	국가/NNG+에서/JKB
일어나는	일어나/VV+는/ETM
번역판	번역판/NNG
판매부수	판매/NNG+부수/NNG
조작을	조작/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
직접	직접/MAG
인쇄	인쇄/NNG
및	및/MAG
제작에	제작/NNG+에/JKB
나섰다는	나서/VV+었/EP+다는/ETM
분석도	분석/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.122.7.2
신혜영 웅진주니어 에디터는 “예전엔 팝업북처럼 제작이 어려운 동화책만 직접 인쇄했는데, 요즘에는 일반적인 그림책까지도 해외 출판사가 직접 인쇄하는 경우가 늘고 있다”며 “유명 출판사들이 저작권 인세를 확실히 관리하기 위해서가 아닌가 싶다”고 말했다.

신혜영	신혜영/NNP
웅진주니어	웅진주니어/NNP
에디터는	에디터/NNG+는/JX
“예전엔	“/SS+예전/NNG+에/JKB+ㄴ/JX
팝업북처럼	팝업/NNG+북/NNG+처럼/JKB
제작이	제작/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
동화책만	동화책/NNG+만/JX
직접	직접/MAG
인쇄했는데,	인쇄/NNG+하/XSV+았/EP+는데/EC+,/SP
요즘에는	요즘/NNG+에/JKB+는/JX
일반적인	일반/NNG+적/XSN+이/VCP+ㄴ/ETM
그림책까지도	그림책/NNG+까지/JX+도/JX
해외	해외/NNG
출판사가	출판사/NNG+가/JKS
인쇄하는	인쇄/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
늘고	늘/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“유명	“/SS+유명/NNG
출판사들이	출판사/NNG+들/XSN+이/JKS
저작권	저작/NNG+권/XSN
인세를	인세/NNG+를/JKO
확실히	확실히/MAG
관리하기	관리/NNG+하/XSV+기/ETN
위해서가	위하/VV+아서/EC+가/JKC
아닌가	아니/VCN+ㄴ가/EF
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


