# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.72
metadata : {}


# id : NWRW1800000037.72.1.1
“국제결혼, 정부가 엄격히 관리… 한국어 능력 갖추도록 규제를”

“국제결혼,	“/SS+국제결혼/NNG+,/SP
많은 젊은 베트남 여성이 낯선 외국인과 결혼한 뒤 생활능력이 없는 것을 알게 되는 것도 이 때문이다.

많은	많/VA+은/ETM
젊은	젊/VA+은/ETM
베트남	베트남/NNP
여성이	여성/NNG+이/JKS
낯선	낯설/VA+ㄴ/ETM
외국인과	외국인/NNG+과/JKB
결혼한	결혼/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
생활능력이	생활/NNG+능력/NNG+이/JKS
없는	없/VA+는/ETM
것을	것/NNB+을/JKO
알게	알/VV+게/EC
되는	되/VV+는/ETM
것도	것/NNB+도/JX
이	이/NP
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.72.6.1
그는 결혼이 가난 탈출을 위한 수단이 되는 한편으로 결혼이주여성이 남편 국가에 대한 이해가 부족한 상태에서 무작정 출국하는 것도 문제라고 했다.

그는	그/NP+는/JX
결혼이	결혼/NNG+이/JKS
가난	가난/NNG
탈출을	탈출/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
수단이	수단/NNG+이/JKC
되는	되/VV+는/ETM
한편으로	한편/NNG+으로/JKB
결혼이주여성이	결혼/NNG+이주/NNG+여성/NNG+이/JKS
남편	남편/NNG
국가에	국가/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해가	이해/NNG+가/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
무작정	무/XPN+작정/NNG
출국하는	출국/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
문제라고	문제/NNG+이/VCP+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.72.6.2
남편 나라에 제대로 정착하지 못할뿐더러 학대를 당하는 등 위험에 처하기도 쉽기 때문이다.

남편	남편/NNG
나라에	나라/NNG+에/JKB
제대로	제대로/MAG
정착하지	정착/NNG+하/XSV+지/EC
못할뿐더러	못하/VX+ㄹ뿐더러/EC
학대를	학대/NNG+를/JKO
당하는	당하/VV+는/ETM
등	등/NNB
위험에	위험/NNG+에/JKB
처하기도	처하/VV+기/ETN+도/JX
쉽기	쉽/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.72.7.1
그는 “외국인 아내가 한국에 가기 전에 일상생활에 필요한 한국어 능력을 갖추도록 규제해야 한다”며 “그러면 서서히 부부간의 언어장벽을 극복하고 이주여성이 새로운 가족에 통합될 수 있는 기반이 될 수 있다”고 말했다.

그는	그/NP+는/JX
“외국인	“/SS+외국인/NNG
아내가	아내/NNG+가/JKS
한국에	한국/NNP+에/JKB
가기	가/VV+기/ETN
전에	전/NNG+에/JKB
일상생활에	일상생활/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
한국어	한국어/NNP
능력을	능력/NNG+을/JKO
갖추도록	갖추/VV+도록/EC
규제해야	규제/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“그러면	“/SS+그러면/MAJ
서서히	서서히/MAG
부부간의	부부간/NNG+의/JKG
언어장벽을	언어/NNG+장벽/NNG+을/JKO
극복하고	극복/NNG+하/XSV+고/EC
이주여성이	이주/NNG+여성/NNG+이/JKS
새로운	새롭/VA+ㄴ/ETM
가족에	가족/NNG+에/JKB
통합될	통합/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기반이	기반/NNG+이/JKC
될	되/VV+ㄹ/ETM
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


