# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.19
metadata : {}


# id : NWRW1800000054.19.1.1
駐러시아 美 대사에 트럼프, 헌츠먼 지명

駐러시아	駐/SH+러시아/NNP
최근에는 러시아가 극비리에 자국 내에 신형 순항미사일을 배치한 사실을 미 국방부가 발견해 새로운 외교 문제로 떠올랐다.

최근에는	최근/NNG+에/JKB+는/JX
러시아가	러시아/NNP+가/JKS
극비리에	극비/NNG+리/XSN+에/JKB
자국	자국/NNG
내에	내/NNB+에/JKB
신형	신형/NNG
순항미사일을	순항/NNG+미사일/NNG+을/JKO
배치한	배치/NNG+하/XSV+ㄴ/ETM
사실을	사실/NNG+을/JKO
미	미/NNP
국방부가	국방부/NNG+가/JKS
발견해	발견/NNG+하/XSV+아/EC
새로운	새롭/VA+ㄴ/ETM
외교	외교/NNG
문제로	문제/NNG+로/JKB
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.19.5.2
미국과 러시아는 1987년 사거리 500㎞에서 5500㎞에 이르는 탄도·순항미사일 생산과 실험, 배치를 금지한 '중거리 핵무기 폐기협정(IRNFT)'을 체결한 바 있다.

미국과	미국/NNP+과/JC
러시아는	러시아/NNP+는/JX
1987년	1987/SN+년/NNB
사거리	사거리/NNG
500㎞에서	500/SN+㎞/SW+에서/JKB
5500㎞에	5500/SN+㎞/SW+에/JKB
이르는	이르/VV+는/ETM
탄도·순항미사일	탄도/NNG+·/SP+순항/NNG+미사일/NNG
생산과	생산/NNG+과/JC
실험,	실험/NNG+,/SP
배치를	배치/NNG+를/JKO
금지한	금지/NNG+하/XSV+ㄴ/ETM
'중거리	'/SS+중거리/NNG
핵무기	핵무기/NNG
폐기협정(IRNFT)'을	폐기/NNG+협정/NNG+(/SS+IRNFT/SL+)/SS+'/SS+을/JKO
체결한	체결/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


