# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.176
metadata : {}


# id : NWRW1800000038.176.1.1
목메는 血肉의 그리움, 北의 가족에 전해지길…

목메는	목메/VV+는/ETM
'이산가족정보통합시스템'에	'/SS+이산가족/NNG+정보/NNG+통합/NNG+시스템/NNG+'/SS+에/JKB
등록한	등록/NNG+하/XSV+ㄴ/ETM
생존자	생존자/NNG
약	약/MMA
7만5000명을	7/SN+만/NR+5000/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
수요	수요/NNG
조사를	조사/NNG+를/JKO
한	하/VV+ㄴ/ETM
결과,	결과/NNG+,/SP
1만6823명이	1/SN+만/NR+6823/SN+명/NNB+이/JKS
영상편지를	영상/NNG+편지/NNG+를/JKO
제작하겠다고	제작/NNG+하/XSV+겠/EP+다고/EC
희망했다.	희망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.176.7.3
이들 가운데 나이와 건강, 가족관계 등을 고려해 우선 영상편지 815편을 제작했다.

이들	이/NP+들/XSN
가운데	가운데/NNG
나이와	나이/NNG+와/JC
건강,	건강/NNG+,/SP
가족관계	가족/NNG+관계/NNG
등을	등/NNB+을/JKO
고려해	고려/NNG+하/XSV+아/EC
우선	우선/MAG
영상편지	영상/NNG+편지/NNG
815편을	815/SN+편/NNB+을/JKO
제작했다.	제작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.176.8.1
홍종순(88)씨는 북에 있는 남편을 몹시 그리워했다.

홍종순(88)씨는	홍종순/NNP+(/SS+88/SN+)/SS+씨/NNB+는/JX
북에	북/NNP+에/JKB
있는	있/VA+는/ETM
남편을	남편/NNG+을/JKO
몹시	몹시/MAG
그리워했다.	그리워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.176.8.2
홍씨는 영상에서 "(북한에서 새로) 장가가서 (북한) 여자랑 살아도, 자식들 많이 낳아 줄줄 달아 와도 나 말 안 한다. 너무 보고 싶다"고 했다.

홍씨는	홍/NNP+씨/NNB+는/JX
영상에서	영상/NNG+에서/JKB
"(북한에서	"/SS+(/SS+북한/NNP+에서/JKB
새로)	새로/MAG+)/SS
장가가서	장가/NNG+가/VV+아서/EC
(북한)	(/SS+북한/NNP+)/SS
여자랑	여자/NNG+랑/JKB
살아도,	살/VV+아도/EC+,/SP
자식들	자식/NNG+들/XSN
많이	많이/MAG
낳아	낳/VV+아/EC
줄줄	줄줄/MAG
달아	달/VV+아/EC
와도	오/VV+아도/EC
나	나/NP
말	말/NNG
안	안/MAG
한다.	하/VV+ㄴ다/EF+./SF
너무	너무/MAG
보고	보/VV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.176.8.3
홍씨의 아들은 "엄마가 혹시 통일돼 아버지가 고향에 찾아오면 집을 못 찾을까 봐 고향을 떠나지 못하고 있다. 옛날 집터에다 집을 두 번이나 바꿔 지어 가면서도 그 터에 살고 있다"고 전했다.

홍씨의	홍/NNP+씨/NNB+의/JKG
아들은	아들/NNG+은/JX
"엄마가	"/SS+엄마/NNG+가/JKS
혹시	혹시/MAG
통일돼	통일/NNG+되/XSV+어/EC
아버지가	아버지/NNG+가/JKS
고향에	고향/NNG+에/JKB
찾아오면	찾아오/VV+면/EC
집을	집/NNG+을/JKO
못	못/MAG
찾을까	찾/VV+을까/EF
봐	보/VV+아/EC
고향을	고향/NNG+을/JKO
떠나지	떠나/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF
옛날	옛날/NNG
집터에다	집터/NNG+에다/JKB
두	두/MMN
번이나	번/NNB+이나/JX
바꿔	바꾸/VV+어/EC
지어	짓/VV+어/EC
가면서도	가/VX+면서/EC+도/JX
그	그/MMD
터에	터/NNG+에/JKB
살고	살/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.176.9.1
김영옥(84)씨에게는 북에 끌려간 아들이 평생 한(恨)으로 남았다.

김영옥(84)씨에게는	김영옥/NNP+(/SS+84/SN+)/SS+씨/NNB+에게/JKB+는/JX
북에	북/NNP+에/JKB
끌려간	끌려가/VV+ㄴ/ETM
아들이	아들/NNG+이/JKS
평생	평생/NNG
한(恨)으로	한/NNG+(/SS+恨/SH+)/SS+으로/JKB
남았다.	남/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.176.9.2
김씨는 "네가 기술 배운다고 할 때 배우게 할걸…. 괜히 이거(오징어) 잡으러 가서…. 네가 (그래서 북한으로) 갔잖느냐"며 울먹였다.

김씨는	김/NNP+씨/NNB+는/JX
"네가	"/SS+네/NP+가/JKS
기술	기술/NNG
배운다고	배우/VV+ㄴ다고/EC
할	하/VV+ㄹ/ETM
때	때/NNG
배우게	배우/VV+게/EC
할걸….	하/VX+ㄹ걸/EF+…/SE+./SF
괜히	괜히/MAG
이거(오징어)	이거/NP+(/SS+오징어/NNG+)/SS
잡으러	잡/VV+으러/EC
가서….	가/VV+아서/EC+…/SE+./SF
네가	네/NP+가/JKS
(그래서	(/SS+그렇/VA+어서/EC
북한으로)	북한/NNP+으로/JKB+)/SS
갔잖느냐"며	가/VV+았/EP+잖느냐/EF+"/SS+며/EC
울먹였다.	울먹이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.176.9.3
김씨의 아들 한흥식(63)씨는 1960년대 강원도 고성에서 오징어잡이를 나갔다가 납북됐다.

김씨의	김/NNP+씨/NNB+의/JKG
아들	아들/NNG
한흥식(63)씨는	한흥식/NNP+(/SS+63/SN+)/SS+씨/NNB+는/JX
1960년대	1960/SN+년대/NNB
강원도	강원도/NNP
고성에서	고성/NNP+에서/JKB
오징어잡이를	오징어잡이/NNG+를/JKO
나갔다가	나가/VV+았/EP+다가/EC
납북됐다.	납북/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.176.9.4
김씨는 영상편지에서 "우리 아들 좀 보내주세요. 보고 싶습니다. 너무 보고 싶습니다"라고 호소했다.

김씨는	김/NNP+씨/NNB+는/JX
영상편지에서	영상/NNG+편지/NNG+에서/JKB
"우리	"/SS+우리/NP
아들	아들/NNG
좀	좀/MAG
보내주세요.	보내/VV+어/EC+주/VX+시/EP+어요/EF+./SF
보고	보/VV+고/EC
싶습니다.	싶/VX+습니다/EF+./SF
너무	너무/MAG
싶습니다"라고	싶/VX+습니다/EF+"/SS+라고/JKQ
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.176.10.1
강홍찬(79)씨는 살아있다면 100세인 어머니 이복길씨와 동생들을 찾고 싶어 했다.

강홍찬(79)씨는	강홍찬/NNP+(/SS+79/SN+)/SS+씨/NNB+는/JX
살아있다면	살/VV+아/EC+있/VX+다면/EC
100세인	100/SN+세/NNB+이/VCP+ㄴ/ETM
어머니	어머니/NNG
이복길씨와	이복길/NNP+씨/NNB+와/JC
동생들을	동생/NNG+들/XSN+을/JKO
찾고	찾/VV+고/EC
싶어	싶/VX+어/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.176.10.2
강씨는 "동생들아. 내가 없더라도 어머니 잘 모시고…. 우리 형제들이 전부 만나서 한 지붕 밑에서 같이 지낼 수 있는 그날을 기원하면서 통일될 그날을 기다리자꾸나. 너희들 오래오래 건강하게 지내길 바랄 뿐이다. 고맙다"고 말했다.

강씨는	강/NNP+씨/NNB+는/JX
"동생들아.	"/SS+동생/NNG+들/XSN+아/JKV+./SF
내가	내/NP+가/JKS
없더라도	없/VA+더라도/EC
어머니	어머니/NNG
잘	잘/MAG
모시고….	모시/VV+고/EC+…/SE+./SF
우리	우리/NP
형제들이	형제/NNG+들/XSN+이/JKS
전부	전부/MAG
만나서	만나/VV+아서/EC
한	한/MMN
지붕	지붕/NNG
밑에서	밑/NNG+에서/JKB
같이	같이/MAG
지낼	지내/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
그날을	그날/NNG+을/JKO
기원하면서	기원/NNG+하/XSV+면서/EC
통일될	통일/NNG+되/XSV+ㄹ/ETM
기다리자꾸나.	기다리/VV+자꾸나/EC+./SF
너희들	너희/NP+들/XSN
오래오래	오래오래/MAG
건강하게	건강/NNG+하/XSA+게/EC
지내길	지내/VV+기/ETN+ㄹ/JKO
바랄	바라/VV+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF
고맙다"고	고맙/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.176.11.1
적십자사는 이번에 제작한 영상편지를 남북 적십자 간 합의를 통해 북에 있는 가족들에게 전달하겠다는 구상이지만, 최근 남북 관계가 경색되면서 상당 기간 '전달되지 못하는 편지'로 남아 있을 공산이 크다.

적십자사는	적십자사/NNP+는/JX
이번에	이번/NNG+에/JKB
제작한	제작/NNG+하/XSV+ㄴ/ETM
영상편지를	영상/NNG+편지/NNG+를/JKO
남북	남북/NNP
적십자	적십자/NNP
간	간/NNB
합의를	합의/NNG+를/JKO
통해	통하/VV+아/EC
북에	북/NNP+에/JKB
있는	있/VA+는/ETM
가족들에게	가족/NNG+들/XSN+에게/JKB
전달하겠다는	전달/NNG+하/XSV+겠/EP+다는/ETM
구상이지만,	구상/NNG+이/VCP+지만/EC+,/SP
최근	최근/NNG
관계가	관계/NNG+가/JKS
경색되면서	경색/NNG+되/XSV+면서/EC
상당	상당/NNG
기간	기간/NNG
'전달되지	'/SS+전달/NNG+되/XSV+지/EC
못하는	못하/VX+는/ETM
편지'로	편지/NNG+'/SS+로/JKB
남아	남/VV+아/EC
있을	있/VX+을/ETM
공산이	공산/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000038.176.11.2
조선중앙통신은 대한적십자사가 이산가족 모습을 담은 영상편지를 제작해 북한에 보내기로 한 것에 대해 작년 12월 "(여당의) 재집권 기도를 위한 유치한 술책"이라고 보도하기도 했다.

조선중앙통신은	조선중앙통신/NNP+은/JX
대한적십자사가	대한적십자사/NNP+가/JKS
이산가족	이산가족/NNG
모습을	모습/NNG+을/JKO
담은	담/VV+은/ETM
영상편지를	영상/NNG+편지/NNG+를/JKO
제작해	제작/NNG+하/XSV+아/EC
북한에	북한/NNP+에/JKB
보내기로	보내/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
작년	작년/NNG
12월	12/SN+월/NNB
"(여당의)	"/SS+(/SS+여당/NNG+의/JKG+)/SS
재집권	재/XPN+집권/NNG
기도를	기도/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
유치한	유치하/VA+ㄴ/ETM
술책"이라고	술책/NNG+"/SS+이라고/JKQ
보도하기도	보도/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.176.12.1
이에 적십자사는 우선 남북 화상상봉이 치러졌던 적십자사 본사의 화상상봉센터에서 방문객을 위해 영상편지를 틀어줄 방침이다.

이에	이/NP+에/JKB
적십자사는	적십자사/NNP+는/JX
우선	우선/MAG
남북	남북/NNP
화상상봉이	화상/NNG+상봉/NNG+이/JKS
치러졌던	치르/VV+어/EC+지/VX+었/EP+던/ETM
적십자사	적십자사/NNP
본사의	본사/NNG+의/JKG
화상상봉센터에서	화상/NNG+상봉/NNG+센터/NNG+에서/JKB
방문객을	방문객/NNG+을/JKO
위해	위하/VV+아/EC
영상편지를	영상/NNG+편지/NNG+를/JKO
틀어줄	틀/VV+어/EC+주/VX+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.176.12.2
적십자사 관계자는 "이산가족 가운데 80%가 70대 이상의 고령"이라며 "올해 영상편지 5000편을 추가로 만들고, 가족들의 마음이 전달될 수 있도록 통일부와 함께 노력하겠다"고 말했다.

적십자사	적십자사/NNP
관계자는	관계자/NNG+는/JX
"이산가족	"/SS+이산가족/NNG
가운데	가운데/NNG
80%가	80/SN+%/SW+가/JKS
70대	70/SN+대/NNB
이상의	이상/NNG+의/JKG
고령"이라며	고령/NNG+"/SS+이/VCP+라며/EC
"올해	"/SS+올해/NNG
영상편지	영상/NNG+편지/NNG
5000편을	5000/SN+편/NNB+을/JKO
추가로	추가/NNG+로/JKB
만들고,	만들/VV+고/EC+,/SP
가족들의	가족/NNG+들/XSN+의/JKG
마음이	마음/NNG+이/JKS
전달될	전달/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
통일부와	통일부/NNG+와/JKB
함께	함께/MAG
노력하겠다"고	노력/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


