# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.4
metadata : {}


# id : NWRW1800000028.4.1.1
MB정부 정책 ‘박한 점수’ 지지도 ‘후한 점수’ 왜?

MB정부	MB/SL+정부/NNG
11.0%가	11/SN+./SP+0/SN+%/SW+가/JKS
‘매우	‘/SS+매우/MAG
잘하고	잘/MAG+하/XSV+고/EC
있다’,	있/VX+다/EF+’/SS+,/SP
45.7%가	45/SN+./SP+7/SN+%/SW+가/JKS
‘대체로	‘/SS+대체로/MAG
있다’고	있/VX+다/EF+’/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.4.3.3
56.7%가 이 대통령의 국정운영을 긍정 평가한 것이다.

56.7%가	56/SN+./SP+7/SN+%/SW+가/JKS
이	이/NNP
대통령의	대통령/NNG+의/JKG
국정운영을	국정/NNG+운영/NNG+을/JKO
긍정	긍정/NNG
평가한	평가/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.4.3.4
반면 부정적인 응답자는 39.4%였다.

반면	반면/NNG
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
응답자는	응답자/NNG+는/JX
39.4%였다.	39/SN+./SP+4/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.4.4.1
이런 ‘후한’ 평가는 이 대통령의 친서민·중도실용 노선과 함께 경제회복, 연말 아랍에미리트 원전 수주 등 굵직굵직한 성과에 대한 국민들의 평가가 반영된 것으로 풀이된다.

이런	이런/MMD
‘후한’	‘/SS+후하/VA+ㄴ/ETM+’/SS
평가는	평가/NNG+는/JX
이	이/NNP
대통령의	대통령/NNG+의/JKG
친서민·중도실용	친/XPN+서민/NNG+·/SP+중도/NNG+실용/NNG
노선과	노선/NNG+과/JKB
함께	함께/MAG
경제회복,	경제/NNG+회복/NNG+,/SP
연말	연말/NNG
아랍에미리트	아랍에미리트/NNP
원전	원전/NNG
수주	수주/NNG
등	등/NNB
굵직굵직한	굵직굵직하/VA+ㄴ/ETM
성과에	성과/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국민들의	국민/NNG+들/XSN+의/JKG
평가가	평가/NNG+가/JKS
반영된	반영/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.4.4.2
박성민 ‘정치컨설팅 민’ 대표는 “이 대통령의 높은 지지율은 주요 20개국 정상회의 유치, 아랍에미리트 원전 수주 등으로 국민들의 ‘코리아 브랜드’에 대한 자긍심을 높여주고, 다른 한쪽으로는 중소상인들과의 만남 등 친서민 행보를 이어간 결과”라고 분석했다.

박성민	박성민/NNP
‘정치컨설팅	‘/SS+정치/NNG+컨설팅/NNG
민’	민/NNP+’/SS
대표는	대표/NNG+는/JX
“이	“/SS+이/NNP
대통령의	대통령/NNG+의/JKG
높은	높/VA+은/ETM
지지율은	지지/NNG+율/XSN+은/JX
주요	주요/NNG
20개국	20/SN+개국/NNB
정상회의	정상/NNG+회의/NNG
유치,	유치/NNG+,/SP
아랍에미리트	아랍에미리트/NNP
원전	원전/NNG
수주	수주/NNG
등으로	등/NNB+으로/JKB
국민들의	국민/NNG+들/XSN+의/JKG
‘코리아	‘/SS+코리아/NNP
브랜드’에	브랜드/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
자긍심을	자긍심/NNG+을/JKO
높여주고,	높이/VV+어/EC+주/VX+고/EC+,/SP
다른	다른/MMD
한쪽으로는	한쪽/NNG+으로/JKB+는/JX
중소상인들과의	중소/NNG+상인/NNG+들/XSN+과/JKB+의/JKG
만남	만남/NNG
등	등/NNB
친서민	친/XPN+서민/NNG
행보를	행보/NNG+를/JKO
이어간	잇/VV+어/EC+가/VX+ㄴ/ETM
결과”라고	결과/NNG+”/SS+라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.4.5.1
윤희웅 한국사회여론연구소 팀장은 “응답자는 과거 특정 시점을 기준으로 현재 대통령이 국정운영을 잘하고 있는지 상대 평가를 하게 된다”며 “이 대통령의 경우 2008년 ‘촛불 시위’ 국면에 비해 친서민·중도실용 정책을 강화하는 모습이 (긍정적인) 상승효과를 나타내는 것”이라고 말했다.

윤희웅	윤희웅/NNP
한국사회여론연구소	한국사회여론연구소/NNP
팀장은	팀장/NNG+은/JX
“응답자는	“/SS+응답자/NNG+는/JX
과거	과거/NNG
특정	특정/NNG
시점을	시점/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
현재	현재/MAG
대통령이	대통령/NNG+이/JKS
국정운영을	국정/NNG+운영/NNG+을/JKO
잘하고	잘/MAG+하/XSV+고/EC
있는지	있/VX+는지/EC
상대	상대/NNG
평가를	평가/NNG+를/JKO
하게	하/VV+게/EC
된다”며	되/VV+ㄴ다/EF+”/SS+며/EC
“이	“/SS+이/NNP
대통령의	대통령/NNG+의/JKG
경우	경우/NNG
2008년	2008/SN+년/NNB
‘촛불	‘/SS+촛불/NNG
시위’	시위/NNG+’/SS
국면에	국면/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
친서민·중도실용	친/XPN+서민/NNG+·/SP+중도/NNG+실용/NNG
정책을	정책/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
모습이	모습/NNG+이/JKS
(긍정적인)	(/SS+긍정/NNG+적/XSN+이/VCP+ㄴ/ETM+)/SS
상승효과를	상승/NNG+효과/NNG+를/JKO
나타내는	나타내/VV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.4.5.2
익명을 요구한 여론조사기관 대표는 “이 대통령의 높은 지지율은 분석하기 참 어려운 경우”라며 “국민들이 현실적인 다른 대안을 찾지 못하기 때문에 ‘대통령이 잘해야만 한다’는 바람을 높은 지지율에 담은 것 같다”고 말했다.

익명을	익명/NNG+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
여론조사기관	여론/NNG+조사/NNG+기관/NNG
대표는	대표/NNG+는/JX
“이	“/SS+이/NNP
대통령의	대통령/NNG+의/JKG
높은	높/VA+은/ETM
지지율은	지지/NNG+율/XSN+은/JX
분석하기	분석/NNG+하/XSV+기/ETN
참	참/MAG
어려운	어렵/VA+ㄴ/ETM
경우”라며	경우/NNG+”/SS+이/VCP+라며/EC
“국민들이	“/SS+국민/NNG+들/XSN+이/JKS
현실적인	현실/NNG+적/XSN+이/VCP+ㄴ/ETM
다른	다른/MMD
대안을	대안/NNG+을/JKO
찾지	찾/VV+지/EC
못하기	못하/VX+기/ETN
때문에	때문/NNB+에/JKB
‘대통령이	‘/SS+대통령/NNG+이/JKS
잘해야만	잘/MAG+하/XSV+아야만/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
바람을	바람/NNG+을/JKO
지지율에	지지/NNG+율/XSN+에/JKB
담은	담/VV+은/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.4.6.1
이 대통령의 국정 지지도를 구체적으로 살펴보면, 지역별로는 한나라당의 강세가 강한 대구·경북에서 긍정 평가가 71.5%로 높게 나타났다.

이	이/NNP
대통령의	대통령/NNG+의/JKG
국정	국정/NNG
지지도를	지지도/NNG+를/JKO
구체적으로	구체/NNG+적/XSN+으로/JKB
살펴보면,	살펴보/VV+면/EC+,/SP
지역별로는	지역/NNG+별/XSN+로/JKB+는/JX
한나라당의	한나라당/NNP+의/JKG
강세가	강세/NNG+가/JKS
강한	강하/VA+ㄴ/ETM
대구·경북에서	대구/NNP+·/SP+경북/NNP+에서/JKB
긍정	긍정/NNG
평가가	평가/NNG+가/JKS
71.5%로	71/SN+./SP+5/SN+%/SW+로/JKB
높게	높/VA+게/EC
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.4.6.2
반면 민주당의 지지세가 높은 광주·전라 지역(33.9%)에서는 낮게 조사됐다.

반면	반면/NNG
민주당의	민주당/NNP+의/JKG
지지세가	지지세/NNG+가/JKS
높은	높/VA+은/ETM
광주·전라	광주/NNP+·/SP+전라/NNP
지역(33.9%)에서는	지역/NNG+(/SS+33/SN+./SP+9/SN+%/SW+)/SS+에서/JKB+는/JX
낮게	낮/VA+게/EC
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.4.6.3
직업별로는 블루칼라, 자영업자, 주부 등의 긍정적 평가가 많은 반면, 학생(잘못하고 있다 53.7%, 잘하고 있다 42.3%)과 사무직 노동자(잘못하고 있다 50.5%, 잘하고 있다 44.5%) 층에선 부정적인 평가가 앞선 것으로 나타났다.

직업별로는	직업/NNG+별/XSN+로/JKB+는/JX
블루칼라,	블루칼라/NNG+,/SP
자영업자,	자영업자/NNG+,/SP
주부	주부/NNG
등의	등/NNB+의/JKG
긍정적	긍정/NNG+적/XSN
평가가	평가/NNG+가/JKS
많은	많/VA+은/ETM
반면,	반면/NNG+,/SP
학생(잘못하고	학생/NNG+(/SS+잘못/MAG+하/XSV+고/EC
있다	있/VX+다/EF
53.7%,	53/SN+./SP+7/SN+%/SW+,/SP
잘하고	잘/MAG+하/XSV+고/EC
42.3%)과	42/SN+./SP+3/SN+%/SW+)/SS+과/JC
사무직	사무직/NNG
노동자(잘못하고	노동자/NNG+(/SS+잘못/MAG+하/XSV+고/EC
50.5%,	50/SN+./SP+5/SN+%/SW+,/SP
44.5%)	44/SN+./SP+5/SN+%/SW+)/SS
층에선	층/XSN+에서/JKB+ㄴ/JX
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
앞선	앞서/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.4.6.4
올 한해 이명박 대통령의 국정운영에 대한 기대를 묻는 질문에서는 응답자의 60.4%가 ‘기대한다’고 답했다.

올	올/NNG
한해	한/MMN+해/NNB
이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
국정운영에	국정/NNG+운영/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기대를	기대/NNG+를/JKO
묻는	묻/VV+는/ETM
질문에서는	질문/NNG+에서/JKB+는/JX
응답자의	응답자/NNG+의/JKG
60.4%가	60/SN+./SP+4/SN+%/SW+가/JKS
‘기대한다’고	‘/SS+기대/NNG+하/XSV+ㄴ다/EF+’/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.4.6.5
‘기대하지 않는다’는 39.0%였다.

‘기대하지	‘/SS+기대/NNG+하/XSV+지/EC
않는다’는	않/VX+는다/EF+’/SS+는/ETM
39.0%였다.	39/SN+./SP+0/SN+%/SW+이/VCP+었/EP+다/EF+./SF


