# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.36
metadata : {}


# id : NWRW1800000044.36.1.1
움츠린 소비심리 되살아나나

움츠린	움츠리/VV+ㄴ/ETM
정문갑	정문갑/NNP
한은	한은/NNP
통계조사팀	통계/NNG+조사/NNG+팀/NNG
차장은	차장/NNG+은/JX
“소비자심리지수	“/SS+소비자/NNG+심리/NNG+지수/NNG
상승엔	상승/NNG+에/JKB+ㄴ/JX
현재	현재/NNG
및	및/MAG
향후	향후/NNG
경기전망에	경기/NNG+전망/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
개선이	개선/NNG+이/JKS
크게	크/VA+게/EC
작용했다”며	작용/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“새	“/SS+새/MMA
경제팀의	경제/NNG+팀/NNG+의/JKG
경제정책방향과	경제/NNG+정책/NNG+방향/NNG+과/JC
세제개편안	세제/NNG+개편안/NNG
그리고	그리고/MAJ
한은의	한은/NNP+의/JKG
기준금리	기준/NNG+금리/NNG
인하로	인하/NNG+로/JKB
경기회복	경기/NNG+회복/NNG
기대감이	기대감/NNG+이/JKS
커지지	커지/VV+지/EC
않았나	않/VX+았/EP+나/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.36.7.1
일본계 노무라증권도 가계소득과 소비가 하반기에 회복될 것으로 내다봤다.

일본계	일본/NNP+계/XSN
노무라증권도	노무라증권/NNP+도/JX
가계소득과	가계/NNG+소득/NNG+과/JC
소비가	소비/NNG+가/JKS
하반기에	하반기/NNG+에/JKB
회복될	회복/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.36.7.2
노무라는 “2분기에 둔화된 가계 소득과 소비가 하반기 중에는 회복될 것으로 기대된다.

노무라는	노무라/NNP+는/JX
“2분기에	“/SS+2/SN+분기/NNG+에/JKB
둔화된	둔화/NNG+되/XSV+ㄴ/ETM
가계	가계/NNG
소득과	소득/NNG+과/JC
소비가	소비/NNG+가/JKS
하반기	하반기/NNG
중에는	중/NNB+에/JKB+는/JX
회복될	회복/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대된다.	기대/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.36.7.3
하반기 중에는 세월호 참사의 부정적 영향으로부터의 반등, 양호한 수출증가, 정부의 적극적인 경기부양 노력 등으로 경기가 회복되면서 가계 소득과 소비도 회복될 것이다”고 밝혔다고 국제금융센터가 이날 전했다.

하반기	하반기/NNG
중에는	중/NNB+에/JKB+는/JX
세월호	세월호/NNP
참사의	참사/NNG+의/JKG
부정적	부정/NNG+적/XSN
영향으로부터의	영향/NNG+으로부터/JKB+의/JKG
반등,	반등/NNG+,/SP
양호한	양호/NNG+하/XSA+ㄴ/ETM
수출증가,	수출/NNG+증가/NNG+,/SP
정부의	정부/NNG+의/JKG
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
경기부양	경기/NNG+부양/NNG
노력	노력/NNG
등으로	등/NNB+으로/JKB
경기가	경기/NNG+가/JKS
회복되면서	회복/NNG+되/XSV+면서/EC
가계	가계/NNG
소득과	소득/NNG+과/JC
소비도	소비/NNG+도/JX
회복될	회복/NNG+되/XSV+ㄹ/ETM
것이다”고	것/NNB+이/VCP+다/EF+”/SS+고/JKQ
밝혔다고	밝히/VV+었/EP+다고/EC
국제금융센터가	국제금융센터/NNP+가/JKS
이날	이날/NNG
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.36.8.1
이런 흐름을 추세적 회복으로 단정하기는 아직 이르다.

이런	이런/MMD
흐름을	흐름/NNG+을/JKO
추세적	추세/NNG+적/XSN
회복으로	회복/NNG+으로/JKB
단정하기는	단정/NNG+하/XSV+기/ETN+는/JX
아직	아직/MAG
이르다.	이르/VA+다/EF+./SF


# id : NWRW1800000044.36.8.2
한은은 이날 함께 발표한 ‘3분기 지역경제보고서’에서 “모니터링 결과, 세월호 사고 이후 부진한 소비 및 서비스업 생산도 2분기보다 증가한 것으로 관측됐다”면서도 “다만, 증가폭은 크지 않고 소비심리도 아직 불안한 것으로 나타났다”고 밝혔다.

한은은	한은/NNP+은/JX
이날	이날/NNG
함께	함께/MAG
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘3분기	‘/SS+3/SN+분기/NNG
지역경제보고서’에서	지역/NNG+경제/NNG+보고서/NNG+’/SS+에서/JKB
“모니터링	“/SS+모니터링/NNG
결과,	결과/NNG+,/SP
세월호	세월호/NNP
사고	사고/NNG
이후	이후/NNG
부진한	부진/NNG+하/XSA+ㄴ/ETM
소비	소비/NNG
및	및/MAG
서비스업	서비스업/NNG
생산도	생산/NNG+도/JX
2분기보다	2/SN+분기/NNG+보다/JKB
증가한	증가/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
관측됐다”면서도	관측/NNG+되/XSV+었/EP+다/EF+”/SS+면서/EC+도/JX
“다만,	“/SS+다만/MAG+,/SP
증가폭은	증가/NNG+폭/NNG+은/JX
크지	크/VA+지/EC
않고	않/VX+고/EC
소비심리도	소비/NNG+심리/NNG+도/JX
아직	아직/MAG
불안한	불안/NNG+하/XSA+ㄴ/ETM
나타났다”고	나타나/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.36.8.3
좀 더 신중히 지켜봐야 한다는 뜻이다.

좀	좀/MAG
더	더/MAG
신중히	신중히/MAG
지켜봐야	지켜보/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


