# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.179
metadata : {}


# id : NWRW1800000029.179.1.1
공연 / 이념에 가려진 100년의 시간, 묻어두기엔 너무 큰 ‘최승희’

공연	공연/NNG
발표자로 이진원 한국예술종합학교 교수, 한경자 강원대 교수, 이송 정동극장 전문위원, 성기숙 한예종 교수, 고승길 중앙대 명예교수, 장치 전 중국중앙가무단장, 한룡길 연변대 무용과 교수가 나선다.

발표자로	발표자/NNG+로/JKB
이진원	이진원/NNP
한국예술종합학교	한국예술종합학교/NNP
교수,	교수/NNG+,/SP
한경자	한경자/NNP
강원대	강원대/NNP
이송	이송/NNP
정동극장	정동극장/NNP
전문위원,	전문/NNG+위원/NNG+,/SP
성기숙	성기숙/NNP
한예종	한예종/NNP
고승길	고승길/NNP
중앙대	중앙대/NNP
명예교수,	명예/NNG+교수/NNG+,/SP
장치	장치/NNP
전	전/MMD
중국중앙가무단장,	중국/NNP+중앙/NNG+가무단장/NNG+,/SP
한룡길	한룡길/NNP
연변대	연변대/NNP
무용과	무용과/NNG
교수가	교수/NNG+가/JKS
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.179.5.2
발표 내용은 최승희의 월북 이전 예술세계에 대한 분석 위주이지만 2차 학술대회의 2부 순서로 열리는 ‘회고와 증언으로 듣는 최승희 이야기’에선 최승희에게 직접 가르침을 받은 남한의 유일한 제자인 김백봉 경희대 교수를 비롯해 김예화 중국 베이징희극학원 최승희무도반 졸업생, 백홍천 재일본 최승희무용연구원장, 전황 전 국립창극단장 등이 최승희의 예술세계를 폭넓게 회고한다.

발표	발표/NNG
내용은	내용/NNG+은/JX
최승희의	최승희/NNP+의/JKG
월북	월북/NNG
이전	이전/NNG
예술세계에	예술/NNG+세계/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
분석	분석/NNG
위주이지만	위주/NNG+이/VCP+지만/EC
2차	2/SN+차/NNB
학술대회의	학술/NNG+대회/NNG+의/JKG
2부	2/SN+부/NNB
순서로	순서/NNG+로/JKB
열리는	열리/VV+는/ETM
‘회고와	‘/SS+회고/NNG+와/JC
증언으로	증언/NNG+으로/JKB
듣는	듣/VV+는/ETM
최승희	최승희/NNP
이야기’에선	이야기/NNG+’/SS+에서/JKB+ㄴ/JX
최승희에게	최승희/NNP+에게/JKB
직접	직접/MAG
가르침을	가르침/NNG+을/JKO
받은	받/VV+은/ETM
남한의	남한/NNP+의/JKG
유일한	유일/NNG+하/XSA+ㄴ/ETM
제자인	제자/NNG+이/VCP+ㄴ/ETM
김백봉	김백봉/NNP
경희대	경희대/NNP
교수를	교수/NNG+를/JKO
비롯해	비롯하/VV+아/EC
김예화	김예화/NNP
중국	중국/NNP
베이징희극학원	베이징희극학원/NNP
최승희무도반	최승희/NNP+무도/NNG+반/NNG
졸업생,	졸업/NNG+생/XSN+,/SP
백홍천	백홍천/NNP
재일본	재일본/NNG
최승희무용연구원장,	최승희무용연구원장/NNG+,/SP
전황	전황/NNP
전	전/MMD
국립창극단장	국립/NNG+창극단장/NNG
등이	등/NNB+이/JKS
예술세계를	예술/NNG+세계/NNG+를/JKO
폭넓게	폭넓/VA+게/EC
회고한다.	회고/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.179.6.1
12월 8일부터 매주 목요일 4차례 연낙재 세미나실에서 열리는 ‘영상으로 만나는 최승희의 삶과 예술’ 행사에선 월북 이후인 1954년 최승희가 안무한 무용극 ‘사도성의 이야기’를 영상으로 만날 수 있다.

12월	12/SN+월/NNB
8일부터	8/SN+일/NNB+부터/JX
매주	매주/MAG
목요일	목요일/NNG
4차례	4/SN+차례/NNG
연낙재	연낙재/NNP
세미나실에서	세미나실/NNG+에서/JKB
열리는	열리/VV+는/ETM
‘영상으로	‘/SS+영상/NNG+으로/JKB
만나는	만나/VV+는/ETM
최승희의	최승희/NNP+의/JKG
삶과	삶/NNG+과/JC
예술’	예술/NNG+’/SS
행사에선	행사/NNG+에서/JKB+ㄴ/JX
월북	월북/NNG
이후인	이후/NNG+이/VCP+ㄴ/ETM
1954년	1954/SN+년/NNB
최승희가	최승희/NNP+가/JKS
안무한	안무/NNG+하/XSV+ㄴ/ETM
무용극	무용극/NNG
‘사도성의	‘/SS+사도성/NNP+의/JKG
이야기’를	이야기/NNG+’/SS+를/JKO
영상으로	영상/NNG+으로/JKB
만날	만나/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.179.6.2
성기숙 연낙재 관장은 “이 작품은 1998년 러시아 모스크바에서 영상이 발견된 이후 국내에서 공개적으로 상영한 적은 한 번뿐이다.

성기숙	성기숙/NNP
연낙재	연낙재/NNP
관장은	관장/NNG+은/JX
“이	“/SS+이/MMD
작품은	작품/NNG+은/JX
1998년	1998/SN+년/NNB
러시아	러시아/NNP
모스크바에서	모스크바/NNP+에서/JKB
영상이	영상/NNG+이/JKS
발견된	발견/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
국내에서	국내/NNG+에서/JKB
공개적으로	공개/NNG+적/XSN+으로/JKB
상영한	상영/NNG+하/XSV+ㄴ/ETM
적은	적/NNB+은/JX
한	한/MMN
번뿐이다.	번/NNB+뿐/JX+이/VCP+다/EF+./SF


# id : NWRW1800000029.179.6.3
월북 이후 최승희의 예술세계가 집약된 상징적인 작품”이라고 말했다.

월북	월북/NNG
이후	이후/NNG
최승희의	최승희/NNP+의/JKG
예술세계가	예술/NNG+세계/NNG+가/JKS
집약된	집약/NNG+되/XSV+ㄴ/ETM
상징적인	상징/NNG+적/XSN+이/VCP+ㄴ/ETM
작품”이라고	작품/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.179.7.1
12월 6일 한국예술종합학교 전통예술원에서는 한룡길 교수와 백홍천 원장이 참여해 최승희 춤메소드 워크숍을 연다.

12월	12/SN+월/NNB
6일	6/SN+일/NNB
한국예술종합학교	한국예술종합학교/NNP
전통예술원에서는	전통/NNG+예술원/NNG+에서/JKB+는/JX
한룡길	한룡길/NNP
교수와	교수/NNG+와/JC
백홍천	백홍천/NNP
원장이	원장/NNG+이/JKS
참여해	참여/NNG+하/XSV+아/EC
최승희	최승희/NNP
춤메소드	춤/NNG+메소드/NNG
워크숍을	워크숍/NNG+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


