# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.68
metadata : {}


# id : NWRW1800000054.68.1.1
오른다리 곧추세우고 정면 응시한 첫 관음보살

오른다리	오른/MMD+다리/NNG
동국대박물관장은	동국대/NNP+박물관장/NNG+은/JX
"지난	"/SS+지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
동국대	동국대/NNP
개교	개교/NNG
111주년	111/SN+주년/NNB
기념사업회	기념사업회/NNG
후원으로	후원/NNG+으로/JKB
일본	일본/NNP
지역	지역/NNG
한국	한국/NNP
불교	불교/NNG
미술품을	미술품/NNG+을/JKO
조사하는	조사/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
'수월관음도'를	'/SS+수월관음도/NNP+'/SS+를/JKO
발견했다"고	발견/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
18일	18/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.68.4.3
"한쪽 다리는 곧추세우고 다른 한쪽 다리는 아래로 내려뜨린 유희좌(遊戱座)를 하고 있는 첫 수월관음도로, 기존 상식을 깨트리는 도상(圖像)"이라고 설명했다.

"한쪽	"/SS+한쪽/NNG
다리는	다리/NNG+는/JX
곧추세우고	곧추세우/VV+고/EC
다른	다른/MMD
한쪽	한쪽/NNG
아래로	아래/NNG+로/JKB
내려뜨린	내려뜨리/VV+ㄴ/ETM
유희좌(遊戱座)를	유희좌/NNG+(/SS+遊戱座/SH+)/SS+를/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
첫	첫/MMN
수월관음도로,	수월관음도/NNP+로/JKB+,/SP
기존	기존/NNG
상식을	상식/NNG+을/JKO
깨트리는	깨트리/VV+는/ETM
도상(圖像)"이라고	도상/NNG+(/SS+圖像/SH+)/SS+"/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.68.5.1
수월관음도는 달빛 아래 바위에 앉은 관음보살을 그린 그림으로 160여 점 현전하는 고려 불화 중에서도 백미로 꼽힌다.

수월관음도는	수월관음도/NNP+는/JX
달빛	달빛/NNG
아래	아래/NNG
바위에	바위/NNG+에/JKB
앉은	앉/VV+은/ETM
관음보살을	관음보살/NNG+을/JKO
그린	그리/VV+ㄴ/ETM
그림으로	그림/NNG+으로/JKB
160여	160/SN+여/XSN
점	점/NNB
현전하는	현전/NNG+하/XSV+는/ETM
고려	고려/NNP
불화	불화/NNG
중에서도	중/NNB+에서/JKB+도/JX
백미로	백미/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.68.5.2
임진왜란과 일제강점기를 거치며 국내에서 대부분 유출됐고, 현재는 세계적으로 40여 점이 남아 있다.

임진왜란과	임진왜란/NNG+과/JC
일제강점기를	일제/NNG+강점기/NNG+를/JKO
거치며	거치/VV+며/EC
국내에서	국내/NNG+에서/JKB
대부분	대/XPN+부분/NNG
유출됐고,	유출/NNG+되/XSV+었/EP+고/EC+,/SP
현재는	현재/NNG+는/JX
세계적으로	세계/NNG+적/XSN+으로/JKB
40여	40/SN+여/XSN
점이	점/NNB+이/JKS
남아	남/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.68.6.1
◇파격적 형식… 고려 불화 다양성 보여줘

◇파격적	◇/SW+파격/NNG+적/XSN
형식…	형식/NNG+…/SE
고려	고려/NNP
불화	불화/NNG
다양성	다양/NNG+성/XSN
보여줘	보이/VV+어/EC+주/VX+어/EC


# id : NWRW1800000054.68.7.1
지금까지 알려진 고려 수월관음도는 대부분 일정한 '공식'을 따랐다.

지금까지	지금/NNG+까지/JX
알려진	알려지/VV+ㄴ/ETM
고려	고려/NNP
수월관음도는	수월관음도/NNP+는/JX
대부분	대/XPN+부분/NNG
일정한	일정/NNG+하/XSA+ㄴ/ETM
'공식'을	'/SS+공식/NNG+'/SS+을/JKO
따랐다.	따르/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.68.7.2
관음이 오른쪽 위에 반(半)가부좌를 틀고 앉아 왼쪽 아래에 있는 선재동자(善財童子)를 바라보는 구도다.

관음이	관음/NNG+이/JKS
오른쪽	오른쪽/NNG
위에	위/NNG+에/JKB
반(半)가부좌를	반/NNG+(/SS+半/SH+)/SS+가부좌/NNG+를/JKO
틀고	틀/VV+고/EC
앉아	앉/VV+아/EC
왼쪽	왼쪽/NNG
아래에	아래/NNG+에/JKB
있는	있/VA+는/ETM
선재동자(善財童子)를	선재동자/NNP+(/SS+善財童子/SH+)/SS+를/JKO
바라보는	바라보/VV+는/ETM
구도다.	구도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.68.7.3
관음보살 오른편에 버드나무 가지가 꽂힌 정병이 놓여 있는 것도 특징.

관음보살	관음보살/NNG
오른편에	오른편/NNG+에/JKB
버드나무	버드나무/NNG
가지가	가지/NNG+가/JKS
꽂힌	꽂히/VV+ㄴ/ETM
정병이	정병/NNG+이/JKS
놓여	놓이/VV+어/EC
있는	있/VX+는/ETM
것도	것/NNB+도/JX
특징.	특징/NNG+./SF


# id : NWRW1800000054.68.7.4
아모레퍼시픽미술관 소장 수월관음도(보물 1426호·오른쪽 사진)가 이런 양식을 잘 보여준다.

아모레퍼시픽미술관	아모레퍼시픽미술관/NNP
소장	소장/NNG
수월관음도(보물	수월관음도/NNP+(/SS+보물/NNG
1426호·오른쪽	1426/SN+호/NNB+·/SP+오른쪽/NNG
사진)가	사진/NNG+)/SS+가/JKS
이런	이런/MMD
양식을	양식/NNG+을/JKO
잘	잘/MAG
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.68.8.1
이번 불화(세로 123.5㎝×가로 60.5㎝)의 관음보살은 다르다.

이번	이번/NNG
불화(세로	불화/NNG+(/SS+세로/NNG
123.5㎝×가로	123/SN+./SP+5/SN+㎝/SW+×/SW+가로/NNG
60.5㎝)의	60/SN+./SP+5/SN+㎝/SW+)/SS+의/JKG
관음보살은	관음보살/NNG+은/JX
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000054.68.8.2
오른쪽 다리는 세우고 왼쪽 다리는 아래로 늘어뜨린 채 정면을 바라본다.

오른쪽	오른쪽/NNG
다리는	다리/NNG+는/JX
세우고	세우/VV+고/EC
왼쪽	왼쪽/NNG
아래로	아래/NNG+로/JKB
늘어뜨린	늘어뜨리/VV+ㄴ/ETM
채	채/NNB
정면을	정면/NNG+을/JKO
바라본다.	바라보/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.68.8.3
버드나무 가지 꽂힌 정병도 왼편에 놓였고 오른편에는 꽃을 담은 쟁반을 그려넣었다.

버드나무	버드나무/NNG
가지	가지/NNG
꽂힌	꽂히/VV+ㄴ/ETM
정병도	정병/NNG+도/JX
왼편에	왼편/NNG+에/JKB
놓였고	놓이/VV+었/EP+고/EC
오른편에는	오른편/NNG+에/JKB+는/JX
꽃을	꽃/NNG+을/JKO
담은	담/VV+은/ETM
쟁반을	쟁반/NNG+을/JKO
그려넣었다.	그리/VV+어/EC+넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.68.9.1
그림 상단과 하단도 기존 수월관음도와는 다르다.

그림	그림/NNG
상단과	상단/NNG+과/JC
하단도	하단/NNG+도/JX
기존	기존/NNG
수월관음도와는	수월관음도/NNP+와/JKB+는/JX
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000054.68.9.2
상단에는 화불(化佛)로 짐작되는 세 구의 여래상을 그려넣었고, 하단에는 관음보살이 중생을 구제한다는 의미를 담은 변상도(變相圖·불경 내용을 표현한 그림)를 비중 있게 그렸다.

상단에는	상단/NNG+에/JKB+는/JX
화불(化佛)로	화불/NNG+(/SS+化佛/SH+)/SS+로/JKB
짐작되는	짐작/NNG+되/XSV+는/ETM
세	세/MMN
구의	구/NNB+의/JKG
여래상을	여래상/NNG+을/JKO
그려넣었고,	그리/VV+어/EC+넣/VV+었/EP+고/EC+,/SP
하단에는	하단/NNG+에/JKB+는/JX
관음보살이	관음보살/NNG+이/JKS
중생을	중생/NNG+을/JKO
구제한다는	구제/NNG+하/XSV+ㄴ다는/ETM
의미를	의미/NNG+를/JKO
담은	담/VV+은/ETM
변상도(變相圖·불경	변상도/NNG+(/SS+變相圖/SH+·/SP+불경/NNG
내용을	내용/NNG+을/JKO
표현한	표현/NNG+하/XSV+ㄴ/ETM
그림)를	그림/NNG+)/SS+를/JKO
비중	비중/NNG
있게	있/VA+게/EC
그렸다.	그리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.68.9.3
정우택 관장은 "세 구의 화불이 고려 수월관음도에 나타난 것은 처음"이라고 했다.

정우택	정우택/NNP
관장은	관장/NNG+은/JX
"세	"/SS+세/MMN
구의	구/NNB+의/JKG
화불이	화불/NNG+이/JKS
고려	고려/NNP
수월관음도에	수월관음도/NNP+에/JKB
나타난	나타나/VV+ㄴ/ETM
것은	것/NNB+은/JX
처음"이라고	처음/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.68.9.4
국립중앙박물관 관계자는 "금니(金泥·금가루)로 몸체를 칠하고 붉은 치마에 국화 무늬를 넣은 채색 기법, 관음보살의 표정, 정병의 형태 등을 봤을 때 기존 고려 불화를 변형한 새로운 형식"이라며 "고려 불화의 다양성을 보여준다는 의미가 있다"고 말했다.

국립중앙박물관	국립중앙박물관/NNP
관계자는	관계자/NNG+는/JX
"금니(金泥·금가루)로	"/SS+금니/NNG+(/SS+金泥/SH+·/SP+금가루/NNG+)/SS+로/JKB
몸체를	몸체/NNG+를/JKO
칠하고	칠/NNG+하/XSV+고/EC
붉은	붉/VA+은/ETM
치마에	치마/NNG+에/JKB
국화	국화/NNG
무늬를	무늬/NNG+를/JKO
넣은	넣/VV+은/ETM
채색	채색/NNG
기법,	기법/NNG+,/SP
관음보살의	관음보살/NNG+의/JKG
표정,	표정/NNG+,/SP
정병의	정병/NNG+의/JKG
형태	형태/NNG
등을	등/NNB+을/JKO
봤을	보/VV+았/EP+을/ETM
때	때/NNG
기존	기존/NNG
고려	고려/NNP
불화를	불화/NNG+를/JKO
변형한	변형/NNG+하/XSV+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
형식"이라며	형식/NNG+"/SS+이/VCP+라며/EC
"고려	"/SS+고려/NNP
불화의	불화/NNG+의/JKG
다양성을	다양/NNG+성/XSN+을/JKO
보여준다는	보이/VV+어/EC+주/VX+ㄴ다는/ETM
의미가	의미/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.68.10.1
◇고려 말 사회 혼란 반영

◇고려	◇/SW+고려/NNP
말	말/NNB
사회	사회/NNG
혼란	혼란/NNG
반영	반영/NNG


# id : NWRW1800000054.68.11.1
'관음 신앙'은 관음보살의 힘으로 현세의 고난에서 구제받을 수 있다는 믿음이다.

'관음	'/SS+관음/NNG
신앙'은	신앙/NNG+'/SS+은/JX
관음보살의	관음보살/NNG+의/JKG
힘으로	힘/NNG+으로/JKB
현세의	현세/NNG+의/JKG
고난에서	고난/NNG+에서/JKB
구제받을	구제/NNG+받/XSV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
믿음이다.	믿음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.68.11.2
불교 경전 '법화경'에는 "관음보살의 이름을 마음에 간직하고 염불하면 큰불도 능히 태우지 못하고, 홍수에도 떠내려가지 않으며, 모든 악귀도 괴롭힐 수 없다"고 적혀 있다.

불교	불교/NNG
경전	경전/NNG
'법화경'에는	'/SS+법화경/NNP+'/SS+에/JKB+는/JX
"관음보살의	"/SS+관음보살/NNG+의/JKG
이름을	이름/NNG+을/JKO
마음에	마음/NNG+에/JKB
간직하고	간직/NNG+하/XSV+고/EC
염불하면	염불/NNG+하/XSV+면/EC
큰불도	큰불/NNG+도/JX
능히	능히/MAG
태우지	태우/VV+지/EC
못하고,	못하/VX+고/EC+,/SP
홍수에도	홍수/NNG+에/JKB+도/JX
떠내려가지	떠내려가/VV+지/EC
않으며,	않/VX+으며/EC+,/SP
모든	모든/MMN
악귀도	악귀/NNG+도/JX
괴롭힐	괴롭히/VV+ㄹ/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
적혀	적히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.68.11.3
그림 하단에 물에 빠져 허우적대는 사람, 호환을 당한 사람 등을 묘사한 변상도는 이 내용을 담았다.

그림	그림/NNG
하단에	하단/NNG+에/JKB
물에	물/NNG+에/JKB
빠져	빠지/VV+어/EC
허우적대는	허우적대/VV+는/ETM
사람,	사람/NNG+,/SP
호환을	호환/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
사람	사람/NNG
등을	등/NNB+을/JKO
묘사한	묘사/NNG+하/XSV+ㄴ/ETM
변상도는	변상도/NNG+는/JX
이	이/MMD
내용을	내용/NNG+을/JKO
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.68.11.4
정 관장은 "당시 혼란했던 시대상을 반영한 것"이라고 했다.

정	정/NNP
관장은	관장/NNG+은/JX
"당시	"/SS+당시/NNG
혼란했던	혼란/NNG+하/XSA+았/EP+던/ETM
시대상을	시대상/NNG+을/JKO
반영한	반영/NNG+하/XSV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.68.11.5
주 수요층이었던 고려 지배계급이 고려 말 원나라의 몰락과 홍건적의 침입을 겪으며 느낀 사회 혼란 속에 관음보살을 통한 구제를 바랐다는 의미.

주	주/MMA
수요층이었던	수요/NNG+층/XSN+이/VCP+었/EP+던/ETM
고려	고려/NNP
지배계급이	지배/NNG+계급/NNG+이/JKS
말	말/NNB
원나라의	원나라/NNP+의/JKG
몰락과	몰락/NNG+과/JC
홍건적의	홍건적/NNP+의/JKG
침입을	침입/NNG+을/JKO
겪으며	겪/VV+으며/EC
느낀	느끼/VV+ㄴ/ETM
사회	사회/NNG
혼란	혼란/NNG
속에	속/NNG+에/JKB
관음보살을	관음보살/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
구제를	구제/NNG+를/JKO
바랐다는	바라/VV+았/EP+다는/ETM
의미.	의미/NNG+./SF


# id : NWRW1800000054.68.11.6
박은경 동아대 교수(고고미술사학과)는 "다른 고려 불화에 비해 내용이 훨씬 풍부하고 등장인물도 많다"며 "현실 세계에서 관음을 외치면 구제받으리라는 믿음을 표현한 것"이라고 말했다.

박은경	박은경/NNP
동아대	동아대/NNP
교수(고고미술사학과)는	교수/NNG+(/SS+고고/NNG+미술사학과/NNG+)/SS+는/JX
"다른	"/SS+다른/MMD
고려	고려/NNP
불화에	불화/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
내용이	내용/NNG+이/JKS
훨씬	훨씬/MAG
풍부하고	풍부하/VA+고/EC
등장인물도	등장인물/NNG+도/JX
많다"며	많/VA+다/EF+"/SS+며/EC
"현실	"/SS+현실/NNG
세계에서	세계/NNG+에서/JKB
관음을	관음/NNG+을/JKO
외치면	외치/VV+면/EC
구제받으리라는	구제/NNG+받/XSV+으리라는/ETM
믿음을	믿음/NNG+을/JKO
표현한	표현/NNG+하/XSV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.68.12.1
이번 발견은 정우택 관장이 지난 3월 미국 워싱턴 DC에서 열린 고려 불화 국제학술대회에 참석했다가 단서를 얻었다.

이번	이번/NNG
발견은	발견/NNG+은/JX
정우택	정우택/NNP
관장이	관장/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
미국	미국/NNP
워싱턴	워싱턴/NNP
DC에서	DC/SL+에서/JKB
열린	열리/VV+ㄴ/ETM
고려	고려/NNP
불화	불화/NNG
국제학술대회에	국제/NNG+학술/NNG+대회/NNG+에/JKB
참석했다가	참석/NNG+하/XSV+았/EP+다가/EC
단서를	단서/NNG+를/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.68.12.2
일본 도쿄예술대 교수가 "개인 소장자 한 명이 고려 불화인 듯한 그림을 갖고 있다"고 귀띔한 것.

일본	일본/NNP
도쿄예술대	도쿄예술대/NNP
교수가	교수/NNG+가/JKS
"개인	"/SS+개인/NNG
소장자	소장자/NNG
한	한/MMN
명이	명/NNB+이/JKS
고려	고려/NNP
불화인	불화/NNG+이/VCP+ㄴ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
그림을	그림/NNG+을/JKO
갖고	갖/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
귀띔한	귀띔/NNG+하/XSV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000054.68.12.3
정 관장은 곧바로 도쿄행 비행기에 올랐고, 적외선 촬영 등 비파괴 조사를 진행해 고려 불화라는 결론을 내렸다.

정	정/NNP
관장은	관장/NNG+은/JX
곧바로	곧바로/MAG
도쿄행	도쿄행/NNG
비행기에	비행기/NNG+에/JKB
올랐고,	오르/VV+았/EP+고/EC+,/SP
적외선	적외선/NNG
촬영	촬영/NNG
등	등/NNB
비파괴	비/XPN+파괴/NNG
조사를	조사/NNG+를/JKO
진행해	진행/NNG+하/XSV+아/EC
고려	고려/NNP
불화라는	불화/NNG+이/VCP+라는/ETM
결론을	결론/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.68.13.1
이 불화는 현 소장자의 아버지(1931년 사망)가 고미술품을 수집하다가 일본 규슈에서 사들였다고 한다.

이	이/MMD
불화는	불화/NNG+는/JX
현	현/MMD
소장자의	소장자/NNG+의/JKG
아버지(1931년	아버지/NNG+(/SS+1931/SN+년/NNB
사망)가	사망/NNG+)/SS+가/JKS
고미술품을	고미술품/NNG+을/JKO
수집하다가	수집/NNG+하/XSV+다가/EC
일본	일본/NNP
규슈에서	규슈/NNP+에서/JKB
사들였다고	사들이/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.68.13.2
정 관장은 "색상이 부드럽고 깊이가 있다"며 "정병 등에서 일부 안료가 떨어져 나갔지만 전체적인 완성도는 고려 불화를 대표할 만하다"고 했다.

정	정/NNP
관장은	관장/NNG+은/JX
"색상이	"/SS+색상/NNG+이/JKS
부드럽고	부드럽/VA+고/EC
깊이가	깊이/NNG+가/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
"정병	"/SS+정병/NNG
등에서	등/NNB+에서/JKB
일부	일부/NNG
안료가	안료/NNG+가/JKS
떨어져	떨어지/VV+어/EC
나갔지만	나가/VX+았/EP+지만/EC
전체적인	전체/NNG+적/XSN+이/VCP+ㄴ/ETM
완성도는	완성도/NNG+는/JX
고려	고려/NNP
불화를	불화/NNG+를/JKO
대표할	대표/NNG+하/XSV+ㄹ/ETM
만하다"고	만/NNB+하/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.68.13.3
그는 24일 동국대에서 열리는 동악미술사학회에서 이번에 발굴한 수월관음도를 발표한다.

그는	그/NP+는/JX
24일	24/SN+일/NNB
동국대에서	동국대/NNP+에서/JKB
열리는	열리/VV+는/ETM
동악미술사학회에서	동악미술사학회/NNP+에서/JKB
이번에	이번/NNG+에/JKB
발굴한	발굴/NNG+하/XSV+ㄴ/ETM
수월관음도를	수월관음도/NNP+를/JKO
발표한다.	발표/NNG+하/XSV+ㄴ다/EF+./SF


