# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.111
metadata : {}


# id : NWRW1800000056.111.1.1
22회 한겨레문학상에 강화길 ‘다른 사람’

22회	22/SN+회/NNB
소설가	소설가/NNG
강영숙·김별아·윤성희·주원규·한창훈이	강영숙/NNP+·/SP+김별아/NNP+·/SP+윤성희/NNP+·/SP+주원규/NNP+·/SP+한창훈/NNP+이/JKS
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.111.7.1
당선자 강화길은 2012년 경향신문 신춘문예로 등단했으며 지난해 소설집 <괜찮은 사람>을 펴냈다.

당선자	당선자/NNG
강화길은	강화길/NNP+은/JX
2012년	2012/SN+년/NNB
경향신문	경향신문/NNP
신춘문예로	신춘문예/NNG+로/JKB
등단했으며	등단/NNG+하/XSV+았/EP+으며/EC
지난해	지난해/NNG
소설집	소설집/NNG
<괜찮은	</SS+괜찮/VA+은/ETM
사람>을	사람/NNG+>/SS+을/JKO
펴냈다.	펴내/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.111.7.2
그는 24일 <한겨레>와 한 인터뷰에서 “대학 시절 박정애의 <물의 말>과 박민규의 <삼미슈퍼스타즈의 마지막 팬클럽> 같은 한겨레문학상 수상작을 흥미롭게 읽었다”며 “그분들과 같은 한겨레문학상 수상자가 되다니 신기하다”고 말했다.

그는	그/NP+는/JX
24일	24/SN+일/NNB
<한겨레>와	</SS+한겨레/NNP+>/SS+와/JKB
한	하/VV+ㄴ/ETM
인터뷰에서	인터뷰/NNG+에서/JKB
“대학	“/SS+대학/NNG
시절	시절/NNG
박정애의	박정애/NNP+의/JKG
<물의	</SS+물/NNG+의/JKG
말>과	말/NNG+>/SS+과/JC
박민규의	박민규/NNP+의/JKG
<삼미슈퍼스타즈의	</SS+삼미슈퍼스타즈/NNP+의/JKG
마지막	마지막/NNG
팬클럽>	팬클럽/NNG+>/SS
같은	같/VA+은/ETM
한겨레문학상	한겨레/NNP+문학상/NNG
수상작을	수상작/NNG+을/JKO
흥미롭게	흥미/NNG+롭/XSA+게/EC
읽었다”며	읽/VV+었/EP+다/EF+”/SS+며/EC
“그분들과	“/SS+그분/NP+들/XSN+과/JKB
수상자가	수상자/NNG+가/JKC
되다니	되/VV+다니/EC
신기하다”고	신기하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


