# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.241
metadata : {}


# id : NWRW1800000024.241.1.1
CMA 과당경쟁 집중단속

CMA	CMA/SL
쇼핑’	쇼핑/NNG+’/SS
방식	방식/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
9월까지	9/SN+월/NNB+까지/JX
불법	불법/NNG
모집행위를	모집/NNG+행위/NNG+를/JKO
집중	집중/NNG
단속할	단속/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.241.4.1
광고 심의도 강화할 방침이다.

광고	광고/NNG
심의도	심의/NNG+도/JX
강화할	강화/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.241.4.2
홍영만 금융위 자본시장국장은 “원금을 보장하는 것처럼 오인하게 하는 광고나 고수익 제공 표시만을 부각한 광고는 사전 심의 단계에서 제지할 것”이라고 밝혔다.

홍영만	홍영만/NNP
금융위	금융위/NNG
자본시장국장은	자본/NNG+시장/NNG+국장/NNG+은/JX
“원금을	“/SS+원금/NNG+을/JKO
보장하는	보장/NNG+하/XSV+는/ETM
것처럼	것/NNB+처럼/JKB
오인하게	오인/NNG+하/XSV+게/EC
하는	하/VX+는/ETM
광고나	광고/NNG+나/JC
고수익	고/XPN+수익/NNG
제공	제공/NNG
표시만을	표시/NNG+만/JX+을/JKO
부각한	부각/NNG+하/XSV+ㄴ/ETM
광고는	광고/NNG+는/JX
사전	사전/NNG
심의	심의/NNG
단계에서	단계/NNG+에서/JKB
제지할	제지/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.241.5.1
새로운 규제 장치도 도입된다.

새로운	새롭/VA+ㄴ/ETM
규제	규제/NNG
장치도	장치/NNG+도/JX
도입된다.	도입/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.241.5.2
먼저 각 증권사에 맡겨져 있던 아르피(RP)형 시엠에이에서 편입하는 채권 평균 만기를 6개월 이내로 규제하기로 했다.

먼저	먼저/MAG
각	각/MMD
증권사에	증권사/NNG+에/JKB
맡겨져	맡기/VV+어/EC+지/VX+어/EC
있던	있/VX+던/ETM
아르피(RP)형	아르피/NNG+(/SS+RP/SL+)/SS+형/XSN
시엠에이에서	시엠에이/NNG+에서/JKB
편입하는	편입/NNG+하/XSV+는/ETM
채권	채권/NNG
평균	평균/NNG
만기를	만기/NNG+를/JKO
6개월	6/SN+개월/NNB
이내로	이내/NNG+로/JKB
규제하기로	규제/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.241.5.3
시장 금리 변화에 따른 시엠에이 약정수익률과 채권운용 수익률 간의 불일치로 발생할 수 있는 금리 리스크를 줄이고, 시엠에이 자금인출 증가에 따른 유동성 불안을 차단하겠다는 것이다.

시장	시장/NNG
금리	금리/NNG
변화에	변화/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
시엠에이	시엠에이/NNG
약정수익률과	약정/NNG+수익/NNG+률/XSN+과/JC
채권운용	채권/NNG+운용/NNG
수익률	수익/NNG+률/XSN
간의	간/NNB+의/JKG
불일치로	불/XPN+일치/NNG+로/JKB
발생할	발생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
리스크를	리스크/NNG+를/JKO
줄이고,	줄이/VV+고/EC+,/SP
자금인출	자금/NNG+인출/NNG
증가에	증가/NNG+에/JKB
유동성	유동/NNG+성/XSN
불안을	불안/NNG+을/JKO
차단하겠다는	차단/NNG+하/XSV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.241.6.1
또 증권사들이 고객의 수시 입출금에 대응할 수 있도록 시엠에이 수탁고 대비 일정 규모 이상의 현금성 자산을 확보하도록 할 예정이다.

또	또/MAG
증권사들이	증권사/NNG+들/XSN+이/JKS
고객의	고객/NNG+의/JKG
수시	수시/NNG
입출금에	입출금/NNG+에/JKB
대응할	대응/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
시엠에이	시엠에이/NNG
수탁고	수탁고/NNG
대비	대비/NNG
일정	일정/NNG
규모	규모/NNG
이상의	이상/NNG+의/JKG
현금성	현금/NNG+성/XSN
자산을	자산/NNG+을/JKO
확보하도록	확보/NNG+하/XSV+도록/EC
할	하/VX+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.241.6.2
단기금융시장 경색 등으로 편입한 아르피의 매도가 원활하지 않을 경우 한국은행 등과 협조해 한은의 수시 아르피 매입 대상을 현재 13개 증권사에서 시엠에이를 취급하는 25개 증권사로 확대하는 방안도 추진된다.

단기금융시장	단기/NNG+금융/NNG+시장/NNG
경색	경색/NNG
등으로	등/NNB+으로/JKB
편입한	편입/NNG+하/XSV+ㄴ/ETM
아르피의	아르피/NNG+의/JKG
매도가	매도/NNG+가/JKS
원활하지	원활/NNG+하/XSA+지/EC
않을	않/VX+을/ETM
경우	경우/NNG
한국은행	한국은행/NNP
등과	등/NNB+과/JKB
협조해	협조/NNG+하/XSV+아/EC
한은의	한은/NNP+의/JKG
수시	수시/NNG
아르피	아르피/NNG
매입	매입/NNG
대상을	대상/NNG+을/JKO
현재	현재/MAG
13개	13/SN+개/NNB
증권사에서	증권사/NNG+에서/JKB
시엠에이를	시엠에이/NNG+를/JKO
취급하는	취급/NNG+하/XSV+는/ETM
25개	25/SN+개/NNB
증권사로	증권사/NNG+로/JKB
확대하는	확대/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
추진된다.	추진/NNG+되/XSV+ㄴ다/EF+./SF


