# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.326
metadata : {}


# id : NWRW1800000049.326.1.1
靑 “朴대통령-3당 원내대표 회동 검토”

靑	靑/SH
이뤄낼	이루/VV+어/EC+내/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
인사여야	인사/NNG+이/VCP+어야/EC
한다”는	하/VX+ㄴ다/EF+”/SS+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.326.5.5
김성태 의원은 “외부 인사가 바람직하다”고 주장했다.

김성태	김성태/NNP
의원은	의원/NNG+은/JX
“외부	“/SS+외부/NNG
인사가	인사/NNG+가/JKS
바람직하다”고	바람직하/VA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.326.5.6
홍문종 의원은 “신임 원내대표에게 비대위 구성 권한을 줘야 한다”고 주장하기도 했다.

홍문종	홍문종/NNP
의원은	의원/NNG+은/JX
“신임	“/SS+신임/NNG
원내대표에게	원내/NNG+대표/NNG+에게/JKB
비대위	비대위/NNG
구성	구성/NNG
권한을	권한/NNG+을/JKO
줘야	주/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장하기도	주장/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.326.5.7
향후 비대위 구성의 분수령은 9일 당선자 총회가 될 것으로 전망된다.

향후	향후/NNG
비대위	비대위/NNG
구성의	구성/NNG+의/JKG
분수령은	분수령/NNG+은/JX
9일	9/SN+일/NNB
당선자	당선자/NNG
총회가	총회/NNG+가/JKS
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.326.5.8
하지만 비대위 성격과 활동기한, 전당대회 개최시기에 대한 당내 의견이 엇갈리고 있어 당분간 난상토론이 이어질 것으로 보인다.

하지만	하지만/MAJ
비대위	비대위/NNG
성격과	성격/NNG+과/JC
활동기한,	활동/NNG+기한/NNG+,/SP
전당대회	전당/NNG+대회/NNG
개최시기에	개최/NNG+시기/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
당내	당내/NNG
의견이	의견/NNG+이/JKS
엇갈리고	엇갈리/VV+고/EC
있어	있/VX+어/EC
당분간	당분간/MAG
난상토론이	난상/NNG+토론/NNG+이/JKS
이어질	이어지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.326.6.1
한편 청와대 관계자는 이날 “새누리당 비대위원장 인선이 계속 미뤄지면 박근혜 대통령이 3당 원내 지도부부터 만나는 방안을 실무선에서 검토하고 있다”고 말했다.

한편	한편/MAG
청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
이날	이날/NNG
“새누리당	“/SS+새누리당/NNP
비대위원장	비대위원장/NNG
인선이	인선/NNG+이/JKS
계속	계속/MAG
미뤄지면	미루/VV+어/EC+지/VX+면/EC
박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
3당	3/SN+당/NNG
원내	원내/NNG
지도부부터	지도부/NNG+부터/JX
만나는	만나/VV+는/ETM
방안을	방안/NNG+을/JKO
실무선에서	실무/NNG+선/NNG+에서/JKB
검토하고	검토/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.326.6.2
청와대는 9일 새누리당 당선자 총회에서 비대위원장 인선 문제에 가닥이 잡히는지를 지켜본 뒤 방침을 정할 예정이다.

청와대는	청와대/NNP+는/JX
9일	9/SN+일/NNB
새누리당	새누리당/NNP
당선자	당선자/NNG
총회에서	총회/NNG+에서/JKB
비대위원장	비대위원장/NNG
인선	인선/NNG
문제에	문제/NNG+에/JKB
가닥이	가닥/NNG+이/JKS
잡히는지를	잡히/VV+는지/EF+를/JKO
지켜본	지켜보/VV+ㄴ/ETM
뒤	뒤/NNG
방침을	방침/NNG+을/JKO
정할	정하/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


