# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.260
metadata : {}


# id : NWRW1800000041.260.1.1
“올림픽팀 맡아도…” 이광종의 걱정

“올림픽팀	“/SS+올림픽/NNG+팀/NNG
올림픽	올림픽/NNG
감독에	감독/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이야기가	이야기/NNG+가/JKS
나오자	나오/VV+자/EC
의욕을	의욕/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.260.4.3
정몽규 대한축구협회장과 이용수 기술위원장은 “절차에 따라 올림픽 감독을 선임하겠다”면서도 이 감독이 “유력한 올림픽 감독 후보”라고 말했다.

정몽규	정몽규/NNP
대한축구협회장과	대한축구협회장/NNG+과/JC
이용수	이용수/NNP
기술위원장은	기술/NNG+위원장/NNG+은/JX
“절차에	“/SS+절차/NNG+에/JKB
따라	따르/VV+아/EC
올림픽	올림픽/NNG
감독을	감독/NNG+을/JKO
선임하겠다”면서도	선임/NNG+하/XSV+겠/EP+다/EF+”/SS+면서/EC+도/JX
이	이/MMD
감독이	감독/NNG+이/JKS
“유력한	“/SS+유력/NNG+하/XSA+ㄴ/ETM
감독	감독/NNG
후보”라고	후보/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.260.5.1
그러나 이 감독은 2016 리우데자네이루 올림픽 대표팀의 앞길에 대해 장밋빛 전망만을 내놓지는 않았다.

그러나	그러나/MAJ
이	이/MMD
감독은	감독/NNG+은/JX
2016	2016/SN
리우데자네이루	리우데자네이루/NNP
올림픽	올림픽/NNG
대표팀의	대표/NNG+팀/NNG+의/JKG
앞길에	앞길/NNG+에/JKB
대해	대하/VV+아/EC
장밋빛	장밋빛/NNG
전망만을	전망/NNG+만/JX+을/JKO
내놓지는	내놓/VV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.260.5.2
올림픽에는 23세 이하 선수들이 출전한다.

올림픽에는	올림픽/NNG+에/JKB+는/JX
23세	23/SN+세/NNB
이하	이하/NNG
선수들이	선수/NNG+들/XSN+이/JKS
출전한다.	출전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.260.5.3
2016 올림픽 때는 현재 21세 이하인 선수들이 주축이 될 수밖에 없다.

2016	2016/SN
올림픽	올림픽/NNG
때는	때/NNG+는/JX
현재	현재/MAG
21세	21/SN+세/NNB
이하인	이하/NNG+이/VCP+ㄴ/ETM
선수들이	선수/NNG+들/XSN+이/JKS
주축이	주축/NNG+이/JKC
될	되/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.260.5.4
그동안 17세 이하, 20세 이하 대표팀 등을 이끌며 젊은 선수들을 파악해 온 이 감독은 “선수층이 얇아졌다”고 말했다.

그동안	그동안/NNG
17세	17/SN+세/NNB
이하,	이하/NNG+,/SP
20세	20/SN+세/NNB
이하	이하/NNG
대표팀	대표/NNG+팀/NNG
등을	등/NNB+을/JKO
이끌며	이끌/VV+며/EC
젊은	젊/VA+은/ETM
선수들을	선수/NNG+들/XSN+을/JKO
파악해	파악/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
이	이/NNP
감독은	감독/NNG+은/JX
“선수층이	“/SS+선수/NNG+층/XSN+이/JKS
얇아졌다”고	얇/VA+아/EC+지/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.260.5.5
현재 21세 선수 중에는 눈에 띄는 선수가 적은 편이다.

현재	현재/MAG
21세	21/SN+세/NNB
선수	선수/NNG
중에는	중/NNB+에/JKB+는/JX
눈에	눈/NNG+에/JKB
띄는	띄/VV+는/ETM
선수가	선수/NNG+가/JKS
적은	적/VA+은/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.260.5.6
또 20세 초반 선수들의 경우 일찍 프로에 진출한 경우가 대부분인데, 이 경우 소속팀에서 선배들에게 밀려 경기에 자주 출전하지 못한다.

또	또/MAG
20세	20/SN+세/NNB
초반	초반/NNG
선수들의	선수/NNG+들/XSN+의/JKG
경우	경우/NNG
일찍	일찍/MAG
프로에	프로/NNG+에/JKB
진출한	진출/NNG+하/XSV+ㄴ/ETM
경우가	경우/NNG+가/JKS
대부분인데,	대/XPN+부분/NNG+이/VCP+ㄴ데/EC+,/SP
이	이/MMD
소속팀에서	소속/NNG+팀/NNG+에서/JKB
선배들에게	선배/NNG+들/XSN+에게/JKB
밀려	밀리/VV+어/EC
경기에	경기/NNG+에/JKB
자주	자주/MAG
출전하지	출전/NNG+하/XSV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.260.5.7
따라서 경기력이나 감각이 떨어져 있는 경우가 많다.

따라서	따라서/MAJ
경기력이나	경기력/NNG+이나/JC
감각이	감각/NNG+이/JKS
떨어져	떨어지/VV+어/EC
있는	있/VX+는/ETM
경우가	경우/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000041.260.5.8
뚜렷한 스타가 없는 가운데, 선수들의 전반적인 경기력도 염려되는 상황이지만 이들만 따로 불러서 훈련할 수도 없다는 점이 이 감독이 우려한 부분이었다.

뚜렷한	뚜렷하/VA+ㄴ/ETM
스타가	스타/NNG+가/JKS
없는	없/VA+는/ETM
가운데,	가운데/NNG+,/SP
선수들의	선수/NNG+들/XSN+의/JKG
전반적인	전반/NNG+적/XSN+이/VCP+ㄴ/ETM
경기력도	경기력/NNG+도/JX
염려되는	염려/NNG+되/XSV+는/ETM
상황이지만	상황/NNG+이/VCP+지만/EC
이들만	이/NP+들/XSN+만/JX
따로	따로/MAG
불러서	부르/VV+어서/EC
훈련할	훈련/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
없다는	없/VA+다는/ETM
점이	점/NNG+이/JKS
이	이/MMD
감독이	감독/NNG+이/JKS
우려한	우려/NNG+하/XSV+ㄴ/ETM
부분이었다.	부분/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.260.6.1
여기에 정치권에서 아시아경기나 올림픽에서의 병역면제 혜택을 축소하려는 움직임이 일고 있는 점도 이 감독에게는 부담스럽다.

여기에	여기/NP+에/JKB
정치권에서	정치/NNG+권/XSN+에서/JKB
아시아경기나	아시아/NNP+경기/NNG+나/JC
올림픽에서의	올림픽/NNG+에서/JKB+의/JKG
병역면제	병역/NNG+면제/NNG
혜택을	혜택/NNG+을/JKO
축소하려는	축소/NNG+하/XSV+려는/ETM
움직임이	움직임/NNG+이/JKS
일고	일/VV+고/EC
있는	있/VX+는/ETM
점도	점/NNG+도/JX
이	이/MMD
감독에게는	감독/NNG+에게/JKB+는/JX
부담스럽다.	부담/NNG+스럽/XSA+다/EF+./SF


# id : NWRW1800000041.260.6.2
국회 국방위원회 여당 간사인 새누리당 김성찬 의원 측은 이날 “아시아경기나 올림픽에서의 병역면제 혜택을 둘러싸고 형평성 시비가 일고 있다”며 “대표팀을 병역면제 대상자들로만 채우지 못하도록 하는 방안을 구상 중이다”고 밝혔다.

국회	국회/NNG
국방위원회	국방/NNG+위원회/NNG
여당	여당/NNG
간사인	간사/NNG+이/VCP+ㄴ/ETM
새누리당	새누리당/NNP
김성찬	김성찬/NNP
의원	의원/NNG
측은	측/NNB+은/JX
이날	이날/NNG
“아시아경기나	“/SS+아시아/NNP+경기/NNG+나/JC
올림픽에서의	올림픽/NNG+에서/JKB+의/JKG
병역면제	병역/NNG+면제/NNG
혜택을	혜택/NNG+을/JKO
둘러싸고	둘러싸/VV+고/EC
형평성	형평/NNG+성/XSN
시비가	시비/NNG+가/JKS
일고	일/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“대표팀을	“/SS+대표/NNG+팀/NNG+을/JKO
대상자들로만	대상자/NNG+들/XSN+로/JKB+만/JX
채우지	채우/VV+지/EC
못하도록	못하/VX+도록/EC
하는	하/VX+는/ETM
방안을	방안/NNG+을/JKO
구상	구상/NNG
중이다”고	중/NNB+이/VCP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.260.7.1
이 감독은 “손흥민의 경우 올해 병역면제 혜택이 걸려 있는데도 소속팀인 레버쿠젠이 아시아경기에 보내주지 않았는데 앞으로 병역면제 혜택마저 없으면 각 프로팀에서 선수들을 대표팀에 더 안 보내줄 것”이라고 우려했다.

이	이/NNP
감독은	감독/NNG+은/JX
“손흥민의	“/SS+손흥민/NNP+의/JKG
경우	경우/NNG
올해	올해/NNG
병역면제	병역/NNG+면제/NNG
혜택이	혜택/NNG+이/JKS
걸려	걸리/VV+어/EC
있는데도	있/VX+는데/EC+도/JX
소속팀인	소속/NNG+팀/NNG+이/VCP+ㄴ/ETM
레버쿠젠이	레버쿠젠/NNP+이/JKS
아시아경기에	아시아/NNP+경기/NNG+에/JKB
보내주지	보내/VV+어/EC+주/VX+지/EC
않았는데	않/VX+았/EP+는데/EC
앞으로	앞/NNG+으로/JKB
혜택마저	혜택/NNG+마저/JX
없으면	없/VA+으면/EC
각	각/MMD
프로팀에서	프로/NNG+팀/NNG+에서/JKB
선수들을	선수/NNG+들/XSN+을/JKO
대표팀에	대표/NNG+팀/NNG+에/JKB
더	더/MAG
안	안/MAG
보내줄	보내/VV+어/EC+주/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.260.7.2
이 감독은 또 “개인종목 선수들은 올림픽이나 아시아경기에 나설 기회가 상대적으로 많아 병역면제 혜택 기회가 더 많지만 구기 종목은 그렇지 못하다.

이	이/NNP
감독은	감독/NNG+은/JX
또	또/MAG
“개인종목	“/SS+개인/NNG+종목/NNG
선수들은	선수/NNG+들/XSN+은/JX
올림픽이나	올림픽/NNG+이나/JC
아시아경기에	아시아/NNP+경기/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
기회가	기회/NNG+가/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
많아	많/VA+아/EC
병역면제	병역/NNG+면제/NNG
혜택	혜택/NNG
더	더/MAG
많지만	많/VA+지만/EC
구기	구기/NNG
종목은	종목/NNG+은/JX
그렇지	그렇/VA+지/EC
못하다.	못하/VX+다/EF+./SF


# id : NWRW1800000041.260.7.3
이런 점도 고려해야 할 것”이라고 말했다.

이런	이런/MMD
점도	점/NNG+도/JX
고려해야	고려/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


