# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000042.73
metadata : {}


# id : NWRW1800000042.73.1.1
왔다, 프랑스 '꼬꼬닭 아빠들'

왔다,	오/VV+았/EP+다/EF+,/SP
시리즈는	시리즈/NNG+는/JX
닭장을	닭장/NNG+을/JKO
나와	나오/VV+아/EC
바다로	바다/NNG+로/JKB
가고	가/VV+고/EC
싶어	싶/VX+어/EC
하는	하/VX+는/ETM
꼬꼬닭	꼬꼬닭/NNG
카르밀라	카르밀라/NNP
등	등/NNB
닭들이	닭/NNG+들/XSN+이/JKS
펼치는	펼치/VV+는/ETM
모험담이다.	모험담/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000042.73.5.3
지난봄 한국에서 제5권까지 번역돼 벌써 3만 부가 팔렸다.

지난봄	지난봄/NNG
한국에서	한국/NNP+에서/JKB
제5권까지	제/XPN+5/SN+권/NNB+까지/JX
번역돼	번역/NNG+되/XSV+어/EC
벌써	벌써/MAG
3만	3/SN+만/NR
부가	부/NNB+가/JKS
팔렸다.	팔리/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.73.6.1
파주북소리 축제 초청으로 한국에 온 두 작가는 6일 기자간담회에서 "우리는 첫눈에 '영혼의 파트너'라는 것을 알아봤다"고 말했다.

파주북소리	파주/NNP+북/NNG+소리/NNG
축제	축제/NNG
초청으로	초청/NNG+으로/JKB
한국에	한국/NNP+에/JKB
온	오/VV+ㄴ/ETM
두	두/MMN
작가는	작가/NNG+는/JX
6일	6/SN+일/NNB
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
"우리는	"/SS+우리/NP+는/JX
첫눈에	첫눈/NNG+에/JKB
'영혼의	'/SS+영혼/NNG+의/JKG
파트너'라는	파트너/NNG+'/SS+이/VCP+라는/ETM
것을	것/NNB+을/JKO
알아봤다"고	알아보/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.73.6.2
파리에 사는 졸리부아가 이야기를 지어 스트라스부르에 사는 아인리슈에게 보내면 그림을 덧붙이는 방식으로 그림 동화를 만들어 왔다.

파리에	파리/NNP+에/JKB
사는	살/VV+는/ETM
졸리부아가	졸리부아/NNP+가/JKS
이야기를	이야기/NNG+를/JKO
지어	짓/VV+어/EC
스트라스부르에	스트라스부르/NNP+에/JKB
아인리슈에게	아인리슈/NNP+에게/JKB
보내면	보내/VV+면/EC
그림을	그림/NNG+을/JKO
덧붙이는	덧붙이/VV+는/ETM
방식으로	방식/NNG+으로/JKB
그림	그림/NNG
동화를	동화/NNG+를/JKO
만들어	만들/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000042.73.6.3
한국에선 '꼬꼬닭 아빠들'이라는 별명이 붙었다.

한국에선	한국/NNP+에서/JKB+ㄴ/JX
'꼬꼬닭	'/SS+꼬꼬닭/NNG
아빠들'이라는	아빠/NNG+들/XSN+'/SS+이/VCP+라는/ETM
별명이	별명/NNG+이/JKS
붙었다.	붙/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.73.6.4
졸리부아는 "서로 잡아당기는 힘으로 단단해지는 새끼줄처럼, 아인리슈와 나는 제각각 글과 그림으로 상대를 '유혹'하는 관계"라고 했다.

졸리부아는	졸리부아/NNP+는/JX
"서로	"/SS+서로/MAG
잡아당기는	잡아당기/VV+는/ETM
힘으로	힘/NNG+으로/JKB
단단해지는	단단하/VA+아/EC+지/VX+는/ETM
새끼줄처럼,	새끼줄/NNG+처럼/JKB+,/SP
아인리슈와	아인리슈/NNP+와/JC
나는	나/NP+는/JX
제각각	제각각/MAG
글과	글/NNG+과/JC
그림으로	그림/NNG+으로/JKB
상대를	상대/NNG+를/JKO
'유혹'하는	'/SS+유혹/NNG+'/SS+하/VV+는/ETM
관계"라고	관계/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000042.73.7.1
'우정' '존중' '호기심' '죽음' 같은 주제를 그림책에 담으며 이어져온 '우당탕탕…' 시리즈가 언제 끝날지는 작가들도 몰랐다.

'우정'	'/SS+우정/NNG+'/SS
'존중'	'/SS+존중/NNG+'/SS
'호기심'	'/SS+호기심/NNG+'/SS
'죽음'	'/SS+죽음/NNG+'/SS
같은	같/VA+은/ETM
주제를	주제/NNG+를/JKO
그림책에	그림책/NNG+에/JKB
담으며	담/VV+으며/EC
이어져온	이어지/VV+어/EC+오/VX+ㄴ/ETM
'우당탕탕…'	'/SS+우당탕탕/MAG+…/SE+'/SS
시리즈가	시리즈/NNG+가/JKS
언제	언제/MAG
끝날지는	끝나/VV+ㄹ지/EC+는/JX
작가들도	작가/NNG+들/XSN+도/JX
몰랐다.	모르/VV+았/EP+다/EF+./SF


# id : NWRW1800000042.73.7.2
그런데 하필 왜 닭이었을까.

그런데	그런데/MAJ
하필	하필/MAG
왜	왜/MAG
닭이었을까.	닭/NNG+이/VCP+었/EP+을까/EF+./SF


# id : NWRW1800000042.73.7.3
"프랑스 축구 대표팀의 상징이 수탉이라서 그런 건 아닙니다.

"프랑스	"/SS+프랑스/NNP
축구	축구/NNG
대표팀의	대표/NNG+팀/NNG+의/JKG
상징이	상징/NNG+이/JKS
수탉이라서	수탉/NNG+이/VCP+라서/EC
그런	그런/MMD
건	거/NNB+ㄴ/JX
아닙니다.	아니/VCN+ㅂ니다/EF+./SF


# id : NWRW1800000042.73.7.4
닭은 유럽에서도 멍청한 동물이라서 유머를 얹기가 쉽지요.

닭은	닭/NNG+은/JX
유럽에서도	유럽/NNP+에서/JKB+도/JX
멍청한	멍청하/VA+ㄴ/ETM
동물이라서	동물/NNG+이/VCP+라서/EC
유머를	유머/NNG+를/JKO
얹기가	얹/VV+기/ETN+가/JKS
쉽지요.	쉽/VA+지요/EF+./SF


# id : NWRW1800000042.73.7.5
또 닭장은 공동체이면서 닫힌 공간이라 다른 세계로의 모험을 꿈꾸게 합니다."

또	또/MAG
닭장은	닭장/NNG+은/JX
공동체이면서	공동체/NNG+이/VCP+면서/EC
닫힌	닫히/VV+ㄴ/ETM
공간이라	공간/NNG+이/VCP+라/EC
다른	다른/MMD
세계로의	세계/NNG+로/JKB+의/JKG
모험을	모험/NNG+을/JKO
꿈꾸게	꿈꾸/VV+게/EC
합니다."	하/VX+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000042.73.8.1
아인리슈는 "한국에선 주말에 가족과 연인이 '책의 도시(파주출판도시)'로 모여드는 게 신기했다"고 말했다.

아인리슈는	아인리슈/NNP+는/JX
"한국에선	"/SS+한국/NNP+에서/JKB+ㄴ/JX
주말에	주말/NNG+에/JKB
가족과	가족/NNG+과/JC
연인이	연인/NNG+이/JKS
'책의	'/SS+책/NNG+의/JKG
도시(파주출판도시)'로	도시/NNG+(/SS+파주출판도시/NNP+)/SS+'/SS+로/JKB
모여드는	모여들/VV+는/ETM
게	거/NNB+이/JKS
신기했다"고	신기하/VA+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.73.8.2
티베트로 그림 여행을 갔을 때 일화를 그가 들려줬다.

티베트로	티베트/NNP+로/JKB
그림	그림/NNG
여행을	여행/NNG+을/JKO
갔을	가/VV+았/EP+을/ETM
때	때/NNG
일화를	일화/NNG+를/JKO
그가	그/NP+가/JKS
들려줬다.	들려주/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.73.8.3
"연료로 쓰려는지 소똥 항아리를 진 소녀 둘이 지나가다 내 물감을 보고 다가왔다.

"연료로	"/SS+연료/NNG+로/JKB
쓰려는지	쓰/VV+려는지/EC
소똥	소똥/NNG
항아리를	항아리/NNG+를/JKO
진	지/VV+ㄴ/ETM
소녀	소녀/NNG
둘이	둘/NR+이/JKS
지나가다	지나가/VV+다/EC
내	나/NP+의/JKG
물감을	물감/NNG+을/JKO
보고	보/VV+고/EC
다가왔다.	다가오/VV+았/EP+다/EF+./SF


# id : NWRW1800000042.73.8.4
처음 본 모양이었다.

처음	처음/NNG
본	보/VV+ㄴ/ETM
모양이었다.	모양/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000042.73.8.5
손톱에 꽃과 새를 그려줬다.

손톱에	손톱/NNG+에/JKB
꽃과	꽃/NNG+과/JC
새를	새/NNG+를/JKO
그려줬다.	그리/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000042.73.8.6
저녁에 숙소로 돌아왔는데 밖이 소란해졌다.

저녁에	저녁/NNG+에/JKB
숙소로	숙소/NNG+로/JKB
돌아왔는데	돌아오/VV+았/EP+는데/EC
밖이	밖/NNG+이/JKS
소란해졌다.	소란/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000042.73.8.7
나가 보니 동네 소녀들이 집합해 손을 내밀고 있었다."

나가	나가/VV+아/EC
보니	보/VX+니/EC
동네	동네/NNG
소녀들이	소녀/NNG+들/XSN+이/JKS
집합해	집합/NNG+하/XSV+아/EC
손을	손/NNG+을/JKO
내밀고	내밀/VV+고/EC
있었다."	있/VX+었/EP+다/EF+./SF+"/SS


