# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.69
metadata : {}


# id : NWRW1800000052.69.1.1
사찰 불안은 덜었는데, 감청설비 구비 의무화 걱정되네

사찰	사찰/NNG
“납득하기	“/SS+납득/NNG+하/XSV+기/ETN
어렵다”는	어렵/VA+다/EC+”/SS+는/JX
공식	공식/NNG
입장을	입장/NNG+을/JKO
낸	내/VV+ㄴ/ETM
것은	것/NNB+은/JX
이례적이다.	이례/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000052.69.6.3
한 검찰 관계자는 “카카오도 실시간으로 감청이 가능한 설비가 없고, 검찰과 경찰도 법적 근거가 없어 관련 장비가 없는 상황에서 대법 판결 취지대로 통신제한조치 허가서를 집행하라는 것은 사실상 감청을 못 하게 하는 것”이라고 말했다.

한	한/MMN
검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
“카카오도	“/SS+카카오/NNP+도/JX
실시간으로	실시간/NNG+으로/JKB
감청이	감청/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
설비가	설비/NNG+가/JKS
없고,	없/VA+고/EC+,/SP
검찰과	검찰/NNG+과/JC
경찰도	경찰/NNG+도/JX
법적	법/NNG+적/XSN
근거가	근거/NNG+가/JKS
없어	없/VA+어/EC
관련	관련/NNG
장비가	장비/NNG+가/JKS
없는	없/VA+는/ETM
상황에서	상황/NNG+에서/JKB
대법	대법/NNG
판결	판결/NNG
취지대로	취지/NNG+대로/JX
통신제한조치	통신/NNG+제한/NNG+조치/NNG
허가서를	허가서/NNG+를/JKO
집행하라는	집행/NNG+하/XSV+라는/ETM
것은	것/NNB+은/JX
사실상	사실/NNG+상/XSN
감청을	감청/NNG+을/JKO
못	못/MAG
하게	하/VV+게/EC
하는	하/VX+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.69.7.1
원래 전화 대화 내용을 엿듣는 감청은 실시간 감시를 뜻하지만 수사기관들은 미리 감청영장을 받아놓고 인터넷업체 서버에 남아있는 며칠치 대화 내용을 건네받았다.

원래	원래/MAG
전화	전화/NNG
대화	대화/NNG
내용을	내용/NNG+을/JKO
엿듣는	엿듣/VV+는/ETM
감청은	감청/NNG+은/JX
실시간	실시간/NNG
감시를	감시/NNG+를/JKO
뜻하지만	뜻/NNG+하/XSV+지만/EC
수사기관들은	수사/NNG+기관/NNG+들/XSN+은/JX
미리	미리/MAG
감청영장을	감청/NNG+영장/NNG+을/JKO
받아놓고	받/VV+아/EC+놓/VX+고/EC
인터넷업체	인터넷/NNG+업체/NNG
서버에	서버/NNG+에/JKB
남아있는	남/VV+아/EC+있/VX+는/ETM
며칠치	며칠/NNG+치/NNB
건네받았다.	건네받/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.69.7.2
대법원은 이게 편법을 넘어서는 위법이라고 선언한 것이다.

대법원은	대/XPN+법원/NNG+은/JX
이게	이거/NP+이/JKS
편법을	편법/NNG+을/JKO
넘어서는	넘어서/VV+는/ETM
위법이라고	위법/NNG+이/VCP+라고/EC
선언한	선언/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.69.7.3
서버에 남은 대화 내용을 받으려면 감청영장 대신 압수수색영장을 쓸 수도 있지만, ‘메신저 망명 사태’라는 위기를 맞은 카카오는 대화 내용 보관 기한을 기존 5~7일에서 2~3일로 줄였다.

서버에	서버/NNG+에/JKB
남은	남/VV+은/ETM
대화	대화/NNG
내용을	내용/NNG+을/JKO
받으려면	받/VV+으려면/EC
감청영장	감청/NNG+영장/NNG
대신	대신/NNG
압수수색영장을	압수/NNG+수색/NNG+영장/NNG+을/JKO
쓸	쓰/VV+ㄹ/ETM
수도	수/NNB+도/JX
있지만,	있/VA+지만/EC+,/SP
‘메신저	‘/SS+메신저/NNG
망명	망명/NNG
사태’라는	사태/NNG+’/SS+이/VCP+라는/ETM
위기를	위기/NNG+를/JKO
맞은	맞/VV+은/ETM
카카오는	카카오/NNP+는/JX
내용	내용/NNG
보관	보관/NNG
기한을	기한/NNG+을/JKO
기존	기존/NNG
5~7일에서	5/SN+~/SO+7/SN+일/NNB+에서/JKB
2~3일로	2/SN+~/SO+3/SN+일/NNB+로/JKB
줄였다.	줄이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.69.7.4
청구와 집행에 걸리는 시간을 감안하면 압수수색영장은 사실상 사용이 불가능하다는 게 수사기관들 말이다.

청구와	청구/NNG+와/JC
집행에	집행/NNG+에/JKB
걸리는	걸리/VV+는/ETM
시간을	시간/NNG+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
압수수색영장은	압수/NNG+수색/NNG+영장/NNG+은/JX
사실상	사실/NNG+상/XSN
사용이	사용/NNG+이/JKS
불가능하다는	불/XPN+가능/NNG+하/XSA+다는/ETM
게	거/NNB+이/JKS
수사기관들	수사/NNG+기관/NNG+들/XSN
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.69.8.1
관련 업계와 시민단체들은 대법원 판결을 계기로 감청설비 구비를 의무화하는 법안 제정이 다시 추진되는 것 아니냐고 걱정한다.

관련	관련/NNG
업계와	업계/NNG+와/JC
시민단체들은	시민/NNG+단체/NNG+들/XSN+은/JX
대법원	대/XPN+법원/NNG
판결을	판결/NNG+을/JKO
계기로	계기/NNG+로/JKB
감청설비	감청/NNG+설비/NNG
구비를	구비/NNG+를/JKO
의무화하는	의무/NNG+화/XSN+하/XSV+는/ETM
법안	법안/NNG
제정이	제정/NNG+이/JKS
다시	다시/MAG
추진되는	추진/NNG+되/XSV+는/ETM
것	것/NNB
아니냐고	아니/VCN+냐고/EC
걱정한다.	걱정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.69.8.2
검찰과 법무부는 이날 감청설비 설치 의무화의 필요성을 제기했다.

검찰과	검찰/NNG+과/JC
법무부는	법무부/NNG+는/JX
이날	이날/NNG
감청설비	감청/NNG+설비/NNG
설치	설치/NNG
의무화의	의무/NNG+화/XSN+의/JKG
필요성을	필요/NNG+성/XSN+을/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.69.8.3
이런 법은 지난 19대 국회 때 새누리당 의원들이 발의했다가 폐기됐는데, 카톡은 물론 휴대전화 감청까지 포함하는 내용이었다.

이런	이런/MMD
법은	법/NNG+은/JX
지난	지나/VV+ㄴ/ETM
19대	19/SN+대/NNB
국회	국회/NNG
때	때/NNG
새누리당	새누리당/NNP
의원들이	의원/NNG+들/XSN+이/JKS
발의했다가	발의/NNG+하/XSV+았/EP+다가/EC
폐기됐는데,	폐기/NNG+되/XSV+었/EP+는데/EC+,/SP
카톡은	카톡/NNP+은/JX
물론	물론/MAG
휴대전화	휴대/NNG+전화/NNG
감청까지	감청/NNG+까지/JX
포함하는	포함/NNG+하/XSV+는/ETM
내용이었다.	내용/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.69.8.4
한 포털업체 관계자는 “대법원 판결로 그동안 모호했던 감청영장과 압수수색영장 대상이 분명해지면서 카톡 같은 메신저는 사실상 감청이 불가능하게 된 셈인데, 국정원과 검찰 등이 이를 순순히 받아들이겠냐”고 말했다.

한	한/MMN
포털업체	포털/NNG+업체/NNG
관계자는	관계자/NNG+는/JX
“대법원	“/SS+대/XPN+법원/NNG
판결로	판결/NNG+로/JKB
그동안	그동안/NNG
모호했던	모호하/VA+았/EP+던/ETM
감청영장과	감청/NNG+영장/NNG+과/JC
압수수색영장	압수/NNG+수색/NNG+영장/NNG
대상이	대상/NNG+이/JKS
분명해지면서	분명/MAG+하/XSA+아/EC+지/VX+면서/EC
카톡	카톡/NNP
같은	같/VA+은/ETM
메신저는	메신저/NNG+는/JX
사실상	사실/NNG+상/XSN
감청이	감청/NNG+이/JKS
불가능하게	불/XPN+가능/NNG+하/XSA+게/EC
된	되/VV+ㄴ/ETM
셈인데,	셈/NNB+이/VCP+ㄴ데/EC+,/SP
국정원과	국정원/NNG+과/JC
검찰	검찰/NNG
등이	등/NNB+이/JKS
이를	이/NP+를/JKO
순순히	순순히/MAG
받아들이겠냐”고	받아들이/VV+겠/EP+냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.69.8.5
장여경 진보네트워크센터 활동가는 “대법원 주문 가운데 ‘수사기관이 통신기관에 감청 집행을 위탁하는 경우 그 집행에 필요한 설비를 제공하여야 한다’는 부분이 자칫 감청설비 구비 의무화 입법으로 이어지지 않을까 우려된다”고 말했다.

장여경	장여경/NNP
진보네트워크센터	진보/NNG+네트워크/NNG+센터/NNG
활동가는	활동가/NNG+는/JX
“대법원	“/SS+대/XPN+법원/NNG
주문	주문/NNG
가운데	가운데/NNG
‘수사기관이	‘/SS+수사/NNG+기관/NNG+이/JKS
통신기관에	통신/NNG+기관/NNG+에/JKB
감청	감청/NNG
집행을	집행/NNG+을/JKO
위탁하는	위탁/NNG+하/XSV+는/ETM
경우	경우/NNG
그	그/MMD
집행에	집행/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
설비를	설비/NNG+를/JKO
제공하여야	제공/NNG+하/XSV+아야/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
부분이	부분/NNG+이/JKS
자칫	자칫/MAG
감청설비	감청/NNG+설비/NNG
구비	구비/NNG
의무화	의무/NNG+화/XSN
입법으로	입법/NNG+으로/JKB
이어지지	이어지/VV+지/EC
않을까	않/VX+을까/EF
우려된다”고	우려/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.69.9.1
대법원 판단은 카카오가 오매불망 기다려온 것이다.

대법원	대/XPN+법원/NNG
판단은	판단/NNG+은/JX
카카오가	카카오/NNP+가/JKS
오매불망	오매불망/NNG
기다려온	기다리/VV+어/EC+오/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.69.9.2
하지만 과거 영장 집행에 협조하지 않겠다고 했다가 검찰의 압박을 받은 적 있어 조심스러워하는 분위기다.

하지만	하지만/MAJ
과거	과거/NNG
영장	영장/NNG
집행에	집행/NNG+에/JKB
협조하지	협조/NNG+하/XSV+지/EC
않겠다고	않/VX+겠/EP+다고/EC
했다가	하/VV+았/EP+다가/EC
검찰의	검찰/NNG+의/JKG
압박을	압박/NNG+을/JKO
받은	받/VV+은/ETM
적	적/NNB
있어	있/VA+어/EC
조심스러워하는	조심/NNG+스럽/XSA+어/EC+하/VX+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.69.9.3
카카오 관계자는 “대법원 결정을 환영한다고 하고 싶고, 텔레그램으로 떠난 ‘망명자’들을 다시 불러들이고 싶은데 말을 할 수가 없다”고 했다.

카카오	카카오/NNP
관계자는	관계자/NNG+는/JX
“대법원	“/SS+대/XPN+법원/NNG
결정을	결정/NNG+을/JKO
환영한다고	환영/NNG+하/XSV+ㄴ다고/EC
하고	하/VV+고/EC
싶고,	싶/VX+고/EC+,/SP
텔레그램으로	텔레그램/NNG+으로/JKB
떠난	떠나/VV+ㄴ/ETM
‘망명자’들을	‘/SS+망명자/NNG+’/SS+들/XSN+을/JKO
다시	다시/MAG
불러들이고	불러들이/VV+고/EC
싶은데	싶/VX+은데/EC
말을	말/NNG+을/JKO
할	하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.69.10.1
카카오의 진의를 두고도 해석이 엇갈린다.

카카오의	카카오/NNP+의/JKG
진의를	진의/NNG+를/JKO
두고도	두/VV+고도/EC
해석이	해석/NNG+이/JKS
엇갈린다.	엇갈리/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.69.10.2
이전에도 감청영장 협조를 중단했다가 재개한 적이 있기 때문이다.

이전에도	이전/NNG+에/JKB+도/JX
감청영장	감청/NNG+영장/NNG
협조를	협조/NNG+를/JKO
중단했다가	중단/NNG+하/XSV+았/EP+다가/EC
재개한	재개/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.69.10.3
2014년 10월 ‘사이버 검열’ 논란을 일으킨 검찰의 관계기관 대책회의에 카카오 간부가 참석하고, 정진우 노동당 부대표의 카톡 이용 내용이 압수수색당한 사실이 드러나면서 독일에 서버를 둔 텔레그램으로의 ‘메신저 망명 사태’가 발생하자 영장 집행에 협조하지 않겠다고 선언했다.

2014년	2014/SN+년/NNB
10월	10/SN+월/NNB
‘사이버	‘/SS+사이버/NNG
검열’	검열/NNG+’/SS
논란을	논란/NNG+을/JKO
일으킨	일으키/VV+ㄴ/ETM
검찰의	검찰/NNG+의/JKG
관계기관	관계/NNG+기관/NNG
대책회의에	대책/NNG+회의/NNG+에/JKB
카카오	카카오/NNP
간부가	간부/NNG+가/JKS
참석하고,	참석/NNG+하/XSV+고/EC+,/SP
정진우	정진우/NNP
노동당	노동당/NNP
부대표의	부대표/NNG+의/JKG
카톡	카톡/NNP
이용	이용/NNG
내용이	내용/NNG+이/JKS
압수수색당한	압수/NNG+수색/NNG+당하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
드러나면서	드러나/VV+면서/EC
독일에	독일/NNP+에/JKB
서버를	서버/NNG+를/JKO
둔	두/VV+ㄴ/ETM
텔레그램으로의	텔레그램/NNG+으로/JKB+의/JKG
‘메신저	‘/SS+메신저/NNG
망명	망명/NNG
사태’가	사태/NNG+’/SS+가/JKS
발생하자	발생/NNG+하/XSV+자/EC
영장	영장/NNG
집행에	집행/NNG+에/JKB
협조하지	협조/NNG+하/XSV+지/EC
않겠다고	않/VX+겠/EP+다고/EC
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.69.10.4
그러나 검찰과 대립한 끝에 1년 뒤 협조를 재개했다.

그러나	그러나/MAJ
검찰과	검찰/NNG+과/JKB
대립한	대립/NNG+하/XSV+ㄴ/ETM
끝에	끝/NNG+에/JKB
1년	1/SN+년/NNB
뒤	뒤/NNG
협조를	협조/NNG+를/JKO
재개했다.	재개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.69.10.5
당시 김범수 카카오 이사회 의장의 도박·탈세설 등이 난무한 것과 무관치 않다는 분석이 나왔다.

당시	당시/NNG
김범수	김범수/NNP
카카오	카카오/NNP
이사회	이사회/NNG
의장의	의장/NNG+의/JKG
도박·탈세설	도박/NNG+·/SP+탈세설/NNG
등이	등/NNB+이/JKS
난무한	난무/NNG+하/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
무관치	무관하/VA+지/EC
않다는	않/VX+다는/ETM
분석이	분석/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


