# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.31
metadata : {}


# id : NWRW1800000040.31.1.1
미·중 금융위기 우려 완화 코스피 엿새만에 소폭 올라

미·중	미/NNP+·/SP+중/NNP
전날 5% 넘게 폭락한 코스닥 지수는 12.11(2.52%) 오른 493.07을 나타내며 상대적으로 큰 폭의 반등세를 보였다.

전날	전날/NNG
5%	5/SN+%/SW
넘게	넘/VV+게/EC
폭락한	폭락/NNG+하/XSV+ㄴ/ETM
코스닥	코스닥/NNP
지수는	지수/NNG+는/JX
12.11(2.52%)	12/SN+./SP+11/SN+(/SS+2/SN+./SP+52/SN+%/SW+)/SS
오른	오르/VV+ㄴ/ETM
493.07을	493/SN+./SP+07/SN+을/JKO
나타내며	나타내/VV+며/EC
상대적으로	상대/NNG+적/XSN+으로/JKB
큰	크/VA+ㄴ/ETM
폭의	폭/NNG+의/JKG
반등세를	반등세/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.31.5.1
국내 증시의 소폭 오름세는 미국 주택경기 지표가 5년 만에 최고 수준을 나타내고 중국 인민은행이 은행권의 자금경색을 우려하는 시장을 달래기 시작하면서 나타난 기술적 반등 효과여서 큰 의미를 두기 힘들다는 평가가 나왔다.

국내	국내/NNG
증시의	증시/NNG+의/JKG
소폭	소폭/NNG
오름세는	오름세/NNG+는/JX
미국	미국/NNP
주택경기	주택/NNG+경기/NNG
지표가	지표/NNG+가/JKS
5년	5/SN+년/NNB
만에	만/NNB+에/JKB
최고	최고/NNG
수준을	수준/NNG+을/JKO
나타내고	나타내/VV+고/EC
중국	중국/NNP
인민은행이	인민은행/NNP+이/JKS
은행권의	은행/NNG+권/XSN+의/JKG
자금경색을	자금/NNG+경색/NNG+을/JKO
우려하는	우려/NNG+하/XSV+는/ETM
시장을	시장/NNG+을/JKO
달래기	달래/VV+기/ETN
시작하면서	시작/NNG+하/XSV+면서/EC
나타난	나타나/VV+ㄴ/ETM
기술적	기술/NNG+적/XSN
반등	반등/NNG
효과여서	효과/NNG+이/VCP+어서/EC
큰	크/VA+ㄴ/ETM
의미를	의미/NNG+를/JKO
두기	두/VV+기/ETN
힘들다는	힘들/VA+다는/ETM
평가가	평가/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.31.5.2
유가증권시장에서 개인은 1764억원, 기관은 277억원어치를 사들였으나, 외국인은 2201억원어치를 팔아치웠다.

유가증권시장에서	유가/NNG+증권/NNG+시장/NNG+에서/JKB
개인은	개인/NNG+은/JX
1764억원,	1764/SN+억/NR+원/NNB+,/SP
기관은	기관/NNG+은/JX
277억원어치를	277/SN+억/NR+원/NNB+어치/XSN+를/JKO
사들였으나,	사들이/VV+었/EP+으나/EC+,/SP
외국인은	외국인/NNG+은/JX
2201억원어치를	2201/SN+억/NR+원/NNB+어치/XSN+를/JKO
팔아치웠다.	팔/VV+아/EC+치우/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.31.5.3
대장주 삼성전자 주가는 전날보다 2.78% 내린 126만1000원에 거래되며 연중 최저치로 떨어졌다.

대장주	대장주/NNG
삼성전자	삼성전자/NNP
주가는	주가/NNG+는/JX
전날보다	전날/NNG+보다/JKB
2.78%	2/SN+./SP+78/SN+%/SW
내린	내리/VV+ㄴ/ETM
126만1000원에	126/SN+만/NR+1000/SN+원/NNB+에/JKB
거래되며	거래/NNG+되/XSV+며/EC
연중	연중/NNG
최저치로	최저/NNG+치/XSN+로/JKB
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.31.5.4
이날 외국인이 판 삼성전자 주식은 전체 외국인 매도 금액의 60%가 넘는다.

이날	이날/NNG
외국인이	외국인/NNG+이/JKS
판	팔/VV+ㄴ/ETM
삼성전자	삼성전자/NNP
주식은	주식/NNG+은/JX
전체	전체/NNG
외국인	외국인/NNG
매도	매도/NNG
금액의	금액/NNG+의/JKG
60%가	60/SN+%/SW+가/JKS
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000040.31.6.1
일본을 제외한 아시아 증시는 일제히 올랐다.

일본을	일본/NNP+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
아시아	아시아/NNP
증시는	증시/NNG+는/JX
일제히	일제히/MAG
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.31.6.2
중국 상하이종합지수는 전날 대비 0.1% 상승한 1951.49, 대만 가권지수는 1.59% 상승한 7784.80로 거래를 마쳤다.

중국	중국/NNP
상하이종합지수는	상하이/NNP+종합/NNG+지수/NNG+는/JX
전날	전날/NNG
대비	대비/NNG
0.1%	0/SN+./SP+1/SN+%/SW
상승한	상승/NNG+하/XSV+ㄴ/ETM
1951.49,	1951/SN+./SP+49/SN+,/SP
대만	대만/NNP
가권지수는	가권/NNG+지수/NNG+는/JX
1.59%	1/SN+./SP+59/SN+%/SW
7784.80로	7784/SN+./SP+80/SN+로/JKB
거래를	거래/NNG+를/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.31.6.3
도쿄증시의 닛케이 지수는 전날보다 1.04% 하락한 12834.01을 나타냈다.

도쿄증시의	도쿄/NNP+증시/NNG+의/JKG
닛케이	닛케이/NNP
지수는	지수/NNG+는/JX
전날보다	전날/NNG+보다/JKB
1.04%	1/SN+./SP+04/SN+%/SW
하락한	하락/NNG+하/XSV+ㄴ/ETM
12834.01을	12834/SN+./SP+01/SN+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.31.7.1
서울 외환시장에서 원-달러 환율은 전거래일보다 5.7원 내린 1154.5원에 거래를 마쳤다.

서울	서울/NNP
외환시장에서	외환/NNG+시장/NNG+에서/JKB
원-달러	원/NNG+-/SO+달러/NNG
환율은	환율/NNG+은/JX
전거래일보다	전/MMD+거래일/NNG+보다/JKB
5.7원	5/SN+./SP+7/SN+원/NNB
내린	내리/VV+ㄴ/ETM
1154.5원에	1154/SN+./SP+5/SN+원/NNB+에/JKB
거래를	거래/NNG+를/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


