# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.371
metadata : {}


# id : NWRW1800000030.371.1.1
[수도권I][경기도 이 사람] 외국인투자유치 자문관 스티븐 밤멜

[수도권I][경기도	[/SS+수도/NNG+권/XSN+I/SL+]/SS+[/SS+경기도/NNP
성을	성/NNG+을/JKO
땄고,	따/VV+았/EP+고/EC+,/SP
이름은	이름/NNG+은/JX
영어이름으로	영어/NNP+이름/NNG+으로/JKB
지었다.	짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.371.6.4
자녀들이 어릴 때는 미국과 한국을 오가며 생활하기도 했지만, 3년 전부터 딸과 아들을 외국인학교가 아닌 한국 초등학교에 다니게 하면서 키우는 중이다.

자녀들이	자녀/NNG+들/XSN+이/JKS
어릴	어리/VA+ㄹ/ETM
때는	때/NNG+는/JX
미국과	미국/NNP+과/JC
한국을	한국/NNP+을/JKO
오가며	오가/VV+며/EC
생활하기도	생활/NNG+하/XSV+기/ETN+도/JX
했지만,	하/VX+았/EP+지만/EC+,/SP
3년	3/SN+년/NNB
전부터	전/NNG+부터/JX
딸과	딸/NNG+과/JC
아들을	아들/NNG+을/JKO
외국인학교가	외국인/NNG+학교/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
한국	한국/NNP
초등학교에	초등학교/NNG+에/JKB
다니게	다니/VV+게/EC
하면서	하/VX+면서/EC
키우는	키우/VV+는/ETM
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.371.6.5
밤멜씨는 "딸이 처음 한국에 와서는 한국어가 너무 느려 고생을 했지만 지금은 잘 지낸다"며 웃었다.

밤멜씨는	밤멜/NNP+씨/NNB+는/JX
"딸이	"/SS+딸/NNG+이/JKS
처음	처음/NNG
한국에	한국/NNP+에/JKB
와서는	오/VV+아서/EC+는/JX
한국어가	한국어/NNP+가/JKS
너무	너무/MAG
느려	느리/VA+어/EC
고생을	고생/NNG+을/JKO
했지만	하/VV+았/EP+지만/EC
지금은	지금/NNG+은/JX
잘	잘/MAG
지낸다"며	지내/VV+ㄴ다/EF+"/SS+며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.371.7.1
밤멜씨는 회원이 1200명가량인 웹사이트도 운영하며 한국에서의 삶의 '폭'을 넓히고 있다.

밤멜씨는	밤멜/NNP+씨/NNB+는/JX
회원이	회원/NNG+이/JKS
1200명가량인	1200/SN+명/NNB+가량/XSN+이/VCP+ㄴ/ETM
웹사이트도	웹/NNG+사이트/NNG+도/JX
운영하며	운영/NNG+하/XSV+며/EC
한국에서의	한국/NNP+에서/JKB+의/JKG
삶의	삶/NNG+의/JKG
'폭'을	'/SS+폭/NNG+'/SS+을/JKO
넓히고	넓히/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.371.7.2
주로 한국에서 일하는 외국인들이 모여 정보와 이야기를 나누고 모임도 갖는다고 한다.

주로	주로/MAG
한국에서	한국/NNP+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
외국인들이	외국인/NNG+들/XSN+이/JKS
모여	모이/VV+어/EC
정보와	정보/NNG+와/JC
이야기를	이야기/NNG+를/JKO
나누고	나누/VV+고/EC
모임도	모임/NNG+도/JX
갖는다고	갖/VV+는다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.371.7.3
밤멜씨는 "한국에 와서 좋은 사람들을 만나 도움을 많이 받으며 즐겁게 살고 있다"며 "경기도 외투기업협의회 자문위원이 된 이후 많은 활동을 하지는 못했지만, 언제든지 부탁이 들어오면 도와드리고 싶다"고 말했다.

밤멜씨는	밤멜/NNP+씨/NNB+는/JX
"한국에	"/SS+한국/NNP+에/JKB
와서	오/VV+아서/EC
좋은	좋/VA+은/ETM
사람들을	사람/NNG+들/XSN+을/JKO
만나	만나/VV+아/EC
도움을	도움/NNG+을/JKO
많이	많이/MAG
받으며	받/VV+으며/EC
즐겁게	즐겁/VA+게/EC
살고	살/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"경기도	"/SS+경기도/NNP
외투기업협의회	외투/NNG+기업/NNG+협의회/NNG
자문위원이	자문/NNG+위원/NNG+이/JKC
된	되/VV+ㄴ/ETM
이후	이후/NNG
많은	많/VA+은/ETM
활동을	활동/NNG+을/JKO
하지는	하/VV+지/EC+는/JX
못했지만,	못하/VX+았/EP+지만/EC+,/SP
언제든지	언제/NP+든지/JX
부탁이	부탁/NNG+이/JKS
들어오면	들어오/VV+면/EC
도와드리고	도와드리/VV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


