# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.133
metadata : {}


# id : NWRW1800000049.133.1.1
[단독]스타트업 기업의 3D 사이버 걸그룹, 차은택 석사 논문속 ‘나나걸스’와 흡사

[단독]스타트업	[/SS+단독/NNG+]/SS+스타트업/NNG
길과	길/NNP+과/JC
프라이머리가	프라이머리/NNP+가/JKS
프로듀싱을	프로듀싱/NNG+을/JKO
맡았다는	맡/VV+았/EP+다는/ETM
점	점/NNG
등으로	등/NNB+으로/JKB
화제를	화제/NNG+를/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.133.2.3
이 걸그룹은 8일 서울 마포구에서 열린 ‘2016 서울국제뮤직페어’의 폐막 공연에서 공식 데뷔도 했다.

이	이/MMD
걸그룹은	걸그룹/NNG+은/JX
8일	8/SN+일/NNB
서울	서울/NNP
마포구에서	마포구/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘2016	‘/SS+2016/SN
서울국제뮤직페어’의	서울/NNP+국제/NNG+뮤직/NNG+페어/NNG+’/SS+의/JKG
폐막	폐막/NNG
공연에서	공연/NNG+에서/JKB
공식	공식/NNG
데뷔도	데뷔/NNG+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.133.3.1
‘고고로켓…’의 제작사는 광고영상 전문가였던 P 씨(48)가 지난해 8월 세운 푸른고래엔터테인먼트다.

‘고고로켓…’의	‘/SS+고고로켓/NNP+…/SE+’/SS+의/JKG
제작사는	제작사/NNG+는/JX
광고영상	광고/NNG+영상/NNG
전문가였던	전문가/NNG+이/VCP+었/EP+던/ETM
P	P/SL
씨(48)가	씨/NNB+(/SS+48/SN+)/SS+가/JKS
지난해	지난해/NNG
8월	8/SN+월/NNB
세운	세우/VV+ㄴ/ETM
푸른고래엔터테인먼트다.	푸른고래엔터테인먼트/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000049.133.3.2
이 회사는 최근 미르재단 관련 각종 의혹에 휩싸인 CF감독 차은택 씨(47)가 문화창조융합본부장으로 재임하던 올해 1월 문화창조벤처단지에 입주했다.

이	이/MMD
회사는	회사/NNG+는/JX
최근	최근/MAG
미르재단	미르재단/NNP
관련	관련/NNG
각종	각종/NNG
의혹에	의혹/NNG+에/JKB
휩싸인	휩싸이/VV+ㄴ/ETM
CF감독	CF/SL+감독/NNG
차은택	차은택/NNP
씨(47)가	씨/NNB+(/SS+47/SN+)/SS+가/JKS
문화창조융합본부장으로	문화/NNG+창조/NNG+융합/NNG+본부장/NNG+으로/JKB
재임하던	재임/NNG+하/XSV+던/ETM
올해	올해/NNG
1월	1/SN+월/NNB
문화창조벤처단지에	문화/NNG+창조/NNG+벤처/NNG+단지/NNG+에/JKB
입주했다.	입주/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.133.3.3
사무실 임차료가 무료인 데다 마케팅, 법률 지원 등 수억 원대의 정부 지원을 받을 수 있어 업계에서는 벤처단지 입주만으로도 큰 혜택으로 여긴다.

사무실	사무실/NNG
임차료가	임차료/NNG+가/JKS
무료인	무료/NNG+이/VCP+ㄴ/ETM
데다	데/NNB+다/JX
마케팅,	마케팅/NNG+,/SP
법률	법률/NNG
지원	지원/NNG
등	등/NNB
수억	수억/NR
원대의	원/NNB+대/XSN+의/JKG
정부	정부/NNG
지원을	지원/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있어	있/VA+어/EC
업계에서는	업계/NNG+에서/JKB+는/JX
벤처단지	벤처/NNG+단지/NNG
입주만으로도	입주/NNG+만/JX+으로/JKB+도/JX
큰	크/VA+ㄴ/ETM
혜택으로	혜택/NNG+으로/JKB
여긴다.	여기/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.133.3.4
당시 입주 경쟁률은 13 대 1이 넘었다.

당시	당시/NNG
입주	입주/NNG
경쟁률은	경쟁/NNG+률/XSN+은/JX
13	13/SN
대	대/NNB
1이	1/SN+이/JKS
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.133.4.1
그런데 ‘고고로켓…’의 원작자가 수상하다.

그런데	그런데/MAJ
‘고고로켓…’의	‘/SS+고고로켓/NNP+…/SE+’/SS+의/JKG
원작자가	원작자/NNG+가/JKS
수상하다.	수상하/VA+다/EF+./SF


# id : NWRW1800000049.133.4.2
차 씨가 2013년 6월 홍익대 영상대학원에서 김종덕 전 문화체육관광부 장관을 지도교수로 제출한 석사학위 논문에 나온 3D 캐릭터와 판에 박은 듯 똑같기 때문이다.

차	차/NNP
씨가	씨/NNB+가/JKS
2013년	2013/SN+년/NNB
6월	6/SN+월/NNB
홍익대	홍익대/NNP
영상대학원에서	영상/NNG+대학원/NNG+에서/JKB
김종덕	김종덕/NNP
전	전/MMD
문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
장관을	장관/NNG+을/JKO
지도교수로	지도/NNG+교수/NNG+로/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
석사학위	석사/NNG+학위/NNG
논문에	논문/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
3D	3/SN+D/SL
캐릭터와	캐릭터/NNG+와/JKB
판에	판/NNG+에/JKB
박은	박/VV+은/ETM
듯	듯/NNB
똑같기	똑같/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.133.4.3
동아일보가 단독 입수한 차 씨의 석사논문 ‘가상 캐릭터를 활용한 콘텐츠 융합에 관한 연구’에 나온 3D 캐릭터 ‘나나걸스’도 외계에서 온 3인조 캐릭터다.

동아일보가	동아일보/NNP+가/JKS
단독	단독/NNG
입수한	입수/NNG+하/XSV+ㄴ/ETM
차	차/NNP
씨의	씨/NNB+의/JKG
석사논문	석사/NNG+논문/NNG
‘가상	‘/SS+가상/NNG
캐릭터를	캐릭터/NNG+를/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
콘텐츠	콘텐츠/NNG
융합에	융합/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
연구’에	연구/NNG+’/SS+에/JKB
나온	나오/VV+ㄴ/ETM
3D	3/SN+D/SL
캐릭터	캐릭터/NNG
‘나나걸스’도	‘/SS+나나걸스/NNP+’/SS+도/JX
외계에서	외계/NNG+에서/JKB
온	오/VV+ㄴ/ETM
3인조	3/SN+인/NNG+조/NNG
캐릭터다.	캐릭터/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.133.4.4
멤버의 이름도 ‘제시카, 소이, 래요’(나나걸스)에서 ‘제시, 소이, 래요’(고고로켓…)로 한 글자만 고쳤을 뿐이다.

멤버의	멤버/NNG+의/JKG
이름도	이름/NNG+도/JX
‘제시카,	‘/SS+제시카/NNP+,/SP
소이,	소이/NNP+,/SP
래요’(나나걸스)에서	래요/NNP+’/SS+(/SS+나나걸스/NNP+)/SS+에서/JKB
‘제시,	‘/SS+제시/NNP+,/SP
래요’(고고로켓…)로	래요/NNP+’/SS+(/SS+고고로켓/NNP+…/SE+)/SS+로/JKB
한	한/MMN
글자만	글자/NNG+만/JX
고쳤을	고치/VV+었/EP+을/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.133.4.5
외모도 판박이다.

외모도	외모/NNG+도/JX
판박이다.	판박이/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.133.4.6
논문 속 ‘나나걸스’의 제시카는 비대칭 은발이 포인트인 섹시 캐릭터이고, 소이는 강렬한 붉은색 머리를 가진 작고 귀여운 모습, 래요는 짧은 머리에 털털하고 남자다운 성격이 돋보이는 캐릭터로 묘사된다.

논문	논문/NNG
속	속/NNG
‘나나걸스’의	‘/SS+나나걸스/NNP+’/SS+의/JKG
제시카는	제시카/NNP+는/JX
비대칭	비/XPN+대칭/NNG
은발이	은발/NNG+이/JKS
포인트인	포인트/NNG+이/VCP+ㄴ/ETM
섹시	섹시/NNG
캐릭터이고,	캐릭터/NNG+이/VCP+고/EC+,/SP
소이는	소이/NNP+는/JX
강렬한	강렬하/VA+ㄴ/ETM
붉은색	붉은색/NNG
머리를	머리/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
작고	작/VA+고/EC
귀여운	귀엽/VA+ㄴ/ETM
모습,	모습/NNG+,/SP
래요는	래요/NNP+는/JX
짧은	짧/VA+은/ETM
머리에	머리/NNG+에/JKB
털털하고	털털하/VA+고/EC
남자다운	남자/NNG+답/XSA+ㄴ/ETM
성격이	성격/NNG+이/JKS
돋보이는	돋보이/VV+는/ETM
캐릭터로	캐릭터/NNG+로/JKB
묘사된다.	묘사/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.133.5.1
캐릭터를 구축한 뒤 ‘원 소스 멀티 유스’로 활용하겠다는 계획도 같다.

캐릭터를	캐릭터/NNG+를/JKO
구축한	구축/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
‘원	‘/SS+원/NNG
소스	소스/NNG
멀티	멀티/NNG
유스’로	유스/NNG+’/SS+로/JKB
활용하겠다는	활용/NNG+하/XSV+겠/EP+다는/ETM
계획도	계획/NNG+도/JX
같다.	같/VA+다/EF+./SF


# id : NWRW1800000049.133.5.2
차 씨가 논문에서 밝힌 계획대로 ‘고고로켓…’은 유명 아티스트인 길과 프라이머리의 명성에 힘입어 인지도를 높인 뒤 가수들이 서는 실제 무대에도 올랐다.

차	차/NNP
씨가	씨/NNB+가/JKS
논문에서	논문/NNG+에서/JKB
밝힌	밝히/VV+ㄴ/ETM
계획대로	계획/NNG+대로/JX
‘고고로켓…’은	‘/SS+고고로켓/NNP+…/SE+’/SS+은/JX
유명	유명/NNG
아티스트인	아티스트/NNG+이/VCP+ㄴ/ETM
길과	길/NNP+과/JC
프라이머리의	프라이머리/NNP+의/JKG
명성에	명성/NNG+에/JKB
힘입어	힘입/VV+어/EC
인지도를	인지도/NNG+를/JKO
높인	높이/VV+ㄴ/ETM
뒤	뒤/NNG
가수들이	가수/NNG+들/XSN+이/JKS
서는	서/VV+는/ETM
실제	실제/NNG
무대에도	무대/NNG+에/JKB+도/JX
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.133.6.1
‘고고로켓…’을 만든 P 씨는 2004년 차 씨와 함께 애니콜 TV광고를 함께 작업했던 지인이다.

‘고고로켓…’을	‘/SS+고고로켓/NNP+…/SE+’/SS+을/JKO
만든	만들/VV+ㄴ/ETM
P	P/SL
씨는	씨/NNB+는/JX
2004년	2004/SN+년/NNB
차	차/NNP
씨와	씨/NNB+와/JKB
함께	함께/MAG
애니콜	애니콜/NNP
TV광고를	TV/SL+광고/NNG+를/JKO
작업했던	작업/NNG+하/XSV+았/EP+던/ETM
지인이다.	지인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.133.6.2
1996년 차 씨와 전시회 작업을 통해 처음 만난 20년 지기다.

1996년	1996/SN+년/NNB
차	차/NNP
씨와	씨/NNB+와/JC
전시회	전시회/NNG
작업을	작업/NNG+을/JKO
통해	통하/VV+아/EC
처음	처음/NNG
만난	만나/VV+ㄴ/ETM
20년	20/SN+년/NNB
지기다.	지기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.133.6.3
차 씨가 자신이 논문에 쓴 3D 캐릭터 걸그룹을 지인의 회사에 맡겨 자신이 본부장으로 있던 문화창조벤처단지에 입주시켜 정부 예산을 ‘셀프 지원’받아 데뷔시켰다는 의혹이 제기되는 부분이다.

차	차/NNP
씨가	씨/NNB+가/JKS
자신이	자신/NNG+이/JKS
논문에	논문/NNG+에/JKB
쓴	쓰/VV+ㄴ/ETM
3D	3/SN+D/SL
캐릭터	캐릭터/NNG
걸그룹을	걸그룹/NNG+을/JKO
지인의	지인/NNG+의/JKG
회사에	회사/NNG+에/JKB
맡겨	맡기/VV+어/EC
본부장으로	본부장/NNG+으로/JKB
있던	있/VA+던/ETM
문화창조벤처단지에	문화/NNG+창조/NNG+벤처/NNG+단지/NNG+에/JKB
입주시켜	입주/NNG+시키/XSV+어/EC
정부	정부/NNG
예산을	예산/NNG+을/JKO
‘셀프	‘/SS+셀프/NNG
지원’받아	지원/NNG+’/SS+받/XSV+아/EC
데뷔시켰다는	데뷔/NNG+시키/XSV+었/EP+다는/ETM
의혹이	의혹/NNG+이/JKS
제기되는	제기/NNG+되/XSV+는/ETM
부분이다.	부분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.133.7.1
P 씨는 본보와의 인터뷰에서 “(프로듀싱 작업은) 아는 음악감독이 소개해줬지만 누군지 밝힐 수 없다”고 말했다.

P	P/SL
씨는	씨/NNB+는/JX
본보와의	본보/NNG+와/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“(프로듀싱	“/SS+(/SS+프로듀싱/NNG
작업은)	작업/NNG+은/JX+)/SS
아는	알/VV+는/ETM
음악감독이	음악/NNG+감독/NNG+이/JKS
소개해줬지만	소개/NNG+하/XSV+아/EC+주/VX+었/EP+지만/EC
누군지	누구/NP+이/VCP+ㄴ지/EF
밝힐	밝히/VV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.133.7.2
그는 “차 감독은 예전에 알던 사이였지만, 벤처단지 입주에 도움을 받은 것은 아니다”라고 부인했다.

그는	그/NP+는/JX
“차	“/SS+차/NNP
감독은	감독/NNG+은/JX
예전에	예전/NNG+에/JKB
알던	알/VV+던/ETM
사이였지만,	사이/NNG+이/VCP+었/EP+지만/EC+,/SP
벤처단지	벤처/NNG+단지/NNG
입주에	입주/NNG+에/JKB
도움을	도움/NNG+을/JKO
받은	받/VV+은/ETM
것은	것/NNB+은/JX
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.133.7.3
그러나 그는 차 씨의 논문에 나온 ‘나나걸스’와 ‘고고로켓…’ 캐릭터가 유사한 이유에 대해 “차 감독과는 전혀 무관하다”고 말했다.

그러나	그러나/MAJ
그는	그/NP+는/JX
차	차/NNP
씨의	씨/NNB+의/JKG
논문에	논문/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
‘나나걸스’와	‘/SS+나나걸스/NNP+’/SS+와/JC
‘고고로켓…’	‘/SS+고고로켓/NNP+…/SE+’/SS
캐릭터가	캐릭터/NNG+가/JKS
유사한	유사/NNG+하/XSA+ㄴ/ETM
이유에	이유/NNG+에/JKB
대해	대하/VV+아/EC
“차	“/SS+차/NNP
감독과는	감독/NNG+과/JKB+는/JX
전혀	전혀/MAG
무관하다”고	무관하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


