# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.347
metadata : {}


# id : NWRW1800000044.347.1.1
“무인기 사건은 날조” 북, 공동조사 제의

“무인기	“/SS+무인기/NNG
국가안보를	국가/NNG+안보/NNG+를/JKO
총괄한다는	총괄/NNG+하/XSV+ㄴ다는/ETM
청와대	청와대/NNP
김장수	김장수/NNP
안보실장이	안보실장/NNG+이/JKS
남측을	남측/NNG+을/JKO
대표하여	대표/NNG+하/XSV+아/EC
나오면	나오/VV+면/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.347.5.1
검열단은 남쪽 국방부 발표에 대한 반박 근거로 △자신들은 어떤 경우에도 제품에 ‘기용’이라는 표현을 쓰지 않으며, △남쪽 정부가 발표한 무인기 이륙 지점인 ‘황해남도 옹진 부근의 한 비행장’은 존재하지 않는다는 주장 등을 제시했다.

검열단은	검열단/NNG+은/JX
남쪽	남쪽/NNG
국방부	국방부/NNG
발표에	발표/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
반박	반박/NNG
근거로	근거/NNG+로/JKB
△자신들은	△/SW+자신/NNG+들/XSN+은/JX
어떤	어떤/MMD
경우에도	경우/NNG+에/JKB+도/JX
제품에	제품/NNG+에/JKB
‘기용’이라는	‘/SS+기용/NNG+’/SS+이/VCP+라는/ETM
표현을	표현/NNG+을/JKO
쓰지	쓰/VV+지/EC
않으며,	않/VX+으며/EC+,/SP
△남쪽	△/SW+남쪽/NNG
정부가	정부/NNG+가/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
무인기	무인기/NNG
이륙	이륙/NNG
지점인	지점/NNG+이/VCP+ㄴ/ETM
‘황해남도	‘/SS+황해남도/NNP
옹진	옹진/NNP
부근의	부근/NNG+의/JKG
한	한/MMN
비행장’은	비행장/NNG+’/SS+은/JX
존재하지	존재/NNG+하/XSV+지/EC
않는다는	않/VX+는다는/ETM
주장	주장/NNG
등을	등/NNB+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.347.6.1
앞서 북한 대남기구인 조국평화통일위원회(조평통)도 이날 오전 서기국 명의의 진상공개장을 내어 남쪽의 소형무인기 중간 조사 결과 발표를 ‘비방·중상’으로 규정하고 “결정적 근거는 찾지 못하면서 우리와 연관시켜 제2의 천안호 사건을 날조해내고 있다”고 주장한 바 있다.

앞서	앞서/MAG
북한	북한/NNP
대남기구인	대남/NNG+기구/NNG+이/VCP+ㄴ/ETM
조국평화통일위원회(조평통)도	조국/NNG+평화/NNG+통일/NNG+위원회/NNG+(/SS+조평통/NNG+)/SS+도/JX
이날	이날/NNG
오전	오전/NNG
서기국	서기국/NNG
명의의	명의/NNG+의/JKG
진상공개장을	진상/NNG+공개장/NNG+을/JKO
내어	내/VV+어/EC
남쪽의	남쪽/NNG+의/JKG
소형무인기	소형/NNG+무인기/NNG
중간	중간/NNG
조사	조사/NNG
결과	결과/NNG
발표를	발표/NNG+를/JKO
‘비방·중상’으로	‘/SS+비방/NNG+·/SP+중상/NNG+’/SS+으로/JKB
규정하고	규정/NNG+하/XSV+고/EC
“결정적	“/SS+결정/NNG+적/XSN
근거는	근거/NNG+는/JX
찾지	찾/VV+지/EC
못하면서	못하/VX+면서/EC
우리와	우리/NP+와/JKB
연관시켜	연관/NNG+시키/XSV+어/EC
제2의	제/XPN+2/SN+의/JKG
천안호	천안호/NNP
사건을	사건/NNG+을/JKO
날조해내고	날조/NNG+하/XSV+아/EC+내/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
주장한	주장/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


