# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.403
metadata : {}


# id : NWRW1800000054.403.1.1
여름 한복판 인제군 만해마을, 詩·書·畵 향기 가득

여름	여름/NNG
11일 오후 2시 만해마을 내 문인의집에서는 '님의 침묵 전국 시조낭송 대회'가 열린다.

11일	11/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
만해마을	만해마을/NNP
내	내/NNB
문인의집에서는	문인의집/NNP+에서/JKB+는/JX
'님의	'/SS+님/NNG+의/JKG
침묵	침묵/NNG
전국	전국/NNG
시조낭송	시조/NNG+낭송/NNG
대회'가	대회/NNG+'/SS+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.403.4.3
예심을 거친 24명의 시조 암송 실력을 겨룬다.

예심을	예심/NNG+을/JKO
거친	거치/VV+ㄴ/ETM
24명의	24/SN+명/NNB+의/JKG
시조	시조/NNG
암송	암송/NNG
실력을	실력/NNG+을/JKO
겨룬다.	겨루/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.403.4.4
만해마을 내 만해문학박물관에서는 한용운 선생 관련 자료들이 상설 전시되고 있으며 만해마을 내 야외 잔디밭 곳곳에는 세워진 시비(詩碑)와 국내외 100여명 시인의 시를 동판에 새긴 '평화의 시벽(詩壁)'도 감상할 수 있다.

만해마을	만해마을/NNP
내	내/NNB
만해문학박물관에서는	만해문학박물관/NNP+에서/JKB+는/JX
한용운	한용운/NNP
선생	선생/NNG
관련	관련/NNG
자료들이	자료/NNG+들/XSN+이/JKS
상설	상설/NNG
전시되고	전시/NNG+되/XSV+고/EC
있으며	있/VX+으며/EC
야외	야외/NNG
잔디밭	잔디밭/NNG
곳곳에는	곳곳/NNG+에/JKB+는/JX
세워진	세우/VV+어/EC+지/VX+ㄴ/ETM
시비(詩碑)와	시비/NNG+(/SS+詩碑/SH+)/SS+와/JC
국내외	국내외/NNG
100여명	100/SN+여/XSN+명/NNB
시인의	시인/NNG+의/JKG
시를	시/NNG+를/JKO
동판에	동판/NNG+에/JKB
새긴	새기/VV+ㄴ/ETM
'평화의	'/SS+평화/NNG+의/JKG
시벽(詩壁)'도	시/NNG+벽/NNG+(/SS+詩壁/SH+)/SS+'/SS+도/JX
감상할	감상/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.403.4.5
인제문화예술단체연합회가 주최하는 사진전, 수묵화전, 시화전은 기린종합복지관에서 열린다.

인제문화예술단체연합회가	인제문화예술단체연합회/NNP+가/JKS
주최하는	주최/NNG+하/XSV+는/ETM
사진전,	사진전/NNG+,/SP
수묵화전,	수묵화전/NNG+,/SP
시화전은	시화전/NNG+은/JX
기린종합복지관에서	기린종합복지관/NNP+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.403.5.1
만해마을 인근 '한국시집박물관'과 '여초 서예관'도 찾아볼 만하다.

만해마을	만해마을/NNP
인근	인근/NNG
'한국시집박물관'과	'/SS+한국시집박물관/NNP+'/SS+과/JC
'여초	'/SS+여초/NNP
서예관'도	서예관/NNG+'/SS+도/JX
찾아볼	찾/VV+아/EC+보/VX+ㄹ/ETM
만하다.	만/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000054.403.5.2
한국시집박물관에서는 국내에서 발간된 7000여종의 시집을 만나볼 수 있다.

한국시집박물관에서는	한국시집박물관/NNP+에서/JKB+는/JX
국내에서	국내/NNG+에서/JKB
발간된	발간/NNG+되/XSV+ㄴ/ETM
7000여종의	7000/SN+여/XSN+종/NNG+의/JKG
시집을	시집/NNG+을/JKO
만나볼	만나/VV+아/EC+보/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.403.5.3
31일까지 한용운·박인환·이외수 등 인제와 인연이 있는 문인들의 대표 시를 전시하는 '내설악 문인 시서화전'이 열리고 있다.

31일까지	31/SN+일/NNB+까지/JX
한용운·박인환·이외수	한용운/NNP+·/SP+박인환/NNP+·/SP+이외수/NNP
등	등/NNB
인제와	인제/NNP+와/JKB
인연이	인연/NNG+이/JKS
있는	있/VA+는/ETM
문인들의	문인/NNG+들/XSN+의/JKG
대표	대표/NNG
시를	시/NNG+를/JKO
전시하는	전시/NNG+하/XSV+는/ETM
'내설악	'/SS+내설악/NNP
문인	문인/NNG
시서화전'이	시서화전/NNG+'/SS+이/JKS
열리고	열리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.403.5.4
(033)463-4082

(033)463-4082	(/SS+033/SN+)/SS+463/SN+-/SO+4082/SN


# id : NWRW1800000054.403.6.1
여초 서예관은 한국 현대 서예의 거목 여초 김응현(1927~2007)이 마지막 10년을 인제에서 지냈던 것을 계기로 세워진 곳.

여초	여초/NNP
서예관은	서예관/NNG+은/JX
한국	한국/NNP
현대	현대/NNG
서예의	서예/NNG+의/JKG
거목	거목/NNG
김응현(1927~2007)이	김응현/NNP+(/SS+1927/SN+~/SO+2007/SN+)/SS+이/JKS
마지막	마지막/NNG
10년을	10/SN+년/NNB+을/JKO
인제에서	인제/NNP+에서/JKB
지냈던	지내/VV+었/EP+던/ETM
것을	것/NNB+을/JKO
계기로	계기/NNG+로/JKB
세워진	세우/VV+어/EC+지/VX+ㄴ/ETM
곳.	곳/NNG+./SF


# id : NWRW1800000054.403.6.2
9월 3일까지 '인제는 캘리그라피시대'라는 주제로 청년 서예 작가들의 캘리그라피 작품이 전시된다.

9월	9/SN+월/NNB
3일까지	3/SN+일/NNB+까지/JX
'인제는	'/SS+인제/NNP+는/JX
캘리그라피시대'라는	캘리그라피/NNG+시대/NNG+'/SS+이/VCP+라는/ETM
주제로	주제/NNG+로/JKB
청년	청년/NNG
서예	서예/NNG
작가들의	작가/NNG+들/XSN+의/JKG
캘리그라피	캘리그라피/NNG
작품이	작품/NNG+이/JKS
전시된다.	전시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.403.6.3
(033)461-4081

(033)461-4081	(/SS+033/SN+)/SS+461/SN+-/SO+4081/SN


# id : NWRW1800000054.403.7.1
만해대상 시상식이 열리는 인제읍 하늘내린센터 주변에도 '인제산촌민속박물관'과 '박인환문학관' 등의 문화 공간이 마련돼 있다.

만해대상	만해/NNP+대상/NNG
시상식이	시상식/NNG+이/JKS
열리는	열리/VV+는/ETM
인제읍	인제읍/NNP
하늘내린센터	하늘내린센터/NNP
주변에도	주변/NNG+에/JKB+도/JX
'인제산촌민속박물관'과	'/SS+인제산촌민속박물관/NNP+'/SS+과/JC
'박인환문학관'	'/SS+박인환문학관/NNP+'/SS
등의	등/NNB+의/JKG
문화	문화/NNG
공간이	공간/NNG+이/JKS
마련돼	마련/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.403.7.2
아이들과 함께 온 방문객이라면 인제산촌민속박물관에서 산야초를 이용한 구급함, 천연 모기향 만들기 프로그램에 참여해 추억을 남기기 좋다.

아이들과	아이/NNG+들/XSN+과/JKB
함께	함께/MAG
온	오/VV+ㄴ/ETM
방문객이라면	방문객/NNG+이/VCP+라면/EC
인제산촌민속박물관에서	인제산촌민속박물관/NNP+에서/JKB
산야초를	산야초/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
구급함,	구급함/NNG+,/SP
천연	천연/NNG
모기향	모기향/NNG
만들기	만들/VV+기/ETN
프로그램에	프로그램/NNG+에/JKB
참여해	참여/NNG+하/XSV+아/EC
추억을	추억/NNG+을/JKO
남기기	남기/VV+기/ETN
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000054.403.7.3
(033)462-2086

(033)462-2086	(/SS+033/SN+)/SS+462/SN+-/SO+2086/SN


# id : NWRW1800000054.403.8.1
민속박물관 바로 옆에는 인제에서 태어난 '목마와 숙녀'의 시인 박인환을 기리기 위해 세운 '박인환문학관'이 있다.

민속박물관	민속/NNG+박물관/NNG
바로	바로/MAG
옆에는	옆/NNG+에/JKB+는/JX
인제에서	인제/NNP+에서/JKB
태어난	태어나/VV+ㄴ/ETM
'목마와	'/SS+목마/NNG+와/JC
숙녀'의	숙녀/NNG+'/SS+의/JKG
시인	시인/NNG
박인환을	박인환/NNP+을/JKO
기리기	기리/VV+기/ETN
위해	위하/VV+아/EC
세운	세우/VV+ㄴ/ETM
'박인환문학관'이	'/SS+박인환문학관/NNP+'/SS+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.403.8.2
문학관 안에는 1950년대 박인환 시인이 활동했던 명동 거리를 복원한 전시관이 있다.

문학관	문학관/NNG
안에는	안/NNG+에/JKB+는/JX
1950년대	1950/SN+년대/NNB
박인환	박인환/NNP
시인이	시인/NNG+이/JKS
활동했던	활동/NNG+하/XSV+았/EP+던/ETM
명동	명동/NNP
거리를	거리/NNG+를/JKO
복원한	복원/NNG+하/XSV+ㄴ/ETM
전시관이	전시관/NNG+이/JKS
있다.	있/VA+다/EF+./SF


