# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.360
metadata : {}


# id : NWRW1800000026.360.1.1
[부산·경남] 부산지역 16개 구·군 중에 강서구 GRDP 압도적 1위

[부산·경남]	[/SS+부산/NNP+·/SP+경남/NNP+]/SS
부산시측은 "강서·부산진·사상구 등이 앞서 있는 것은 녹산·사상공단 등 제조업 및 서비스업이 집중된 때문으로 보인다"고 말했다.

부산시측은	부산시/NNP+측/NNB+은/JX
"강서·부산진·사상구	"/SS+강서/NNP+·/SP+부산진/NNP+·/SP+사상구/NNP
등이	등/NNB+이/JKS
앞서	앞서/VV+어/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
녹산·사상공단	녹산/NNP+·/SP+사상공단/NNP
등	등/NNB
제조업	제조업/NNG
및	및/MAG
서비스업이	서비스업/NNG+이/JKS
집중된	집중/NNG+되/XSV+ㄴ/ETM
때문으로	때문/NNB+으로/JKB
보인다"고	보이/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.360.3.3
1인당 GRDP에서도 제조업이 밀집해 있고 인구 구성비가 낮은 강서구가 1억1853만9000원으로 압도적으로 높았다.

1인당	1/SN+인/NNG+당/XSN
GRDP에서도	GRDP/SL+에서/JKB+도/JX
제조업이	제조업/NNG+이/JKS
밀집해	밀집/NNG+하/XSV+아/EC
있고	있/VX+고/EC
인구	인구/NNG
구성비가	구성비/NNG+가/JKS
낮은	낮/VA+은/ETM
강서구가	강서구/NNP+가/JKS
1억1853만9000원으로	1/SN+억/NR+1853/SN+만/NR+9000/SN+원/NNB+으로/JKB
압도적으로	압도/NNG+적/XSN+으로/JKB
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000026.360.3.4
다음은 중구 4823만원, 동구 3814만9000원 등이었다.

다음은	다음/NNG+은/JX
중구	중구/NNP
4823만원,	4823/SN+만/NR+원/NNB+,/SP
동구	동구/NNP
3814만9000원	3814/SN+만/NR+9000/SN+원/NNB
등이었다.	등/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.360.4.1
주거밀집지역으로 인구가 많고 생산시설이 적은 북구는 620만2000원, 해운대구는 821만6000원, 동래구는 928만6000원 등에 그쳤다.

주거밀집지역으로	주거/NNG+밀집/NNG+지역/NNG+으로/JKB
인구가	인구/NNG+가/JKS
많고	많/VA+고/EC
생산시설이	생산/NNG+시설/NNG+이/JKS
적은	적/VA+은/ETM
북구는	북구/NNP+는/JX
620만2000원,	620/SN+만/NR+2000/SN+원/NNB+,/SP
해운대구는	해운대구/NNP+는/JX
821만6000원,	821/SN+만/NR+6000/SN+원/NNB+,/SP
동래구는	동래구/NNP+는/JX
928만6000원	928/SN+만/NR+6000/SN+원/NNB
등에	등/NNB+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.360.4.2
성장률이 높은 지역은 기장군(30%)·강서구(18.8%)·연제구(11.5%)였다.

성장률이	성장/NNG+률/XSN+이/JKS
높은	높/VA+은/ETM
지역은	지역/NNG+은/JX
기장군(30%)·강서구(18.8%)·연제구(11.5%)였다.	기장군/NNP+(/SS+30/SN+%/SW+)/SS+·/SP+강서구/NNP+(/SS+18/SN+./SP+8/SN+%/SW+)/SS+·/SP+연제구/NNP+(/SS+11/SN+./SP+5/SN+%/SW+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.360.4.3
반면 해운대구(-4.2%)·영도구(-1.6%) ·동래구(-1%)는 성장률이 낮았다.

반면	반면/NNG
해운대구(-4.2%)·영도구(-1.6%)	해운대구/NNP+(/SS+-/SO+4/SN+./SP+2/SN+%/SW+)/SS+·/SP+영도구/NNP+(/SS+-/SO+1/SN+./SP+6/SN+%/SW+)/SS
·동래구(-1%)는	·/SP+동래구/NNP+(/SS+-/SO+1/SN+%/SW+)/SS+는/JX
성장률이	성장/NNG+률/XSN+이/JKS
낮았다.	낮/VA+았/EP+다/EF+./SF


