# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.163
metadata : {}


# id : NWRW1800000053.163.1.1
‘이건희 회장 동영상’ CJ부장이 촬영 지시

‘이건희	‘/SS+이건희/NNP
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.163.5.1
지난해 7월 한 인터넷 언론은 “이 회장이 서울 강남구 삼성동 자택과 논현동의 한 빌라에서 성매매를 한 의혹이 있다”며 2011년 2월∼2013년 6월 5차례에 걸쳐 몰래카메라로 촬영된 동영상을 공개했다.

지난해	지난해/NNG
7월	7/SN+월/NNB
한	하/VV+ㄴ/ETM
인터넷	인터넷/NNG
언론은	언론/NNG+은/JX
“이	“/SS+이/NNP
회장이	회장/NNG+이/JKS
서울	서울/NNP
강남구	강남구/NNP
삼성동	삼성동/NNP
자택과	자택/NNG+과/JC
논현동의	논현동/NNP+의/JKG
빌라에서	빌라/NNG+에서/JKB
성매매를	성매매/NNG+를/JKO
의혹이	의혹/NNG+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
2011년	2011/SN+년/NNB
2월∼2013년	2/SN+월/NNB+∼/SO+2013/SN+년/NNB
6월	6/SN+월/NNB
5차례에	5/SN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
몰래카메라로	몰래카메라/NNG+로/JKB
촬영된	촬영/NNG+되/XSV+ㄴ/ETM
동영상을	동영상/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.163.5.2
지난해 시민단체의 고발로 수사에 착수한 검찰은 선 씨의 남자 친동생이 동영상에 등장하는 여성에게 몰래카메라를 찍도록 지시한 혐의를 확인했다.

지난해	지난해/NNG
시민단체의	시민/NNG+단체/NNG+의/JKG
고발로	고발/NNG+로/JKB
수사에	수사/NNG+에/JKB
착수한	착수/NNG+하/XSV+ㄴ/ETM
검찰은	검찰/NNG+은/JX
선	선/NNP
씨의	씨/NNB+의/JKG
남자	남자/NNG
친동생이	친/XPN+동생/NNG+이/JKS
동영상에	동영상/NNG+에/JKB
등장하는	등장/NNG+하/XSV+는/ETM
여성에게	여성/NNG+에게/JKB
몰래카메라를	몰래카메라/NNG+를/JKO
찍도록	찍/VV+도록/EC
지시한	지시/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.163.5.3
검찰 관계자는 “구속된 형 선 씨가 동영상 촬영을 주도한 것으로 보인다”고 말했다.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
“구속된	“/SS+구속/NNG+되/XSV+ㄴ/ETM
형	형/NNG
선	선/NNP
씨가	씨/NNB+가/JKS
동영상	동영상/NNG
촬영을	촬영/NNG+을/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.163.6.1
선 씨가 동영상을 촬영할 당시 삼성과 CJ는 고 이병철 삼성그룹 창업주의 차명재산 상속 문제로 갈등을 빚고 있었다.

선	선/NNP
씨가	씨/NNB+가/JKS
동영상을	동영상/NNG+을/JKO
촬영할	촬영/NNG+하/XSV+ㄹ/ETM
당시	당시/NNG
삼성과	삼성/NNP+과/JC
CJ는	CJ/SL+는/JX
고	고/MMA
이병철	이병철/NNP
삼성그룹	삼성그룹/NNP
창업주의	창업주/NNG+의/JKG
차명재산	차명/NNG+재산/NNG
상속	상속/NNG
문제로	문제/NNG+로/JKB
갈등을	갈등/NNG+을/JKO
빚고	빚/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.163.6.2
선 씨는 동영상을 CJ에 팔거나 삼성을 협박해 돈을 뜯어내는 데 이용하려 했던 것으로 전해졌다.

선	선/NNP
씨는	씨/NNB+는/JX
동영상을	동영상/NNG+을/JKO
CJ에	CJ/SL+에/JKB
팔거나	팔/VV+거나/EC
삼성을	삼성/NNP+을/JKO
협박해	협박/NNG+하/XSV+아/EC
돈을	돈/NNG+을/JKO
뜯어내는	뜯어내/VV+는/ETM
데	데/NNB
이용하려	이용/NNG+하/XSV+려/EC
했던	하/VX+았/EP+던/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.163.6.3
검찰은 선 씨의 배후가 있는지 수사 중이다.

검찰은	검찰/NNG+은/JX
선	선/NNP
씨의	씨/NNB+의/JKG
배후가	배후/NNG+가/JKS
있는지	있/VA+는지/EF
수사	수사/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.163.7.1
CJ 측은 “선 씨의 범죄는 회사와 전혀 무관하다”며 “동영상 촬영자들이 동영상을 팔겠다며 접근한 적이 있지만 거부했다”고 밝혔다.

CJ	CJ/SL
측은	측/NNB+은/JX
“선	“/SS+선/NNP
씨의	씨/NNB+의/JKG
범죄는	범죄/NNG+는/JX
회사와	회사/NNG+와/JKB
전혀	전혀/MAG
무관하다”며	무관하/VA+다/EF+”/SS+며/EC
“동영상	“/SS+동영상/NNG
촬영자들이	촬영자/NNG+들/XSN+이/JKS
동영상을	동영상/NNG+을/JKO
팔겠다며	팔/VV+겠/EP+다며/EC
접근한	접근/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있지만	있/VV+지만/EC
거부했다”고	거부/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


