# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.174
metadata : {}


# id : NWRW1800000026.174.1.1
[강원] [현장, 6·2 지방선거] "치열한 공방 속에 '빅3' 집중공략";강원도 유권자의 51.3% 차지 단체장 선거도 유례없는 격전

[강원]	[/SS+강원/NNP+]/SS
후보와	후보/NNG+와/JC
무소속	무/XPN+소속/NNG
박종기	박종기/NNP
후보가	후보/NNG+가/JKS
양강구도를	양/MMN+강/NNB+구도/NNG+를/JKO
형성했다.	형성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.174.7.4
삼척시장 선거는 한나라당 안호성 후보와 무소속 김대수 후보의 격전이다.

삼척시장	삼척시장/NNG
선거는	선거/NNG+는/JX
한나라당	한나라당/NNP
안호성	안호성/NNP
후보와	후보/NNG+와/JC
무소속	무/XPN+소속/NNG
김대수	김대수/NNP
후보의	후보/NNG+의/JKG
격전이다.	격전/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.174.8.1
◆춘천 원주 강릉의 표심은

◆춘천	◆/SW+춘천/NNP
원주	원주/NNP
강릉의	강릉/NNP+의/JKG
표심은	표심/NNG+은/JX


# id : NWRW1800000026.174.9.1
선거가 막판에 접어들면서 도지사 선거는 역시 '빅3'에 관심이 집중되고 있다.

선거가	선거/NNG+가/JKS
막판에	막판/NNG+에/JKB
접어들면서	접어들/VV+면서/EC
도지사	도지사/NNG
선거는	선거/NNG+는/JX
역시	역시/MAG
'빅3'에	'/SS+빅/NNG+3/SN+'/SS+에/JKB
관심이	관심/NNG+이/JKS
집중되고	집중/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.174.9.2
유권자가 밀집된 대도시를 집중 공략해 승부를 내겠다는 전략이다.

유권자가	유권자/NNG+가/JKS
밀집된	밀집/NNG+되/XSV+ㄴ/ETM
대도시를	대/XPN+도시/NNG+를/JKO
집중	집중/NNG
공략해	공략/NNG+하/XSV+아/EC
승부를	승부/NNG+를/JKO
내겠다는	내/VV+겠/EP+다는/ETM
전략이다.	전략/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.174.10.1
강원도 선거인 수는 119만992명이며, 이중 51.3%가 춘천(20만6253명) 원주(23만4137명), 강릉(17만758명)에 집중돼 있다.

강원도	강원도/NNP
선거인	선거인/NNG
수는	수/NNG+는/JX
119만992명이며,	119/SN+만/NR+992/SN+명/NNB+이/VCP+며/EC+,/SP
이중	이/NP+중/NNB
51.3%가	51/SN+./SP+3/SN+%/SW+가/JKS
춘천(20만6253명)	춘천/NNP+(/SS+20/SN+만/NR+6253/SN+명/NNB+)/SS
원주(23만4137명),	원주/NNP+(/SS+23/SN+만/NR+4137/SN+명/NNB+)/SS+,/SP
강릉(17만758명)에	강릉/NNP+(/SS+17/SN+만/NR+758/SN+명/NNB+)/SS+에/JKB
집중돼	집중/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.174.11.1
춘천에서는 과거 보지 못했던 치열한 표대결이 벌어지고 있다.

춘천에서는	춘천/NNP+에서/JKB+는/JX
과거	과거/NNG
보지	보/VV+지/EC
못했던	못하/VX+았/EP+던/ETM
치열한	치열/NNG+하/XSA+ㄴ/ETM
표대결이	표/NNG+대결/NNG+이/JKS
벌어지고	벌어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.174.11.2
도청 소재지라는 상징성 때문에 이곳에서 우세를 선점해야 흐름을 주도할 수 있다는 판단에서다.

도청	도청/NNG
소재지라는	소재지/NNG+이/VCP+라는/ETM
상징성	상징/NNG+성/XSN
때문에	때문/NNB+에/JKB
이곳에서	이곳/NP+에서/JKB
우세를	우세/NNG+를/JKO
선점해야	선점/NNG+하/XSV+아야/EC
흐름을	흐름/NNG+을/JKO
주도할	주도/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
판단에서다.	판단/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000026.174.12.1
한나라당 이계진 후보는 "도청 이전설은 근거없는 흑색선전"이라며 춘천에서의 선거운동을 잇따라 계획하고 있다.

한나라당	한나라당/NNP
이계진	이계진/NNP
후보는	후보/NNG+는/JX
"도청	"/SS+도청/NNG
이전설은	이전설/NNG+은/JX
근거없는	근거/NNG+없/VA+는/ETM
흑색선전"이라며	흑색선전/NNG+"/SS+이/VCP+라며/EC
춘천에서의	춘천/NNP+에서/JKB+의/JKG
선거운동을	선거/NNG+운동/NNG+을/JKO
잇따라	잇따르/VV+아/EC
계획하고	계획/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.174.13.1
민주당 이광재 후보는 지난 21일 손학규 전 대표와의 합동 유세를 시작으로 춘천지역 재래시장 등을 돌며 서민층 표몰이에 집중하고 있다.

민주당	민주당/NNP
이광재	이광재/NNP
후보는	후보/NNG+는/JX
지난	지나/VV+ㄴ/ETM
21일	21/SN+일/NNB
손학규	손학규/NNP
전	전/MMD
대표와의	대표/NNG+와/JKB+의/JKG
합동	합동/NNG
유세를	유세/NNG+를/JKO
시작으로	시작/NNG+으로/JKB
춘천지역	춘천/NNP+지역/NNG
재래시장	재래시장/NNG
등을	등/NNB+을/JKO
돌며	돌/VV+며/EC
서민층	서민/NNG+층/XSN
표몰이에	표/NNG+몰이/NNG+에/JKB
집중하고	집중/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.174.14.1
이계진 후보의 국회의원 시절 지역구이며 이광재 후보의 출신 중·고교가 있는 원주도 주요 접전 지역이다.

이계진	이계진/NNP
후보의	후보/NNG+의/JKG
국회의원	국회/NNG+의원/NNG
시절	시절/NNG
지역구이며	지역구/NNG+이/VCP+며/EC
이광재	이광재/NNP
출신	출신/NNG
중·고교가	중·고교/NNG+가/JKS
있는	있/VA+는/ETM
원주도	원주/NNP+도/JX
주요	주요/NNG
접전	접전/NNG
지역이다.	지역/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.174.14.2
그간 여론조사에서는 이계진 후보가 앞섰으나 이광재 후보는 분위기 반전을 위해 원주권 공략에 힘을 쏟고 있다.

그간	그/NP+간/XSN
여론조사에서는	여론/NNG+조사/NNG+에서/JKB+는/JX
이계진	이계진/NNP
후보가	후보/NNG+가/JKS
앞섰으나	앞서/VV+었/EP+으나/EC
이광재	이광재/NNP
후보는	후보/NNG+는/JX
분위기	분위기/NNG
반전을	반전/NNG+을/JKO
위해	위하/VV+아/EC
원주권	원주/NNP+권/XSN
공략에	공략/NNG+에/JKB
힘을	힘/NNG+을/JKO
쏟고	쏟/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.174.15.1
이광재 후보는 27일 원주에서 정세균 대표, 정동영 상임고문 등 중앙당 지도부를 내세워 선거운동에 나섰다.

이광재	이광재/NNP
후보는	후보/NNG+는/JX
27일	27/SN+일/NNB
원주에서	원주/NNP+에서/JKB
정세균	정세균/NNP
대표,	대표/NNG+,/SP
정동영	정동영/NNP
상임고문	상임/NNG+고문/NNG
등	등/NNB
중앙당	중앙당/NNG
지도부를	지도부/NNG+를/JKO
내세워	내세우/VV+어/EC
선거운동에	선거/NNG+운동/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.174.15.2
이계진 후보 역시 26일 원주를 방문한데 이어 27일에도 재래시장 등을 방문, 지지를 호소했다.

이계진	이계진/NNP
후보	후보/NNG
역시	역시/MAG
26일	26/SN+일/NNB
원주를	원주/NNP+를/JKO
방문한데	방문/NNG+하/XSV+ㄴ/ETM+데/NNB
이어	잇/VV+어/EC
27일에도	27/SN+일/NNB+에/JKB+도/JX
재래시장	재래시장/NNG
등을	등/NNB+을/JKO
방문,	방문/NNG+,/SP
지지를	지지/NNG+를/JKO
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.174.16.1
강릉은 4년전 5·31 지방선거 등 역대 선거에서 한나라당이 강세를 보였지만 이번에는 여야 광역·기초의원 후보들이 접전을 벌이고 있어 예측하기 힘든 상황이다.

강릉은	강릉/NNP+은/JX
4년전	4/SN+년/NNB+전/NNG
5·31	5/SN+·/SP+31/SN
지방선거	지방/NNG+선거/NNG
등	등/NNB
역대	역대/NNG
선거에서	선거/NNG+에서/JKB
한나라당이	한나라당/NNP+이/JKS
강세를	강세/NNG+를/JKO
보였지만	보이/VV+었/EP+지만/EC
이번에는	이번/NNG+에/JKB+는/JX
여야	여야/NNG
광역·기초의원	광역/NNG+·/SP+기초/NNG+의원/NNG
후보들이	후보/NNG+들/XSN+이/JKS
접전을	접전/NNG+을/JKO
벌이고	벌이/VV+고/EC
있어	있/VX+어/EC
예측하기	예측/NNG+하/XSV+기/ETN
힘든	힘들/VA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


