# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.201
metadata : {}


# id : NWRW1800000046.201.1.1
장충체육관, 5년 만에 별들의 잔치 '만원 관중'

장충체육관,	장충체육관/NNP+,/SP
내놓은	내놓/VV+은/ETM
티켓	티켓/NNG
2129장은	2129/SN+장/NNB+은/JX
4일	4/SN+일/NNB
만에	만/NNB+에/JKB
매진됐다.	매진/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.201.4.4
현장에서 오전 11시부터 판매한 티켓 1500장도 3시간 만에 모두 매진됐다.

현장에서	현장/NNG+에서/JKB
오전	오전/NNG
11시부터	11/SN+시/NNB+부터/JX
판매한	판매/NNG+하/XSV+ㄴ/ETM
티켓	티켓/NNG
1500장도	1500/SN+장/NNB+도/JX
3시간	3/SN+시간/NNB
만에	만/NNB+에/JKB
모두	모두/MAG
매진됐다.	매진/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.201.4.5
현장 티켓을 사기 위해 50m쯤 줄을 서서 기다리던 시민 200여명은 매진됐다는 안내를 받고 아쉽게 발길을 돌렸다.

현장	현장/NNG
티켓을	티켓/NNG+을/JKO
사기	사/VV+기/ETN
위해	위하/VV+아/EC
50m쯤	50/SN+m/SW+쯤/XSN
줄을	줄/NNG+을/JKO
서서	서/VV+어서/EC
기다리던	기다리/VV+던/ETM
시민	시민/NNG
200여명은	200/SN+여/XSN+명/NNB+은/JX
매진됐다는	매진/NNG+되/XSV+었/EP+다는/ETM
안내를	안내/NNG+를/JKO
받고	받/VV+고/EC
아쉽게	아쉽/VA+게/EC
발길을	발길/NNG+을/JKO
돌렸다.	돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.201.4.6
올스타전을 보기 위해 청주에서 2시간 버스를 타고 왔다는 송모(65)씨는 "OK저축은행의 김세진 감독이 선수로 뛸 때부터 팬"이라며 "새로 개장한 장충체육관에서 김 감독을 가까이서 보기 위해 왔는데 표를 구하지 못해 허탈하다"고 말했다.

올스타전을	올스타전/NNG+을/JKO
보기	보/VV+기/ETN
위해	위하/VV+아/EC
청주에서	청주/NNP+에서/JKB
2시간	2/SN+시간/NNB
버스를	버스/NNG+를/JKO
타고	타/VV+고/EC
왔다는	오/VV+았/EP+다는/ETM
송모(65)씨는	송/NNP+모/NP+(/SS+65/SN+)/SS+씨/NNB+는/JX
"OK저축은행의	"/SS+OK저축은행/NNP+의/JKG
김세진	김세진/NNP
감독이	감독/NNG+이/JKS
선수로	선수/NNG+로/JKB
뛸	뛰/VV+ㄹ/ETM
때부터	때/NNG+부터/JX
팬"이라며	팬/NNG+"/SS+이/VCP+라며/EC
"새로	"/SS+새로/MAG
개장한	개장/NNG+하/XSV+ㄴ/ETM
장충체육관에서	장충체육관/NNP+에서/JKB
김	김/NNP
감독을	감독/NNG+을/JKO
가까이서	가까이/NNG+서/JKB
왔는데	오/VV+았/EP+는데/EC
표를	표/NNG+를/JKO
구하지	구하/VV+지/EC
못해	못하/VX+아/EC
허탈하다"고	허탈/NNG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.201.5.1
장충체육관에서 배구 올스타전이 열린 것은 2009~2010시즌 이후 5년 만이다.

장충체육관에서	장충체육관/NNP+에서/JKB
배구	배구/NNG
올스타전이	올스타전/NNG+이/JKS
열린	열리/VV+ㄴ/ETM
것은	것/NNB+은/JX
2009~2010시즌	2009/SN+~/SO+2010/SN+시즌/NNG
이후	이후/NNG
5년	5/SN+년/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.201.6.1
이날 본 경기가 시작되기 한 시간 전부터 장충체육관 실내는 팬들로 가득 찼다.

이날	이날/NNG
본	본/NA
경기가	경기/NNG+가/JKS
시작되기	시작/NNG+되/XSV+기/ETN
한	한/MMN
시간	시간/NNB
전부터	전/NNG+부터/JX
장충체육관	장충체육관/NNP
실내는	실내/NNG+는/JX
팬들로	팬/NNG+들/XSN+로/JKB
가득	가득/MAG
찼다.	차/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.201.6.2
경기장을 찾은 강채홍(70)씨는 "권투 선수 김기수가 1966년 이곳에서 세계 챔피언에 오르던 모습이 아직도 생생하게 기억난다"며 "새롭게 단장한 장충체육관에서 시몬의 강스파이크를 실제로 볼 수 있어서 기쁘다"고 말했다.

경기장을	경기장/NNG+을/JKO
찾은	찾/VV+은/ETM
강채홍(70)씨는	강채홍/NNP+(/SS+70/SN+)/SS+씨/NNB+는/JX
"권투	"/SS+권투/NNG
선수	선수/NNG
김기수가	김기수/NNP+가/JKS
1966년	1966/SN+년/NNB
이곳에서	이곳/NP+에서/JKB
세계	세계/NNG
챔피언에	챔피언/NNG+에/JKB
오르던	오르/VV+던/ETM
모습이	모습/NNG+이/JKS
아직도	아직/MAG+도/JX
생생하게	생생하/VA+게/EC
기억난다"며	기억나/VV+ㄴ다/EF+"/SS+며/EC
"새롭게	"/SS+새롭/VA+게/EC
단장한	단장/NNG+하/XSV+ㄴ/ETM
장충체육관에서	장충체육관/NNP+에서/JKB
시몬의	시몬/NNP+의/JKG
강스파이크를	강스파이크/NNG+를/JKO
실제로	실제로/MAG
볼	보/VV+ㄹ/ETM
수	수/NNB
있어서	있/VA+어서/EC
기쁘다"고	기쁘/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.201.7.1
한국배구연맹(KOVO)은 식전 행사에서 실내 조명을 모두 끈 채 레이저쇼를 선보였다.

한국배구연맹(KOVO)은	한국배구연맹/NNP+(/SS+KOVO/SL+)/SS+은/JX
식전	식전/NNG
행사에서	행사/NNG+에서/JKB
실내	실내/NNG
조명을	조명/NNG+을/JKO
모두	모두/MAG
끈	끄/VV+ㄴ/ETM
채	채/NNB
레이저쇼를	레이저/NNG+쇼/NNG+를/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.201.7.2
초록색 레이저가 배구공 모양과 트로피 모양을 그리며 현란하게 움직이는 동안 배구 코트엔 올스타전 소개 영상이 나왔다.

초록색	초록색/NNG
레이저가	레이저/NNG+가/JKS
배구공	배구공/NNG
모양과	모양/NNG+과/JC
트로피	트로피/NNG
모양을	모양/NNG+을/JKO
그리며	그리/VV+며/EC
현란하게	현란/NNG+하/XSA+게/EC
움직이는	움직이/VV+는/ETM
동안	동안/NNG
배구	배구/NNG
코트엔	코트/NNG+에/JKB+ㄴ/JX
올스타전	올스타전/NNG
소개	소개/NNG
영상이	영상/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.201.7.3
배구 코트에 흰 천을 덮어 대형 스크린을 만들어 놓고 지붕에서 바닥을 향해 동영상 화면을 쏜 것이었다.

배구	배구/NNG
코트에	코트/NNG+에/JKB
흰	희/VA+ㄴ/ETM
천을	천/NNG+을/JKO
덮어	덮/VV+어/EC
대형	대형/NNG
스크린을	스크린/NNG+을/JKO
만들어	만들/VV+어/EC
놓고	놓/VX+고/EC
지붕에서	지붕/NNG+에서/JKB
바닥을	바닥/NNG+을/JKO
향해	향하/VV+아/EC
동영상	동영상/NNG
화면을	화면/NNG+을/JKO
쏜	쏘/VV+ㄴ/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.201.7.4
임대균(67)씨는 "최첨단 시설로 새롭게 단장한 체육관을 보니 앞으로 더 자주 오고 싶다는 생각이 들었다"고 말했다.

임대균(67)씨는	임대균/NNP+(/SS+67/SN+)/SS+씨/NNB+는/JX
"최첨단	"/SS+최/XPN+첨단/NNG
시설로	시설/NNG+로/JKB
새롭게	새롭/VA+게/EC
단장한	단장/NNG+하/XSV+ㄴ/ETM
체육관을	체육관/NNG+을/JKO
보니	보/VV+니/EC
앞으로	앞/NNG+으로/JKB
더	더/MAG
자주	자주/MAG
오고	오/VV+고/EC
싶다는	싶/VX+다는/ETM
생각이	생각/NNG+이/JKS
들었다"고	들/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


