# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.324
metadata : {}


# id : NWRW1800000037.324.1.1
[김용준 낙마 후폭풍]이제서야… 朴, 靑인사파일 적극 활용할듯

[김용준	[/SS+김용준/NNP
것이라는	것/NNB+이/VCP+라는/ETM
게	거/NNB+이/JKS
청와대	청와대/NNP
측의	측/NNB+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.324.5.3
청와대는 1만여 명에 대한 가족관계, 병역의무 이행, 전과 및 징계, 재산 형성과정, 납세 등 기본 검증 자료를 가지고 있다.

청와대는	청와대/NNP+는/JX
1만여	1/SN+만/NR+여/XSN
명에	명/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
가족관계,	가족/NNG+관계/NNG+,/SP
병역의무	병역/NNG+의무/NNG
이행,	이행/NNG+,/SP
전과	전과/NNG
및	및/MAG
징계,	징계/NNG+,/SP
재산	재산/NNG
형성과정,	형성/NNG+과정/NNG+,/SP
납세	납세/NNG
등	등/NNB
기본	기본/NNG
검증	검증/NNG
자료를	자료/NNG+를/JKO
가지고	가지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.324.5.4
이 중 700∼800명에 대해선 상세한 검증 자료를 축적해 놓은 것으로 알려졌다.

이	이/NP
중	중/NNB
700∼800명에	700/SN+∼/SO+800/SN+명/NNB+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
상세한	상세하/VA+ㄴ/ETM
검증	검증/NNG
자료를	자료/NNG+를/JKO
축적해	축적/NNG+하/XSV+아/EC
놓은	놓/VX+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.324.6.1
이번 국무총리 낙마 사태를 계기로 정부 차원의 ‘검증 자산’ 활용에 대한 원칙이 정립돼야 한다는 지적도 나오고 있다.

이번	이번/NNG
국무총리	국무총리/NNG
낙마	낙마/NNG
사태를	사태/NNG+를/JKO
계기로	계기/NNG+로/JKB
정부	정부/NNG
차원의	차원/NNG+의/JKG
‘검증	‘/SS+검증/NNG
자산’	자산/NNG+’/SS
활용에	활용/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
원칙이	원칙/NNG+이/JKS
정립돼야	정립/NNG+되/XSV+어야/EC
한다는	하/VX+ㄴ다는/ETM
지적도	지적/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.324.6.2
정권교체기마다 새로 들어설 정권이 물러나는 정권의 인사 검증 자산을 신뢰하지 못하고 별도로 검증작업을 진행하다 놓치는 부분이 발생하는 악순환이 반복되고 있다는 점에서다.

정권교체기마다	정권/NNG+교체기/NNG+마다/JX
새로	새로/MAG
들어설	들어서/VV+ㄹ/ETM
정권이	정권/NNG+이/JKS
물러나는	물러나/VV+는/ETM
정권의	정권/NNG+의/JKG
인사	인사/NNG
검증	검증/NNG
자산을	자산/NNG+을/JKO
신뢰하지	신뢰/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
별도로	별도/NNG+로/JKB
검증작업을	검증/NNG+작업/NNG+을/JKO
진행하다	진행/NNG+하/XSV+다/EC
놓치는	놓치/VV+는/ETM
부분이	부분/NNG+이/JKS
발생하는	발생/NNG+하/XSV+는/ETM
악순환이	악순환/NNG+이/JKS
반복되고	반복/NNG+되/XSV+고/EC
있다는	있/VX+다는/ETM
점에서다.	점/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000037.324.7.1
박 당선인 측은 정권을 재창출했는데도 현 청와대의 인사검증 자료를 거의 활용하지 않고 독자적으로 검증작업에 나섰다가 초유의 청문회 전 국무총리 후보자 낙마사태에 이르렀다는 비판을 피하기 힘든 상황이다.

박	박/NNP
당선인	당선인/NNG
측은	측/NNB+은/JX
정권을	정권/NNG+을/JKO
재창출했는데도	재/XPN+창출/NNG+하/XSV+았/EP+는데/EC+도/JX
현	현/MMD
청와대의	청와대/NNP+의/JKG
인사검증	인사/NNG+검증/NNG
자료를	자료/NNG+를/JKO
거의	거의/MAG
활용하지	활용/NNG+하/XSV+지/EC
않고	않/VX+고/EC
독자적으로	독자/NNG+적/XSN+으로/JKB
검증작업에	검증/NNG+작업/NNG+에/JKB
나섰다가	나서/VV+었/EP+다가/EC
초유의	초유/NNG+의/JKG
청문회	청문회/NNG
전	전/MMD
국무총리	국무총리/NNG
후보자	후보자/NNG
낙마사태에	낙마/NNG+사태/NNG+에/JKB
이르렀다는	이르/VV+었/EP+다는/ETM
비판을	비판/NNG+을/JKO
피하기	피하/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.324.7.2
박 당선인 측은 “청와대로부터 검증 파일을 받는다 해도 새로 검증해야 할 부분이 많다”고 말한다.

박	박/NNP
당선인	당선인/NNG
측은	측/NNB+은/JX
“청와대로부터	“/SS+청와대/NNP+로부터/JKB
검증	검증/NNG
파일을	파일/NNG+을/JKO
받는다	받/VV+는다/EF
해도	하/VV+아도/EC
새로	새로/MAG
검증해야	검증/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
부분이	부분/NNG+이/JKS
많다”고	많/VA+다/EF+”/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.324.7.3
당선인 측 관계자는 “현 청와대 인사 풀에 포함되지 않은 인사를 쓸 경우 새로 검증을 해야 하고, 주로 서류 검증만 되어 있는 청와대 검증 파일만으로 인선할 경우 인사청문회 과정에서 새로운 문제가 발생할 수 있다”며 “청와대의 검증 파일을 활용하고 별도의 인선 검증도 함께 진행하는 작업이 필요하다”고 설명했다.

당선인	당선인/NNG
측	측/NNB
관계자는	관계자/NNG+는/JX
“현	“/SS+현/MMD
청와대	청와대/NNP
인사	인사/NNG
풀에	풀/NNG+에/JKB
포함되지	포함/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
인사를	인사/NNG+를/JKO
쓸	쓰/VV+ㄹ/ETM
경우	경우/NNG
새로	새로/MAG
검증을	검증/NNG+을/JKO
해야	하/VV+아야/EC
하고,	하/VX+고/EC+,/SP
주로	주로/MAG
서류	서류/NNG
검증만	검증/NNG+만/JX
되어	되/VV+어/EC
있는	있/VX+는/ETM
검증	검증/NNG
파일만으로	파일/NNG+만/JX+으로/JKB
인선할	인선/NNG+하/XSV+ㄹ/ETM
인사청문회	인사/NNG+청문회/NNG
과정에서	과정/NNG+에서/JKB
새로운	새롭/VA+ㄴ/ETM
문제가	문제/NNG+가/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“청와대의	“/SS+청와대/NNP+의/JKG
파일을	파일/NNG+을/JKO
활용하고	활용/NNG+하/XSV+고/EC
별도의	별도/NNG+의/JKG
인선	인선/NNG
검증도	검증/NNG+도/JX
함께	함께/MAG
진행하는	진행/NNG+하/XSV+는/ETM
작업이	작업/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


