# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.136
metadata : {}


# id : NWRW1800000049.136.1.1
“황룡사, 사실상 왕궁 기능”… “신안해저선 침몰전 개경 들러”

“황룡사,	“/SS+황룡사/NNP+,/SP


# id : NWRW1800000049.136.5.4
삼국사기에는 “진흥왕 14년(553년) 봄 2월, 임금의 명에 의해 월성 동쪽에 새 궁궐을 짓게 했는데 누런 용이 그곳에 나타났다.

삼국사기에는	삼국사기/NNP+에/JKB+는/JX
“진흥왕	“/SS+진흥왕/NNP
14년(553년)	14/SN+년/NNB+(/SS+553/SN+년/NNB+)/SS
봄	봄/NNG
2월,	2/SN+월/NNB+,/SP
임금의	임금/NNG+의/JKG
명에	명/NNG+에/JKB
의해	의하/VV+아/EC
월성	월성/NNP
동쪽에	동쪽/NNG+에/JKB
새	새/MMA
궁궐을	궁궐/NNG+을/JKO
짓게	짓/VV+게/EC
했는데	하/VX+았/EP+는데/EC
누런	누렇/VA+ㄴ/ETM
용이	용/NNG+이/JKS
그곳에	그곳/NP+에/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.136.5.5
임금이 기이하다 여기고 절로 고쳐 지은 뒤 황룡(皇龍)이라는 이름을 내렸다”는 사실과 설화가 뒤섞인 간단한 내용만 적혀 있을 뿐이다.

임금이	임금/NNG+이/JKS
기이하다	기이하/VA+다/EC
여기고	여기/VV+고/EC
절로	절/NNG+로/JKB
고쳐	고치/VV+어/EC
지은	짓/VV+은/ETM
뒤	뒤/NNG
황룡(皇龍)이라는	황룡/NNG+(/SS+皇龍/SH+)/SS+이/VCP+라는/ETM
이름을	이름/NNG+을/JKO
내렸다”는	내리/VV+었/EP+다/EF+”/SS+는/ETM
사실과	사실/NNG+과/JC
설화가	설화/NNG+가/JKS
뒤섞인	뒤섞이/VV+ㄴ/ETM
간단한	간단하/VA+ㄴ/ETM
내용만	내용/NNG+만/JX
적혀	적히/VV+어/EC
있을	있/VX+을/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.136.6.1
이에 대해 주보돈 경북대 교수는 최근 발표한 ‘황룡사 창건과 신라 중고기 황룡사의 위상’ 논문에서 흥미로운 시각을 제시했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
주보돈	주보돈/NNP
경북대	경북대/NNP
교수는	교수/NNG+는/JX
최근	최근/NNG
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘황룡사	‘/SS+황룡사/NNP
창건과	창건/NNG+과/JC
신라	신라/NNP
중고기	중고기/NNG
황룡사의	황룡사/NNP+의/JKG
위상’	위상/NNG+’/SS
논문에서	논문/NNG+에서/JKB
흥미로운	흥미/NNG+롭/XSA+ㄴ/ETM
시각을	시각/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.136.6.2
그는 신라가 6부 체제에서 국왕 중심으로 권력구조가 바뀌면서 왕의 권위를 높이기 위한 차원에서 황룡사 건립이 추진됐다고 봤다.

그는	그/NP+는/JX
신라가	신라/NNP+가/JKS
6부	6부/NNG
체제에서	체제/NNG+에서/JKB
국왕	국왕/NNG
중심으로	중심/NNG+으로/JKB
권력구조가	권력/NNG+구조/NNG+가/JKS
바뀌면서	바뀌/VV+면서/EC
왕의	왕/NNG+의/JKG
권위를	권위/NNG+를/JKO
높이기	높이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
차원에서	차원/NNG+에서/JKB
황룡사	황룡사/NNP
건립이	건립/NNG+이/JKS
추진됐다고	추진/NNG+되/XSV+었/EP+다고/EC
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.136.6.3
선대 법흥왕의 무덤을 6부 체제의 잔재인 대릉원 밖으로 옮기는 동시에 자신이 살던 왕궁을 신축하는 등 대대적인 왕경 정비가 이뤄졌다는 것이다.

선대	선대/NNG
법흥왕의	법흥왕/NNP+의/JKG
무덤을	무덤/NNG+을/JKO
6부	6부/NNG
체제의	체제/NNG+의/JKG
잔재인	잔재/NNG+이/VCP+ㄴ/ETM
대릉원	대릉원/NNG
밖으로	밖/NNG+으로/JKB
옮기는	옮기/VV+는/ETM
동시에	동시/NNG+에/JKB
자신이	자신/NNG+이/JKS
살던	살/VV+던/ETM
왕궁을	왕궁/NNG+을/JKO
신축하는	신축/NNG+하/XSV+는/ETM
등	등/NNB
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
왕경	왕경/NNG
정비가	정비/NNG+가/JKS
이뤄졌다는	이뤄지/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.136.6.4
친정을 시작한 551년 연호를 ‘개국(開國)’으로 정한 것도 이런 분위기를 반영한다.

친정을	친정/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
551년	551/SN+년/NNB
연호를	연호/NNG+를/JKO
‘개국(開國)’으로	‘/SS+개국/NNG+(/SS+開國/SH+)/SS+’/SS+으로/JKB
정한	정하/VV+ㄴ/ETM
것도	것/NNB+도/JX
이런	이런/MMD
분위기를	분위기/NNG+를/JKO
반영한다.	반영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.136.7.1
그렇다면 왜 궁궐을 짓다가 절을 세우는 걸로 방향을 틀었을까.

그렇다면	그렇/VA+다면/EC
왜	왜/MAG
궁궐을	궁궐/NNG+을/JKO
짓다가	짓/VV+다가/EC
절을	절/NNG+을/JKO
세우는	세우/VV+는/ETM
걸로	거/NNB+ㄹ로/JKB
방향을	방향/NNG+을/JKO
틀었을까.	틀/VV+었/EP+을까/EF+./SF


# id : NWRW1800000049.136.7.2
주 교수는 황룡사 창건 설화로 황제를 상징하는 황룡을 등장시킨 것과 더불어 진흥왕이 신라로 망명한 고구려 승려 혜량을 국통(國統·왕이 임명하는 승단의 최고 지도자)에 임명한 데 주목한다.

주	주/NNP
교수는	교수/NNG+는/JX
황룡사	황룡사/NNP
창건	창건/NNG
설화로	설화/NNG+로/JKB
황제를	황제/NNG+를/JKO
상징하는	상징/NNG+하/XSV+는/ETM
황룡을	황룡/NNG+을/JKO
등장시킨	등장/NNG+시키/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
더불어	더불/VV+어/EC
진흥왕이	진흥왕/NNP+이/JKS
신라로	신라/NNP+로/JKB
망명한	망명/NNG+하/XSV+ㄴ/ETM
고구려	고구려/NNP
승려	승려/NNG
혜량을	혜량/NNP+을/JKO
국통(國統·왕이	국통/NNG+(/SS+國統/SH+·/SP+왕/NNG+이/JKS
임명하는	임명/NNG+하/XSV+는/ETM
승단의	승단/NNG+의/JKG
최고	최고/NNG
지도자)에	지도자/NNG+)/SS+에/JKB
임명한	임명/NNG+하/XSV+ㄴ/ETM
데	데/NNB
주목한다.	주목/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.136.7.3
그는 “혜량은 왕즉불(王卽佛·왕이 곧 부처) 사상과 전륜성왕을 구현하는 방책으로 궁궐 대신 황룡사를 창건하도록 진흥왕에게 건의한 것 같다”고 주장했다.

그는	그/NP+는/JX
“혜량은	“/SS+혜량/NNP+은/JX
왕즉불(王卽佛·왕이	왕/NNG+즉/MAG+불/NNG+(/SS+王卽佛/SH+·/SP+왕/NNG+이/JKS
곧	곧/MAG
부처)	부처/NNG+)/SS
사상과	사상/NNG+과/JC
전륜성왕을	전륜성왕/NNP+을/JKO
구현하는	구현/NNG+하/XSV+는/ETM
방책으로	방책/NNG+으로/JKB
궁궐	궁궐/NNG
대신	대신/NNG
황룡사를	황룡사/NNP+를/JKO
창건하도록	창건/NNG+하/XSV+도록/EC
진흥왕에게	진흥왕/NNP+에게/JKB
건의한	건의/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.136.7.4
황룡사가 왕권 강화의 수단으로 사실상 왕궁 기능을 수행했다는 것이다.

황룡사가	황룡사/NNP+가/JKS
왕권	왕권/NNG
강화의	강화/NNG+의/JKG
수단으로	수단/NNG+으로/JKB
사실상	사실/NNG+상/XSN
왕궁	왕궁/NNG
기능을	기능/NNG+을/JKO
수행했다는	수행/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.136.7.5
황룡사를 지은 진흥왕이 말년에 출가해 황룡사에 머문 것도 같은 맥락에서 읽을 수 있다.

황룡사를	황룡사/NNP+를/JKO
지은	짓/VV+ㄴ/ETM
진흥왕이	진흥왕/NNP+이/JKS
말년에	말년/NNG+에/JKB
출가해	출가/NNG+하/XSV+아/EC
황룡사에	황룡사/NNP+에/JKB
머문	머물/VV+ㄴ/ETM
것도	것/NNB+도/JX
같은	같/VA+은/ETM
맥락에서	맥락/NNG+에서/JKB
읽을	읽/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.136.8.1
○ 침몰한 신안해저선 고려에 들렀을까?

○	○/SW
침몰한	침몰/NNG+하/XSV+ㄴ/ETM
신안해저선	신안해저선/NNG
고려에	고려/NNP+에/JKB
들렀을까?	들르/VV+었/EP+을까/EF+?/SF


# id : NWRW1800000049.136.9.1
1323년 6월 중국 원나라 경원(慶元·현 저장 성 닝보)에서 출항한 뒤 침몰한 신안해저선에서는 무려 2만4000여 점의 유물이 쏟아졌다.

1323년	1323/SN+년/NNB
6월	6/SN+월/NNB
중국	중국/NNP
원나라	원나라/NNP
경원(慶元·현	경원/NNP+(/SS+慶元/SH+·/SP+현/MMD
저장	저장/NNP
성	성/NNG
닝보)에서	닝보/NNP+)/SS+에서/JKB
출항한	출항/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
침몰한	침몰/NNG+하/XSV+ㄴ/ETM
신안해저선에서는	신안해저선/NNG+에서/JKB+는/JX
무려	무려/MAG
2만4000여	2/SN+만/NR+4000/SN+여/XSN
점의	점/NNB+의/JKG
유물이	유물/NNG+이/JKS
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.136.9.2
워낙 수량이 많아 1976년부터 9년에 걸쳐 수중 발굴이 이뤄졌다.

워낙	워낙/MAG
수량이	수량/NNG+이/JKS
많아	많/VA+아/EC
1976년부터	1976/SN+년/NNB+부터/JX
9년에	9/SN+년/NNB+에/JKB
걸쳐	걸치/VV+어/EC
수중	수중/NNG
발굴이	발굴/NNG+이/JKS
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.136.10.1
한중일 학자들이 연구를 거듭했지만 정확한 항로와 구체적인 침몰 원인은 여전히 미스터리다.

한중일	한중일/NNP
학자들이	학자/NNG+들/XSN+이/JKS
연구를	연구/NNG+를/JKO
거듭했지만	거듭/MAG+하/XSV+았/EP+지만/EC
정확한	정확/NNG+하/XSA+ㄴ/ETM
항로와	항로/NNG+와/JC
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
침몰	침몰/NNG
원인은	원인/NNG+은/JX
여전히	여전히/MAG
미스터리다.	미스터리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.136.10.2
특히 신안선이 침몰하기 전 고려를 경유했는지가 불확실하다.

특히	특히/MAG
신안선이	신안선/NNP+이/JKS
침몰하기	침몰/NNG+하/XSV+기/ETN
전	전/NNG
고려를	고려/NNP+를/JKO
경유했는지가	경유/NNG+하/XSV+았/EP+는지/EF+가/JKS
불확실하다.	불확실/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000049.136.10.3
발굴보고서나 다수설은 고려 유물이 10여 점에 불과하다는 점을 들어 한반도를 들르지 않고 일본 하카타(博多·현 후쿠오카)로 향하다 가라앉은 것으로 본다.

발굴보고서나	발굴/NNG+보고서/NNG+나/JC
다수설은	다수설/NNG+은/JX
고려	고려/NNP
유물이	유물/NNG+이/JKS
10여	10/SN+여/XSN
점에	점/NNB+에/JKB
불과하다는	불과/MAG+하/XSA+다는/ETM
점을	점/NNG+을/JKO
들어	들/VV+어/EC
한반도를	한반도/NNP+를/JKO
들르지	들르/VV+지/EC
않고	않/VX+고/EC
일본	일본/NNP
하카타(博多·현	하카타/NNP+(/SS+博多/SH+·/SP+현/MMD
후쿠오카)로	후쿠오카/NNP+)/SS+로/JKB
향하다	향하/VV+다/EC
가라앉은	가라앉/VV+은/ETM
것으로	것/NNB+으로/JKB
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.136.11.1
그러나 최근 다른 의견이 제기됐다.

그러나	그러나/MAJ
최근	최근/NNG
다른	다른/MMD
의견이	의견/NNG+이/JKS
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.136.11.2
김병근 국립해양문화재연구소 학예연구관은 27일 발표한 ‘신안선의 항로와 침몰 원인’ 논문에서 “신안선은 고려 개경에 들러 상품 하역과 선적을 마친 뒤 최종 기착지인 일본으로 가던 도중 침몰했을 것”이라고 주장했다.

김병근	김병근/NNP
국립해양문화재연구소	국립해양문화재연구소/NNP
학예연구관은	학예/NNG+연구관/NNG+은/JX
27일	27/SN+일/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘신안선의	‘/SS+신안선/NNP+의/JKG
항로와	항로/NNG+와/JC
침몰	침몰/NNG
원인’	원인/NNG+’/SS
논문에서	논문/NNG+에서/JKB
“신안선은	“/SS+신안선/NNP+은/JX
고려	고려/NNP
개경에	개경/NNP+에/JKB
들러	들르/VV+어/EC
상품	상품/NNG
하역과	하역/NNG+과/JC
선적을	선적/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
최종	최종/NNG
기착지인	기착지/NNG+이/VCP+ㄴ/ETM
일본으로	일본/NNP+으로/JKB
가던	가/VV+던/ETM
도중	도중/NNG
침몰했을	침몰/NNG+하/XSV+았/EP+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.136.11.3
핵심 논거는 신안선 발견 장소가 경원∼하카타 직항로에서 너무 멀리 있고, 음력 6∼8월 한반도 해류는 남서풍이나 남동풍의 영향으로 일본으로 항행하기 어렵다는 점이다.

핵심	핵심/NNG
논거는	논거/NNG+는/JX
신안선	신안선/NNP
발견	발견/NNG
장소가	장소/NNG+가/JKS
경원∼하카타	경원/NNP+∼/SO+하카타/NNP
직항로에서	직항로/NNG+에서/JKB
너무	너무/MAG
멀리	멀리/MAG
있고,	있/VA+고/EC+,/SP
음력	음력/NNG
6∼8월	6/SN+∼/SO+8/SN+월/NNB
한반도	한반도/NNP
해류는	해류/NNG+는/JX
남서풍이나	남서풍/NNG+이나/JC
남동풍의	남동풍/NNG+의/JKG
영향으로	영향/NNG+으로/JKB
일본으로	일본/NNP+으로/JKB
항행하기	항행/NNG+하/XSV+기/ETN
어렵다는	어렵/VA+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.136.11.4
고려 유물이 극소수라는 지적에 대해 김 연구관은 “고려 특산품인 모시나 삼베는 유기물이라 바닷속에서 부식돼 사라졌을 가능성이 높다”고 설명했다.

고려	고려/NNP
유물이	유물/NNG+이/JKS
극소수라는	극소수/NNG+이/VCP+라는/ETM
지적에	지적/NNG+에/JKB
대해	대하/VV+아/EC
김	김/NNP
연구관은	연구관/NNG+은/JX
“고려	“/SS+고려/NNP
특산품인	특산품/NNG+이/VCP+ㄴ/ETM
모시나	모시/NNG+나/JC
삼베는	삼베/NNG+는/JX
유기물이라	유기물/NNG+이/VCP+라/EC
바닷속에서	바닷속/NNG+에서/JKB
부식돼	부식/NNG+되/XSV+어/EC
사라졌을	사라지/VV+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다”고	높/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


