# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.176
metadata : {}


# id : NWRW1800000021.176.1.1
[기자의 눈/구자룡]北核제재 주저하는 中의 복잡한 셈법

[기자의	[/SS+기자/NNG+의/JKG
중국이	중국/NNP+이/JKS
서방과	서방/NNG+과/JKB
손을	손/NNG+을/JKO
잡고	잡/VV+고/EC
압박수위를	압박/NNG+수위/NNG+를/JKO
높이면서	높이/VV+면서/EC
최악의	최악/NNG+의/JKG
경우	경우/NNG
국경	국경/NNG
봉쇄	봉쇄/NNG
등에	등/NNB+에/JKB
나서면	나서/VV+면/EC
북한은	북한/NNP+은/JX
사실상	사실/NNG+상/XSN
미국에	미국/NNP+에/JKB
투항하는	투항/NNG+하/XSV+는/ETM
수준으로	수준/NNG+으로/JKB
중국에서	중국/NNP+에서/JKB
이탈할	이탈/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
북한	북한/NNP
내	내/NNB
분위기를	분위기/NNG+를/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.176.5.1
북한은 중국과는 거리를 두면서 미국과 직접 접촉해 체제안전을 보장받고 원조를 제공받는 등 ‘안보와 경제’의 실리를 챙기려 들 수 있다는 것이다.

북한은	북한/NNP+은/JX
중국과는	중국/NNP+과/JKB+는/JX
거리를	거리/NNG+를/JKO
두면서	두/VV+면서/EC
미국과	미국/NNP+과/JKB
직접	직접/MAG
접촉해	접촉/NNG+하/XSV+아/EC
체제안전을	체제/NNG+안전/NNG+을/JKO
보장받고	보장/NNG+받/XSV+고/EC
원조를	원조/NNG+를/JKO
제공받는	제공/NNG+받/XSV+는/ETM
등	등/NNB
‘안보와	‘/SS+안보/NNG+와/JC
경제’의	경제/NNG+’/SS+의/JKG
실리를	실리/NNG+를/JKO
챙기려	챙기/VV+려/EC
들	들/VX+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.176.5.2
미국도 북한이 어느 시점에서 핵무장 철회 및 비핵화 수순을 다시 밟으면서 협상을 요청해 오면 이를 거부할 이유가 없다.

미국도	미국/NNP+도/JX
북한이	북한/NNP+이/JKS
어느	어느/MMD
시점에서	시점/NNG+에서/JKB
핵무장	핵무장/NNG
철회	철회/NNG
및	및/MAG
비핵화	비핵/NNG+화/XSN
수순을	수순/NNG+을/JKO
다시	다시/MAG
밟으면서	밟/VV+으면서/EC
협상을	협상/NNG+을/JKO
요청해	요청/NNG+하/XSV+아/EC
오면	오/VX+면/EC
이를	이/NP+를/JKO
거부할	거부/NNG+하/XSV+ㄹ/ETM
이유가	이유/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000021.176.5.3
한반도에서 미국의 영향력이 더 커질 수 있다.

한반도에서	한반도/NNP+에서/JKB
미국의	미국/NNP+의/JKG
영향력이	영향력/NNG+이/JKS
더	더/MAG
커질	커지/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.176.5.4
중국으로서는 악몽이다.

중국으로서는	중국/NNP+으로서/JKB+는/JX
악몽이다.	악몽/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.176.6.1
하지만 북한이 핵실험에 이어 대륙간탄도미사일(ICBM) 발사, 한반도에서의 국지 도발 등으로 ‘과속’하면 국제사회의 제재는 물론 미국과의 협상도 불가능할 것이다.

하지만	하지만/MAJ
북한이	북한/NNP+이/JKS
핵실험에	핵/NNG+실험/NNG+에/JKB
이어	잇/VV+어/EC
대륙간탄도미사일(ICBM)	대륙/NNG+간/NNB+탄도/NNG+미사일/NNG+(/SS+ICBM/SL+)/SS
발사,	발사/NNG+,/SP
한반도에서의	한반도/NNP+에서/JKB+의/JKG
국지	국지/NNG
도발	도발/NNG
등으로	등/NNB+으로/JKB
‘과속’하면	‘/SS+과속/NNG+’/SS+하/XSV+면/EC
국제사회의	국제/NNG+사회/NNG+의/JKG
제재는	제재/NNG+는/JX
물론	물론/MAG
미국과의	미국/NNP+과/JKB+의/JKG
협상도	협상/NNG+도/JX
불가능할	불/XPN+가능/NNG+하/XSA+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.176.6.2
진정한 대국은 평화를 이끌어가는 능력이 있어야 한다.

진정한	진정하/VA+ㄴ/ETM
대국은	대국/NNG+은/JX
평화를	평화/NNG+를/JKO
이끌어가는	이끌/VV+어/EC+가/VX+는/ETM
능력이	능력/NNG+이/JKS
있어야	있/VA+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.176.6.3
중국은 평화를 위한 대의를 지키는 길이 어떤 것인지 이번 기회를 통해 보여줘야 한다.

중국은	중국/NNP+은/JX
평화를	평화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
대의를	대의/NNG+를/JKO
지키는	지키/VV+는/ETM
길이	길/NNG+이/JKS
어떤	어떤/MMD
것인지	것/NNB+이/VCP+ㄴ지/EC
이번	이번/NNG
기회를	기회/NNG+를/JKO
통해	통하/VV+아/EC
보여줘야	보이/VV+어/EC+주/VX+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


