# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.149
metadata : {}


# id : NWRW1800000024.149.1.1
홍준표-김영남, 아프리카서 만날까

홍준표-김영남,	홍준표/NNP+-/SO+김영남/NNP+,/SP
홍 원내대표와 김 상임위원장의 만남이 ‘깜짝 면담’으로 이어질 경우 이명박 정부 출범 뒤 얼어붙은 남북관계에 활로를 뚫을 수 있을지 주목된다.

홍	홍/NNP
원내대표와	원내/NNG+대표/NNG+와/JC
김	김/NNP
상임위원장의	상임/NNG+위원장/NNG+의/JKG
만남이	만남/NNG+이/JKS
‘깜짝	‘/SS+깜짝/MAG
면담’으로	면담/NNG+’/SS+으로/JKB
이어질	이어지/VV+ㄹ/ETM
경우	경우/NNG
이명박	이명박/NNP
정부	정부/NNG
출범	출범/NNG
뒤	뒤/NNG
얼어붙은	얼어붙/VV+은/ETM
남북관계에	남북/NNP+관계/NNG+에/JKB
활로를	활로/NNG+를/JKO
뚫을	뚫/VV+을/ETM
수	수/NNB
있을지	있/VA+을지/EF
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.149.4.2
특히 우리 해군이 4일 소말리아 해역에서 해적에게 쫓기던 북한의 상선을 구해, 이들의 만남이 성사되면 우호적인 분위기 속에서 면담이 이뤄질 가능성이 높다.

특히	특히/MAG
우리	우리/NP
해군이	해군/NNG+이/JKS
4일	4/SN+일/NNB
소말리아	소말리아/NNP
해역에서	해역/NNG+에서/JKB
해적에게	해적/NNG+에게/JKB
쫓기던	쫓기/VV+던/ETM
북한의	북한/NNP+의/JKG
상선을	상선/NNG+을/JKO
구해,	구하/VV+아/EC+,/SP
이들의	이/NP+들/XSN+의/JKG
만남이	만남/NNG+이/JKS
성사되면	성사/NNG+되/XSV+면/EC
우호적인	우호/NNG+적/XSN+이/VCP+ㄴ/ETM
분위기	분위기/NNG
속에서	속/NNG+에서/JKB
면담이	면담/NNG+이/JKS
이뤄질	이뤄지/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000024.149.5.1
지난 정부에서도 남북 고위 관계자들의 ‘깜짝 면담’으로, 경색된 남북관계의 물꼬를 튼 사례가 있다.

지난	지나/VV+ㄴ/ETM
정부에서도	정부/NNG+에서/JKB+도/JX
남북	남북/NNP
고위	고위/NNG
관계자들의	관계자/NNG+들/XSN+의/JKG
‘깜짝	‘/SS+깜짝/MAG
면담’으로,	면담/NNG+’/SS+으로/JKB+,/SP
경색된	경색/NNG+되/XSV+ㄴ/ETM
남북관계의	남북/NNP+관계/NNG+의/JKG
물꼬를	물꼬/NNG+를/JKO
튼	틀/VV+ㄴ/ETM
사례가	사례/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.149.5.2
2005년 4월23일 인도네시아 자카르타에서 열린 ‘아시아-아프리카 정상회의’에 참석했던 이해찬 당시 국무총리와 김 상임위원장이 만나 남북 당국자회담을 빨리 열자는 데 공감대를 형성했다.

2005년	2005/SN+년/NNB
4월23일	4/SN+월/NNB+23/SN+일/NNB
인도네시아	인도네시아/NNP
자카르타에서	자카르타/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘아시아-아프리카	‘/SS+아시아/NNP+-/SO+아프리카/NNP
정상회의’에	정상/NNG+회의/NNG+’/SS+에/JKB
참석했던	참석/NNG+하/XSV+았/EP+던/ETM
이해찬	이해찬/NNP
당시	당시/NNG
국무총리와	국무총리/NNG+와/JC
김	김/NNP
상임위원장이	상임/NNG+위원장/NNG+이/JKS
만나	만나/VV+아/EC
남북	남북/NNP
당국자회담을	당국자/NNG+회담/NNG+을/JKO
빨리	빨리/MAG
열자는	열/VV+자는/ETM
데	데/NNB
공감대를	공감대/NNG+를/JKO
형성했다.	형성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.149.5.3
당시 남북관계는 2004년 7월 터진 김일성 주석 조문 문제 및 탈북자 집단입국 등으로 꽁꽁 얼어붙은 상태였다.

당시	당시/NNG
남북관계는	남북/NNP+관계/NNG+는/JX
2004년	2004/SN+년/NNB
7월	7/SN+월/NNB
터진	터지/VV+ㄴ/ETM
김일성	김일성/NNP
주석	주석/NNG
조문	조문/NNG
문제	문제/NNG
및	및/MAG
탈북자	탈북자/NNG
집단입국	집단/NNG+입국/NNG
등으로	등/NNB+으로/JKB
꽁꽁	꽁꽁/MAG
얼어붙은	얼어붙/VV+은/ETM
상태였다.	상태/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.149.5.4
두 사람의 면담과 임동원 전 대통령 통일외교안보특보의 주선 등에 힘입어 남북은 당국간 실무회담과 장관급 회담 등을 잇따라 열며 관계 복원에 성공했다.

두	두/MMN
사람의	사람/NNG+의/JKG
면담과	면담/NNG+과/JC
임동원	임동원/NNP
전	전/MMD
대통령	대통령/NNG
통일외교안보특보의	통일/NNG+외교/NNG+안보/NNG+특보/NNG+의/JKG
주선	주선/NNG
등에	등/NNB+에/JKB
힘입어	힘입/VV+어/EC
남북은	남북/NNP+은/JX
당국간	당국/NNG+간/NNB
실무회담과	실무/NNG+회담/NNG+과/JC
장관급	장관급/NNG
회담	회담/NNG
등을	등/NNB+을/JKO
잇따라	잇따르/VV+아/EC
열며	열/VV+며/EC
관계	관계/NNG
복원에	복원/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


