# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.380
metadata : {}


# id : NWRW1800000030.380.1.1
[수도권] [도시탐구] 佛 여행 가이드북 ‘까르또빌’ 서울판

[수도권]	[/SS+수도/NNG+권/XSN+]/SS
순수한	순수/NNG+하/XSA+ㄴ/ETM
사찰	사찰/NNG
음식	음식/NNG
전문점.	전문점/NNG+./SF


# id : NWRW1800000030.380.5.3
'옛찻집'은 삐걱거리는 마룻바닥, 꾸룩꾸룩 소리 나는 분수대와 함께 모과차에 쌀과자를 곁들여 새소리를 들을 수 있다.

'옛찻집'은	'/SS+옛찻집/NNP+'/SS+은/JX
삐걱거리는	삐걱거리/VV+는/ETM
마룻바닥,	마룻바닥/NNG+,/SP
꾸룩꾸룩	꾸룩꾸룩/MAG
소리	소리/NNG
나는	나/VV+는/ETM
분수대와	분수대/NNG+와/JKB
함께	함께/MAG
모과차에	모과차/NNG+에/JKB
쌀과자를	쌀과자/NNG+를/JKO
곁들여	곁들이/VV+어/EC
새소리를	새소리/NNG+를/JKO
들을	듣/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.380.5.4
'푸른별주막'은 장작 때는 난로, 서예 작품과 사진 등을 배경으로 막걸리를 건배하기에 이상적이다.

'푸른별주막'은	'/SS+푸른별주막/NNP+'/SS+은/JX
장작	장작/NNG
때는	때/VV+는/ETM
난로,	난로/NNG+,/SP
서예	서예/NNG
작품과	작품/NNG+과/JC
사진	사진/NNG
등을	등/NNB+을/JKO
배경으로	배경/NNG+으로/JKB
막걸리를	막걸리/NNG+를/JKO
건배하기에	건배/NNG+하/XSV+기에/EC
이상적이다.	이상/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000030.380.5.5
'봉산재'는 아틀리에 겸 부티크.

'봉산재'는	'/SS+봉산재/NNP+'/SS+는/JX
아틀리에	아틀리에/NNG
겸	겸/NNB
부티크.	부티크/NNG+./SF


# id : NWRW1800000030.380.5.6
'탈방'은 신비롭고 매혹적인 나무 탈이 뒤덮고 있다.

'탈방'은	'/SS+탈방/NNP+'/SS+은/JX
신비롭고	신비/NNG+롭/XSA+고/EC
매혹적인	매혹/NNG+적/XSN+이/VCP+ㄴ/ETM
나무	나무/NNG
탈이	탈/NNG+이/JKS
뒤덮고	뒤덮/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.380.6.1
남산~이태원~용산 '마구다 샌드위치'는 이태원 명물 작은 트럭.

남산~이태원~용산	남산/NNP+~/SO+이태원/NNP+~/SO+용산/NNP
'마구다	'/SS+마구다/NNP
샌드위치'는	샌드위치/NNG+'/SS+는/JX
이태원	이태원/NNP
명물	명물/NNG
작은	작/VA+은/ETM
트럭.	트럭/NNG+./SF


# id : NWRW1800000030.380.6.2
정력을 되찾아 준다는 모로코 샌드위치와 감자칩이 들어 있는 샌드위치를 경험해보자.

정력을	정력/NNG+을/JKO
되찾아	되찾/VV+아/EC
준다는	주/VX+ㄴ다는/ETM
모로코	모로코/NNP
샌드위치와	샌드위치/NNG+와/JC
감자칩이	감자칩/NNG+이/JKS
들어	들/VV+어/EC
있는	있/VX+는/ETM
샌드위치를	샌드위치/NNG+를/JKO
경험해보자.	경험/NNG+하/XSV+아/EC+보/VX+자/EF+./SF


# id : NWRW1800000030.380.6.3
'펑션'은 미니멀 아트로 꾸며진 라운지가 멋스럽다.

'펑션'은	'/SS+펑션/NNP+'/SS+은/JX
미니멀	미니멀/NNG
아트로	아트/NNG+로/JKB
꾸며진	꾸미/VV+어/EC+지/VX+ㄴ/ETM
라운지가	라운지/NNG+가/JKS
멋스럽다.	멋/NNG+스럽/XSA+다/EF+./SF


# id : NWRW1800000030.380.6.4
'비원(B-One)'은 하우스 비트에 록과 일렉트로닉 뮤직이 흘러나오는 필수 코스.

'비원(B-One)'은	'/SS+비원/NNP+(/SS+B/SL+-/SO+One/SL+)/SS+'/SS+은/JX
하우스	하우스/NNG
비트에	비트/NNG+에/JKB
록과	록/NNG+과/JC
일렉트로닉	일렉트로닉/NNG
뮤직이	뮤직/NNG+이/JKS
흘러나오는	흘러나오/VV+는/ETM
필수	필수/NNG
코스.	코스/NNG+./SF


# id : NWRW1800000030.380.7.1
강남~잠실 가로수길 '모던밥상'은 소박하고 깔끔한 한정식집으로 모 가수의 어머니가 운영한다고 알려졌다.

강남~잠실	강남/NNP+~/SO+잠실/NNP
가로수길	가로수길/NNP
'모던밥상'은	'/SS+모던밥상/NNP+'/SS+은/JX
소박하고	소박하/VA+고/EC
깔끔한	깔끔/NNG+하/XSA+ㄴ/ETM
한정식집으로	한정식집/NNG+으로/JKB
모	모/MMD
가수의	가수/NNG+의/JKG
어머니가	어머니/NNG+가/JKS
운영한다고	운영/NNG+하/XSV+ㄴ다고/EC
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.380.7.2
'필경재'에서는 왕궁 음식을 먹을 수 있으며 날씨가 좋으면 정원으로 나올 수 있다.

'필경재'에서는	'/SS+필경재/NNP+'/SS+에서/JKB+는/JX
왕궁	왕궁/NNG
음식을	음식/NNG+을/JKO
먹을	먹/VV+을/ETM
수	수/NNB
있으며	있/VA+으며/EC
날씨가	날씨/NNG+가/JKS
좋으면	좋/VA+으면/EC
정원으로	정원/NNG+으로/JKB
나올	나오/VV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.380.7.3
'커피스미스(Coffeesmith)'는 지역 젊은 디자이너들이 모이는 장소.

'커피스미스(Coffeesmith)'는	'/SS+커피스미스/NNP+(/SS+Coffeesmith/SL+)/SS+'/SS+는/JX
지역	지역/NNG
젊은	젊/VA+은/ETM
디자이너들이	디자이너/NNG+들/XSN+이/JKS
모이는	모이/VV+는/ETM
장소.	장소/NNG+./SF


# id : NWRW1800000030.380.7.4
빛이 비춰지는 유리와 나무로 이뤄진 빌딩 안에서 미국식 커피를 마신다.

빛이	빛/NNG+이/JKS
비춰지는	비추/VV+어/EC+지/VX+는/ETM
유리와	유리/NNG+와/JC
나무로	나무/NNG+로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
빌딩	빌딩/NNG
안에서	안/NNG+에서/JKB
미국식	미국식/NNG
커피를	커피/NNG+를/JKO
마신다.	마시/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.380.7.5
'매스(Mass)'는 전 세계 디스크자키(DJ)들이 다국적 열정을 불 지르는 클럽.

'매스(Mass)'는	'/SS+매스/NNP+(/SS+Mass/SL+)/SS+'/SS+는/JX
전	전/MMN
세계	세계/NNG
디스크자키(DJ)들이	디스크자키/NNG+(/SS+DJ/SL+)/SS+들/XSN+이/JKS
다국적	다국적/NNG
열정을	열정/NNG+을/JKO
불	불/NNG
지르는	지르/VV+는/ETM
클럽.	클럽/NNG+./SF


# id : NWRW1800000030.380.7.6
'분더샵(Boon the Shop)'은 현대적이고 아름다운 창문에 독창적인 컬렉션들을 갖춘 명품 매장이다.

'분더샵(Boon	'/SS+분더샵/NNP+(/SS+Boon/SL
the	the/SL
Shop)'은	Shop/SL+)/SS+'/SS+은/JX
현대적이고	현대/NNG+적/XSN+이/VCP+고/EC
아름다운	아름답/VA+ㄴ/ETM
창문에	창문/NNG+에/JKB
독창적인	독창/NNG+적/XSN+이/VCP+ㄴ/ETM
컬렉션들을	컬렉션/NNG+들/XSN+을/JKO
갖춘	갖추/VV+ㄴ/ETM
명품	명품/NNG
매장이다.	매장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.380.7.7
'앤드업 바가지 머리'는 디자이너 '민영'의 정감가는 부티크.

'앤드업	'/SS+앤드업/NNP
바가지	바가지/NNG
머리'는	머리/NNG+'/SS+는/JX
디자이너	디자이너/NNG
'민영'의	'/SS+민영/NNP+'/SS+의/JKG
정감가는	정감/NNG+가/VV+는/ETM
부티크.	부티크/NNG+./SF


# id : NWRW1800000030.380.7.8
블라우스, 원피스, 어지러울 만큼 높은 하이힐이 발랄하다.

블라우스,	블라우스/NNG+,/SP
원피스,	원피스/NNG+,/SP
어지러울	어지럽/VA+ㄹ/ETM
만큼	만큼/NNB
높은	높/VA+은/ETM
하이힐이	하이힐/NNG+이/JKS
발랄하다.	발랄하/VA+다/EF+./SF


# id : NWRW1800000030.380.8.1
서대문~신촌~홍대~여의도 '카페 수카라'는 어두운 빛깔 마루와 하얀 벽돌, 약간 망가진 의자와 책장이 따뜻한 분위기를 연출한다.

서대문~신촌~홍대~여의도	서대문/NNP+~/SO+신촌/NNP+~/SO+홍대/NNP+~/SO+여의도/NNP
'카페	'/SS+카페/NNG
수카라'는	수카라/NNP+'/SS+는/JX
어두운	어둡/VA+ㄴ/ETM
빛깔	빛깔/NNG
마루와	마루/NNG+와/JC
하얀	하얗/VA+ㄴ/ETM
벽돌,	벽돌/NNG+,/SP
약간	약간/MAG
망가진	망가지/VV+ㄴ/ETM
의자와	의자/NNG+와/JC
책장이	책장/NNG+이/JKS
따뜻한	따뜻하/VA+ㄴ/ETM
분위기를	분위기/NNG+를/JKO
연출한다.	연출/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.380.8.2
'로베르네 집(Chez Robert)'은 좁은 계단을 내려가면 그림이 달린 벽, 여자끼리 앉을 수 있는 테이블이 있다.

'로베르네	'/SS+로베르/NNP+네/XSN
집(Chez	집/NNG+(/SS+Chez/SL
Robert)'은	Robert/SL+)/SS+'/SS+은/JX
좁은	좁/VA+은/ETM
계단을	계단/NNG+을/JKO
내려가면	내려가/VV+면/EC
그림이	그림/NNG+이/JKS
달린	달리/VV+ㄴ/ETM
벽,	벽/NNG+,/SP
여자끼리	여자/NNG+끼리/XSN
앉을	앉/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
테이블이	테이블/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.380.8.3
'클럽 에프에프(Club FF)'는 격렬한 비트와 목이 쉰 록이 흘러 나오는 라이브 클럽.

'클럽	'/SS+클럽/NNG
에프에프(Club	에프에프/NNP+(/SS+Club/SL
FF)'는	FF/SL+)/SS+'/SS+는/JX
격렬한	격렬하/VA+ㄴ/ETM
비트와	비트/NNG+와/JC
목이	목/NNG+이/JKS
쉰	쉬/VV+ㄴ/ETM
록이	록/NNG+이/JKS
흘러	흐르/VV+어/EC
나오는	나오/VV+는/ETM
라이브	라이브/NNG
클럽.	클럽/NNG+./SF


# id : NWRW1800000030.380.8.4
'나비'는 안락한 지하 라운지로 촛불이 많다.

'나비'는	'/SS+나비/NNP+'/SS+는/JX
안락한	안락/NNG+하/XSA+ㄴ/ETM
지하	지하/NNG
라운지로	라운지/NNG+로/JKB
촛불이	촛불/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000030.380.8.5
대야에 꽃잎이 띄워져 있는 동양적 분위기.

대야에	대야/NNG+에/JKB
꽃잎이	꽃잎/NNG+이/JKS
띄워져	띄우/VV+어/EC+지/VX+어/EC
있는	있/VX+는/ETM
동양적	동양/NNG+적/XSN
분위기.	분위기/NNG+./SF


# id : NWRW1800000030.380.9.1
홍대입구역 '북새통 문고(booksaetong.co.kr)'는 국내 최대 만화 서적 할인점.

홍대입구역	홍대입구역/NNP
'북새통	'/SS+북새통/NNP
문고(booksaetong.co.kr)'는	문고/NNG+(/SS+booksaetong/SL+./SP+co/SL+./SP+kr/SL+)/SS+'/SS+는/JX
국내	국내/NNG
최대	최대/NNG
만화	만화/NNG
서적	서적/NNG
할인점.	할인점/NNG+./SF


# id : NWRW1800000030.380.9.2
만화광들 천국이다.

만화광들	만화/NNG+광/XSN+들/XSN
천국이다.	천국/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.380.10.1
서교동 '퍼플레코드(purplerecord.com)'는 아담한 공간에 록에서 재즈, 포크, 세계음악까지 음악의 많은 것을 담고 있다.

서교동	서교동/NNP
'퍼플레코드(purplerecord.com)'는	'/SS+퍼플레코드/NNP+(/SS+purplerecord/SL+./SP+com/SL+)/SS+'/SS+는/JX
아담한	아담하/VA+ㄴ/ETM
공간에	공간/NNG+에/JKB
록에서	록/NNG+에서/JKB
재즈,	재즈/NNG+,/SP
포크,	포크/NNG+,/SP
세계음악까지	세계/NNG+음악/NNG+까지/JX
음악의	음악/NNG+의/JKG
많은	많/VA+은/ETM
것을	것/NNB+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


