# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.74
metadata : {}


# id : NWRW1800000033.74.1.1
佛 명품업체들 ‘짝퉁과의 전쟁’

佛	佛/SH
신고해줄	신고/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.74.5.2
이번 특별 단속 캠페인은 이탈리아 체코 헝가리 슬로바키아 루마니아 크로아티아 등 6개국과 합동으로 진행한다.

이번	이번/NNG
특별	특별/NNG
단속	단속/NNG
캠페인은	캠페인/NNG+은/JX
이탈리아	이탈리아/NNP
체코	체코/NNP
헝가리	헝가리/NNP
슬로바키아	슬로바키아/NNP
루마니아	루마니아/NNP
크로아티아	크로아티아/NNP
등	등/NNB
6개국과	6/SN+개국/NNB+과/JKB
합동으로	합동/NNG+으로/JKB
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.74.6.1
프랑스 정부에 따르면 명품 모조품 밀수 규모는 갈수록 급증하고 있다.

프랑스	프랑스/NNP
정부에	정부/NNG+에/JKB
따르면	따르/VV+면/EC
명품	명품/NNG
모조품	모조품/NNG
밀수	밀수/NNG
규모는	규모/NNG+는/JX
갈수록	갈수록/MAG
급증하고	급증/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.74.6.2
프랑스 세관에 적발된 모조품은 1994년 20만 점에서 2011년 900만 점으로 늘어났다.

프랑스	프랑스/NNP
세관에	세관/NNG+에/JKB
적발된	적발/NNG+되/XSV+ㄴ/ETM
모조품은	모조품/NNG+은/JX
1994년	1994/SN+년/NNB
20만	20/SN+만/NR
점에서	점/NNB+에서/JKB
2011년	2011/SN+년/NNB
900만	900/SN+만/NR
점으로	점/NNB+으로/JKB
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.74.6.3
모조품 밀수는 특히 인터넷 상거래가 발달하면서 더 기승을 부리고 있다.

모조품	모조품/NNG
밀수는	밀수/NNG+는/JX
특히	특히/MAG
인터넷	인터넷/NNG
상거래가	상거래/NNG+가/JKS
발달하면서	발달/NNG+하/XSV+면서/EC
더	더/MAG
기승을	기승/NNG+을/JKO
부리고	부리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.74.6.4
인터넷 온라인 쇼핑몰에서 적발된 모조품 거래 건수는 2006년 7만5000건에서 지난해 140만 건으로 늘었다.

인터넷	인터넷/NNG
온라인	온라인/NNG
쇼핑몰에서	쇼핑몰/NNG+에서/JKB
적발된	적발/NNG+되/XSV+ㄴ/ETM
모조품	모조품/NNG
거래	거래/NNG
건수는	건수/NNG+는/JX
2006년	2006/SN+년/NNB
7만5000건에서	7/SN+만/NR+5000/SN+건/NNB+에서/JKB
지난해	지난해/NNG
140만	140/SN+만/NR
건으로	건/NNB+으로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.74.6.5
지난해 유럽연합(EU) 회원국 세관에 압수된 모조품은 2억 개가 넘는 것으로 집계됐다.

지난해	지난해/NNG
유럽연합(EU)	유럽연합/NNP+(/SS+EU/SL+)/SS
회원국	회원국/NNG
세관에	세관/NNG+에/JKB
압수된	압수/NNG+되/XSV+ㄴ/ETM
모조품은	모조품/NNG+은/JX
2억	2/SN+억/NR
개가	개/NNB+가/JKS
넘는	넘/VV+는/ETM
것으로	것/NNB+으로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.74.6.6
이 중 85%는 아시아에서 제조됐다.

이	이/NP
중	중/NNB
85%는	85/SN+%/SW+는/JX
아시아에서	아시아/NNP+에서/JKB
제조됐다.	제조/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.74.6.7
EU 회원국 국민의 22%가 모조품을 사 본 경험이 있는 것으로 조사됐다.

EU	EU/SL
회원국	회원국/NNG
국민의	국민/NNG+의/JKG
22%가	22/SN+%/SW+가/JKS
모조품을	모조품/NNG+을/JKO
사	사/VV+아/EC
본	보/VX+ㄴ/ETM
경험이	경험/NNG+이/JKS
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.74.7.1
콜베르 위원회는 모조품 밀수 탓에 프랑스에서 일자리 3만 개가 없어지는 결과를 낳고 있고 60억 유로(약 9조 원)의 세수 부족을 초래하고 있다고 주장했다.

콜베르	콜베르/NNP
위원회는	위원회/NNG+는/JX
모조품	모조품/NNG
밀수	밀수/NNG
탓에	탓/NNG+에/JKB
프랑스에서	프랑스/NNP+에서/JKB
일자리	일자리/NNG
3만	3/SN+만/NR
개가	개/NNB+가/JKS
없어지는	없어지/VV+는/ETM
결과를	결과/NNG+를/JKO
낳고	낳/VV+고/EC
있고	있/VX+고/EC
60억	60/SN+억/NR
유로(약	유로/NNB+(/SS+약/MMA
9조	9/SN+조/NR
원)의	원/NNB+)/SS+의/JKG
세수	세수/NNG
부족을	부족/NNG+을/JKO
초래하고	초래/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.74.7.2
정부는 특히 중국을 중심으로 이뤄지는 모조품 생산과 유통이 과거보다 치밀하고 조직적으로 이뤄지고 있다고 판단한다.

정부는	정부/NNG+는/JX
특히	특히/MAG
중국을	중국/NNP+을/JKO
중심으로	중심/NNG+으로/JKB
이뤄지는	이뤄지/VV+는/ETM
모조품	모조품/NNG
생산과	생산/NNG+과/JC
유통이	유통/NNG+이/JKS
과거보다	과거/NNG+보다/JKB
치밀하고	치밀하/VA+고/EC
조직적으로	조직/NNG+적/XSN+으로/JKB
이뤄지고	이뤄지/VV+고/EC
있다고	있/VX+다고/EC
판단한다.	판단/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.74.7.3
성매매 또는 마약, 거대 폭력 조직까지 모조품 유통에 관여하고 있다는 것.

성매매	성매매/NNG
또는	또는/MAG
마약,	마약/NNG+,/SP
거대	거대/NNG
폭력	폭력/NNG
조직까지	조직/NNG+까지/JX
모조품	모조품/NNG
유통에	유통/NNG+에/JKB
관여하고	관여/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000033.74.7.4
그러나 모조품 거래의 새로운 온상인 온라인 쇼핑몰 거래 단속은 신용카드 업체인 비자, 페이팔 등과의 협조 문제가 해결되지 않아 큰 진전을 보지 못하고 있다.

그러나	그러나/MAJ
모조품	모조품/NNG
거래의	거래/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
온상인	온상/NNG+이/VCP+ㄴ/ETM
온라인	온라인/NNG
쇼핑몰	쇼핑몰/NNG
거래	거래/NNG
단속은	단속/NNG+은/JX
신용카드	신용/NNG+카드/NNG
업체인	업체/NNG+이/VCP+ㄴ/ETM
비자,	비자/NNP+,/SP
페이팔	페이팔/NNP
등과의	등/NNB+과/JKB+의/JKG
협조	협조/NNG
문제가	문제/NNG+가/JKS
해결되지	해결/NNG+되/XSV+지/EC
않아	않/VX+아/EC
큰	크/VA+ㄴ/ETM
진전을	진전/NNG+을/JKO
보지	보/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


