# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.235
metadata : {}


# id : NWRW1800000025.235.1.1
“美뉴욕 모스크?

“美뉴욕	“/SS+美/SH+뉴욕/NNP
둘러싼	둘러싸/VV+ㄴ/ETM
미국인들	미국인/NNG+들/XSN
사이의	사이/NNG+의/JKG
거친	거칠/VA+ㄴ/ETM
대립에서	대립/NNG+에서/JKB
이슬람교가	이슬람교/NNG+가/JKS
어떻게	어떻/VA+게/EC
비치는지,	비치/VV+는지/EF+,/SP
이런	이런/MMD
상황의	상황/NNG+의/JKG
저변에	저변/NNG+에/JKB
깔린	깔리/VV+ㄴ/ETM
미국	미국/NNP
내	내/NNB
이슬람	이슬람/NNG
혐오주의의	혐오주의/NNG+의/JKG
근원은	근원/NNG+은/JX
무엇인지	무엇/NP+이/VCP+ㄴ지/EF
같은	같/VA+은/ETM
민감한	민감/NNG+하/XSA+ㄴ/ETM
문제들을	문제/NNG+들/XSN+을/JKO
다루기에	다루/VV+기/ETN+에/JKB
시기가	시기/NNG+가/JKS
적절하지	적절하/VA+지/EC
않다는	않/VX+다는/ETM
인식	인식/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.235.4.3
심지어 뉴욕에 모스크를 세우려는 계획이 과연 밀어붙일 가치가 있는 일인지에 대해서조차 ‘말을 아낀다’고 AP는 전했다.

심지어	심지어/MAG
뉴욕에	뉴욕/NNP+에/JKB
모스크를	모스크/NNG+를/JKO
세우려는	세우/VV+려는/ETM
계획이	계획/NNG+이/JKS
과연	과연/MAG
밀어붙일	밀어붙이/VV+ㄹ/ETM
가치가	가치/NNG+가/JKS
있는	있/VA+는/ETM
일인지에	일/NNG+이/VCP+ㄴ지/EF+에/JKB
대해서조차	대하/VV+아서/EC+조차/JX
‘말을	‘/SS+말/NNG+을/JKO
아낀다’고	아끼/VV+ㄴ다/EF+’/SS+고/JKQ
AP는	AP/SL+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.235.4.4
사우디아라비아 칼럼니스트 압델 라흐만 라시드 씨는 현지 신문에 아예 “무슬림들은 뉴욕의 모스크 건립에 관심이 없다”고 썼다.

사우디아라비아	사우디아라비아/NNP
칼럼니스트	칼럼니스트/NNG
압델	압델/NNP
라흐만	라흐만/NNP
라시드	라시드/NNP
씨는	씨/NNB+는/JX
현지	현지/NNG
신문에	신문/NNG+에/JKB
아예	아예/MAG
“무슬림들은	“/SS+무슬림/NNG+들/XSN+은/JX
뉴욕의	뉴욕/NNP+의/JKG
모스크	모스크/NNG
건립에	건립/NNG+에/JKB
관심이	관심/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.235.5.1
일부 무슬림 지식인들은 미국 내 대립이 미국인들의 정치적 가식이며 오히려 9·11테러로 입은 상처를 부각하려는 ‘전형적으로 미국적인 스펙터클’이라고까지 못 박는다.

일부	일부/NNG
무슬림	무슬림/NNG
지식인들은	지식인/NNG+들/XSN+은/JX
미국	미국/NNP
내	내/NNB
대립이	대립/NNG+이/JKS
미국인들의	미국인/NNG+들/XSN+의/JKG
정치적	정치/NNG+적/XSN
가식이며	가식/NNG+이/VCP+며/EC
오히려	오히려/MAG
9·11테러로	9/SN+·/SP+11/SN+테러/NNG+로/JKB
입은	입/VV+은/ETM
상처를	상처/NNG+를/JKO
부각하려는	부각/NNG+하/XSV+려는/ETM
‘전형적으로	‘/SS+전형/NNG+적/XSN+으로/JKB
미국적인	미국/NNP+적/XSN+이/VCP+ㄴ/ETM
스펙터클’이라고까지	스펙터클/NNG+’/SS+이라고/JKQ+까지/JX
못	못/NNG
박는다.	박/VV+는다/EF+./SF


# id : NWRW1800000025.235.5.2
미국인들이 ‘모스크 소동’을 통해 이란의 국제적 영향력 확대나 팔레스타인 가자지구에 대한 이스라엘의 부당한 봉쇄 등 중요한 중동문제에 모이는 관심을 흐트러뜨리고 있다는 것이다.

미국인들이	미국인/NNG+들/XSN+이/JKS
‘모스크	‘/SS+모스크/NNG
소동’을	소동/NNG+’/SS+을/JKO
통해	통하/VV+아/EC
이란의	이란/NNP+의/JKG
국제적	국제/NNG+적/XSN
영향력	영향력/NNG
확대나	확대/NNG+나/JC
팔레스타인	팔레스타인/NNP
가자지구에	가자지구/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
이스라엘의	이스라엘/NNP+의/JKG
부당한	부당/NNG+하/XSA+ㄴ/ETM
봉쇄	봉쇄/NNG
등	등/NNB
중요한	중요/NNG+하/XSA+ㄴ/ETM
중동문제에	중동/NNP+문제/NNG+에/JKB
모이는	모이/VV+는/ETM
관심을	관심/NNG+을/JKO
흐트러뜨리고	흐트러뜨리/VV+고/EC
있다는	있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.235.6.1
모스크 소동이 결코 이슬람에 도움이 되지 않을 것이라는 걱정도 있다.

모스크	모스크/NNG
소동이	소동/NNG+이/JKS
결코	결코/MAG
이슬람에	이슬람/NNG+에/JKB
도움이	도움/NNG+이/JKC
되지	되/VV+지/EC
않을	않/VX+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
걱정도	걱정/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.235.6.2
수니파 이슬람 고등 연구기관인 알아자르의 교수들은 이집트 일간지에 “모스크 소동으로 9·11이 자꾸 떠오르면 이슬람에 대한 국제적 인식은 (나빠질 것이므로) 심각한 타격”이라고 지적하기도 했다.

수니파	수니파/NNG
이슬람	이슬람/NNG
고등	고등/NNG
연구기관인	연구/NNG+기관/NNG+이/VCP+ㄴ/ETM
알아자르의	알아자르/NNP+의/JKG
교수들은	교수/NNG+들/XSN+은/JX
이집트	이집트/NNP
일간지에	일간지/NNG+에/JKB
“모스크	“/SS+모스크/NNG
소동으로	소동/NNG+으로/JKB
9·11이	9/SN+·/SP+11/SN+이/JKS
자꾸	자꾸/MAG
떠오르면	떠오르/VV+면/EC
이슬람에	이슬람/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국제적	국제/NNG+적/XSN
인식은	인식/NNG+은/JX
(나빠질	(/SS+나빠지/VV+ㄹ/ETM
것이므로)	것/NNB+이/VCP+므로/EC+)/SS
심각한	심각하/VA+ㄴ/ETM
타격”이라고	타격/NNG+”/SS+이라고/JKQ
지적하기도	지적/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.235.6.3
오바마 대통령에 대한 걱정도 적지 않다.

오바마	오바마/NNP
대통령에	대통령/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
걱정도	걱정/NNG+도/JX
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000025.235.6.4
중동 미디어들과 온라인 토론방에는 “모스크 건립 계획을 지지한 오바마 대통령이 정치적인 대가를 치를지 모른다”라는 목소리가 높다.

중동	중동/NNP
미디어들과	미디어/NNG+들/XSN+과/JC
온라인	온라인/NNG
토론방에는	토론방/NNG+에/JKB+는/JX
“모스크	“/SS+모스크/NNG
건립	건립/NNG
계획을	계획/NNG+을/JKO
지지한	지지/NNG+하/XSV+ㄴ/ETM
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
정치적인	정치/NNG+적/XSN+이/VCP+ㄴ/ETM
대가를	대가/NNG+를/JKO
치를지	치르/VV+ㄹ지/EF
모른다”라는	모르/VV+ㄴ다/EF+”/SS+이/VCP+라는/ETM
목소리가	목소리/NNG+가/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000025.235.7.1
물론 모스크 건립을 지지하는 의견도 있다.

물론	물론/MAG
모스크	모스크/NNG
건립을	건립/NNG+을/JKO
지지하는	지지/NNG+하/XSV+는/ETM
의견도	의견/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.235.7.2
이집트이슬람학자연합 관계자는 “(모스크 건립에 대해) 무관심이 팽배해 있다”며 무슬림 세계의 지원을 호소했다.

이집트이슬람학자연합	이집트이슬람학자연합/NNP
관계자는	관계자/NNG+는/JX
“(모스크	“/SS+(/SS+모스크/NNG
건립에	건립/NNG+에/JKB
대해)	대하/VV+아/EC+)/SS
무관심이	무/XPN+관심/NNG+이/JKS
팽배해	팽배/NNG+하/XSV+아/EC
있다”며	있/VX+다/EF+”/SS+며/EC
무슬림	무슬림/NNG
세계의	세계/NNG+의/JKG
지원을	지원/NNG+을/JKO
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


