# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.277
metadata : {}


# id : NWRW1800000022.277.1.1
"大韓義軍 중장으로 의거… 안중근 將軍이라 불러야"

"大韓義軍	"/SS+大韓義軍/SH
풀어주었다.	풀/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.277.4.3
이 때문에 안중근은 일본군의 역습을 받고 300명 부대원 중 20명만 살아남는 고초를 겪었다.

이	이/MMD
때문에	때문/NNB+에/JKB
안중근은	안중근/NNP+은/JX
일본군의	일본군/NNG+의/JKG
역습을	역습/NNG+을/JKO
받고	받/VV+고/EC
300명	300/SN+명/NNB
부대원	부대원/NNG
중	중/NNB
20명만	20/SN+명/NNB+만/JX
살아남는	살아남/VV+는/ETM
고초를	고초/NNG+를/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.277.5.1
일제는 하얼빈 의거 후인 1909년 11월 안중근 배후에 독립의병 조직이 있다는 것을 확인했으나 "안중근 개인에 의해 저질러진 행위로 처리하라"고 재판부에 지령했다.

일제는	일제/NNG+는/JX
하얼빈	하얼빈/NNP
의거	의거/NNG
후인	후/NNG+이/VCP+ㄴ/ETM
1909년	1909/SN+년/NNB
11월	11/SN+월/NNB
안중근	안중근/NNP
배후에	배후/NNG+에/JKB
독립의병	독립/NNG+의병/NNG
조직이	조직/NNG+이/JKS
있다는	있/VA+다는/ETM
것을	것/NNB+을/JKO
확인했으나	확인/NNG+하/XSV+았/EP+으나/EC
"안중근	"/SS+안중근/NNP
개인에	개인/NNG+에/JKB
의해	의하/VV+아/EC
저질러진	저지르/VV+어/EC+지/VX+ㄴ/ETM
행위로	행위/NNG+로/JKB
처리하라"고	처리/NNG+하/XSV+라/EF+"/SS+고/JKQ
재판부에	재판부/NNG+에/JKB
지령했다.	지령/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.277.5.2
한국이 국가적 차원의 저항을 하고 있다는 사실이 알려지는 것을 염려했기 때문이다.

한국이	한국/NNP+이/JKS
국가적	국가/NNG+적/XSN
차원의	차원/NNG+의/JKG
저항을	저항/NNG+을/JKO
하고	하/VV+고/EC
있다는	있/VX+다는/ETM
사실이	사실/NNG+이/JKS
알려지는	알려지/VV+는/ETM
것을	것/NNB+을/JKO
염려했기	염려/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.277.5.3
결국 일제 법원은 "총 잘 쏘는 포수가 잘못된 애국심으로 저지른 단독 살인행위"로 판결했다.

결국	결국/MAG
일제	일제/NNG
법원은	법원/NNG+은/JX
"총	"/SS+총/NNG
잘	잘/MAG
쏘는	쏘/VV+는/ETM
포수가	포수/NNG+가/JKS
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
애국심으로	애국심/NNG+으로/JKB
저지른	저지르/VV+ㄴ/ETM
단독	단독/NNG
살인행위"로	살인/NNG+행위/NNG+"/SS+로/JKB
판결했다.	판결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.277.5.4
안중근은 재판과정에서 "대한의군이 국가적 차원이라는 근거가 있느냐"는 질문에 "고종 황제가 1907년 7월 강제 퇴위당할 때 '나라가 위급존망에 처했는데 공수방관(拱手傍觀)하는 것은 국민된 도리가 아니다'라는 조칙을 내렸는데 이것이 궐기를 지시하는 것으로 알고 의병항쟁에 나섰다"고 답했다.

안중근은	안중근/NNP+은/JX
재판과정에서	재판/NNG+과정/NNG+에서/JKB
"대한의군이	"/SS+대한/NNP+의군/NNG+이/JKS
국가적	국가/NNG+적/XSN
차원이라는	차원/NNG+이/VCP+라는/ETM
근거가	근거/NNG+가/JKS
있느냐"는	있/VA+느냐/EF+"/SS+는/ETM
질문에	질문/NNG+에/JKB
"고종	"/SS+고종/NNP
황제가	황제/NNG+가/JKS
1907년	1907/SN+년/NNB
7월	7/SN+월/NNB
강제	강제/NNG
퇴위당할	퇴위/NNG+당하/XSV+ㄹ/ETM
때	때/NNG
'나라가	'/SS+나라/NNG+가/JKS
위급존망에	위급/NNG+존망/NNG+에/JKB
처했는데	처하/VV+았/EP+는데/EC
공수방관(拱手傍觀)하는	공수방관/NNG+(/SS+拱手傍觀/SH+)/SS+하/XSV+는/ETM
것은	것/NNB+은/JX
국민된	국민/NNG+되/XSV+ㄴ/ETM
도리가	도리/NNG+가/JKC
아니다'라는	아니/VCN+다/EF+'/SS+이/VCP+라는/ETM
조칙을	조칙/NNG+을/JKO
내렸는데	내리/VV+었/EP+는데/EC
이것이	이것/NP+이/JKS
궐기를	궐기/NNG+를/JKO
지시하는	지시/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
의병항쟁에	의병/NNG+항쟁/NNG+에/JKB
나섰다"고	나서/VV+었/EP+다/EF+"/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


