# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.377
metadata : {}


# id : NWRW1800000030.377.1.1
[수도권Ⅲ] 주민 81% "우리는 주거환경 정비사업 찬성"

[수도권Ⅲ]	[/SS+수도/NNG+권/XSN+Ⅲ/SL+]/SS
정책·계획	정책/NNG+·/SP+계획/NNG
수립	수립/NNG
주민의사를	주민/NNG+의사/NNG+를/JKO
반영한다는	반영/NNG+하/XSV+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
이번	이번/NNG
설문조사에	설문/NNG+조사/NNG+에/JKB
대해	대하/VV+아/EC
만족하는	만족/NNG+하/XSA+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


