# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.5
metadata : {}


# id : NWRW1800000024.5.1.1
미 “UN안보리 휴전성명 반대” /이스라엘 중동전략 측면지원

미	미/NNP
이스라엘의 점령정책에 강하게 저항하는 하마스를 궤멸시켜 친서방 온건 성향의 마무드 아바스 자치정부와 파타당을 강화하고, 압도적 힘의 우위를 보여줌으로써 이집트와 요르단을 이스라엘 편으로 확실히 끌어들인다는 구상이다.

이스라엘의	이스라엘/NNP+의/JKG
점령정책에	점령/NNG+정책/NNG+에/JKB
강하게	강하/VA+게/EC
저항하는	저항/NNG+하/XSV+는/ETM
하마스를	하마스/NNP+를/JKO
궤멸시켜	궤멸/NNG+시키/XSV+어/EC
친서방	친/XPN+서방/NNG
온건	온건/NNG
성향의	성향/NNG+의/JKG
마무드	마무드/NNP
아바스	아바스/NNP
자치정부와	자치/NNG+정부/NNG+와/JC
파타당을	파타당/NNP+을/JKO
강화하고,	강화/NNG+하/XSV+고/EC+,/SP
압도적	압도/NNG+적/XSN
힘의	힘/NNG+의/JKG
우위를	우위/NNG+를/JKO
보여줌으로써	보이/VV+어/EC+주/VX+ㅁ/ETN+으로써/JKB
이집트와	이집트/NNP+와/JC
요르단을	요르단/NNP+을/JKO
이스라엘	이스라엘/NNP
편으로	편/NNG+으로/JKB
확실히	확실히/MAG
끌어들인다는	끌어들이/VV+ㄴ다는/ETM
구상이다.	구상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.5.5.2
이스라엘이 시리아와도 평화적 관계를 형성해, 하마스와 헤즈볼라 등 반미 이슬람 무장세력들의 최대 지원자인 이란을 고립시킨다는 전략도 깔려 있다.

이스라엘이	이스라엘/NNP+이/JKS
시리아와도	시리아/NNP+와/JKB+도/JX
평화적	평화/NNG+적/XSN
관계를	관계/NNG+를/JKO
형성해,	형성/NNG+하/XSV+아/EC+,/SP
하마스와	하마스/NNP+와/JKB
헤즈볼라	헤즈볼라/NNP
등	등/NNB
반미	반미/NNG
이슬람	이슬람/NNG
무장세력들의	무장/NNG+세력/NNG+들/XSN+의/JKG
최대	최대/NNG
지원자인	지원자/NNG+이/VCP+ㄴ/ETM
이란을	이란/NNP+을/JKO
고립시킨다는	고립/NNG+시키/XSV+ㄴ다는/ETM
전략도	전략/NNG+도/JX
깔려	깔리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.5.5.3
숀 매코맥 미국 국무부 대변인은 3일 “하마스가 마무드 아바스 자치수반에 맞서 불법 쿠데타를 일으키고 가자지구 주민들을 인질로 잡고 있다”며 아바스의 자치정부를 두둔했다.

숀	숀/NNP
매코맥	매코맥/NNP
미국	미국/NNP
국무부	국무부/NNG
대변인은	대변인/NNG+은/JX
3일	3/SN+일/NNB
“하마스가	“/SS+하마스/NNP+가/JKS
마무드	마무드/NNP
아바스	아바스/NNP
자치수반에	자치/NNG+수반/NNG+에/JKB
맞서	맞서/VV+어/EC
불법	불법/NNG
쿠데타를	쿠데타/NNG+를/JKO
일으키고	일으키/VV+고/EC
가자지구	가자지구/NNP
주민들을	주민/NNG+들/XSN+을/JKO
인질로	인질/NNG+로/JKB
잡고	잡/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
아바스의	아바스/NNP+의/JKG
자치정부를	자치/NNG+정부/NNG+를/JKO
두둔했다.	두둔/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.5.5.4
2006년 총선에서 하마스가 주민들의 선택을 받았다는 현실은 무시됐다.

2006년	2006/SN+년/NNB
총선에서	총선/NNG+에서/JKB
하마스가	하마스/NNP+가/JKS
주민들의	주민/NNG+들/XSN+의/JKG
선택을	선택/NNG+을/JKO
받았다는	받/VV+았/EP+다는/ETM
현실은	현실/NNG+은/JX
무시됐다.	무시/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.5.6.1
하지만 이스라엘의 공습으로 팔레스타인 민간인 희생자가 늘면서, 이집트와 사우디아라비아 등 친서방 아랍국들까지 이스라엘과 협력을 거부하게 만들고 있다.

하지만	하지만/MAJ
이스라엘의	이스라엘/NNP+의/JKG
공습으로	공습/NNG+으로/JKB
팔레스타인	팔레스타인/NNP
민간인	민간인/NNG
희생자가	희생자/NNG+가/JKS
늘면서,	늘/VV+면서/EC+,/SP
이집트와	이집트/NNP+와/JC
사우디아라비아	사우디아라비아/NNP
등	등/NNB
친서방	친/XPN+서방/NNG
아랍국들까지	아랍국/NNG+들/XSN+까지/JX
이스라엘과	이스라엘/NNP+과/JKB
협력을	협력/NNG+을/JKO
거부하게	거부/NNG+하/XSV+게/EC
만들고	만들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.5.6.2
이라크 전쟁 등으로 깊어진 미국과 아랍권의 화해 역시 힘들어질 수밖에 없다.

이라크	이라크/NNP
전쟁	전쟁/NNG
등으로	등/NNB+으로/JKB
깊어진	깊어지/VV+ㄴ/ETM
미국과	미국/NNP+과/JC
아랍권의	아랍/NNP+권/XSN+의/JKG
화해	화해/NNG
역시	역시/MAG
힘들어질	힘들어지/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.5.7.1
그만큼 오는 20일 취임을 앞둔 버락 오바마 미국 대통령 당선자는 복잡한 문제를 떠안게 된다.

그만큼	그만큼/MAG
오는	오/VV+는/ETM
20일	20/SN+일/NNB
취임을	취임/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령	대통령/NNG
당선자는	당선자/NNG+는/JX
복잡한	복잡하/VA+ㄴ/ETM
문제를	문제/NNG+를/JKO
떠안게	떠안/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.5.7.2
오바마 진영에선 4일 “(오바마) 당선자는 가자지구를 포함해 세계 상황을 면밀히 모니터하고 있다”는 짤막한 성명을 냈을 뿐 오바마 본인은 이 문제에 침묵을 지키고 있다.

오바마	오바마/NNP
진영에선	진영/NNG+에서/JKB+ㄴ/JX
4일	4/SN+일/NNB
“(오바마)	“/SS+(/SS+오바마/NNP+)/SS
당선자는	당선자/NNG+는/JX
가자지구를	가자지구/NNP+를/JKO
포함해	포함/NNG+하/XSV+아/EC
세계	세계/NNG
상황을	상황/NNG+을/JKO
면밀히	면밀히/MAG
모니터하고	모니터/NNG+하/XSV+고/EC
있다”는	있/VX+다/EF+”/SS+는/ETM
짤막한	짤막하/VA+ㄴ/ETM
성명을	성명/NNG+을/JKO
냈을	내/VV+었/EP+을/ETM
뿐	뿐/NNB
본인은	본인/NNG+은/JX
이	이/MMD
문제에	문제/NNG+에/JKB
침묵을	침묵/NNG+을/JKO
지키고	지키/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.5.7.3
아랍권에서 오바마에 대한 실망의 목소리가 나오는 가운데, 미국에서도 오바마의 새로운 팔레스타인 접근법을 요구하는 목소리가 커지고 있다.

아랍권에서	아랍/NNP+권/XSN+에서/JKB
오바마에	오바마/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
실망의	실망/NNG+의/JKG
목소리가	목소리/NNG+가/JKS
나오는	나오/VV+는/ETM
가운데,	가운데/NNG+,/SP
미국에서도	미국/NNP+에서/JKB+도/JX
오바마의	오바마/NNP+의/JKG
새로운	새롭/VA+ㄴ/ETM
팔레스타인	팔레스타인/NNP
접근법을	접근법/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.5.7.4
<뉴스위크>는 12일치 최신호에서 “오바마 행정부가 아랍권과 이스라엘 간 평화에 진정으로 관심이 있다면 미국이 이스라엘과만 일방적 관계를 형성하던 시대를 끝내고 좀더 엄정하고 냉정해야 한다”며, 중재자로서의 독립성과 유연성을 강조했다.

<뉴스위크>는	</SS+뉴스위크/NNP+>/SS+는/JX
12일치	12/SN+일/NNB+치/NNB
최신호에서	최신/NNG+호/NNB+에서/JKB
“오바마	“/SS+오바마/NNP
행정부가	행정부/NNG+가/JKS
아랍권과	아랍/NNP+권/XSN+과/JC
이스라엘	이스라엘/NNP
간	간/NNB
평화에	평화/NNG+에/JKB
진정으로	진정/NNG+으로/JKB
관심이	관심/NNG+이/JKS
있다면	있/VA+다면/EC
미국이	미국/NNP+이/JKS
이스라엘과만	이스라엘/NNP+과/JKB+만/JX
일방적	일방/NNG+적/XSN
관계를	관계/NNG+를/JKO
형성하던	형성/NNG+하/XSV+던/ETM
시대를	시대/NNG+를/JKO
끝내고	끝내/VV+고/EC
좀더	좀/MAG+더/MAG
엄정하고	엄정/NNG+하/XSA+고/EC
냉정해야	냉정/NNG+하/XSA+아야/EC
한다”며,	하/VX+ㄴ다/EF+”/SS+며/EC+,/SP
중재자로서의	중재자/NNG+로서/JKB+의/JKG
독립성과	독립/NNG+성/XSN+과/JC
유연성을	유연성/NNG+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


