# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.333
metadata : {}


# id : NWRW1800000030.333.1.1
[노태우 회고록_정치자금과 나] 노태우가 말하는 주요 인물들

[노태우	[/SS+노태우/NNP
마음에도	마음/NNG+에/JKB+도/JX
아찔함을	아찔/MAG+하/XSA+ㅁ/ETN+을/JKO
느끼지	느끼/VV+지/EC
않을	않/VX+을/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.333.5.1
▶전두환 전 대통령=타의 추종을 불허하는 활동적 인물이었다.

▶전두환	▶/SW+전두환/NNP
전	전/MMD
대통령=타의	대통령/NNG+=/SW+타/NNG+의/JKG
추종을	추종/NNG+을/JKO
불허하는	불허/NNG+하/XSV+는/ETM
활동적	활동/NNG+적/XSN
인물이었다.	인물/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.333.5.2
우리는 우정과 동지애가 유난히 강했다.

우리는	우리/NP+는/JX
우정과	우정/NNG+과/JC
동지애가	동지애/NNG+가/JKS
유난히	유난히/MAG
강했다.	강하/VA+았/EP+다/EF+./SF


# id : NWRW1800000030.333.5.3
그러나 우정을 국가보다 상위에 놓을 수 없게 됐다.

그러나	그러나/MAJ
우정을	우정/NNG+을/JKO
국가보다	국가/NNG+보다/JKB
상위에	상위/NNG+에/JKB
놓을	놓/VV+을/ETM
수	수/NNB
없게	없/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.333.5.4
인식의 차이로 해서 전임자는 나에 대해 배신감을 느끼면서 서운해할 수 있는 것이고 나는 미안해하면서도 '어쩔 수 없다'는 마음을 가지게 됐다.

인식의	인식/NNG+의/JKG
차이로	차이/NNG+로/JKB
해서	하/VV+아서/EC
전임자는	전임자/NNG+는/JX
나에	나/NP+에/JKB
대해	대하/VV+아/EC
배신감을	배신감/NNG+을/JKO
느끼면서	느끼/VV+면서/EC
서운해할	서운하/VA+아/EC+하/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것이고	것/NNB+이/VCP+고/EC
나는	나/NP+는/JX
미안해하면서도	미안/NNG+하/XSA+아/EC+하/VX+면서/EC+도/JX
'어쩔	'/SS+어쩌/VV+ㄹ/ETM
없다'는	없/VA+다/EF+'/SS+는/ETM
마음을	마음/NNG+을/JKO
가지게	가지/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.333.6.1
▶김영삼 전 대통령=회고록을 쓰면서 여러 번 자문했던 것은 '나는 왜 그(YS)의 인간됨과 역사관을 오판했을까' 하는 것들이었다.

▶김영삼	▶/SW+김영삼/NNP
전	전/MMD
대통령=회고록을	대통령/NNG+=/SW+회고록/NNG+을/JKO
쓰면서	쓰/VV+면서/EC
여러	여러/MMN
번	번/NNB
자문했던	자문/NNG+하/XSV+았/EP+던/ETM
것은	것/NNB+은/JX
'나는	'/SS+나/NP+는/JX
왜	왜/MAG
그(YS)의	그/NP+(/SS+YS/SL+)/SS+의/JKG
인간됨과	인간/NNG+되/XSV+ㅁ/ETN+과/JC
역사관을	역사관/NNG+을/JKO
오판했을까'	오판/NNG+하/XSV+았/EP+을까/EC+'/SS
하는	하/VV+는/ETM
것들이었다.	것/NNB+들/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.333.6.2
취임 전 만나보니 그는 정치에서 쌍방 간에 시각 차이가 존재한다는 것 자체에 대한 인식이 부족했다.

취임	취임/NNG
전	전/NNG
만나보니	만나/VV+아/EC+보/VX+니/EC
그는	그/NP+는/JX
정치에서	정치/NNG+에서/JKB
쌍방	쌍방/NNG
간에	간/NNB+에/JKB
시각	시각/NNG
차이가	차이/NNG+가/JKS
존재한다는	존재/NNG+하/XSV+ㄴ다는/ETM
것	것/NNB
자체에	자체/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인식이	인식/NNG+이/JKS
부족했다.	부족/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000030.333.6.3
(1987년)대선 결과에 대해서도 그는 승복할 수 없다는 입장을 취하고 있었다.

(1987년)대선	(/SS+1987/SN+년/NNB+)/SS+대선/NNG
결과에	결과/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
그는	그/NP+는/JX
승복할	승복/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
입장을	입장/NNG+을/JKO
취하고	취하/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.333.6.4
'고집도 보통 고집이 아니구나' 하고 생각했다.

'고집도	'/SS+고집/NNG+도/JX
보통	보통/NNG
고집이	고집/NNG+이/JKC
아니구나'	아니/VCN+구나/EF+'/SS
하고	하/VV+고/EC
생각했다.	생각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.333.6.5
(YS는) 2년간 매주 만나다시피 했고 내 옆에서 국가 경영을 봐오기는 했지만 진지한 면보다는 피상적으로 접근한다는 인상이었다.

(YS는)	(/SS+YS/SL+는/JX+)/SS
2년간	2/SN+년/NNB+간/XSN
매주	매주/MAG
만나다시피	만나/VV+다시피/EC
했고	하/VV+았/EP+고/EC
내	나/NP+의/JKG
옆에서	옆/NNG+에서/JKB
국가	국가/NNG
경영을	경영/NNG+을/JKO
봐오기는	보/VV+아/EC+오/VX+기/ETN+는/JX
했지만	하/VX+았/EP+지만/EC
진지한	진지하/VA+ㄴ/ETM
면보다는	면/NNG+보다/JKB+는/JX
피상적으로	피상/NNG+적/XSN+으로/JKB
접근한다는	접근/NNG+하/XSV+ㄴ다는/ETM
인상이었다.	인상/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.333.6.6
권력을 향해 하나에서 열까지 투쟁하는 자세가 변함없이 엿보이곤 했다.

권력을	권력/NNG+을/JKO
향해	향하/VV+아/EC
하나에서	하나/NR+에서/JKB
열까지	열/NR+까지/JX
투쟁하는	투쟁/NNG+하/XSV+는/ETM
자세가	자세/NNG+가/JKS
변함없이	변함없이/MAG
엿보이곤	엿보이/VV+곤/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.333.6.7
그의 취임연설에 전율을 금할 수 없었다.

그의	그/NP+의/JKG
취임연설에	취임/NNG+연설/NNG+에/JKB
전율을	전율/NNG+을/JKO
금할	금하/VV+ㄹ/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.333.6.8
6공화국의 민주성마저 부인하고 있었다.

6공화국의	6/SN+공화국/NNG+의/JKG
민주성마저	민주/NNG+성/XSN+마저/JX
부인하고	부인/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.333.6.9
이런 결과를 가져온 데 대한 자책감을 느꼈다.

이런	이런/MMD
결과를	결과/NNG+를/JKO
가져온	가져오/VV+ㄴ/ETM
데	데/NNB
대한	대하/VV+ㄴ/ETM
자책감을	자책감/NNG+을/JKO
느꼈다.	느끼/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.333.7.1
▶김대중 전 대통령='다른 야당 지도자들과는 다르구나' 하는 느낌이 들었다.

▶김대중	▶/SW+김대중/NNP
전	전/MMD
대통령='다른	대통령/NNG+=/SW+'/SS+다른/MMD
야당	야당/NNG
지도자들과는	지도자/NNG+들/XSN+과/JKB+는/JX
다르구나'	다르/VA+구나/EF+'/SS
하는	하/VV+는/ETM
느낌이	느낌/NNG+이/JKS
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.333.7.2
수없는 난경(難境)을 겪어 오면서 얻은 경험이 몸에 배어 있었다.

수없는	수없/VA+는/ETM
난경(難境)을	난경/NNG+(/SS+難境/SH+)/SS+을/JKO
겪어	겪/VV+어/EC
오면서	오/VX+면서/EC
얻은	얻/VV+은/ETM
경험이	경험/NNG+이/JKS
몸에	몸/NNG+에/JKB
배어	배/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.333.7.3
관찰력이 예리한 것은 물론이고 상대방의 이야기를 한 대목도 놓치지 않았다.

관찰력이	관찰력/NNG+이/JKS
예리한	예리하/VA+ㄴ/ETM
것은	것/NNB+은/JX
물론이고	물론/NNG+이/VCP+고/EC
상대방의	상대방/NNG+의/JKG
이야기를	이야기/NNG+를/JKO
한	한/MMN
대목도	대목/NNG+도/JX
놓치지	놓치/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.333.7.4
'어쨌든 대단한 사람이구나' 하고 생각했다.

'어쨌든	'/SS+어쨌든/MAG
대단한	대단하/VA+ㄴ/ETM
사람이구나'	사람/NNG+이/VCP+구나/EF+'/SS
하고	하/VV+고/EC
생각했다.	생각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.333.7.5
시간이 흐름에 따라 그의 총명함이 많이 흐려지는 것을 느낄 수 있었다.

시간이	시간/NNG+이/JKS
흐름에	흐르/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
그의	그/NP+의/JKG
총명함이	총명/NNG+하/XSA+ㅁ/ETN+이/JKS
많이	많이/MAG
흐려지는	흐려지/VV+는/ETM
것을	것/NNB+을/JKO
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.333.7.6
(1992년 대선 때) 김 총재가 상황을 자신에게 유리한 것으로 오판하고 있다고 생각하니 연민의 정마저 일었다.

(1992년	(/SS+1992/SN+년/NNB
대선	대선/NNG
때)	때/NNG+)/SS
김	김/NNP
총재가	총재/NNG+가/JKS
상황을	상황/NNG+을/JKO
자신에게	자신/NNG+에게/JKB
유리한	유리/NNG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
오판하고	오판/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
생각하니	생각/NNG+하/XSV+니/EF
연민의	연민/NNG+의/JKG
정마저	정/NNG+마저/JX
일었다.	일/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.333.8.1
▶김종필 전 총리=30년 가까이 국정에 몸담아 온 관록이 있어서인지 믿음직스럽게 여겨졌다.

▶김종필	▶/SW+김종필/NNP
전	전/MMD
총리=30년	총리/NNG+=/SW+30/SN+년/NNB
가까이	가까이/MAG
국정에	국정/NNG+에/JKB
몸담아	몸담/VV+아/EC
온	오/VX+ㄴ/ETM
관록이	관록/NNG+이/JKS
있어서인지	있/VA+어서/EC+이/VCP+ㄴ지/EC
믿음직스럽게	믿음직스럽/VA+게/EC
여겨졌다.	여기/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.333.9.1
▶이회창 자유선진당 총재=율곡사업과 관련해 이회창 당시 감사원장 역시 당당하지 못했다는 생각을 갖고 있다.

▶이회창	▶/SW+이회창/NNP
자유선진당	자유선진당/NNP
총재=율곡사업과	총재/NNG+=/SW+율곡/NNP+사업/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
이회창	이회창/NNP
당시	당시/NNG
감사원장	감사원장/NNG
역시	역시/MAG
당당하지	당당/MAG+하/XSA+지/EC
못했다는	못하/VX+았/EP+다는/ETM
생각을	생각/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.333.9.2
조사 결과 잘못이 없다는 결론이 나왔음에도 불구하고 언론을 의식해서인지 흐지부지 넘어가고 말았기 때문이다.

조사	조사/NNG
결과	결과/NNG
잘못이	잘못/NNG+이/JKS
없다는	없/VA+다는/ETM
결론이	결론/NNG+이/JKS
나왔음에도	나오/VV+았/EP+음/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
언론을	언론/NNG+을/JKO
의식해서인지	의식/NNG+하/XSV+아서/EC+이/VCP+ㄴ지/EC
흐지부지	흐지부지/MAG
넘어가고	넘어가/VV+고/EC
말았기	말/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.333.10.1
▶박근혜 전 한나라당 대표=청와대 경호실 작전차장보를 하던 1978년 박 전 대통령의 신년 가족 식사자리에 함께했다.

▶박근혜	▶/SW+박근혜/NNP
전	전/MMD
한나라당	한나라당/NNP
대표=청와대	대표/NNG+=/SW+청와대/NNP
경호실	경호실/NNG
작전차장보를	작전/NNG+차장보/NNG+를/JKO
하던	하/VV+던/ETM
1978년	1978/SN+년/NNB
박	박/NNP
대통령의	대통령/NNG+의/JKG
신년	신년/NNG
가족	가족/NNG
식사자리에	식사/NNG+자리/NNG+에/JKB
함께했다.	함께/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.333.10.2
박 전 대통령은 날밤 1개를 집어 "이것 참 맛있겠구나"라며 큰 영애(근혜)에게 주었다.

박	박/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
날밤	날/XPN+밤/NNG
1개를	1/SN+개/NNB+를/JKO
집어	집/VV+어/EC
"이것	"/SS+이것/NP
참	참/MAG
맛있겠구나"라며	맛있/VA+겠/EP+구나/EF+"/SS+이/VCP+라며/EC
큰	크/VA+ㄴ/ETM
영애(근혜)에게	영애/NNP+(/SS+근혜/NNP+)/SS+에게/JKB
주었다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.333.10.3
그런데 근혜양이 받지 않았다.

그런데	그런데/MAJ
근혜양이	근혜/NNP+양/NNB+이/JKS
받지	받/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.333.10.4
순간 미묘한 분위기가 흐르자 옆에 앉았던 근영양이 "아버지 저 주세요" 하고 받아서는 입에 넣어 깨물었다.

순간	순간/NNG
미묘한	미묘하/VA+ㄴ/ETM
분위기가	분위기/NNG+가/JKS
흐르자	흐르/VV+자/EC
옆에	옆/NNG+에/JKB
앉았던	앉/VV+았/EP+던/ETM
근영양이	근영/NNP+양/NNB+이/JKS
"아버지	"/SS+아버지/NNG
저	저/NP
주세요"	주/VV+시/EP+어요/EF+"/SS
하고	하/VV+고/EC
받아서는	받/VV+아서/EC+는/JX
입에	입/NNG+에/JKB
넣어	넣/VV+어/EC
깨물었다.	깨물/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.333.10.5
나는 그 장면을 보면서 박 대통령이 참으로 외롭겠다는 생각을 했다.

나는	나/NP+는/JX
그	그/MMD
장면을	장면/NNG+을/JKO
보면서	보/VV+면서/EC
박	박/NNP
대통령이	대통령/NNG+이/JKS
참으로	참으로/MAG
외롭겠다는	외롭/VA+겠/EP+다는/ETM
생각을	생각/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.333.11.1
▶정주영 전 현대그룹 회장=정 전 회장이 전두환 전 대통령을 찾아와 "아파트를 평당 60만원에 지을 수 있다"고 했다는데 그 말이 도저히 믿어지지 않았다.

▶정주영	▶/SW+정주영/NNP
전	전/MMD
현대그룹	현대그룹/NNP
회장=정	회장/NNG+=/SW+정/NNP
회장이	회장/NNG+이/JKS
전두환	전두환/NNP
대통령을	대통령/NNG+을/JKO
찾아와	찾아오/VV+아/EC
"아파트를	"/SS+아파트/NNG+를/JKO
평당	평/NNB+당/XSN
60만원에	60/SN+만/NR+원/NNB+에/JKB
지을	짓/VV+을/ETM
수	수/NNB
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다는데	하/VV+았/EP+다는데/EC
그	그/MMD
말이	말/NNG+이/JKS
도저히	도저히/MAG
믿어지지	믿/VV+어/EC+지/VX+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.333.11.2
한 달쯤 지나 전 전 대통령을 만났더니 "내가 그 영감한테 속았다"고 하기에 나는 "빨리 아셔서 다행입니다" 하면서 그의 인간됨을 걱정하지 않을 수 없었다.

한	한/MMN
달쯤	달/NNB+쯤/XSN
지나	지나/VV+아/EC
전	전/MMD
대통령을	대통령/NNG+을/JKO
만났더니	만나/VV+았/EP+더니/EC
"내가	"/SS+내/NP+가/JKS
그	그/MMD
영감한테	영감/NNG+한테/JKB
속았다"고	속/VV+았/EP+다/EF+"/SS+고/JKQ
하기에	하/VV+기에/EC
나는	나/NP+는/JX
"빨리	"/SS+빨리/MAG
아셔서	알/VV+시/EP+어서/EC
다행입니다"	다행/NNG+이/VCP+ㅂ니다/EF+"/SS
하면서	하/VV+면서/EC
그의	그/NP+의/JKG
인간됨을	인간/NNG+되/XSV+ㅁ/ETN+을/JKO
걱정하지	걱정/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.333.12.1
▶고르바초프 전 소련 공산당 서기장=머리가 영민하고 순발력이 있었으며 지혜로운 안목을 지닌 지도자였다.

▶고르바초프	▶/SW+고르바초프/NNP
전	전/MMD
소련	소련/NNP
공산당	공산당/NNP
서기장=머리가	서기장/NNG+=/SW+머리/NNG+가/JKS
영민하고	영민하/VA+고/EC
순발력이	순발력/NNG+이/JKS
있었으며	있/VA+었/EP+으며/EC
지혜로운	지혜/NNG+롭/XSA+ㄴ/ETM
안목을	안목/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
지도자였다.	지도자/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.333.12.2
무엇보다 착한 사람이었다.

무엇보다	무엇/NP+보다/JKB
착한	착하/VA+ㄴ/ETM
사람이었다.	사람/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.333.12.3
문제는 그가 경제를 너무 몰랐다는 점이다.

문제는	문제/NNG+는/JX
그가	그/NP+가/JKS
경제를	경제/NNG+를/JKO
너무	너무/MAG
몰랐다는	모르/VV+았/EP+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


