# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.62
metadata : {}


# id : NWRW1800000046.62.1.1
쇼! 끝은 없는 거야

쇼!	쇼/NNG+!/SF
대사에	대사/NNG+에/JKB
"예능	"/SS+예능/NNG
PD가	PD/SL+가/JKS
만든	만들/VV+ㄴ/ETM
드라마라	드라마/NNG+이/VCP+라/EC
더	더/MAG
신선한	신선하/VA+ㄴ/ETM
자아비판"	자아비판/NNG+"/SS
"생각	"/SS+생각/NNG
없이	없이/MAG
예능을	예능/NNG+을/JKO
본	보/VV+ㄴ/ETM
게	거/NNB+이/JKS
부끄러워지는	부끄럽/VA+어/EC+지/VX+는/ETM
대사"라는	대사/NNG+"/SS+이/VCP+라는/ETM
호평이	호평/NNG+이/JKS
시청자	시청자/NNG
게시판	게시판/NNG
등에	등/NNB+에/JKB
100건	100/SN+건/NNB
가까이	가까이/MAG
올라왔다.	올라오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.62.4.4
한류스타 김수현의 출연에도 시청률 10.3%(닐슨코리아)로 시작한 이 드라마는 6회 만에 "방송계의 나쁜 관행까지 잘 그렸다"는 평가 속에 13.5%로 상승세를 탔다.

한류스타	한류/NNG+스타/NNG
김수현의	김수현/NNP+의/JKG
출연에도	출연/NNG+에/JKB+도/JX
시청률	시청/NNG+률/XSN
10.3%(닐슨코리아)로	10/SN+./SP+3/SN+%/SW+(/SS+닐슨코리아/NNP+)/SS+로/JKB
시작한	시작/NNG+하/XSV+ㄴ/ETM
이	이/MMD
드라마는	드라마/NNG+는/JX
6회	6/SN+회/NNB
만에	만/NNB+에/JKB
"방송계의	"/SS+방송/NNG+계/XSN+의/JKG
나쁜	나쁘/VA+ㄴ/ETM
관행까지	관행/NNG+까지/JX
잘	잘/MAG
그렸다"는	그리/VV+었/EP+다/EF+"/SS+는/ETM
평가	평가/NNG
속에	속/NNG+에/JKB
13.5%로	13/SN+./SP+5/SN+%/SW+로/JKB
상승세를	상승세/NNG+를/JKO
탔다.	타/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.62.4.5
끝에 '사'자가 붙은 건 프로듀서가 의사·판사처럼 전문직으로 보이지만 막상 하는 일은 일반 직장인과 전혀 다를 바 없어 프로듀서들의 삶을 자조적으로 표현한 것이다.

끝에	끝/NNG+에/JKB
'사'자가	'/SS+사/NNG+'/SS+자/NNG+가/JKS
붙은	붙/VV+은/ETM
건	거/NNB+ㄴ/JX
프로듀서가	프로듀서/NNG+가/JKS
의사·판사처럼	의사/NNG+·/SP+판사/NNG+처럼/JKB
전문직으로	전문직/NNG+으로/JKB
보이지만	보이/VV+지만/EC
막상	막상/MAG
하는	하/VV+는/ETM
일은	일/NNG+은/JX
일반	일반/NNG
직장인과	직장인/NNG+과/JKB
전혀	전혀/MAG
다를	다르/VA+ㄹ/ETM
바	바/NNB
없어	없/VA+어/EC
프로듀서들의	프로듀서/NNG+들/XSN+의/JKG
삶을	삶/NNG+을/JKO
자조적으로	자조/NNG+적/XSN+으로/JKB
표현한	표현/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.62.5.1
예능이나 드라마, 영화 제작 과정을 소재로 삼은 TV 프로그램을 방송가에선 '메이킹필름(제작 과정을 담은 다큐멘터리) 쇼'라고 부른다.

예능이나	예능/NNG+이나/JC
드라마,	드라마/NNG+,/SP
영화	영화/NNG
제작	제작/NNG
과정을	과정/NNG+을/JKO
소재로	소재/NNG+로/JKB
삼은	삼/VV+은/ETM
TV	TV/SL
프로그램을	프로그램/NNG+을/JKO
방송가에선	방송가/NNG+에서/JKB+ㄴ/JX
'메이킹필름(제작	'/SS+메이킹/NNG+필름/NNG+(/SS+제작/NNG
담은	담/VV+은/ETM
다큐멘터리)	다큐멘터리/NNG+)/SS
쇼'라고	쇼/NNG+'/SS+라고/JKQ
부른다.	부르/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.62.5.2
드라마뿐 아니라 예능에서도 이런 '메이킹필름쇼'가 속속 나오고 있다.

드라마뿐	드라마/NNG+뿐/JX
아니라	아니/VCN+라/EC
예능에서도	예능/NNG+에서/JKB+도/JX
이런	이런/MMD
'메이킹필름쇼'가	'/SS+메이킹/NNG+필름/NNG+쇼/NNG+'/SS+가/JKS
속속	속속/MAG
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.62.5.3
지난달 초 방영된 KBS 예능 '레이디 액션'도 조민수, 이시영 등 여배우들이 수중 격투나 몸에 불이 붙는 등 고난도 스턴트 액션을 직접 배워 액션 영화를 만드는 과정을 담아 화제를 모았다.

지난달	지난달/NNG
초	초/NNB
방영된	방영/NNG+되/XSV+ㄴ/ETM
KBS	KBS/SL
예능	예능/NNG
'레이디	'/SS+레이디/NNG
액션'도	액션/NNG+'/SS+도/JX
조민수,	조민수/NNP+,/SP
이시영	이시영/NNP
등	등/NNB
여배우들이	여배우/NNG+들/XSN+이/JKS
수중	수중/NNG
격투나	격투/NNG+나/JC
몸에	몸/NNG+에/JKB
불이	불/NNG+이/JKS
붙는	붙/VV+는/ETM
고난도	고/XPN+난도/NNG
스턴트	스턴트/NNG
액션을	액션/NNG+을/JKO
직접	직접/MAG
배워	배우/VV+어/EC
액션	액션/NNG
영화를	영화/NNG+를/JKO
만드는	만들/VV+는/ETM
과정을	과정/NNG+을/JKO
담아	담/VV+아/EC
화제를	화제/NNG+를/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.62.5.4
당초 2부작 파일럿 프로그램으로 방영된 이 프로그램은 평균 시청률 4.8%를 기록하며 선전했고, 정규 편성이 유력하다.

당초	당초/NNG
2부작	2/SN+부작/NNB
파일럿	파일럿/NNG
프로그램으로	프로그램/NNG+으로/JKB
방영된	방영/NNG+되/XSV+ㄴ/ETM
이	이/MMD
프로그램은	프로그램/NNG+은/JX
평균	평균/NNG
시청률	시청/NNG+률/XSN
4.8%를	4/SN+./SP+8/SN+%/SW+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
선전했고,	선전/NNG+하/XSV+았/EP+고/EC+,/SP
정규	정규/NNG
편성이	편성/NNG+이/JKS
유력하다.	유력/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000046.62.5.5
케이블 채널CGV는 배우 한상진이 이다희, 임주환 등 다른 배우와 스태프 10여명을 이끌고 하루 10만원의 예산으로 4일 만에 단편영화를 찍는 과정을 담은 리얼리티쇼 '나도 영화감독이다'를 방영할 예정이다.

케이블	케이블/NNG
채널CGV는	채널CGV/NNP+는/JX
배우	배우/NNG
한상진이	한상진/NNP+이/JKS
이다희,	이다희/NNP+,/SP
임주환	임주환/NNP
등	등/NNB
다른	다른/MMD
배우와	배우/NNG+와/JC
스태프	스태프/NNG
10여명을	10/SN+여/XSN+명/NNB+을/JKO
이끌고	이끌/VV+고/EC
하루	하루/NNG
10만원의	10/SN+만/NR+원/NNB+의/JKG
예산으로	예산/NNG+으로/JKB
4일	4/SN+일/NNB
만에	만/NNB+에/JKB
단편영화를	단편/NNG+영화/NNG+를/JKO
찍는	찍/VV+는/ETM
과정을	과정/NNG+을/JKO
담은	담/VV+은/ETM
리얼리티쇼	리얼리티/NNG+쇼/NNG
'나도	'/SS+나/NP+도/JX
영화감독이다'를	영화감독/NNG+이/VCP+다/EF+'/SS+를/JKO
방영할	방영/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.62.6.1
이런 '메이킹필름쇼'의 장점은 쇼를 제작하는 제작진이 스스로 가장 잘 아는 소재를 다루기 때문에 현실감 있는 묘사가 가능하단 점이다.

이런	이런/MMD
'메이킹필름쇼'의	'/SS+메이킹/NNG+필름/NNG+쇼/NNG+'/SS+의/JKG
장점은	장점/NNG+은/JX
쇼를	쇼/NNG+를/JKO
제작하는	제작/NNG+하/XSV+는/ETM
제작진이	제작진/NNG+이/JKS
스스로	스스로/MAG
가장	가장/MAG
잘	잘/MAG
아는	알/VV+는/ETM
소재를	소재/NNG+를/JKO
다루기	다루/VV+기/ETN
때문에	때문/NNB+에/JKB
현실감	현실감/NNG
있는	있/VA+는/ETM
묘사가	묘사/NNG+가/JKS
가능하단	가능/NNG+하/XSA+단/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.62.6.2
'프로듀사'의 극본을 쓴 박지은 작가는 예능 프로그램의 구성작가로 일을 시작했고, KBS 간판 코미디 프로 '개그콘서트'를 만든 서수민 PD는 본인이 겪거나 들었던 에피소드를 상당 부분 드라마 속에 반영한 것으로 알려졌다.

'프로듀사'의	'/SS+프로듀사/NNP+'/SS+의/JKG
극본을	극본/NNG+을/JKO
쓴	쓰/VV+ㄴ/ETM
박지은	박지은/NNP
작가는	작가/NNG+는/JX
예능	예능/NNG
프로그램의	프로그램/NNG+의/JKG
구성작가로	구성/NNG+작가/NNG+로/JKB
일을	일/NNG+을/JKO
시작했고,	시작/NNG+하/XSV+았/EP+고/EC+,/SP
KBS	KBS/SL
간판	간판/NNG
코미디	코미디/NNG
프로	프로/NNG
'개그콘서트'를	'/SS+개그/NNG+콘서트/NNG+'/SS+를/JKO
만든	만들/VV+ㄴ/ETM
서수민	서수민/NNP
PD는	PD/SL+는/JX
본인이	본인/NNG+이/JKS
겪거나	겪/VV+거나/EC
들었던	듣/VV+었/EP+던/ETM
에피소드를	에피소드/NNG+를/JKO
상당	상당/NNG
부분	부분/NNG
드라마	드라마/NNG
속에	속/NNG+에/JKB
반영한	반영/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.62.6.3
TV평론가 윤석진 충남대 교수도 "예전에 드라마 PD를 소재로 한 '그들이 사는 세상'이나 '온에어' 같은 작품도 실제 에피소드가 많이 들어가 드라마적 완성도가 상당히 높았다"고 말했다.

TV평론가	TV/SL+평론가/NNG
윤석진	윤석진/NNP
충남대	충남대/NNP
교수도	교수/NNG+도/JX
"예전에	"/SS+예전/NNG+에/JKB
드라마	드라마/NNG
PD를	PD/SL+를/JKO
소재로	소재/NNG+로/JKB
한	하/VV+ㄴ/ETM
'그들이	'/SS+그/NP+들/XSN+이/JKS
사는	살/VV+는/ETM
세상'이나	세상/NNG+'/SS+이나/JC
'온에어'	'/SS+온에어/NNP+'/SS
같은	같/VA+은/ETM
작품도	작품/NNG+도/JX
실제	실제/NNG
에피소드가	에피소드/NNG+가/JKS
많이	많이/MAG
들어가	들어가/VV+아/EC
드라마적	드라마/NNG+적/XSN
완성도가	완성도/NNG+가/JKS
상당히	상당히/MAG
높았다"고	높/VA+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.62.6.4
'레이디액션'을 연출한 고세준 PD는 "액션 신뿐 아니라 영화나 드라마 제작 과정 자체가 사람이 부딪치고 감싸고 배려하는 과정 속에서 나오는 드라마가 있기 때문에 시청자들이 색다른 소재 속에서도 친숙함을 느낄 수 있다"고 말했다.

'레이디액션'을	'/SS+레이디액션/NNP+'/SS+을/JKO
연출한	연출/NNG+하/XSV+ㄴ/ETM
고세준	고세준/NNP
PD는	PD/SL+는/JX
"액션	"/SS+액션/NNG
신뿐	신/NNG+뿐/JX
아니라	아니/VCN+라/EC
영화나	영화/NNG+나/JC
드라마	드라마/NNG
제작	제작/NNG
과정	과정/NNG
자체가	자체/NNG+가/JKS
사람이	사람/NNG+이/JKS
부딪치고	부딪치/VV+고/EC
감싸고	감싸/VV+고/EC
배려하는	배려/NNG+하/XSV+는/ETM
속에서	속/NNG+에서/JKB
나오는	나오/VV+는/ETM
드라마가	드라마/NNG+가/JKS
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
시청자들이	시청자/NNG+들/XSN+이/JKS
색다른	색다르/VA+ㄴ/ETM
소재	소재/NNG
속에서도	속/NNG+에서/JKB+도/JX
친숙함을	친숙/NNG+하/XSA+ㅁ/ETN+을/JKO
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.62.7.1
방송국 간의 눈치작전이 이런 특정 소재의 유행을 만드는 것이란 지적도 있다.

방송국	방송국/NNG
간의	간/NNB+의/JKG
눈치작전이	눈치작전/NNG+이/JKS
이런	이런/MMD
특정	특정/NNG
소재의	소재/NNG+의/JKG
유행을	유행/NNG+을/JKO
만드는	만들/VV+는/ETM
것이란	것/NNB+이/VCP+란/ETM
지적도	지적/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.62.7.2
한 방송국 PD는 "어떤 아이템이 관심을 끌면 그걸 약간 비틀어서 프로그램 아이디어를 내는 경향이 있기 때문에 비슷한 소재의 프로그램이 동시에 나온다"고 말했다.

한	한/MMN
방송국	방송국/NNG
PD는	PD/SL+는/JX
"어떤	"/SS+어떤/MMD
아이템이	아이템/NNG+이/JKS
관심을	관심/NNG+을/JKO
끌면	끌/VV+면/EC
그걸	그거/NP+ㄹ/JKO
약간	약간/MAG
비틀어서	비틀/VV+어서/EC
프로그램	프로그램/NNG
아이디어를	아이디어/NNG+를/JKO
내는	내/VV+는/ETM
경향이	경향/NNG+이/JKS
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
비슷한	비슷하/VA+ㄴ/ETM
소재의	소재/NNG+의/JKG
프로그램이	프로그램/NNG+이/JKS
동시에	동시/NNG+에/JKB
나온다"고	나오/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


