# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.319
metadata : {}


# id : NWRW1800000056.319.1.1
[아침 햇발] 한반도 운전자 되기의 어려움

[아침	[/SS+아침/NNG
# id : NWRW1800000056.319.3.1
미국이 운전대를 넘길 뜻이 있는지부터 의심스럽다.

미국이	미국/NNP+이/JKS
운전대를	운전대/NNG+를/JKO
넘길	넘기/VV+ㄹ/ETM
뜻이	뜻/NNG+이/JKS
있는지부터	있/VA+는지/EF+부터/JX
의심스럽다.	의심/NNG+스럽/XSA+다/EF+./SF


# id : NWRW1800000056.319.3.2
최근 한국을 방문한 미국 정보 분야 고위급 관료가 문 대통령의 ‘운전자론’에 험한 표현을 써가며 불만을 표출했다는 얘기가 들린다.

최근	최근/NNG
한국을	한국/NNP+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
미국	미국/NNP
정보	정보/NNG
분야	분야/NNG
고위급	고위급/NNG
관료가	관료/NNG+가/JKS
문	문/NNP
대통령의	대통령/NNG+의/JKG
‘운전자론’에	‘/SS+운전자/NNG+론/XSN+’/SS+에/JKB
험한	험하/VA+ㄴ/ETM
표현을	표현/NNG+을/JKO
써가며	쓰/VV+어/EC+가/VX+며/EC
불만을	불만/NNG+을/JKO
표출했다는	표출/NNG+하/XSV+았/EP+다는/ETM
얘기가	얘기/NNG+가/JKS
들린다.	들리/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.319.3.3
도널드 트럼프 대통령은 냉·온탕을 넘나들어 속내를 종잡을 수 없다.

도널드	도널드/NNP
트럼프	트럼프/NNP
대통령은	대통령/NNG+은/JX
냉·온탕을	냉·온탕/NNG+을/JKO
넘나들어	넘나들/VV+어/EC
속내를	속내/NNG+를/JKO
종잡을	종잡/VV+을/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000056.319.3.4
선제타격론, 예방타격론, 예방전쟁론 등 우리 뜻과 무관하게 배달되는 ‘워싱턴발 북한 공격론’에 정신 못 차릴 지경이다.

선제타격론,	선제/NNG+타격/NNG+론/XSN+,/SP
예방타격론,	예방/NNG+타격/NNG+론/XSN+,/SP
예방전쟁론	예방/NNG+전쟁/NNG+론/XSN
등	등/NNB
우리	우리/NP
뜻과	뜻/NNG+과/JKB
무관하게	무관하/VA+게/EC
배달되는	배달/NNG+되/XSV+는/ETM
‘워싱턴발	‘/SS+워싱턴/NNP+발/XSN
북한	북한/NNP
공격론’에	공격/NNG+론/XSN+’/SS+에/JKB
정신	정신/NNG
못	못/MAG
차릴	차리/VV+ㄹ/ETM
지경이다.	지경/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.319.4.1
미국 외교의 거물이던 즈비그뉴 브레진스키의 <거대한 체스판>엔 한국이 미국에 어떤 존재인지 노골적으로 묘사돼 있다.

미국	미국/NNP
외교의	외교/NNG+의/JKG
거물이던	거물/NNG+이/VCP+던/ETM
즈비그뉴	즈비그뉴/NNP
브레진스키의	브레진스키/NNP+의/JKG
<거대한	</SS+거대/NNG+하/XSA+ㄴ/ETM
체스판>엔	체스/NNG+판/NNG+>/SS+에/JKB+ㄴ/JX
한국이	한국/NNP+이/JKS
미국에	미국/NNP+에/JKB
어떤	어떤/MMD
존재인지	존재/NNG+이/VCP+ㄴ지/EC
노골적으로	노골/NNG+적/XSN+으로/JKB
묘사돼	묘사/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.319.4.2
‘극동의 조그만 반도 반쪽’의 전략적 가치는 유라시아를 노리는 미국이 내려앉을 ‘횃대’를 제공하는 데 있다.

‘극동의	‘/SS+극동/NNP+의/JKG
조그만	조그맣/VA+ㄴ/ETM
반도	반도/NNG
반쪽’의	반쪽/NNG+’/SS+의/JKG
전략적	전략/NNG+적/XSN
가치는	가치/NNG+는/JX
유라시아를	유라시아/NNP+를/JKO
노리는	노리/VV+는/ETM
미국이	미국/NNP+이/JKS
내려앉을	내려앉/VV+을/ETM
‘횃대’를	‘/SS+횃대/NNG+’/SS+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
데	데/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.319.4.3
이런 관점에서 보면 한국 대통령이 운전대를 잡아도 어디까지나 ‘대리운전자’쯤으로 생각될 거다.

이런	이런/MMD
관점에서	관점/NNG+에서/JKB
보면	보/VV+면/EC
한국	한국/NNP
대통령이	대통령/NNG+이/JKS
운전대를	운전대/NNG+를/JKO
잡아도	잡/VV+아도/EC
어디까지나	어디/NP+까지/JX+나/JX
‘대리운전자’쯤으로	‘/SS+대리운전자/NNG+’/SS+쯤/XSN+으로/JKB
생각될	생각/NNG+되/XSV+ㄹ/ETM
거다.	거/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.319.5.1
정말로 운전대를 넘겨받았다면 사드 배치에 이렇게 무기력할 수 없다.

정말로	정말로/MAG
운전대를	운전대/NNG+를/JKO
넘겨받았다면	넘겨받/VV+았/EP+다면/EC
사드	사드/NNG
배치에	배치/NNG+에/JKB
이렇게	이렇/VA+게/EC
무기력할	무/XPN+기력/NNG+하/XSA+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000056.319.5.2
24일 반쪽짜리 한-중 수교 25돌 행사는 어그러진 한-중 관계의 단면을 상징한다.

24일	24/SN+일/NNB
반쪽짜리	반쪽/NNG+짜리/XSN
한-중	한-중/NNP
수교	수교/NNG
25돌	25/SN+돌/NNB
행사는	행사/NNG+는/JX
어그러진	어그러지/VV+ㄴ/ETM
관계의	관계/NNG+의/JKG
단면을	단면/NNG+을/JKO
상징한다.	상징/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.319.5.3
기업 피해는 롯데뿐만이 아니다.

기업	기업/NNG
피해는	피해/NNG+는/JX
롯데뿐만이	롯데/NNP+뿐/JX+만/JX+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000056.319.5.4
현대자동차도 상반기 중국 판매량이 지난해보다 42.4% 줄었다.

현대자동차도	현대자동차/NNP+도/JX
상반기	상반기/NNG
중국	중국/NNP
판매량이	판매량/NNG+이/JKS
지난해보다	지난해/NNG+보다/JKB
42.4%	42/SN+./SP+4/SN+%/SW
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.319.5.5
고래 싸움에 등 터진 새우가 따로 없다.

고래	고래/NNG
싸움에	싸움/NNG+에/JKB
등	등/NNG
터진	터지/VV+ㄴ/ETM
새우가	새우/NNG+가/JKS
따로	따로/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000056.319.5.6
미국은 이 와중에 한국을 자신 쪽으로 더욱 밀착시켰다.

미국은	미국/NNP+은/JX
이	이/MMD
와중에	와중/NNG+에/JKB
한국을	한국/NNP+을/JKO
자신	자신/NNG
쪽으로	쪽/NNB+으로/JKB
더욱	더욱/MAG
밀착시켰다.	밀착/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.319.5.7
미국 입장에선 사드 배치야말로 유라시아 체스판에 둔 ‘신의 한 수’였다.

미국	미국/NNP
입장에선	입장/NNG+에서/JKB+ㄴ/JX
사드	사드/NNG
배치야말로	배치/NNG+야말로/JX
유라시아	유라시아/NNP
체스판에	체스/NNG+판/NNG+에/JKB
둔	두/VV+ㄴ/ETM
‘신의	‘/SS+신/NNG+의/JKG
한	한/MMN
수’였다.	수/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.319.6.1
헨리 키신저를 필두로 최근 미국 외교·안보 주류 진영에서 주한미군 철수론이 심심찮게 흘러나온다.

헨리	헨리/NNP
키신저를	키신저/NNP+를/JKO
필두로	필두/NNG+로/JKB
최근	최근/NNG
미국	미국/NNP
외교·안보	외교/NNG+·/SP+안보/NNG
주류	주류/NNG
진영에서	진영/NNG+에서/JKB
주한미군	주한/NNG+미군/NNG
철수론이	철수/NNG+론/XSN+이/JKS
심심찮게	심심찮/VA+게/EC
흘러나온다.	흘러나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.319.6.2
스티브 배넌이 꺼낸 주한미군 철수론은 ‘미국 고립주의’ 진영의 보편적 정서를 대변한다.

스티브	스티브/NNP
배넌이	배넌/NNP+이/JKS
꺼낸	꺼내/VV+ㄴ/ETM
주한미군	주한/NNG+미군/NNG
철수론은	철수/NNG+론/XSN+은/JX
‘미국	‘/SS+미국/NNP
고립주의’	고립주의/NNG+’/SS
진영의	진영/NNG+의/JKG
보편적	보편/NNG+적/XSN
정서를	정서/NNG+를/JKO
대변한다.	대변/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.319.6.3
동북아 세력 균형추로 작용해온 주한미군의 철수가 실제로 추진되면 동북아 세력 판도는 크게 재편될 가능성이 있다.

동북아	동북아/NNP
세력	세력/NNG
균형추로	균형추/NNG+로/JKB
작용해온	작용/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
주한미군의	주한/NNG+미군/NNG+의/JKG
철수가	철수/NNG+가/JKS
실제로	실제로/MAG
추진되면	추진/NNG+되/XSV+면/EC
판도는	판도/NNG+는/JX
크게	크/VA+게/EC
재편될	재편/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.319.7.1
브레진스키는 미국의 영향력 축소로 국제질서가 재편될 경우 위험에 빠질 국가로 8개국을 지목했는데, 조지아와 대만에 이어 한국을 3번째로 꼽았다.

브레진스키는	브레진스키/NNP+는/JX
미국의	미국/NNP+의/JKG
영향력	영향력/NNG
축소로	축소/NNG+로/JKB
국제질서가	국제/NNG+질서/NNG+가/JKS
재편될	재편/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
위험에	위험/NNG+에/JKB
빠질	빠지/VV+ㄹ/ETM
국가로	국가/NNG+로/JKB
8개국을	8/SN+개국/NNB+을/JKO
지목했는데,	지목/NNG+하/XSV+았/EP+는데/EC+,/SP
조지아와	조지아/NNP+와/JC
대만에	대만/NNP+에/JKB
이어	잇/VV+어/EC
한국을	한국/NNP+을/JKO
3번째로	3/SN+번/NNB+째/XSN+로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.319.7.2
미국의 영향력은 갈수록 축소되고 있다.

미국의	미국/NNP+의/JKG
영향력은	영향력/NNG+은/JX
갈수록	갈수록/MAG
축소되고	축소/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.319.7.3
당연히 미국 전략이 대외 개입 축소로 전환되고 주한미군 철수로 이어질 가능성에도 대비하는 게 옳다.

당연히	당연히/MAG
미국	미국/NNP
전략이	전략/NNG+이/JKS
대외	대외/NNG
개입	개입/NNG
축소로	축소/NNG+로/JKB
전환되고	전환/NNG+되/XSV+고/EC
주한미군	주한/NNG+미군/NNG
철수로	철수/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
가능성에도	가능/NNG+성/XSN+에/JKB+도/JX
대비하는	대비/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
옳다.	옳/VA+다/EF+./SF


# id : NWRW1800000056.319.7.4
그런데 그저 미국만 바라보고 미국의 군사력에만 의존하자고 한다.

그런데	그런데/MAJ
그저	그저/MAG
미국만	미국/NNP+만/JX
바라보고	바라보/VV+고/EC
미국의	미국/NNP+의/JKG
군사력에만	군사력/NNG+에/JKB+만/JX
의존하자고	의존/NNG+하/XSV+자고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.319.8.1
북한이 핵무기를 만들고, 대륙간탄도미사일을 쏘아대고 있으니 이제 미군 전술핵도 재배치하자고 한다.

북한이	북한/NNP+이/JKS
핵무기를	핵무기/NNG+를/JKO
만들고,	만들/VV+고/EC+,/SP
대륙간탄도미사일을	대륙/NNG+간/NNB+탄도/NNG+미사일/NNG+을/JKO
쏘아대고	쏘/VV+아/EC+대/VX+고/EC
있으니	있/VX+으니/EC
이제	이제/MAG
미군	미군/NNG
전술핵도	전술/NNG+핵/NNG+도/JX
재배치하자고	재/XPN+배치/NNG+하/XSV+자고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.319.8.2
자유한국당 당론이요, 보수 진영의 대체적 정서다.

자유한국당	자유한국당/NNP
당론이요,	당론/NNG+이/VCP+요/EC+,/SP
보수	보수/NNG
진영의	진영/NNG+의/JKG
대체적	대체/NNG+적/XSN
정서다.	정서/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.319.8.3
그러니까 결국 이런 얘기다.

그러니까	그러니까/MAJ
결국	결국/MAG
이런	이런/MMD
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.319.8.4
“주한미군 철수는 절대로 안 된다.

“주한미군	“/SS+주한/NNG+미군/NNG
철수는	철수/NNG+는/JX
절대로	절대로/MAG
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.319.8.5
사드 배치는 빨리 끝마치고 전시작전권 환수는 없던 일로 하자.

사드	사드/NNG
배치는	배치/NNG+는/JX
빨리	빨리/MAG
끝마치고	끝마치/VV+고/EC
전시작전권	전시/NNG+작전/NNG+권/XSN
환수는	환수/NNG+는/JX
없던	없/VA+던/ETM
일로	일/NNG+로/JKB
하자.	하/VV+자/EF+./SF


# id : NWRW1800000056.319.8.6
햇볕도, 대화도 안 된다.

햇볕도,	햇볕/NNG+도/JX+,/SP
대화도	대화/NNG+도/JX
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.319.8.7
내친김에 미국 전술핵도 재배치해보자.”

내친김에	내친김/NNG+에/JKB
미국	미국/NNP
전술핵도	전술/NNG+핵/NNG+도/JX
재배치해보자.”	재/XPN+배치/NNG+하/XSV+아/EC+보/VX+자/EF+./SF+”/SS


# id : NWRW1800000056.319.8.8
도대체 뭘, 어떻게 하자는 걸까.

도대체	도대체/MAG
뭘,	뭐/NP+ㄹ/JKO+,/SP
어떻게	어떻/VA+게/EC
하자는	하/VV+자는/ETM
걸까.	거/NNB+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000056.319.8.9
한반도 운전대 잡을 생각 아예 말라는 거다.

한반도	한반도/NNP
운전대	운전대/NNG
잡을	잡/VV+을/ETM
생각	생각/NNG
아예	아예/MAG
말라는	말/VV+라는/ETM
거다.	거/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.319.8.10
미국 강경론에 장단이나 맞추면서 아무것도 하지 말자는 얘기나 다름없다.

미국	미국/NNP
강경론에	강경/NNG+론/XSN+에/JKB
장단이나	장단/NNG+이나/JX
맞추면서	맞추/VV+면서/EC
아무것도	아무것/NNG+도/JX
하지	하/VV+지/EC
말자는	말/VX+자는/ETM
얘기나	얘기/NNG+나/JX
다름없다.	다름없/VA+다/EF+./SF


# id : NWRW1800000056.319.8.11
이명박·박근혜 정권이 그렇게 했다.

이명박·박근혜	이명박/NNP+·/SP+박근혜/NNP
정권이	정권/NNG+이/JKS
그렇게	그렇/VA+게/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.319.8.12
그래서 해낸 게 뭔가.

그래서	그래서/MAJ
해낸	해내/VV+ㄴ/ETM
게	거/NNB+이/JKS
뭔가.	뭐/NP+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000056.319.9.1
노무현 전 대통령은 자주국방론자였다.

노무현	노무현/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
자주국방론자였다.	자주국방론자/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.319.9.2
국방 예산을 크게 증액했고 전시작전권 환수도 추진했다.

국방	국방/NNG
예산을	예산/NNG+을/JKO
크게	크/VA+게/EC
증액했고	증액/NNG+하/XSV+았/EP+고/EC
전시작전권	전시/NNG+작전/NNG+권/XSN
환수도	환수/NNG+도/JX
추진했다.	추진/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.319.9.3
미국의 집중 견제를 받은 ‘균형자론’은 이런 배경에서 나왔다.

미국의	미국/NNP+의/JKG
집중	집중/NNG
견제를	견제/NNG+를/JKO
받은	받/VV+은/ETM
‘균형자론’은	‘/SS+균형자/NNG+론/XSN+’/SS+은/JX
이런	이런/MMD
배경에서	배경/NNG+에서/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.319.9.4
문 대통령 생각도 이 연장선에 있다고 본다.

문	문/NNP
대통령	대통령/NNG
생각도	생각/NNG+도/JX
이	이/MMD
연장선에	연장선/NNG+에/JKB
있다고	있/VA+다고/EC
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.319.9.5
우리 운명 우리가 헤쳐가야 한다는 의지를 절제된 형태로 표현한 게 ‘한반도 운전자론’이다.

우리	우리/NP
운명	운명/NNG
우리가	우리/NP+가/JKS
헤쳐가야	헤치/VV+어/EC+가/VX+아야/EC
한다는	하/VX+ㄴ다는/ETM
의지를	의지/NNG+를/JKO
절제된	절제/NNG+되/XSV+ㄴ/ETM
형태로	형태/NNG+로/JKB
표현한	표현/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
‘한반도	‘/SS+한반도/NNP
운전자론’이다.	운전자/NNG+론/XSN+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000056.319.9.6
그런데 대통령이 “전쟁만은 막아야 한다”고 하면 한-미 동맹 균열 낸다고 질타하고 나약하다고 힐난한다.

그런데	그런데/MAJ
대통령이	대통령/NNG+이/JKS
“전쟁만은	“/SS+전쟁/NNG+만/JX+은/JX
막아야	막/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
하면	하/VV+면/EC
한-미	한-미/NNP
동맹	동맹/NNG
균열	균열/NNG
낸다고	내/VV+ㄴ다고/EC
질타하고	질타/NNG+하/XSV+고/EC
나약하다고	나약/NNG+하/XSA+다고/EC
힐난한다.	힐난/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.319.9.7
한반도 운전자 되기, 참으로 어렵다.

한반도	한반도/NNP
운전자	운전자/NNG
되기,	되/VV+기/ETN+,/SP
참으로	참으로/MAG
어렵다.	어렵/VA+다/EF+./SF


