# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.287
metadata : {}


# id : NWRW1800000052.287.1.1
강원 이번엔 정조국, 영입 화룡점정

강원	강원/NNP
“아시아축구연맹(AFC)	“/SS+아시아축구연맹/NNP+(/SS+AFC/SL+)/SS
챔피언스리그	챔피언스리그/NNG
진출에	진출/NNG+에/JKB
도전하기	도전/NNG+하/XSV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
정조국	정조국/NNP
같은	같/VA+은/ETM
베테랑	베테랑/NNG
선수가	선수/NNG+가/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF
역경을	역경/NNG+을/JKO
딛고	딛/VV+고/EC
일어난	일어나/VV+ㄴ/ETM
경험을	경험/NNG+을/JKO
한	하/VV+ㄴ/ETM
선수들은	선수/NNG+들/XSN+은/JX
위기에서	위기/NNG+에서/JKB
어떻게	어떻/VA+게/EC
대처할지	대처/NNG+하/XSV+ㄹ지/EF
잘	잘/MAG
알고	알/VV+고/EC
있다.	있/VX+다/EF+./SF
정조국이	정조국/NNP+이/JKS
팀의	팀/NNG+의/JKG
중심을	중심/NNG+을/JKO
잡아줄	잡/VV+아/EC+주/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.287.6.1
대형 공격수 정조국은 검증된 골잡이.

대형	대형/NNG
공격수	공격수/NNG
정조국은	정조국/NNP+은/JX
검증된	검증/NNG+되/XSV+ㄴ/ETM
골잡이.	골잡이/NNG+./SF


# id : NWRW1800000052.287.6.2
돌덩이 같은 슈팅으로 출전 기회만 보장되면 언제든 골을 잡아낼 수 있다.

돌덩이	돌덩이/NNG
같은	같/VA+은/ETM
슈팅으로	슈팅/NNG+으로/JKB
출전	출전/NNG
기회만	기회/NNG+만/JX
보장되면	보장/NNG+되/XSV+면/EC
언제든	언제/NP+든/JX
골을	골/NNG+을/JKO
잡아낼	잡/VV+아/EC+내/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.287.6.3
시야와 감각도 뛰어나 동료 선수들과 협력 플레이만 이뤄진다면 파괴력은 더 커진다.

시야와	시야/NNG+와/JC
감각도	감각/NNG+도/JX
뛰어나	뛰어나/VA+아/EC
동료	동료/NNG
선수들과	선수/NNG+들/XSN+과/JKB
협력	협력/NNG
플레이만	플레이/NNG+만/JX
이뤄진다면	이뤄지/VV+ㄴ다면/EC
파괴력은	파괴력/NNG+은/JX
더	더/MAG
커진다.	커지/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.287.6.4
FC서울을 떠나 올해 광주에서 신발 끈을 다시 묶은 정조국은 나이를 거꾸로 먹는 것처럼 그라운드에서 제2의 전성기를 구가하고 있다.

FC서울을	FC서울/NNP+을/JKO
떠나	떠나/VV+아/EC
올해	올해/NNG
광주에서	광주/NNP+에서/JKB
신발	신발/NNG
끈을	끈/NNG+을/JKO
다시	다시/MAG
묶은	묶/VV+은/ETM
정조국은	정조국/NNP+은/JX
나이를	나이/NNG+를/JKO
거꾸로	거꾸로/MAG
먹는	먹/VV+는/ETM
것처럼	것/NNB+처럼/JKB
그라운드에서	그라운드/NNG+에서/JKB
제2의	제/XPN+2/SN+의/JKG
전성기를	전성기/NNG+를/JKO
구가하고	구가/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.287.6.5
올 시즌 광주에서 31경기에 출전해 20득점을 기록하며 생애 첫 득점왕에 올랐다.

올	올/NNG
시즌	시즌/NNG
광주에서	광주/NNP+에서/JKB
31경기에	31/SN+경기/NNG+에/JKB
출전해	출전/NNG+하/XSV+아/EC
20득점을	20/SN+득점/NNG+을/JKO
기록하며	기록/NNG+하/XSV+며/EC
생애	생애/NNG
첫	첫/MMN
득점왕에	득점왕/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.287.6.6
최우수선수와 베스트11까지 차지해 데뷔 후 최고의 시즌을 보냈다.

최우수선수와	최/XPN+우수/NNG+선수/NNG+와/JC
베스트11까지	베스트/NNG+11/SN+까지/JX
차지해	차지/NNG+하/XSV+아/EC
데뷔	데뷔/NNG
후	후/NNG
최고의	최고/NNG+의/JKG
시즌을	시즌/NNG+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.287.7.1
정조국은 애초 J리그 요코하마 마리노스로 갈 예정이었으나 조태룡 대표가 잡았다.

정조국은	정조국/NNP+은/JX
애초	애초/NNG
J리그	J/SL+리그/NNG
요코하마	요코하마/NNP
마리노스로	마리노스/NNP+로/JKB
갈	가/VV+ㄹ/ETM
예정이었으나	예정/NNG+이/VCP+었/EP+으나/EC
조태룡	조태룡/NNP
대표가	대표/NNG+가/JKS
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.287.7.2
강원은 “조태룡 대표가 직접 광주로 내려가 광주 기영옥 단장을 설득했다. 정조국은 요코하마와 입단 계약을 거의 마무리하고 있었는데, 강원의 큰 그림을 설명해 그의 마음을 돌리는 데 성공했다”고 설명했다.

강원은	강원/NNP+은/JX
“조태룡	“/SS+조태룡/NNP
대표가	대표/NNG+가/JKS
직접	직접/MAG
광주로	광주/NNP+로/JKB
내려가	내려가/VV+아/EC
광주	광주/NNP
기영옥	기영옥/NNP
단장을	단장/NNG+을/JKO
설득했다.	설득/NNG+하/XSV+았/EP+다/EF+./SF
정조국은	정조국/NNP+은/JX
요코하마와	요코하마/NNP+와/JKB
입단	입단/NNG
계약을	계약/NNG+을/JKO
거의	거의/MAG
마무리하고	마무리/NNG+하/XSV+고/EC
있었는데,	있/VX+었/EP+는데/EC+,/SP
강원의	강원/NNP+의/JKG
큰	크/VA+ㄴ/ETM
그림을	그림/NNG+을/JKO
설명해	설명/NNG+하/XSV+아/EC
그의	그/NP+의/JKG
마음을	마음/NNG+을/JKO
돌리는	돌리/VV+는/ETM
데	데/NNB
성공했다”고	성공/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.287.7.3
조태룡 대표는 “J리그에서 용병으로 뛰기보다는 K리그에서 최초의 2년 연속 득점왕-MVP에 도전해보자. K리그 최우수선수의 J리그 이적은 한국 축구로 봐도 큰 손실이다. 조국의 팬들을 위해 최고의 플레이를 보여달라”고 설득했다.

조태룡	조태룡/NNP
대표는	대표/NNG+는/JX
“J리그에서	“/SS+J/SL+리그/NNG+에서/JKB
용병으로	용병/NNG+으로/JKB
뛰기보다는	뛰/VV+기/ETN+보다/JKB+는/JX
K리그에서	K/SL+리그/NNG+에서/JKB
최초의	최초/NNG+의/JKG
2년	2/SN+년/NNB
연속	연속/NNG
득점왕-MVP에	득점왕/NNG+-/SO+MVP/SL+에/JKB
도전해보자.	도전/NNG+하/XSV+아/EC+보/VX+자/EF+./SF
K리그	K/SL+리그/NNG
최우수선수의	최/XPN+우수/NNG+선수/NNG+의/JKG
J리그	J/SL+리그/NNG
이적은	이적/NNG+은/JX
한국	한국/NNP
축구로	축구/NNG+로/JKB
봐도	보/VV+아도/EC
큰	크/VA+ㄴ/ETM
손실이다.	손실/NNG+이/VCP+다/EF+./SF
조국의	조국/NNP+의/JKG
팬들을	팬/NNG+들/XSN+을/JKO
위해	위하/VV+아/EC
최고의	최고/NNG+의/JKG
플레이를	플레이/NNG+를/JKO
보여달라”고	보이/VV+어/EC+달/VX+라/EF+”/SS+고/JKQ
설득했다.	설득/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.287.7.4
지금까지 K리그에서 2년 연속 득점왕과 MVP를 동시에 석권한 선수는 없다.

지금까지	지금/NNG+까지/JX
K리그에서	K/SL+리그/NNG+에서/JKB
2년	2/SN+년/NNB
연속	연속/NNG
득점왕과	득점왕/NNG+과/JC
MVP를	MVP/SL+를/JKO
동시에	동시/NNG+에/JKB
석권한	석권/NNG+하/XSV+ㄴ/ETM
선수는	선수/NNG+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000052.287.8.1
정조국은 “강원의 비전에 마음이 끌렸다. 최근 강원이 영입한 선수들의 면면을 확인하니, AFC챔피언스리그 진출도 불가능하지 않겠더라. 그래서 도장을 찍었다”고 했다.

정조국은	정조국/NNP+은/JX
“강원의	“/SS+강원/NNP+의/JKG
비전에	비전/NNG+에/JKB
마음이	마음/NNG+이/JKS
끌렸다.	끌리/VV+었/EP+다/EF+./SF
최근	최근/MAG
강원이	강원/NNP+이/JKS
영입한	영입/NNG+하/XSV+ㄴ/ETM
선수들의	선수/NNG+들/XSN+의/JKG
면면을	면면/NNG+을/JKO
확인하니,	확인/NNG+하/XSV+니/EC+,/SP
AFC챔피언스리그	AFC/SL+챔피언스리그/NNG
진출도	진출/NNG+도/JX
불가능하지	불/XPN+가능/NNG+하/XSA+지/EC
않겠더라.	않/VX+겠/EP+더라/EF+./SF
그래서	그래서/MAJ
도장을	도장/NNG+을/JKO
찍었다”고	찍/VV+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.287.8.2
또 “강원에 대해 우려의 시선을 보내는 팬들도 있다. 그라운드에서 강원의 목표가 이뤄질 수 있다는 확신을 드리기 위해 최선을 다하겠다”고 소감을 밝혔다.

또	또/MAG
“강원에	“/SS+강원/NNP+에/JKB
대해	대하/VV+아/EC
우려의	우려/NNG+의/JKG
시선을	시선/NNG+을/JKO
보내는	보내/VV+는/ETM
팬들도	팬/NNG+들/XSN+도/JX
있다.	있/VA+다/EF+./SF
그라운드에서	그라운드/NNG+에서/JKB
강원의	강원/NNP+의/JKG
목표가	목표/NNG+가/JKS
이뤄질	이뤄지/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
확신을	확신/NNG+을/JKO
드리기	드리/VV+기/ETN
위해	위하/VV+아/EC
최선을	최선/NNG+을/JKO
다하겠다”고	다/MAG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
소감을	소감/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.287.9.1
강원은 공격진에 정조국과 이근호, 미드필더로 김승용과 김경중, 문창진, 황진성, 수비에 오범석 등을 보강하면서 K리그 막강 군단으로 급부상했다.

강원은	강원/NNP+은/JX
공격진에	공격진/NNG+에/JKB
정조국과	정조국/NNP+과/JC
이근호,	이근호/NNP+,/SP
미드필더로	미드필더/NNG+로/JKB
김승용과	김승용/NNP+과/JC
김경중,	김경중/NNP+,/SP
문창진,	문창진/NNP+,/SP
황진성,	황진성/NNP+,/SP
수비에	수비/NNG+에/JKB
오범석	오범석/NNP
등을	등/NNB+을/JKO
보강하면서	보강/NNG+하/XSV+면서/EC
K리그	K/SL+리그/NNG
막강	막강/NNG
군단으로	군단/NNG+으로/JKB
급부상했다.	급부상/NNG+하/XSV+았/EP+다/EF+./SF


