# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.120
metadata : {}


# id : NWRW1800000029.120.1.1
[주목, 헬스 북]십중팔구 암에게 이긴다

[주목,	[/SS+주목/NNG+,/SP
사례가	사례/NNG+가/JKS
늘면서	늘/VV+면서/EC
가정의	가정/NNG+의/JKG
불행은	불행/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
사회적으로도	사회/NNG+적/XSN+으로/JKB+도/JX
엄청난	엄청나/VA+ㄴ/ETM
손실을	손실/NNG+을/JKO
초래하고	초래/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000029.120.4.1
안타까운 점은 기본적인 건강상식만 지켜도 얼마든지 예방할 수 있는 암, 조기발견만 해도 완치할 수 있는 암 때문에 사망하는 인구가 여전히 많다는 사실이다.

안타까운	안타깝/VA+ㄴ/ETM
점은	점/NNG+은/JX
기본적인	기본/NNG+적/XSN+이/VCP+ㄴ/ETM
건강상식만	건강/NNG+상식/NNG+만/JX
지켜도	지키/VV+어도/EC
얼마든지	얼마/NNG+든지/JX
예방할	예방/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
암,	암/NNG+,/SP
조기발견만	조기/NNG+발견/NNG+만/JX
해도	하/VV+아도/EC
완치할	완치/NNG+하/XSV+ㄹ/ETM
암	암/NNG
때문에	때문/NNB+에/JKB
사망하는	사망/NNG+하/XSV+는/ETM
인구가	인구/NNG+가/JKS
여전히	여전히/MAG
많다는	많/VA+다는/ETM
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.120.4.2
국내에서 높은 발생률과 사망률을 기록하고 있는 폐암, 위암, 간암, 대장암, 유방암, 자궁경부암 등 6대 암은 다른 어느 암보다 쉽게 예방할 수 있고 일찍 발견만 하면 완치도 가능한 암이다.

국내에서	국내/NNG+에서/JKB
높은	높/VA+은/ETM
발생률과	발생/NNG+률/XSN+과/JC
사망률을	사망/NNG+률/XSN+을/JKO
기록하고	기록/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
폐암,	폐암/NNG+,/SP
위암,	위암/NNG+,/SP
간암,	간암/NNG+,/SP
대장암,	대장암/NNG+,/SP
유방암,	유방암/NNG+,/SP
자궁경부암	자궁/NNG+경부암/NNG
등	등/NNB
6대	6/SN+대/NNG
암은	암/NNG+은/JX
다른	다른/MMD
어느	어느/MMD
암보다	암/NNG+보다/JKB
쉽게	쉽/VA+게/EC
예방할	예방/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
일찍	일찍/MAG
발견만	발견/NNG+만/JX
하면	하/VV+면/EC
완치도	완치/NNG+도/JX
가능한	가능/NNG+하/XSA+ㄴ/ETM
암이다.	암/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.120.4.3
말하자면 우리나라 사람들은 걸리지 않아도 될 암, 죽지 않아도 될 암으로 고통당하고 사망에까지 이르고 있는 셈이다.

말하자면	말/NNG+하/XSV+자면/EC
우리나라	우리나라/NNG
사람들은	사람/NNG+들/XSN+은/JX
걸리지	걸리/VV+지/EC
않아도	않/VX+아도/EC
될	되/VV+ㄹ/ETM
암,	암/NNG+,/SP
죽지	죽/VV+지/EC
암으로	암/NNG+으로/JKB
고통당하고	고통/NNG+당하/XSV+고/EC
사망에까지	사망/NNG+에/JKB+까지/JX
이르고	이르/VV+고/EC
있는	있/VX+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.120.5.1
이 책은 건강상식만 지켜도 70% 이상 예방할 수 있고, 조기발견만 해도 95% 이상 완치할 수 있는 암에 대해 다루고 있다.

이	이/MMD
책은	책/NNG+은/JX
건강상식만	건강/NNG+상식/NNG+만/JX
지켜도	지키/VV+어도/EC
70%	70/SN+%/SW
이상	이상/NNG
예방할	예방/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
조기발견만	조기/NNG+발견/NNG+만/JX
해도	하/VV+아도/EC
95%	95/SN+%/SW
완치할	완치/NNG+하/XSV+ㄹ/ETM
있는	있/VA+는/ETM
암에	암/NNG+에/JKB
대해	대하/VV+아/EC
다루고	다루/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.120.5.2
암은 ‘걸리면 죽는 병’이 아니라 충분히 ‘극복할 수 있는 병’이고 암에 대해 제대로 알고 대처하는 것만이 암을 극복할 유일한 길임을 알려주고 있다.

암은	암/NNG+은/JX
‘걸리면	‘/SS+걸리/VV+면/EC
죽는	죽/VV+는/ETM
병’이	병/NNG+’/SS+이/JKC
아니라	아니/VCN+라/EC
충분히	충분히/MAG
‘극복할	‘/SS+극복/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
병’이고	병/NNG+’/SS+이/VCP+고/EC
암에	암/NNG+에/JKB
대해	대하/VV+아/EC
제대로	제대로/MAG
알고	알/VV+고/EC
대처하는	대처/NNG+하/XSV+는/ETM
것만이	것/NNB+만/JX+이/JKS
암을	암/NNG+을/JKO
극복할	극복/NNG+하/XSV+ㄹ/ETM
유일한	유일/NNG+하/XSA+ㄴ/ETM
길임을	길/NNG+이/VCP+ㅁ/ETN+을/JKO
알려주고	알리/VV+어/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.120.6.1
이 책은 세계적으로도 대장암 분야의 권위자인 금연 전도사 박재갑 서울대 의대 교수가 집필했다.

이	이/MMD
책은	책/NNG+은/JX
세계적으로도	세계/NNG+적/XSN+으로/JKB+도/JX
대장암	대장암/NNG
분야의	분야/NNG+의/JKG
권위자인	권위자/NNG+이/VCP+ㄴ/ETM
금연	금연/NNG
전도사	전도사/NNG
박재갑	박재갑/NNP
서울대	서울대/NNP
의대	의대/NNG
교수가	교수/NNG+가/JKS
집필했다.	집필/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.120.6.2
그는 국립암센터 설립과 국가 5대 암 검진사업 등을 주도한 암 명의다.

그는	그/NP+는/JX
국립암센터	국립암센터/NNP
설립과	설립/NNG+과/JC
국가	국가/NNG
5대	5/SN+대/NNG
암	암/NNG
검진사업	검진/NNG+사업/NNG
등을	등/NNB+을/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
명의다.	명의/NNG+이/VCP+다/EF+./SF


