# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.440
metadata : {}


# id : NWRW1800000048.440.1.1
‘YS조문 정국’ 끝나자…여 “노동개혁” 여론몰이

‘YS조문	‘/SS+YS/SL+조문/NNG
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.440.8.3
설명회에 함께 참석한 김정훈 새누리당 정책위의장은 “노동개혁 법안 처리가 얼마나 답답했으면 장관이 직접 국회에 와서 설명회를 하겠느냐”고 거들었다.

설명회에	설명회/NNG+에/JKB
함께	함께/MAG
참석한	참석/NNG+하/XSV+ㄴ/ETM
김정훈	김정훈/NNP
새누리당	새누리당/NNP
정책위의장은	정책위/NNG+의장/NNG+은/JX
“노동개혁	“/SS+노동/NNG+개혁/NNG
법안	법안/NNG
처리가	처리/NNG+가/JKS
얼마나	얼마나/MAG
답답했으면	답답하/VA+았/EP+으면/EC
장관이	장관/NNG+이/JKS
직접	직접/MAG
국회에	국회/NNG+에/JKB
와서	오/VV+아서/EC
설명회를	설명회/NNG+를/JKO
하겠느냐”고	하/VV+겠/EP+느냐/EF+”/SS+고/JKQ
거들었다.	거들/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.440.9.1
‘와이에스(YS) 조문 정국’이 끝나자마자 새누리당과 정부가 다시 ‘노동개혁 여론전’에 나섰다.

‘와이에스(YS)	‘/SS+와이에스/NNP+(/SS+YS/SL+)/SS
조문	조문/NNG
정국’이	정국/NNG+’/SS+이/JKS
끝나자마자	끝나/VV+자마자/EC
새누리당과	새누리당/NNP+과/JC
정부가	정부/NNG+가/JKS
다시	다시/MAG
‘노동개혁	‘/SS+노동/NNG+개혁/NNG
여론전’에	여론전/NNG+’/SS+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.440.9.2
야당이 “노사정위원회에서 합의되지 않은 법안을 국회가 심사할 수는 없다”며 박근혜 정부가 추진중인 노동 5법 가운데 기간제·파견제법의 국회 환경노동위원회 법안심사소위원회 심사를 보류한 데 대해, 정부·여당이 ‘대국민 호소’를 통한 야당 압박에 나선 것이다.

야당이	야당/NNG+이/JKS
“노사정위원회에서	“/SS+노사정/NNG+위원회/NNG+에서/JKB
합의되지	합의/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
법안을	법안/NNG+을/JKO
국회가	국회/NNG+가/JKS
심사할	심사/NNG+하/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없다”며	없/VA+다/EF+”/SS+며/EC
박근혜	박근혜/NNP
정부가	정부/NNG+가/JKS
추진중인	추진/NNG+중/NNB+이/VCP+ㄴ/ETM
노동	노동/NNG
5법	5/SN+법/NNG
가운데	가운데/NNG
기간제·파견제법의	기간/NNG+제/XSN+·/SP+파견/NNG+제/XSN+법/NNG+의/JKG
국회	국회/NNG
환경노동위원회	환경/NNG+노동/NNG+위원회/NNG
법안심사소위원회	법안/NNG+심사/NNG+소/XPN+위원회/NNG
심사를	심사/NNG+를/JKO
보류한	보류/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대해,	대하/VV+아/EC+,/SP
정부·여당이	정부/NNG+·/SP+여당/NNG+이/JKS
‘대국민	‘/SS+대국민/NNG
호소’를	호소/NNG+’/SS+를/JKO
통한	통하/VV+ㄴ/ETM
야당	야당/NNG
압박에	압박/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.440.10.1
이 장관은 설명회에서 “만약에 (올해 안에) 입법이 안 이뤄지면 내년 채용이 급격히 떨어질 우려가 크다”며 “국민 3분의 2 정도는 (여기에) 찬성하고 빠른 개혁을 원하고 있다”고 야당을 몰아세웠다.

이	이/NNP
장관은	장관/NNG+은/JX
설명회에서	설명회/NNG+에서/JKB
“만약에	“/SS+만약/NNG+에/JKB
(올해	(/SS+올해/NNG
안에)	안/NNG+에/JKB+)/SS
입법이	입법/NNG+이/JKS
안	안/MAG
이뤄지면	이뤄지/VV+면/EC
내년	내년/NNG
채용이	채용/NNG+이/JKS
급격히	급격히/MAG
떨어질	떨어지/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
크다”며	크/VA+다/EF+”/SS+며/EC
“국민	“/SS+국민/NNG
3분의	3/SN+분/XSN+의/JKG
2	2/SN
정도는	정도/NNG+는/JX
(여기에)	(/SS+여기/NP+에/JKB+)/SS
찬성하고	찬성/NNG+하/XSV+고/EC
빠른	빠르/VA+ㄴ/ETM
개혁을	개혁/NNG+을/JKO
원하고	원/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
야당을	야당/NNG+을/JKO
몰아세웠다.	몰아세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.440.10.2
이 장관은 노동 5대 법안의 기대효과를 일일이 설명하는 동시에 야당·노동계의 비판을 적극 반박하기도 했다.

이	이/NNP
장관은	장관/NNG+은/JX
노동	노동/NNG
5대	5/SN+대/NNG
법안의	법안/NNG+의/JKG
기대효과를	기대/NNG+효과/NNG+를/JKO
일일이	일일이/MAG
설명하는	설명/NNG+하/XSV+는/ETM
동시에	동시/NNG+에/JKB
야당·노동계의	야당/NNG+·/SP+노동/NNG+계/XSN+의/JKG
비판을	비판/NNG+을/JKO
적극	적극/NNG
반박하기도	반박/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.440.10.3
국회 환노위 여당 간사인 권성동 의원도 “5대 법안 내용은 근로자를 위한 부분이 90%, 기업을 위한 부분이 10%”라며 “그럼에도 야당이 법안심사를 거부하고 마치 자신들만 노동자를 위한 정당인 것처럼 호도하는 것은 문제가 있다”고 공세를 퍼부었다.

국회	국회/NNG
환노위	환노위/NNG
여당	여당/NNG
간사인	간사/NNG+이/VCP+ㄴ/ETM
권성동	권성동/NNP
의원도	의원/NNG+도/JX
“5대	“/SS+5/SN+대/NNG
법안	법안/NNG
내용은	내용/NNG+은/JX
근로자를	근로자/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
부분이	부분/NNG+이/JKS
90%,	90/SN+%/SW+,/SP
기업을	기업/NNG+을/JKO
10%”라며	10/SN+%/SW+”/SS+이/VCP+라며/EC
“그럼에도	“/SS+그렇/VA+ㅁ/ETN+에/JKB+도/JX
야당이	야당/NNG+이/JKS
법안심사를	법안/NNG+심사/NNG+를/JKO
거부하고	거부/NNG+하/XSV+고/EC
마치	마치/MAG
자신들만	자신/NNG+들/XSN+만/JX
노동자를	노동자/NNG+를/JKO
정당인	정당/NNG+이/VCP+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
호도하는	호도/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
문제가	문제/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
공세를	공세/NNG+를/JKO
퍼부었다.	퍼붓/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.440.11.1
오후에는 새누리당 중앙청년위원회 주최로 청년 당원과 청년단체 회원 등을 대상으로 한 ‘노동개혁을 통한 청년 일자리 창출’ 토론회도 열렸다.

오후에는	오후/NNG+에/JKB+는/JX
새누리당	새누리당/NNP
중앙청년위원회	중앙/NNG+청년/NNG+위원회/NNG
주최로	주최/NNG+로/JKB
청년	청년/NNG
당원과	당원/NNG+과/JC
청년단체	청년/NNG+단체/NNG
회원	회원/NNG
등을	등/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
‘노동개혁을	‘/SS+노동/NNG+개혁/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
일자리	일자리/NNG
창출’	창출/NNG+’/SS
토론회도	토론회/NNG+도/JX
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.440.11.2
김무성 대표는 축사에서 “한국 정치의 큰 거물이었던 김영삼 전 대통령의 강인한 신념과 담대한 개혁 의지를 우리가 계승해야 한다”며 “이제 우리는 시대적 사명을 받들어서 청년의 희망을 살리고 미래를 개척한다는 각오로 노동개혁에 임해야 한다”고 목청을 높였다.

김무성	김무성/NNP
대표는	대표/NNG+는/JX
축사에서	축사/NNG+에서/JKB
“한국	“/SS+한국/NNP
정치의	정치/NNG+의/JKG
큰	크/VA+ㄴ/ETM
거물이었던	거물/NNG+이/VCP+었/EP+던/ETM
김영삼	김영삼/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
강인한	강인하/VA+ㄴ/ETM
신념과	신념/NNG+과/JC
담대한	담대/NNG+하/XSA+ㄴ/ETM
개혁	개혁/NNG
의지를	의지/NNG+를/JKO
우리가	우리/NP+가/JKS
계승해야	계승/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“이제	“/SS+이제/MAG
우리는	우리/NP+는/JX
시대적	시대/NNG+적/XSN
사명을	사명/NNG+을/JKO
받들어서	받들/VV+어서/EC
청년의	청년/NNG+의/JKG
희망을	희망/NNG+을/JKO
살리고	살리/VV+고/EC
미래를	미래/NNG+를/JKO
개척한다는	개척/NNG+하/XSV+ㄴ다는/ETM
각오로	각오/NNG+로/JKB
노동개혁에	노동/NNG+개혁/NNG+에/JKB
임해야	임하/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
목청을	목청/NNG+을/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.440.12.1
하지만 야당은 완강한 태도다.

하지만	하지만/MAJ
야당은	야당/NNG+은/JX
완강한	완강하/VA+ㄴ/ETM
태도다.	태도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.440.12.2
국회 환경노동위원회는 여야가 동수인데다 새정치민주연합 소속인 김영주 의원이 위원장을 맡고 있어서 여당이 강행 처리를 하기도 어렵다.

국회	국회/NNG
환경노동위원회는	환경/NNG+노동/NNG+위원회/NNG+는/JX
여야가	여야/NNG+가/JKS
동수인데다	동수/NNG+이/VCP+ㄴ/ETM+데/NNB+다/JX
새정치민주연합	새정치민주연합/NNP
소속인	소속/NNG+이/VCP+ㄴ/ETM
김영주	김영주/NNP
의원이	의원/NNG+이/JKS
위원장을	위원장/NNG+을/JKO
맡고	맡/VV+고/EC
있어서	있/VX+어서/EC
여당이	여당/NNG+이/JKS
강행	강행/NNG
처리를	처리/NNG+를/JKO
하기도	하/VV+기/ETN+도/JX
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000048.440.12.3
박수현 원내대변인은 “정부는 사회적 대타협 기구인 노사정위원회에서 타협이 원만히 이뤄지지 않게 된 책임부터 먼저 돌아봐야 할 것”이라고 비판했다.

박수현	박수현/NNP
원내대변인은	원내/NNG+대변인/NNG+은/JX
“정부는	“/SS+정부/NNG+는/JX
사회적	사회/NNG+적/XSN
대타협	대/XPN+타협/NNG
기구인	기구/NNG+이/VCP+ㄴ/ETM
노사정위원회에서	노사정/NNG+위원회/NNG+에서/JKB
타협이	타협/NNG+이/JKS
원만히	원만히/MAG
이뤄지지	이뤄지/VV+지/EC
않게	않/VX+게/EC
된	되/VV+ㄴ/ETM
책임부터	책임/NNG+부터/JX
먼저	먼저/MAG
돌아봐야	돌아보/VV+아야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


