# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.184
metadata : {}


# id : NWRW1800000046.184.1.1
통계청 '독도 상륙작전' 악천후에 또 실패

통계청	통계청/NNG
제외되기	제외/NNG+되/XSV+기/ETN
때문에	때문/NNB+에/JKB
사실상	사실/NNG+상/XSN
독도의	독도/NNP+의/JKG
조사	조사/NNG
대상은	대상/NNG+은/JX
9명뿐이지만	9/SN+명/NNB+뿐/JX+이/VCP+지만/EC
조사의	조사/NNG+의/JKG
상징성은	상징/NNG+성/XSN+은/JX
독도가	독도/NNP+가/JKS
대한민국	대한민국/NNP
어느	어느/MMD
마을보다	마을/NNG+보다/JKB
크다고	크/VA+다고/EC
통계청은	통계청/NNG+은/JX
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.184.7.1
유 청장은 이날 독도에 가지 못했다.

유	유/NNP
청장은	청장/NNG+은/JX
이날	이날/NNG
독도에	독도/NNP+에/JKB
가지	가/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.184.7.2
기상 조건이 계속 나빴기 때문이다.

기상	기상/NNG
조건이	조건/NNG+이/JKS
계속	계속/MAG
나빴기	나쁘/VA+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.184.7.3
마침 이번엔 독도 이장인 김씨가 울릉도로 나와 있어 조사할 수 있었다.

마침	마침/MAG
이번엔	이번/NNG+에/JKB+ㄴ/JX
독도	독도/NNP
이장인	이장/NNG+이/VCP+ㄴ/ETM
김씨가	김/NNP+씨/NNB+가/JKS
울릉도로	울릉도/NNP+로/JKB
나와	나오/VV+아/EC
있어	있/VX+어/EC
조사할	조사/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.184.7.4
유 청장은 "등대 관리인들은 독도에서 직접 만나 조사하겠다"며 24일에는 날씨가 좋아져 독도에 갈 수 있기를 기대하고 있다.

유	유/NNP
청장은	청장/NNG+은/JX
"등대	"/SS+등대/NNG
관리인들은	관리인/NNG+들/XSN+은/JX
독도에서	독도/NNP+에서/JKB
직접	직접/MAG
만나	만나/VV+아/EC
조사하겠다"며	조사/NNG+하/XSV+겠/EP+다/EF+"/SS+며/EC
24일에는	24/SN+일/NNB+에/JKB+는/JX
날씨가	날씨/NNG+가/JKS
좋아져	좋/VA+아/EC+지/VX+어/EC
독도에	독도/NNP+에/JKB
갈	가/VV+ㄹ/ETM
수	수/NNB
있기를	있/VA+기/ETN+를/JKO
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.184.8.1
통계청의 독도 상륙 시도는 이번이 '3수(修)'다.

통계청의	통계청/NNG+의/JKG
독도	독도/NNP
상륙	상륙/NNG
시도는	시도/NNG+는/JX
이번이	이번/NNG+이/JKS
'3수(修)'다.	'/SS+3수/NNG+(/SS+修/SH+)/SS+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.184.8.2
2010년 센서스 때 두 차례 실패했다.

2010년	2010/SN+년/NNB
센서스	센서스/NNG
때	때/NNG
두	두/MMN
차례	차례/NNG
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.184.8.3
당시 통계청장이 독도를 방문 조사하려 했는데 한·일 관계 냉각을 우려한 외교 당국의 반대로 계획을 접었다.

당시	당시/NNG
통계청장이	통계청장/NNG+이/JKS
독도를	독도/NNP+를/JKO
방문	방문/NNG
조사하려	조사/NNG+하/XSV+려/EC
했는데	하/VX+았/EP+는데/EC
한·일	한/NNP+·/SP+일/NNP
관계	관계/NNG
냉각을	냉각/NNG+을/JKO
우려한	우려/NNG+하/XSV+ㄴ/ETM
외교	외교/NNG
당국의	당국/NNG+의/JKG
반대로	반대/NNG+로/JKB
계획을	계획/NNG+을/JKO
접었다.	접/VV+었/EP+다/EF+./SF


