# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.340
metadata : {}


# id : NWRW1800000033.340.1.1
후진타오, 北장관급 장성택과 면담 ‘극진 예우’

후진타오,	후진타오/NNP+,/SP
후 주석은 또 북한의 최근 홍수를 언급하면서 “김정은 노동당 제1서기를 필두로 한 노동당의 지도로 재해를 극복할 수 있을 것”이라고 강조했다.

후	후/NNP
주석은	주석/NNG+은/JX
또	또/MAG
북한의	북한/NNP+의/JKG
최근	최근/MAG
홍수를	홍수/NNG+를/JKO
언급하면서	언급/NNG+하/XSV+면서/EC
“김정은	“/SS+김정은/NNP
노동당	노동당/NNP
제1서기를	제/XPN+1/SN+서기/NNG+를/JKO
필두로	필두/NNG+로/JKB
한	하/VV+ㄴ/ETM
노동당의	노동당/NNP+의/JKG
지도로	지도/NNG+로/JKB
재해를	재해/NNG+를/JKO
극복할	극복/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.340.6.1
장성택은 “후 주석이 제18차 전국대표대회(당 대회) 직전에 매우 바쁜 와중에도 시간을 내준 데 대해 감사한다”며 “노동당과 국가, 인민군의 최고 영도자인 김정은 원수의 친밀한 안부를 전한다”고 말했다.

장성택은	장성택/NNP+은/JX
“후	“/SS+후/NNP
주석이	주석/NNG+이/JKS
제18차	제/XPN+18/SN+차/NNB
전국대표대회(당	전국/NNG+대표/NNG+대회/NNG+(/SS+당/NNG
대회)	대회/NNG+)/SS
직전에	직전/NNG+에/JKB
매우	매우/MAG
바쁜	바쁘/VA+ㄴ/ETM
와중에도	와중/NNG+에/JKB+도/JX
시간을	시간/NNG+을/JKO
내준	내주/VV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
감사한다”며	감사/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“노동당과	“/SS+노동당/NNP+과/JC
국가,	국가/NNG+,/SP
인민군의	인민군/NNG+의/JKG
최고	최고/NNG
영도자인	영도자/NNG+이/VCP+ㄴ/ETM
김정은	김정은/NNP
원수의	원수/NNG+의/JKG
친밀한	친밀/NNG+하/XSA+ㄴ/ETM
안부를	안부/NNG+를/JKO
전한다”고	전하/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.340.7.1
장성택은 후 주석 면담에 앞서 영빈관인 중난하이(中南海)에서 원 총리를 만났다.

장성택은	장성택/NNP+은/JX
후	후/NNP
주석	주석/NNG
면담에	면담/NNG+에/JKB
앞서	앞서/VV+어/EC
영빈관인	영빈관/NNG+이/VCP+ㄴ/ETM
중난하이(中南海)에서	중난하이/NNP+(/SS+中南海/SH+)/SS+에서/JKB
원	원/NNP
총리를	총리/NNG+를/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.340.7.2
원 총리는 “김정은 동지와 노동당, 정부의 영도로 북한이 반드시 곤란을 극복할 것”이라고 격려했다.

원	원/NNP
총리는	총리/NNG+는/JX
“김정은	“/SS+김정은/NNP
동지와	동지/NNG+와/JC
노동당,	노동당/NNP+,/SP
정부의	정부/NNG+의/JKG
영도로	영도/NNG+로/JKB
북한이	북한/NNP+이/JKS
반드시	반드시/MAG
곤란을	곤란/NNG+을/JKO
극복할	극복/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
격려했다.	격려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.340.7.3
장 부위원장과 원 총리는 양국 간 경제무역 협력과 양국 경제특구 협력에 대한 의견을 교환한 것으로 알려졌다.

장	장/NNP
부위원장과	부위원장/NNG+과/JC
원	원/NNP
총리는	총리/NNG+는/JX
양국	양국/NNG
간	간/NNB
경제무역	경제/NNG+무역/NNG
협력과	협력/NNG+과/JC
경제특구	경제특구/NNG
협력에	협력/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의견을	의견/NNG+을/JKO
교환한	교환/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.340.8.1
장성택은 김정은 체제 등장 이후 방중한 최고위급 인사이자 핵심 실세로 국가원수급의 예우를 받고 있다.

장성택은	장성택/NNP+은/JX
김정은	김정은/NNP
체제	체제/NNG
등장	등장/NNG
이후	이후/NNG
방중한	방중/NNG+하/XSV+ㄴ/ETM
최고위급	최/XPN+고위급/NNG
인사이자	인사/NNG+이/VCP+자/EC
핵심	핵심/NNG
실세로	실세/NNG+로/JKB
국가원수급의	국가/NNG+원수급/NNG+의/JKG
예우를	예우/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.340.8.2
이런 장성택의 방중 일정에 대해 전문가들은 “과거 김정일 체제에서는 상상도 못할 일”이라고 평가한다.

이런	이런/MMD
장성택의	장성택/NNP+의/JKG
방중	방중/NNG
일정에	일정/NNG+에/JKB
대해	대하/VV+아/EC
전문가들은	전문가/NNG+들/XSN+은/JX
“과거	“/SS+과거/NNG
김정일	김정일/NNP
체제에서는	체제/NNG+에서/JKB+는/JX
상상도	상상/NNG+도/JX
못할	못/MAG+하/VV+ㄹ/ETM
일”이라고	일/NNG+”/SS+이라고/JKQ
평가한다.	평가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.340.9.1
현성일 국가안보전략연구소 수석연구위원은 이런 장성택의 행보에 대해 “권력의 견제와 균형이 이뤄지던 김정일 체제 때는 몸을 낮추는 게 살아남는 법이지만 권력층을 상호 견제할 능력이 없는 김정은 체제에서는 센 모습을 보이는 게 살아남는 법”이라며 “장성택도 자신이 정책을 짜고 부서를 운영하는 실세임을 과시할 필요성을 알게 된 것”이라고 해석했다.

현성일	현성일/NNP
국가안보전략연구소	국가안보전략연구소/NNP
수석연구위원은	수석/NNG+연구/NNG+위원/NNG+은/JX
이런	이런/MMD
장성택의	장성택/NNP+의/JKG
행보에	행보/NNG+에/JKB
대해	대하/VV+아/EC
“권력의	“/SS+권력/NNG+의/JKG
견제와	견제/NNG+와/JC
균형이	균형/NNG+이/JKS
이뤄지던	이뤄지/VV+던/ETM
김정일	김정일/NNP
체제	체제/NNG
때는	때/NNG+는/JX
몸을	몸/NNG+을/JKO
낮추는	낮추/VV+는/ETM
게	거/NNB+이/JKS
살아남는	살아남/VV+는/ETM
법이지만	법/NNB+이/VCP+지만/EC
권력층을	권력/NNG+층/XSN+을/JKO
상호	상호/NNG
견제할	견제/NNG+하/XSV+ㄹ/ETM
능력이	능력/NNG+이/JKS
없는	없/VA+는/ETM
김정은	김정은/NNP
체제에서는	체제/NNG+에서/JKB+는/JX
센	세/VA+ㄴ/ETM
모습을	모습/NNG+을/JKO
보이는	보이/VV+는/ETM
법”이라며	법/NNB+”/SS+이/VCP+라며/EC
“장성택도	“/SS+장성택/NNP+도/JX
자신이	자신/NNG+이/JKS
정책을	정책/NNG+을/JKO
짜고	짜/VV+고/EC
부서를	부서/NNG+를/JKO
운영하는	운영/NNG+하/XSV+는/ETM
실세임을	실세/NNG+이/VCP+ㅁ/ETN+을/JKO
과시할	과시/NNG+하/XSV+ㄹ/ETM
필요성을	필요/NNG+성/XSN+을/JKO
알게	알/VV+게/EC
된	되/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
해석했다.	해석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.340.10.1
북한에서 그동안 실세는 막후에서 움직이고 공식 석상에는 다른 인물을 내세우는 게 관행이었다.

북한에서	북한/NNP+에서/JKB
그동안	그동안/NNG
실세는	실세/NNG+는/JX
막후에서	막후/NNG+에서/JKB
움직이고	움직이/VV+고/EC
공식	공식/NNG
석상에는	석상/NNG+에/JKB+는/JX
다른	다른/MMD
인물을	인물/NNG+을/JKO
내세우는	내세우/VV+는/ETM
게	거/NNB+이/JKS
관행이었다.	관행/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.340.10.2
2002년 경제시찰단으로 방한했을 때도 장성택은 단장을 박남기 당 계획위원장으로 내세우고 자신은 수행단으로 몸을 낮췄다.

2002년	2002/SN+년/NNB
경제시찰단으로	경제/NNG+시찰단/NNG+으로/JKB
방한했을	방한/NNG+하/XSV+았/EP+을/ETM
때도	때/NNG+도/JX
장성택은	장성택/NNP+은/JX
단장을	단장/NNG+을/JKO
박남기	박남기/NNP
당	당/NNG
계획위원장으로	계획/NNG+위원장/NNG+으로/JKB
내세우고	내세우/VV+고/EC
자신은	자신/NNG+은/JX
수행단으로	수행단/NNG+으로/JKB
몸을	몸/NNG+을/JKO
낮췄다.	낮추/VV+었/EP+다/EF+./SF


