# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.193
metadata : {}


# id : NWRW1800000030.193.1.1
수퍼볼 향해 뛴다… 백인 어머니 위해!

수퍼볼	수퍼볼/NNG
부랑아를	부랑아/NNG+를/JKO
외면하지	외면/NNG+하/XSV+지/EC
않고	않/VX+고/EC
집에	집/NNG+에/JKB
데려와	데려오/VV+아/EC
소파에	소파/NNG+에/JKB
재웠다.	재우/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.193.6.1
오어가 물건을 훔쳐 사라질 것을 각오한 행동이었다.

오어가	오어/NNP+가/JKS
물건을	물건/NNG+을/JKO
훔쳐	훔치/VV+어/EC
사라질	사라지/VV+ㄹ/ETM
것을	것/NNB+을/JKO
각오한	각오/NNG+하/XSV+ㄴ/ETM
행동이었다.	행동/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.193.6.2
하지만 그는 거리의 질 나쁜 불량배가 아니었다.

하지만	하지만/MAJ
그는	그/NP+는/JX
거리의	거리/NNG+의/JKG
질	질/NNG
나쁜	나쁘/VA+ㄴ/ETM
불량배가	불량배/NNG+가/JKC
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000030.193.6.3
오어는 그녀의 호의에 조금씩 마음을 열기 시작했다.

오어는	오어/NNP+는/JX
그녀의	그녀/NP+의/JKG
호의에	호의/NNG+에/JKB
조금씩	조금/NNG+씩/XSN
마음을	마음/NNG+을/JKO
열기	열/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.193.7.1
리앤은 큰 덩치에도 소심하기 그지없는 오어의 기 살리기에 몰두했다.

리앤은	리앤/NNP+은/JX
큰	크/VA+ㄴ/ETM
덩치에도	덩치/NNG+에/JKB+도/JX
소심하기	소심하/VA+기/ETN
그지없는	그지없/VA+는/ETM
오어의	오어/NNP+의/JKG
기	기/NNG
살리기에	살리/VV+기/ETN+에/JKB
몰두했다.	몰두/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.193.7.2
이것저것 시켜보다 미식축구에 소질이 있단 걸 발견했다.

이것저것	이것저것/NNG
시켜보다	시키/VV+어/EC+보/VX+다/EC
미식축구에	미식축구/NNG+에/JKB
소질이	소질/NNG+이/JKS
있단	있/VA+단/ETM
걸	거/NNB+ㄹ/JKO
발견했다.	발견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.193.7.3
2004년 18세이던 오어를 입양한 리앤은 새로 얻은 아들을 풋볼 선수로 키우기 시작했다.

2004년	2004/SN+년/NNB
18세이던	18/SN+세/NNB+이/VCP+던/ETM
오어를	오어/NNP+를/JKO
입양한	입양/NNG+하/XSV+ㄴ/ETM
리앤은	리앤/NNP+은/JX
새로	새로/MAG
얻은	얻/VV+은/ETM
아들을	아들/NNG+을/JKO
풋볼	풋볼/NNG
선수로	선수/NNG+로/JKB
키우기	키우/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.193.8.1
피부색을 넘어, 이웃과 사회의 편견을 넘어 새로운 사랑을 이룬 이들의 감동 스토리는 지난해 '블라인드 사이드'란 제목으로 영화화됐다.

피부색을	피부색/NNG+을/JKO
넘어,	넘/VV+어/EC+,/SP
이웃과	이웃/NNG+과/JC
사회의	사회/NNG+의/JKG
편견을	편견/NNG+을/JKO
넘어	넘/VV+어/EC
새로운	새롭/VA+ㄴ/ETM
사랑을	사랑/NNG+을/JKO
이룬	이루/VV+ㄴ/ETM
이들의	이/NP+들/XSN+의/JKG
감동	감동/NNG
스토리는	스토리/NNG+는/JX
지난해	지난해/NNG
'블라인드	'/SS+블라인드/NNG
사이드'란	사이드/NNG+'/SS+이/VCP+란/ETM
제목으로	제목/NNG+으로/JKB
영화화됐다.	영화/NNG+화/XSN+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.193.8.2
리앤 역을 맡은 샌드라 불럭이 아카데미 여우주연상을 받았다.

리앤	리앤/NNP
역을	역/NNG+을/JKO
맡은	맡/VV+은/ETM
샌드라	샌드라/NNP
불럭이	불럭/NNP+이/JKS
아카데미	아카데미/NNG
여우주연상을	여우/NNG+주연상/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.193.9.1
영화는 오어가 볼티모어의 지명을 받는 실제 장면으로 막을 내린다.

영화는	영화/NNG+는/JX
오어가	오어/NNP+가/JKS
볼티모어의	볼티모어/NNP+의/JKG
지명을	지명/NNG+을/JKO
받는	받/VV+는/ETM
실제	실제/NNG
장면으로	장면/NNG+으로/JKB
막을	막/NNG+을/JKO
내린다.	내리/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.193.9.2
하지만 오어의 진짜 활약은 그때부터 시작됐다.

하지만	하지만/MAJ
오어의	오어/NNP+의/JKG
진짜	진짜/MAG
활약은	활약/NNG+은/JX
그때부터	그때/NNG+부터/JX
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.193.9.3
신장 193㎝, 몸무게 142㎏의 거구인 오어는 볼티모어에서 쿼터백을 지키는 오펜시브 라인맨을 소화하고 있다.

신장	신장/NNG
193㎝,	193/SN+㎝/SW+,/SP
몸무게	몸무게/NNG
142㎏의	142/SN+㎏/SW+의/JKG
거구인	거구/NNG+이/VCP+ㄴ/ETM
오어는	오어/NNP+는/JX
볼티모어에서	볼티모어/NNP+에서/JKB
쿼터백을	쿼터백/NNG+을/JKO
지키는	지키/VV+는/ETM
오펜시브	오펜시브/NNG
라인맨을	라인맨/NNG+을/JKO
소화하고	소화/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.193.10.1
오어의 방어벽은 상대에겐 공포다.

오어의	오어/NNP+의/JKG
방어벽은	방어벽/NNG+은/JX
상대에겐	상대/NNG+에게/JKB+ㄴ/JX
공포다.	공포/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.193.10.2
그가 활약하자 팀도 상위권을 달렸다.

그가	그/NP+가/JKS
활약하자	활약/NNG+하/XSV+자/EC
팀도	팀/NNG+도/JX
상위권을	상위/NNG+권/XSN+을/JKO
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.193.10.3
오어는 올 시즌 볼티모어를 AFC(아메리칸 콘퍼런스) 북부지구 2위로 끌어올렸고 플레이오프 티켓을 선사했다.

오어는	오어/NNP+는/JX
올	올/NNG
시즌	시즌/NNG
볼티모어를	볼티모어/NNP+를/JKO
AFC(아메리칸	AFC/SL+(/SS+아메리칸/NNP
콘퍼런스)	콘퍼런스/NNG+)/SS
북부지구	북부/NNG+지구/NNG
2위로	2/SN+위/NNB+로/JKB
끌어올렸고	끌어올리/VV+었/EP+고/EC
플레이오프	플레이오프/NNG
티켓을	티켓/NNG+을/JKO
선사했다.	선사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.193.11.1
오어는 16일 새로운 도전에 나선다.

오어는	오어/NNP+는/JX
16일	16/SN+일/NNB
새로운	새롭/VA+ㄴ/ETM
도전에	도전/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.193.11.2
오어의 볼티모어는 이날 AFC 준결승에서 한국계 스타 하인스 워드가 버티는 피츠버그 스틸러스와 격돌한다.

오어의	오어/NNP+의/JKG
볼티모어는	볼티모어/NNP+는/JX
이날	이날/NNG
AFC	AFC/SL
준결승에서	준/XPN+결승/NNG+에서/JKB
한국계	한국/NNP+계/XSN
스타	스타/NNG
하인스	하인스/NNP
워드가	워드/NNP+가/JKS
버티는	버티/VV+는/ETM
피츠버그	피츠버그/NNP
스틸러스와	스틸러스/NNP+와/JKB
격돌한다.	격돌/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.193.11.3
첫 수퍼볼 우승을 위해 오어가 반드시 넘어야 할 산이다.

첫	첫/MMN
수퍼볼	수퍼볼/NNG
우승을	우승/NNG+을/JKO
위해	위하/VV+아/EC
오어가	오어/NNP+가/JKS
반드시	반드시/MAG
넘어야	넘/VV+어야/EC
할	하/VX+ㄹ/ETM
산이다.	산/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.193.12.1
오어는 "나를 진심으로 맞아준 새 가족 덕분에 여기까지 올 수 있었다. 마음으로 나를 품어주신 양어머니에게 감사한다"고 말했다.

오어는	오어/NNP+는/JX
"나를	"/SS+나/NP+를/JKO
진심으로	진심/NNG+으로/JKB
맞아준	맞/VV+아/EC+주/VX+ㄴ/ETM
새	새/MMA
가족	가족/NNG
덕분에	덕분/NNG+에/JKB
여기까지	여기/NP+까지/JX
올	오/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF
마음으로	마음/NNG+으로/JKB
나를	나/NP+를/JKO
품어주신	품/VV+어/EC+주/VX+시/EP+ㄴ/ETM
양어머니에게	양어머니/NNG+에게/JKB
감사한다"고	감사/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.193.13.1
이 밖에 그린베이 패커스와 애틀랜타 팰컨스(15일), 뉴욕 제츠와 뉴잉글랜드 패트리어츠, 시애틀 시호크스와 시카고 베어스(이상 16일)가 플레이오프 대결을 펼친다.

이	이/MMD
밖에	밖/NNG+에/JKB
그린베이	그린베이/NNP
패커스와	패커스/NNP+와/JC
애틀랜타	애틀랜타/NNP
팰컨스(15일),	팰컨스/NNP+(/SS+15/SN+일/NNB+)/SS+,/SP
뉴욕	뉴욕/NNP
제츠와	제츠/NNP+와/JC
뉴잉글랜드	뉴잉글랜드/NNP
패트리어츠,	패트리어츠/NNP+,/SP
시애틀	시애틀/NNP
시호크스와	시호크스/NNP+와/JC
시카고	시카고/NNP
베어스(이상	베어스/NNP+(/SS+이상/NNG
16일)가	16/SN+일/NNB+)/SS+가/JKS
플레이오프	플레이오프/NNG
대결을	대결/NNG+을/JKO
펼친다.	펼치/VV+ㄴ다/EF+./SF


