# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.73
metadata : {}


# id : NWRW1800000053.73.1.1
근무시간보다 성과로 평가한다는 일본… 성과연봉제 없애는 한국

근무시간보다	근무/NNG+시간/NNG+보다/JKB
이상의	이상/NNG+의/JKG
휴일	휴일/NNG
보장안과	보장/NNG+안/NNG+과/JC
근로시간	근로/NNG+시간/NNG
단축안을	단축/NNG+안/NNG+을/JKO
개정안에	개정안/NNG+에/JKB
함께	함께/MAG
포함하기로	포함/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.73.8.5
탈시간급제와 휴일 보장안 등을 패키지로 처리하자는 제안이다.

탈시간급제와	탈/XPN+시간급/NNG+제/XSN+와/JC
휴일	휴일/NNG
보장안	보장/NNG+안/NNG
등을	등/NNB+을/JKO
패키지로	패키지/NNG+로/JKB
처리하자는	처리/NNG+하/XSV+자는/ETM
제안이다.	제안/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.73.8.6
일본노동조합총연합회는 조건부 찬성 입장을 밝혔지만 산하 노조의 반대로 일단 이 제안을 거부했다.

일본노동조합총연합회는	일본노동조합총연합회/NNP+는/JX
조건부	조건/NNG+부/XSN
찬성	찬성/NNG
입장을	입장/NNG+을/JKO
밝혔지만	밝히/VV+었/EP+지만/EC
산하	산하/NNG
노조의	노조/NNG+의/JKG
반대로	반대/NNG+로/JKB
일단	일단/MAG
이	이/MMD
제안을	제안/NNG+을/JKO
거부했다.	거부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.73.8.7
그러나 정부와의 협상 가능성은 계속 열어두고 있다.

그러나	그러나/MAJ
정부와의	정부/NNG+와/JKB+의/JKG
협상	협상/NNG
가능성은	가능/NNG+성/XSN+은/JX
계속	계속/MAG
열어두고	열/VV+어/EC+두/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.73.9.1
한국 정부는 현재 26개인 근로시간 특례 업종을 10개로 줄이고, 주당 최대 68시간이던 근로시간을 52시간으로 줄이는 방안을 추진하고 있다.

한국	한국/NNP
정부는	정부/NNG+는/JX
현재	현재/MAG
26개인	26/SN+개/NNB+이/VCP+ㄴ/ETM
근로시간	근로/NNG+시간/NNG
특례	특례/NNG
업종을	업종/NNG+을/JKO
10개로	10/SN+개/NNB+로/JKB
줄이고,	줄이/VV+고/EC+,/SP
주당	주/NNG+당/XSN
최대	최대/NNG
68시간이던	68/SN+시간/NNB+이/VCP+던/ETM
근로시간을	근로/NNG+시간/NNG+을/JKO
52시간으로	52/SN+시간/NNB+으로/JKB
줄이는	줄이/VV+는/ETM
방안을	방안/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.73.9.2
여기에 공공기관에 도입한 성과연봉제까지 즉각 폐기할 방침이어서 연공서열식 임금체계가 더 강화되는 것 아니냐는 우려가 나온다.

여기에	여기/NP+에/JKB
공공기관에	공공/NNG+기관/NNG+에/JKB
도입한	도입/NNG+하/XSV+ㄴ/ETM
성과연봉제까지	성과/NNG+연봉/NNG+제/XSN+까지/JX
즉각	즉각/MAG
폐기할	폐기/NNG+하/XSV+ㄹ/ETM
방침이어서	방침/NNG+이/VCP+어서/EC
연공서열식	연공서열식/NNG
임금체계가	임금/NNG+체계/NNG+가/JKS
더	더/MAG
강화되는	강화/NNG+되/XSV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
우려가	우려/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.73.9.3
노동계의 한 관계자는 “일본은 노동계에 당근을 줄 때 주더라도 양보를 얻어내는 방식으로 노동개혁을 추진하고 있다”며 “한국 정부에 시사하는 바가 적지 않다”고 말했다.

노동계의	노동/NNG+계/XSN+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
“일본은	“/SS+일본/NNP+은/JX
노동계에	노동/NNG+계/XSN+에/JKB
당근을	당근/NNG+을/JKO
줄	주/VV+ㄹ/ETM
때	때/NNG
주더라도	주/VV+더라도/EC
양보를	양보/NNG+를/JKO
얻어내는	얻/VV+어/EC+내/VX+는/ETM
방식으로	방식/NNG+으로/JKB
노동개혁을	노동/NNG+개혁/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“한국	“/SS+한국/NNP
정부에	정부/NNG+에/JKB
시사하는	시사/NNG+하/XSV+는/ETM
바가	바/NNB+가/JKS
적지	적/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


