# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.42
metadata : {}


# id : NWRW1800000032.42.1.1
‘위키리크스’ 통해 드러난 남경필 위원장의 속내“농업보조금 해로워…국회, 농민에 저항할 용기내야”

‘위키리크스’	‘/SS+위키리크스/NNP+’/SS
상정한	상정/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.42.6.1
18일 위키리크스가 공개한 미 국무부 외교전문을 보면, 남 의원은 2006년 2월1일 미국 워싱턴 방문(2월7~10일)을 앞두고 알렉산더 버시바우 주한 미국대사와 조찬모임을 열고 한-미 외교현안에 대해 논의했다.

18일	18/SN+일/NNB
위키리크스가	위키리크스/NNP+가/JKS
공개한	공개/NNG+하/XSV+ㄴ/ETM
미	미/NNP
국무부	국무부/NNG
외교전문을	외교/NNG+전문/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
남	남/NNP
의원은	의원/NNG+은/JX
2006년	2006/SN+년/NNB
2월1일	2/SN+월/NNB+1/SN+일/NNB
미국	미국/NNP
워싱턴	워싱턴/NNP
방문(2월7~10일)을	방문/NNG+(/SS+2/SN+월/NNB+7/SN+~/SO+10/SN+일/NNB+)/SS+을/JKO
앞두고	앞두/VV+고/EC
알렉산더	알렉산더/NNP
버시바우	버시바우/NNP
주한	주한/NNG
미국대사와	미국/NNP+대사/NNG+와/JKB
조찬모임을	조찬/NNG+모임/NNG+을/JKO
열고	열/VV+고/EC
한-미	한-미/NNP
외교현안에	외교/NNG+현안/NNG+에/JKB
대해	대하/VV+아/EC
논의했다.	논의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.42.7.1
버시바우 미국대사가 “한국 농민들이 수입시장 개방에 적응하는 데 한-미 자유무역협정의 이행기간이 도움이 될 것”이라며 “오늘날 세계시장을 보면 경쟁력이 없는 분야에 보조금을 지급하는 정책은 비싼 비용을 치른다”고 지적하자 남 의원은 “지금까지 우리 의원들은 농민들을 두려워해 진정한 현안을 다루지 않고 농업보조금만 지급해왔다”고 답변했다.

버시바우	버시바우/NNP
미국대사가	미국/NNP+대사/NNG+가/JKS
“한국	“/SS+한국/NNP
농민들이	농민/NNG+들/XSN+이/JKS
수입시장	수입/NNG+시장/NNG
개방에	개방/NNG+에/JKB
적응하는	적응/NNG+하/XSV+는/ETM
데	데/NNB
한-미	한-미/NNP
자유무역협정의	자유/NNG+무역/NNG+협정/NNG+의/JKG
이행기간이	이행/NNG+기간/NNG+이/JKS
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“오늘날	“/SS+오늘날/NNG
세계시장을	세계/NNG+시장/NNG+을/JKO
보면	보/VV+면/EC
경쟁력이	경쟁력/NNG+이/JKS
없는	없/VA+는/ETM
분야에	분야/NNG+에/JKB
보조금을	보조금/NNG+을/JKO
지급하는	지급/NNG+하/XSV+는/ETM
정책은	정책/NNG+은/JX
비싼	비싸/VA+ㄴ/ETM
비용을	비용/NNG+을/JKO
치른다”고	치르/VV+ㄴ다/EF+”/SS+고/JKQ
지적하자	지적/NNG+하/XSV+자/EC
남	남/NNP
의원은	의원/NNG+은/JX
“지금까지	“/SS+지금/NNG+까지/JX
우리	우리/NP
의원들은	의원/NNG+들/XSN+은/JX
농민들을	농민/NNG+들/XSN+을/JKO
두려워해	두려워하/VV+아/EC
진정한	진정하/VA+ㄴ/ETM
현안을	현안/NNG+을/JKO
다루지	다루/VV+지/EC
않고	않/VX+고/EC
농업보조금만	농업/NNG+보조금/NNG+만/JX
지급해왔다”고	지급/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+”/SS+고/JKQ
답변했다.	답변/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.42.8.1
남 의원은 이어 “이제 의원들이 농업보조금 정책을 지속하는 게 왜 해로운지 설명하고 한-미 자유무역협정뿐만 아니라 궁극적으로 한-중 자유무역협정 체결도 준비할 필요가 있다”며 “국회는 농민에 저항할 용기를 내야 한다”고 강조했다.

남	남/NNP
의원은	의원/NNG+은/JX
이어	이어/MAG
“이제	“/SS+이제/MAG
의원들이	의원/NNG+들/XSN+이/JKS
농업보조금	농업/NNG+보조금/NNG
정책을	정책/NNG+을/JKO
지속하는	지속/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
왜	왜/MAG
해로운지	해/NNG+롭/XSA+ㄴ지/EC
설명하고	설명/NNG+하/XSV+고/EC
한-미	한-미/NNP
자유무역협정뿐만	자유/NNG+무역/NNG+협정/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
궁극적으로	궁극/NNG+적/XSN+으로/JKB
한-중	한-중/NNP
자유무역협정	자유/NNG+무역/NNG+협정/NNG
체결도	체결/NNG+도/JX
준비할	준비/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“국회는	“/SS+국회/NNG+는/JX
농민에	농민/NNG+에/JKB
저항할	저항/NNG+하/XSV+ㄹ/ETM
용기를	용기/NNG+를/JKO
내야	내/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.42.8.2
특히 한-중 자유무역협정을 체결하면 한-미 협정 때보다 더 많은 저항이 일겠지만 피할 수 없는 일이라고 덧붙였다.

특히	특히/MAG
한-중	한-중/NNP
자유무역협정을	자유/NNG+무역/NNG+협정/NNG+을/JKO
체결하면	체결/NNG+하/XSV+면/EC
한-미	한-미/NNP
협정	협정/NNG
때보다	때/NNG+보다/JKB
더	더/MAG
많은	많/VA+은/ETM
저항이	저항/NNG+이/JKS
일겠지만	일/VV+겠/EP+지만/EC
피할	피하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
일이라고	일/NNG+이/VCP+라고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.42.8.3
지난해 12월 김종훈 통상교섭본부장도 “다방농민”이라는 표현으로 농민을 폄훼하는 듯한 발언을 해 논란을 빚었다.

지난해	지난해/NNG
12월	12/SN+월/NNB
김종훈	김종훈/NNP
통상교섭본부장도	통상/NNG+교섭/NNG+본부장/NNG+도/JX
“다방농민”이라는	“/SS+다방/NNG+농민/NNG+”/SS+이/VCP+라는/ETM
표현으로	표현/NNG+으로/JKB
농민을	농민/NNG+을/JKO
폄훼하는	폄훼/NNG+하/XSV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
발언을	발언/NNG+을/JKO
해	하/VV+아/EC
논란을	논란/NNG+을/JKO
빚었다.	빚/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.42.9.1
현재 농업생산액 대비 농업보조금 비중은 우리나라가 4.6%로 주요 선진국 가운데 가장 낮은 수준이다.

현재	현재/MAG
농업생산액	농업/NNG+생산액/NNG
대비	대비/NNG
농업보조금	농업/NNG+보조금/NNG
비중은	비중/NNG+은/JX
우리나라가	우리나라/NNG+가/JKS
4.6%로	4/SN+./SP+6/SN+%/SW+로/JKB
주요	주요/NNG
선진국	선진국/NNG
가운데	가운데/NNG
가장	가장/MAG
낮은	낮/VA+은/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.42.9.2
유럽연합(EU)은 22.3%, 미국은 14.6%, 일본은 5.4%에 이른다.

유럽연합(EU)은	유럽연합/NNP+(/SS+EU/SL+)/SS+은/JX
22.3%,	22/SN+./SP+3/SN+%/SW+,/SP
미국은	미국/NNP+은/JX
14.6%,	14/SN+./SP+6/SN+%/SW+,/SP
일본은	일본/NNP+은/JX
5.4%에	5/SN+./SP+4/SN+%/SW+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


