# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.206
metadata : {}


# id : NWRW1800000028.206.1.1
감동과 눈물 “이것이 사랑이다”

감동과	감동/NNG+과/JC
지난해	지난해/NNG
성탄절에	성탄절/NNG+에/JKB
서울의	서울/NNP+의/JKG
한	한/MMN
빌라	빌라/NNG
복도에	복도/NNG+에/JKB
버려진	버려지/VV+ㄴ/ETM
아기	아기/NNG
성탄이와	성탄이/NNP+와/JC
어느	어느/MMD
모텔	모텔/NNG
복도에서	복도/NNG+에서/JKB
발견된	발견/NNG+되/XSV+ㄴ/ETM
윤아,	윤아/NNP+,/SP
가을	가을/NNG
기아로	기아/NNG+로/JKB
신고돼	신고/NNG+되/XSV+어/EC
보호시설에	보호/NNG+시설/NNG+에/JKB
들어온	들어오/VV+ㄴ/ETM
세살배기	세/MMN+살/NNB+배기/XSN
서진이가	서진이/NNP+가/JKS
3편의	3/SN+편/NNB+의/JKG
주인공이다.	주인공/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.206.4.2
세 아이는 우여곡절 끝에 모두 ‘엄마 아빠’를 찾았다.

세	세/MMN
아이는	아이/NNG+는/JX
우여곡절	우여곡절/NNG
끝에	끝/NNG+에/JKB
모두	모두/MAG
‘엄마	‘/SS+엄마/NNG
아빠’를	아빠/NNG+’/SS+를/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.206.4.3
모처럼 ‘해피엔딩’이다.

모처럼	모처럼/MAG
‘해피엔딩’이다.	‘/SS+해피엔딩/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000028.206.5.1
2·3편 연출자인 김새별 피디는 “입양문제를 다룬 이번 이야기는 ‘고마워요 내 사랑’(2편·4일 방송·내레이션 김승우)만큼 슬프지 않은데, 김남주씨가 아이를 좋아해 눈물을 펑펑 쏟은 것 같다”고 말했다.

2·3편	2/SN+·/SP+3/SN+편/NNB
연출자인	연출자/NNG+이/VCP+ㄴ/ETM
김새별	김새별/NNP
피디는	피디/NNG+는/JX
“입양문제를	“/SS+입양/NNG+문제/NNG+를/JKO
다룬	다루/VV+ㄴ/ETM
이번	이번/NNG
이야기는	이야기/NNG+는/JX
‘고마워요	‘/SS+고맙/VA+어요/EF
내	나/NP+의/JKG
사랑’(2편·4일	사랑/NNG+’/SS+(/SS+2/SN+편/NNB+·/SP+4/SN+일/NNB
방송·내레이션	방송/NNG+·/SP+내레이션/NNG
김승우)만큼	김승우/NNP+)/SS+만큼/JKB
슬프지	슬프/VA+지/EC
않은데,	않/VX+은데/EC+,/SP
김남주씨가	김남주/NNP+씨/NNB+가/JKS
아이를	아이/NNG+를/JKO
좋아해	좋아하/VV+아/EC
눈물을	눈물/NNG+을/JKO
펑펑	펑펑/MAG
쏟은	쏟/VV+은/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.206.6.1
‘휴먼 다큐 사랑’을 꿰는 주제는 ‘가족 사랑’이다.

‘휴먼	‘/SS+휴먼/NNG
다큐	다큐/NNG
사랑’을	사랑/NNG+’/SS+을/JKO
꿰는	꿰/VV+는/ETM
주제는	주제/NNG+는/JX
‘가족	‘/SS+가족/NNG
사랑’이다.	사랑/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000028.206.6.2
극한적 상황에 놓인 가족을 카메라가 5~9개월간 세심히 따라가며 일상적 삶의 소중함을 돌아보게 한다.

극한적	극한/NNG+적/XSN
상황에	상황/NNG+에/JKB
놓인	놓이/VV+ㄴ/ETM
가족을	가족/NNG+을/JKO
카메라가	카메라/NNG+가/JKS
5~9개월간	5/SN+~/SO+9/SN+개월/NNB+간/XSN
세심히	세심히/MAG
따라가며	따라가/VV+며/EC
일상적	일상/NNG+적/XSN
삶의	삶/NNG+의/JKG
소중함을	소중하/VA+ㅁ/ETN+을/JKO
돌아보게	돌아보/VV+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.206.6.3
여대생과 노총각의 순애보를 그린 ‘너는 내 운명’(2006), 암투병하며 풀빵 팔아 두 아이를 키우는 싱글맘 이야기 ‘풀빵 엄마’(2009) 등의 ‘최루성 다큐’는 5년 동안 안방을 적시고 있다.

여대생과	여대/NNG+생/XSN+과/JKB
노총각의	노/XPN+총각/NNG+의/JKG
순애보를	순애보/NNG+를/JKO
그린	그리/VV+ㄴ/ETM
‘너는	‘/SS+너/NP+는/JX
내	나/NP+의/JKG
운명’(2006),	운명/NNG+’/SS+(/SS+2006/SN+)/SS+,/SP
암투병하며	암/NNG+투병/NNG+하/XSV+며/EC
풀빵	풀빵/NNG
팔아	팔/VV+아/EC
두	두/MMN
아이를	아이/NNG+를/JKO
키우는	키우/VV+는/ETM
싱글맘	싱글맘/NNG
이야기	이야기/NNG
‘풀빵	‘/SS+풀빵/NNG
엄마’(2009)	엄마/NNG+’/SS+(/SS+2009/SN+)/SS
등의	등/NNB+의/JKG
‘최루성	‘/SS+최루/NNG+성/XSN
다큐’는	다큐/NNG+’/SS+는/JX
5년	5/SN+년/NNB
동안	동안/NNG
안방을	안방/NNG+을/JKO
적시고	적시/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.206.6.4
하지만 해마다 반복되는 ‘눈물 코드’에 대한 제작진의 고민이 없진 않다.

하지만	하지만/MAJ
해마다	해마다/MAG
반복되는	반복/NNG+되/XSV+는/ETM
‘눈물	‘/SS+눈물/NNG
코드’에	코드/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
제작진의	제작진/NNG+의/JKG
고민이	고민/NNG+이/JKS
없진	없/VA+지/EC+ㄴ/JX
않다.	않/VX+다/EF+./SF


# id : NWRW1800000028.206.6.5
정성후 책임피디는 “초창기 아픈 사람 중심에서 벗어나 변해가는 다양한 가족의 형태나 다른 방식의 삶을 담으려 하고 있다”고 했다.

정성후	정성후/NNP
책임피디는	책임/NNG+피디/NNG+는/JX
“초창기	“/SS+초창기/NNG
아픈	아프/VA+ㄴ/ETM
사람	사람/NNG
중심에서	중심/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
변해가는	변하/VV+아/EC+가/VX+는/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
가족의	가족/NNG+의/JKG
형태나	형태/NNG+나/JC
다른	다른/MMD
방식의	방식/NNG+의/JKG
삶을	삶/NNG+을/JKO
담으려	담/VV+으려/EC
하고	하/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.206.6.6
예컨대 ‘고마워요 내 사랑’은 암에 걸린 시한부 삶이란 전형적 소재를 다뤘으나 접근 방식은 이전 프로와 다소 달랐다.

예컨대	예컨대/MAG
‘고마워요	‘/SS+고맙/VA+어요/EF
내	나/NP+의/JKG
사랑’은	사랑/NNG+’/SS+은/JX
암에	암/NNG+에/JKB
걸린	걸리/VV+ㄴ/ETM
시한부	시한부/NNG
삶이란	삶/NNG+이/VCP+란/ETM
전형적	전형/NNG+적/XSN
소재를	소재/NNG+를/JKO
다뤘으나	다루/VV+었/EP+으나/EC
접근	접근/NNG
방식은	방식/NNG+은/JX
이전	이전/NNG
프로와	프로/NNG+와/JKB
다소	다소/MAG
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000028.206.6.7
행복한 재혼가정을 부각하거나 항암치료를 거부하고 가족과의 시간을 선택한 환자의 결단 등에 초점을 맞췄다.

행복한	행복/NNG+하/XSA+ㄴ/ETM
재혼가정을	재혼/NNG+가정/NNG+을/JKO
부각하거나	부각/NNG+하/XSV+거나/EC
항암치료를	항암/NNG+치료/NNG+를/JKO
거부하고	거부/NNG+하/XSV+고/EC
가족과의	가족/NNG+과/JKB+의/JKG
시간을	시간/NNG+을/JKO
선택한	선택/NNG+하/XSV+ㄴ/ETM
환자의	환자/NNG+의/JKG
결단	결단/NNG
등에	등/NNB+에/JKB
초점을	초점/NNG+을/JKO
맞췄다.	맞추/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.206.6.8
환자의 아픔보다는 그를 둘러싼 삶의 진실 쪽으로 초점이 조금 더 이동한 것이다.

환자의	환자/NNG+의/JKG
아픔보다는	아픔/NNG+보다/JKB+는/JX
그를	그/NP+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
삶의	삶/NNG+의/JKG
진실	진실/NNG
쪽으로	쪽/NNB+으로/JKB
초점이	초점/NNG+이/JKS
조금	조금/MAG
더	더/MAG
이동한	이동/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.206.7.1
3년간 ‘사랑’ 여섯 편을 제작한 김새별 피디는 “예전에는 사랑의 진한 감정 교류 장면을 포착하기 급급했는데, 지금은 주제나 화면 구성 등에서 다각도로 접근하고 있다”고 했다.

3년간	3/SN+년/NNB+간/XSN
‘사랑’	‘/SS+사랑/NNG+’/SS
여섯	여섯/NR
편을	편/NNB+을/JKO
제작한	제작/NNG+하/XSV+ㄴ/ETM
김새별	김새별/NNP
피디는	피디/NNG+는/JX
“예전에는	“/SS+예전/NNG+에/JKB+는/JX
사랑의	사랑/NNG+의/JKG
진한	진하/VA+ㄴ/ETM
감정	감정/NNG
교류	교류/NNG
장면을	장면/NNG+을/JKO
포착하기	포착/NNG+하/XSV+기/ETN
급급했는데,	급급하/VA+았/EP+는데/EC+,/SP
지금은	지금/NNG+은/JX
주제나	주제/NNG+나/JC
화면	화면/NNG
구성	구성/NNG
등에서	등/NNB+에서/JKB
다각도로	다각도/NNG+로/JKB
접근하고	접근/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.206.7.2
‘크리스마스의 기적’은 입양을 원하는 어른이 아닌 입양될 아이가 주인공이 돼 부모를 찾아간다.

‘크리스마스의	‘/SS+크리스마스/NNG+의/JKG
기적’은	기적/NNG+’/SS+은/JX
입양을	입양/NNG+을/JKO
원하는	원/NNG+하/XSV+는/ETM
어른이	어른/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
입양될	입양/NNG+되/XSV+ㄹ/ETM
아이가	아이/NNG+가/JKS
주인공이	주인공/NNG+이/JKC
돼	되/VV+어/EC
부모를	부모/NNG+를/JKO
찾아간다.	찾아가/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.206.7.3
김 피디는 “5개월 촬영 동안 입양부모가 방송을 원하지 않거나 입양이 되지 않을 수도 있는 위험을 감수해야 했다”고 고충을 털어놨다.

김	김/NNP
피디는	피디/NNG+는/JX
“5개월	“/SS+5/SN+개월/NNB
촬영	촬영/NNG
동안	동안/NNG
입양부모가	입양/NNG+부모/NNG+가/JKS
방송을	방송/NNG+을/JKO
원하지	원/NNG+하/XSV+지/EC
않거나	않/VX+거나/EC
입양이	입양/NNG+이/JKC
되지	되/VV+지/EC
않을	않/VX+을/ETM
수도	수/NNB+도/JX
있는	있/VA+는/ETM
위험을	위험/NNG+을/JKO
감수해야	감수/NNG+하/XSV+아야/EC
했다”고	하/VX+았/EP+다/EF+”/SS+고/JKQ
고충을	고충/NNG+을/JKO
털어놨다.	털어놓/VV+았/EP+다/EF+./SF


