# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.334
metadata : {}


# id : NWRW1800000030.334.1.1
[서울시장 후보 찾기 … 한나라당 내부 격론] 親朴 "이기태(애니콜 신화 前 삼성전자 부회장)·황창규(반도체 신화 前 삼성전자 사장) 같은 기업인 찾아보자"

[서울시장	[/SS+서울시장/NNG
없는	없/VA+는/ETM
외부의	외부/NNG+의/JKG
유력	유력/NNG
인사들을	인사/NNG+들/XSN+을/JKO
어떻게	어떻/VA+게/EC
영입할	영입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있느냐"고	있/VV+느냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.334.7.1
◆친박 '일하는 후보론'

◆친박	◆/SW+친/XPN+박/NNP
'일하는	'/SS+일/NNG+하/XSV+는/ETM
후보론'	후보/NNG+론/XSN+'/SS


# id : NWRW1800000030.334.8.1
지난달 24일 서울시의 무상급식 주민투표 때만 해도 사실상 손을 놨던 친박 진영은 10월 서울시장 보궐선거에는 적극적인 자세를 보이고 있다.

지난달	지난달/NNG
24일	24/SN+일/NNB
서울시의	서울시/NNP+의/JKG
무상급식	무상/NNG+급식/NNG
주민투표	주민/NNG+투표/NNG
때만	때/NNG+만/JX
해도	하/VV+아도/EC
사실상	사실/NNG+상/XSN
손을	손/NNG+을/JKO
놨던	놓/VX+았/EP+던/ETM
친박	친/XPN+박/NNP
진영은	진영/NNG+은/JX
10월	10/SN+월/NNB
서울시장	서울시장/NNG
보궐선거에는	보궐/NNG+선거/NNG+에/JKB+는/JX
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
자세를	자세/NNG+를/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.334.8.2
친박 중진의원은 "이제는 박 전 대표가 수수방관할 수 없는 국면이 됐다"며 "박 전 대표가 외면한 상태에서 져버리면 책임론이 대두될 것이고, 이기면 이기는 대로 '박 전 대표 없이도 가능하다'는 인식이 확산될 것 아니냐"고 했다.

친박	친/XPN+박/NNP
중진의원은	중진/NNG+의원/NNG+은/JX
"이제는	"/SS+이제/NNG+는/JX
박	박/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
수수방관할	수수방관/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
국면이	국면/NNG+이/JKC
됐다"며	되/VV+었/EP+다/EF+"/SS+며/EC
"박	"/SS+박/NNP
외면한	외면/NNG+하/XSV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
져버리면	지/VV+어/EC+버리/VX+면/EC
책임론이	책임/NNG+론/XSN+이/JKS
대두될	대두/NNG+되/XSV+ㄹ/ETM
것이고,	것/NNB+이/VCP+고/EC+,/SP
이기면	이기/VV+면/EC
이기는	이기/VV+는/ETM
대로	대로/NNB
'박	'/SS+박/NNP
대표	대표/NNG
없이도	없이/MAG+도/JX
가능하다'는	가능/NNG+하/XSA+다/EF+'/SS+는/ETM
인식이	인식/NNG+이/JKS
확산될	확산/NNG+되/XSV+ㄹ/ETM
것	것/NNB
아니냐"고	아니/VCN+냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.334.9.1
현재 친박 측은 박 전 대표에게 '부담'을 주지 않을 서울시장 후보를 물색 중인 것으로 전해졌다.

현재	현재/MAG
친박	친/XPN+박/NNP
측은	측/NNB+은/JX
박	박/NNP
전	전/MMD
대표에게	대표/NNG+에게/JKB
'부담'을	'/SS+부담/NNG+'/SS+을/JKO
주지	주/VV+지/EC
않을	않/VX+을/ETM
서울시장	서울시장/NNG
후보를	후보/NNG+를/JKO
물색	물색/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.334.9.2
"이번 서울시장 후보는 서울시장 자리를 차기 대선으로 가는 징검다리로 보는 정치가형보다는 서울 시정(市政)에 전념할 전문가 중에서 골라야 한다"는 것이다.

"이번	"/SS+이번/NNG
서울시장	서울시장/NNG
후보는	후보/NNG+는/JX
자리를	자리/NNG+를/JKO
차기	차기/NNG
대선으로	대선/NNG+으로/JKB
가는	가/VV+는/ETM
징검다리로	징검다리/NNG+로/JKB
보는	보/VV+는/ETM
정치가형보다는	정치가/NNG+형/XSN+보다/JKB+는/JX
서울	서울/NNP
시정(市政)에	시정/NNG+(/SS+市政/SH+)/SS+에/JKB
전념할	전념/NNG+하/XSV+ㄹ/ETM
전문가	전문가/NNG
중에서	중/NNB+에서/JKB
골라야	고르/VV+아야/EC
한다"는	하/VX+ㄴ다/EF+"/SS+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.334.9.3
친박 인사들은 "애니콜 신화의 이기태 전 삼성전자 부회장이나 반도체 신화를 일군 황창규 전 삼성전자 사장 같은 기업인을 후보로 공천해야 한다"는 말을 하는 사람이 부쩍 늘었다.

친박	친/XPN+박/NNP
인사들은	인사/NNG+들/XSN+은/JX
"애니콜	"/SS+애니콜/NNP
신화의	신화/NNG+의/JKG
이기태	이기태/NNP
전	전/MMD
삼성전자	삼성전자/NNP
부회장이나	부회장/NNG+이나/JC
반도체	반도체/NNG
신화를	신화/NNG+를/JKO
일군	일구/VV+ㄴ/ETM
황창규	황창규/NNP
사장	사장/NNG
같은	같/VA+은/ETM
기업인을	기업인/NNG+을/JKO
후보로	후보/NNG+로/JKB
공천해야	공천/NNG+하/XSV+아야/EC
한다"는	하/VX+ㄴ다/EF+"/SS+는/ETM
말을	말/NNG+을/JKO
하는	하/VV+는/ETM
사람이	사람/NNG+이/JKS
부쩍	부쩍/MAG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.334.9.4
한 친박 인사는 "그들 뿐 아니라 이제 본격적으로 외부 후보를 찾아볼 것"이라고 했다.

한	한/MMN
친박	친/XPN+박/NNP
인사는	인사/NNG+는/JX
"그들	"/SS+그/NP+들/XSN
뿐	뿐/JX
아니라	아니/VCN+라/EC
이제	이제/MAG
본격적으로	본격/NNG+적/XSN+으로/JKB
외부	외부/NNG
후보를	후보/NNG+를/JKO
찾아볼	찾/VV+아/EC+보/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.334.10.1
◆"박근혜 동의 있어야 공천 가능"

◆"박근혜	◆/SW+"/SS+박근혜/NNP
동의	동의/NNG
있어야	있/VA+어야/EC
공천	공천/NNG
가능"	가능/NNG+"/SS


# id : NWRW1800000030.334.11.1
한 고위 당직자는 "지금 당 지도부가 서울시장 보궐선거를 이기기 위해선 박 전 대표의 협조가 절대적이다. 후보를 고르는 데 친박 측 입장을 고려하지 않을 수 없다"고 했다.

한	한/MMN
고위	고위/NNG
당직자는	당직자/NNG+는/JX
"지금	"/SS+지금/MAG
당	당/NNG
지도부가	지도부/NNG+가/JKS
서울시장	서울시장/NNG
보궐선거를	보궐/NNG+선거/NNG+를/JKO
이기기	이기/VV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
박	박/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
협조가	협조/NNG+가/JKS
절대적이다.	절대/NNG+적/XSN+이/VCP+다/EF+./SF
후보를	후보/NNG+를/JKO
고르는	고르/VV+는/ETM
데	데/NNB
친박	친/XPN+박/NNP
측	측/NNB
입장을	입장/NNG+을/JKO
고려하지	고려/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.334.11.2
원희룡 최고위원은 "한나라당 후보를 정할 때 박 전 대표가 재가(裁可)하는 조건이 추가됐다"고 했다.

원희룡	원희룡/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
"한나라당	"/SS+한나라당/NNP
후보를	후보/NNG+를/JKO
정할	정하/VV+ㄹ/ETM
때	때/NNG
박	박/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
재가(裁可)하는	재가/NNG+(/SS+裁可/SH+)/SS+하/XSV+는/ETM
조건이	조건/NNG+이/JKS
추가됐다"고	추가/NNG+되/XSV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.334.12.1
그러나 친이계는 "특정 후보를 배제하는 식으로 공천판이 짜이는 것은 그냥 두고보지 않을 것"이라고 해 두 계파의 갈등이 계속될 가능성을 보여줬다.

그러나	그러나/MAJ
친이계는	친/XPN+이/NNP+계/XSN+는/JX
"특정	"/SS+특정/NNG
후보를	후보/NNG+를/JKO
배제하는	배제/NNG+하/XSV+는/ETM
식으로	식/NNB+으로/JKB
공천판이	공천/NNG+판/NNG+이/JKS
짜이는	짜이/VV+는/ETM
것은	것/NNB+은/JX
그냥	그냥/MAG
두고보지	두/VV+고/EC+보/VX+지/EC
않을	않/VX+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
해	하/VV+아/EC
두	두/MMN
계파의	계파/NNG+의/JKG
갈등이	갈등/NNG+이/JKS
계속될	계속/NNG+되/XSV+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


