# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.189
metadata : {}


# id : NWRW1800000028.189.1.1
표현의 자유 ‘재갈’ 풀어야 민심 보인다

표현의	표현/NNG+의/JKG
속였다고	속이/VV+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.189.2.4
6·2 지방선거 결과, 수도권 등의 경우 각종 여론조사 수치는 실제 투표 결과와 많게는 20% 가까운 차이를 보였다.

6·2	6/SN+·/SP+2/SN
지방선거	지방/NNG+선거/NNG
결과,	결과/NNG+,/SP
수도권	수도/NNG+권/XSN
등의	등/NNB+의/JKG
경우	경우/NNG
각종	각종/NNG
여론조사	여론/NNG+조사/NNG
수치는	수치/NNG+는/JX
실제	실제/NNG
투표	투표/NNG
결과와	결과/NNG+와/JC
많게는	많/VA+게/EC+는/JX
20%	20/SN+%/SW
가까운	가깝/VA+ㄴ/ETM
차이를	차이/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.189.2.5
여론조사는 민의를 가늠하는 유력한 수단인데, 이런 ‘여론조사의 무력화’는 민주정치 시스템에 큰 위협이 아닐 수 없다.

여론조사는	여론/NNG+조사/NNG+는/JX
민의를	민의/NNG+를/JKO
가늠하는	가늠/NNG+하/XSV+는/ETM
유력한	유력/NNG+하/XSA+ㄴ/ETM
수단인데,	수단/NNG+이/VCP+ㄴ데/EC+,/SP
이런	이런/MMD
‘여론조사의	‘/SS+여론/NNG+조사/NNG+의/JKG
무력화’는	무력/NNG+화/XSN+’/SS+는/JX
민주정치	민주/NNG+정치/NNG
시스템에	시스템/NNG+에/JKB
큰	크/VA+ㄴ/ETM
위협이	위협/NNG+이/JKC
아닐	아니/VCN+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000028.189.2.6
정치권과 여론조사 전문가들 모두 대책을 주문하고 있다.

정치권과	정치/NNG+권/XSN+과/JC
여론조사	여론/NNG+조사/NNG
전문가들	전문가/NNG+들/XSN
모두	모두/MAG
대책을	대책/NNG+을/JKO
주문하고	주문/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.189.3.1
■ ‘표현의 자유’를 허하라 한나라당의 한 중진 의원이 선거 직전에 한 말이다.

■	■/SW
‘표현의	‘/SS+표현/NNG+의/JKG
자유’를	자유/NNG+’/SS+를/JKO
허하라	허하/VV+라/EF
한나라당의	한나라당/NNP+의/JKG
한	하/VV+ㄴ/ETM
중진	중진/NNG
의원이	의원/NNG+이/JKS
선거	선거/NNG
직전에	직전/NNG+에/JKB
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.189.3.2
“공공연구기관의 연구원이 정부에 비판적인 칼럼을 썼다가 불려가 혼났다고 한다.

“공공연구기관의	“/SS+공공/NNG+연구/NNG+기관/NNG+의/JKG
연구원이	연구원/NNG+이/JKS
정부에	정부/NNG+에/JKB
비판적인	비판/NNG+적/XSN+이/VCP+ㄴ/ETM
칼럼을	칼럼/NNG+을/JKO
썼다가	쓰/VV+었/EP+다가/EC
불려가	불리/VV+어/EC+가/VX+아/EC
혼났다고	혼나/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.189.3.3
지식인 등 여론주도층이 입을 다물고 있다.

지식인	지식인/NNG
등	등/NNB
여론주도층이	여론/NNG+주도/NNG+층/XSN+이/JKS
입을	입/NNG+을/JKO
다물고	다물/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.189.3.4
지금은 데모도 없어 태평성대 같지만, 사람들이 투표장에서 억눌렸던 말을 할 수도 있다.”

지금은	지금/NNG+은/JX
데모도	데모/NNG+도/JX
없어	없/VA+어/EC
태평성대	태평성대/NNG
같지만,	같/VA+지만/EC+,/SP
사람들이	사람/NNG+들/XSN+이/JKS
투표장에서	투표장/NNG+에서/JKB
억눌렸던	억눌리/VV+었/EP+던/ETM
말을	말/NNG+을/JKO
할	하/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다.”	있/VA+다/EF+./SF+”/SS


# id : NWRW1800000028.189.4.1
일부 여당 의원들과 여론조사 전문가들은 모두 이른바 ‘미네르바 효과’를 주목했다.

일부	일부/NNG
여당	여당/NNG
의원들과	의원/NNG+들/XSN+과/JC
여론조사	여론/NNG+조사/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
모두	모두/MAG
이른바	이른바/MAG
‘미네르바	‘/SS+미네르바/NNP
효과’를	효과/NNG+’/SS+를/JKO
주목했다.	주목/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.189.4.2
인터넷 논객이 구속돼 재판까지 받는 모습을 보면서 사람들이 입을 다물어 버렸다는 것이다.

인터넷	인터넷/NNG
논객이	논객/NNG+이/JKS
구속돼	구속/NNG+되/XSV+어/EC
재판까지	재판/NNG+까지/JX
받는	받/VV+는/ETM
모습을	모습/NNG+을/JKO
보면서	보/VV+면서/EC
사람들이	사람/NNG+들/XSN+이/JKS
입을	입/NNG+을/JKO
다물어	다물/VV+어/EC
버렸다는	버리/VX+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.189.4.3
유독 낮았던 응답률이 그 반증이다.

유독	유독/MAG
낮았던	낮/VA+았/EP+던/ETM
응답률이	응답/NNG+률/XSN+이/JKS
그	그/MMD
반증이다.	반증/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.189.4.4
자동응답전화방식(ARS)의 여론조사를 볼 때도, 4년 전 지방선거에선 5~8%였는데 이번엔 2~3% 수준까지 떨어졌다.

자동응답전화방식(ARS)의	자동/NNG+응답/NNG+전화/NNG+방식/NNG+(/SS+ARS/SL+)/SS+의/JKG
여론조사를	여론/NNG+조사/NNG+를/JKO
볼	보/VV+ㄹ/ETM
때도,	때/NNG+도/JX+,/SP
4년	4/SN+년/NNB
전	전/NNG
지방선거에선	지방/NNG+선거/NNG+에서/JKB+ㄴ/JX
5~8%였는데	5/SN+~/SO+8/SN+%/SW+이/VCP+었/EP+는데/EC
이번엔	이번/NNG+에/JKB+ㄴ/JX
2~3%	2/SN+~/SO+3/SN+%/SW
수준까지	수준/NNG+까지/JX
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.189.5.1
방송 3사의 출구조사가 이번 선거와 관련해 ‘유일하게’ 적중했던 것은 지지 후보를 조사원한테 밝히지 않고 표시할 수 있는 ‘모의 비밀투표’ 방식이었기 때문에 가능했다는 분석도 있다.

방송	방송/NNG
3사의	3사/NNG+의/JKG
출구조사가	출구/NNG+조사/NNG+가/JKS
이번	이번/NNG
선거와	선거/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
‘유일하게’	‘/SS+유일/NNG+하/XSA+게/EC+’/SS
적중했던	적중/NNG+하/XSV+았/EP+던/ETM
것은	것/NNB+은/JX
지지	지지/NNG
후보를	후보/NNG+를/JKO
조사원한테	조사원/NNG+한테/JKB
밝히지	밝히/VV+지/EC
않고	않/VX+고/EC
표시할	표시/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘모의	‘/SS+모의/NNG
비밀투표’	비밀/NNG+투표/NNG+’/SS
방식이었기	방식/NNG+이/VCP+었/EP+기/ETN
때문에	때문/NNB+에/JKB
가능했다는	가능/NNG+하/XSA+았/EP+다는/ETM
분석도	분석/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.189.5.2
이택수 리얼미터 대표는 “강압적이고 일방적인 사회 분위기 속에선 솔직한 표심이 드러날 수 없다”며 “이런 정치환경의 개선이 전제돼야 여론정치가 작동할 것”이라고 말했다.

이택수	이택수/NNP
리얼미터	리얼미터/NNP
대표는	대표/NNG+는/JX
“강압적이고	“/SS+강압/NNG+적/XSN+이/VCP+고/EC
일방적인	일방/NNG+적/XSN+이/VCP+ㄴ/ETM
사회	사회/NNG
분위기	분위기/NNG
속에선	속/NNG+에서/JKB+ㄴ/JX
솔직한	솔직하/VA+ㄴ/ETM
표심이	표심/NNG+이/JKS
드러날	드러나/VV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
“이런	“/SS+이런/MMD
정치환경의	정치/NNG+환경/NNG+의/JKG
개선이	개선/NNG+이/JKS
전제돼야	전제/NNG+되/XSV+어야/EC
여론정치가	여론/NNG+정치/NNG+가/JKS
작동할	작동/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.189.6.1
■ ‘사회 조사’ 쌓아나가야 전화번호부에 의존하는 여론조사는 ‘기술적 한계’를 벗어날 수 없다.

■	■/SW
‘사회	‘/SS+사회/NNG
조사’	조사/NNG+’/SS
쌓아나가야	쌓/VV+아/EC+나가/VV+아야/EC
전화번호부에	전화번호부/NNG+에/JKB
의존하는	의존/NNG+하/XSV+는/ETM
여론조사는	여론/NNG+조사/NNG+는/JX
‘기술적	‘/SS+기술/NNG+적/XSN
한계’를	한계/NNG+’/SS+를/JKO
벗어날	벗어나/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000028.189.6.2
휴대전화를 쓰거나 밤늦게 귀가하는 20~30대는 전화여론조사에서 원천적으로 빠져 있다.

휴대전화를	휴대/NNG+전화/NNG+를/JKO
쓰거나	쓰/VV+거나/EC
밤늦게	밤늦/VA+게/EC
귀가하는	귀가/NNG+하/XSV+는/ETM
20~30대는	20/SN+~/SO+30/SN+대/NNB+는/JX
전화여론조사에서	전화/NNG+여론/NNG+조사/NNG+에서/JKB
원천적으로	원천/NNG+적/XSN+으로/JKB
빠져	빠지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.189.6.3
결국 휴대전화번호의 공개가 필요한데 개인정보에 해당돼 사회적 인식의 변화가 전제돼야 한다.

결국	결국/MAG
휴대전화번호의	휴대/NNG+전화번호/NNG+의/JKG
공개가	공개/NNG+가/JKS
필요한데	필요/NNG+하/XSA+ㄴ데/EC
개인정보에	개인/NNG+정보/NNG+에/JKB
해당돼	해당/NNG+되/XSV+어/EC
사회적	사회/NNG+적/XSN
인식의	인식/NNG+의/JKG
변화가	변화/NNG+가/JKS
전제돼야	전제/NNG+되/XSV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.189.7.1
기술적으로 이런 한계를 극복할 수 있다는 지적도 있다.

기술적으로	기술/NNG+적/XSN+으로/JKB
이런	이런/MMD
한계를	한계/NNG+를/JKO
극복할	극복/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
지적도	지적/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.189.7.2
이를테면 이번 선거에서 방송 3사와 조선·중앙·동아의 여론조사는 ‘할당 표본추출’ 방식을 택했는데, 이런 방식이 실패의 원인이라는 것이다.

이를테면	이를테면/MAG
이번	이번/NNG
선거에서	선거/NNG+에서/JKB
방송	방송/NNG
3사와	3사/NNG+와/JC
조선·중앙·동아의	조선/NNP+·/SP+중앙/NNP+·/SP+동아/NNP+의/JKG
여론조사는	여론/NNG+조사/NNG+는/JX
‘할당	‘/SS+할당/NNG
표본추출’	표본/NNG+추출/NNG+’/SS
방식을	방식/NNG+을/JKO
택했는데,	택하/VV+았/EP+는데/EC+,/SP
이런	이런/MMD
방식이	방식/NNG+이/JKS
실패의	실패/NNG+의/JKG
원인이라는	원인/NNG+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.189.7.3
할당 표본추출은 인구 구성비에 따라 조사대상자를 할당하는 것인데 투표 의사를 반영하지 못한다.

할당	할당/NNG
표본추출은	표본/NNG+추출/NNG+은/JX
인구	인구/NNG
구성비에	구성비/NNG+에/JKB
따라	따르/VV+아/EC
조사대상자를	조사/NNG+대상자/NNG+를/JKO
할당하는	할당/NNG+하/XSV+는/ETM
것인데	것/NNB+이/VCP+ㄴ데/EC
투표	투표/NNG
의사를	의사/NNG+를/JKO
반영하지	반영/NNG+하/XSV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.189.7.4
방송사 여론조사를 진행했던 코리아리서치센터의 김덕영 사장은 “이번 여론조사에서 투표율 등을 감안하지 못했던 것은 사실”이라고 했다.

방송사	방송사/NNG
여론조사를	여론/NNG+조사/NNG+를/JKO
진행했던	진행/NNG+하/XSV+았/EP+던/ETM
코리아리서치센터의	코리아리서치센터/NNP+의/JKG
김덕영	김덕영/NNP
사장은	사장/NNG+은/JX
“이번	“/SS+이번/NNG
여론조사에서	여론/NNG+조사/NNG+에서/JKB
투표율	투표/NNG+율/XSN
등을	등/NNB+을/JKO
감안하지	감안/NNG+하/XSV+지/EC
못했던	못하/VX+았/EP+던/ETM
것은	것/NNB+은/JX
사실”이라고	사실/NNG+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.189.8.1
기술적 개선이 필요하다는 것인데, 일부 여론조사기관들은 ‘무작위 표본추출’이나 ‘추적 자동응답조사’를 통해 어느 정도 선거 결과를 예측했던 것으로 전해졌다.

기술적	기술/NNG+적/XSN
개선이	개선/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
것인데,	것/NNB+이/VCP+ㄴ데/EC+,/SP
일부	일부/NNG
여론조사기관들은	여론/NNG+조사/NNG+기관/NNG+들/XSN+은/JX
‘무작위	‘/SS+무/XPN+작위/NNG
표본추출’이나	표본/NNG+추출/NNG+’/SS+이나/JC
‘추적	‘/SS+추적/NNG
자동응답조사’를	자동/NNG+응답/NNG+조사/NNG+’/SS+를/JKO
통해	통하/VV+아/EC
어느	어느/MMD
정도	정도/NNG
선거	선거/NNG
결과를	결과/NNG+를/JKO
예측했던	예측/NNG+하/XSV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.189.8.2
조용휴 폴앤폴 대표는 “선거운동 막판에 정당과 각 캠프에 전달된 결과에는 이미 변화의 신호가 잡혀 있었다”며 “정치권이 이를 포착하지 못했던 것”이라고 말했다.

조용휴	조용휴/NNP
폴앤폴	폴앤폴/NNP
대표는	대표/NNG+는/JX
“선거운동	“/SS+선거/NNG+운동/NNG
막판에	막판/NNG+에/JKB
정당과	정당/NNG+과/JC
각	각/MMD
캠프에	캠프/NNG+에/JKB
전달된	전달/NNG+되/XSV+ㄴ/ETM
결과에는	결과/NNG+에/JKB+는/JX
이미	이미/MAG
변화의	변화/NNG+의/JKG
신호가	신호/NNG+가/JKS
잡혀	잡히/VV+어/EC
있었다”며	있/VX+었/EP+다/EF+”/SS+며/EC
“정치권이	“/SS+정치/NNG+권/XSN+이/JKS
이를	이/NP+를/JKO
포착하지	포착/NNG+하/XSV+지/EC
못했던	못하/VX+았/EP+던/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.189.9.1
평상시 국민 의식에 대한 분석이 꾸준히 쌓여 있어야 제대로 된 예측이 가능하다는 근본적 문제 제기도 있었다.

평상시	평상시/NNG
국민	국민/NNG
의식에	의식/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
분석이	분석/NNG+이/JKS
꾸준히	꾸준히/MAG
쌓여	쌓이/VV+어/EC
있어야	있/VX+어야/EC
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
예측이	예측/NNG+이/JKS
가능하다는	가능/NNG+하/XSA+다는/ETM
근본적	근본/NNG+적/XSN
문제	문제/NNG
제기도	제기/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000028.189.9.2
다수 유권자들은 △지역주의 △남북문제 △세대 갈등 △이념적 성향 등에 대한 태도를 통해 투표 성향이 결정되는데, 일시적인 선거 이슈만 물어보면 잘못된 예측이 나오기 쉽기 때문이다.

다수	다수/NNG
유권자들은	유권자/NNG+들/XSN+은/JX
△지역주의	△/SW+지역주의/NNG
△남북문제	△/SW+남북문제/NNG
△세대	△/SW+세대/NNG
갈등	갈등/NNG
△이념적	△/SW+이념/NNG+적/XSN
성향	성향/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
태도를	태도/NNG+를/JKO
통해	통하/VV+아/EC
투표	투표/NNG
성향이	성향/NNG+이/JKS
결정되는데,	결정/NNG+되/XSV+는데/EC+,/SP
일시적인	일시/NNG+적/XSN+이/VCP+ㄴ/ETM
선거	선거/NNG
이슈만	이슈/NNG+만/JX
물어보면	물어보/VV+면/EC
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
예측이	예측/NNG+이/JKS
나오기	나오/VV+기/ETN
쉽기	쉽/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.189.9.3
임상렬 리서치플러스 대표는 “미국 등의 학계에서 수십년 동안 같은 질문을 던져 국민 의식 변화를 고찰하는 사회조사가 이뤄지고 있다”며 “우리 학계는 선거 결과를 보고 ‘북풍이나 지역주의가 약해졌다’고 해석만 할 뿐 사회조사를 통해 이를 먼저 포착해 내지 못하고 있다”고 말했다.

임상렬	임상렬/NNP
리서치플러스	리서치플러스/NNP
대표는	대표/NNG+는/JX
“미국	“/SS+미국/NNP
등의	등/NNB+의/JKG
학계에서	학계/NNG+에서/JKB
수십년	수십/NR+년/NNB
동안	동안/NNG
같은	같/VA+은/ETM
질문을	질문/NNG+을/JKO
던져	던지/VV+어/EC
국민	국민/NNG
의식	의식/NNG
변화를	변화/NNG+를/JKO
고찰하는	고찰/NNG+하/XSV+는/ETM
사회조사가	사회/NNG+조사/NNG+가/JKS
이뤄지고	이뤄지/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“우리	“/SS+우리/NP
학계는	학계/NNG+는/JX
선거	선거/NNG
결과를	결과/NNG+를/JKO
보고	보/VV+고/EC
‘북풍이나	‘/SS+북풍/NNG+이나/JC
지역주의가	지역주의/NNG+가/JKS
약해졌다’고	약하/VA+아/EC+지/VX+었/EP+다/EF+’/SS+고/JKQ
해석만	해석/NNG+만/JX
할	하/VV+ㄹ/ETM
뿐	뿐/NNB
사회조사를	사회/NNG+조사/NNG+를/JKO
통해	통하/VV+아/EC
이를	이/NP+를/JKO
먼저	먼저/MAG
포착해	포착/NNG+하/XSV+아/EC
내지	내/VX+지/EC
못하고	못하/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


