# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.426
metadata : {}


# id : NWRW1800000024.426.1.1
‘환자복’ 커트 코베인 /폭발적 100분 절창

‘환자복’	‘/SS+환자복/NNG+’/SS
단언한다.	단언/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.426.3.3
영국의 록 전문지 <커랭!> 2003년 10월호는 “너바나의 92년 레딩 페스티벌 무대는 꼭 봤어야만 하는, 못 봤다면 본 척이라도 해야 하는 공연”이라고 평가했다.

영국의	영국/NNP+의/JKG
록	록/NNG
전문지	전문지/NNG
<커랭!>	</SS+커랭/NNP+!/SF+>/SS
2003년	2003/SN+년/NNB
10월호는	10/SN+월/NNB+호/NNB+는/JX
“너바나의	“/SS+너바나/NNP+의/JKG
92년	92/SN+년/NNB
레딩	레딩/NNP
페스티벌	페스티벌/NNG
무대는	무대/NNG+는/JX
꼭	꼭/MAG
봤어야만	보/VV+았/EP+어야/EC+만/JX
하는,	하/VX+는/ETM+,/SP
못	못/MAG
봤다면	보/VV+았/EP+다면/EC
본	보/VV+ㄴ/ETM
척이라도	척/NNB+이/VCP+라도/EC
해야	하/VV+아야/EC
하는	하/VX+는/ETM
공연”이라고	공연/NNG+”/SS+이라고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.426.3.4
대체 얼마나 대단한 공연이기에?

대체	대체/MAG
얼마나	얼마나/MAG
대단한	대단하/VA+ㄴ/ETM
공연이기에?	공연/NNG+이/VCP+기/ETN+에/JKB+?/SF


# id : NWRW1800000024.426.4.1
너바나는 90년대 초반 그런지록과 얼터너티브록을 세계적인 주류 음악으로 만들어버린 미국 록 밴드다.

너바나는	너바나/NNP+는/JX
90년대	90/SN+년대/NNB
초반	초반/NNG
그런지록과	그런지록/NNG+과/JC
얼터너티브록을	얼터너티브록/NNG+을/JKO
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
주류	주류/NNG
음악으로	음악/NNG+으로/JKB
만들어버린	만들/VV+어/EC+버리/VX+ㄴ/ETM
미국	미국/NNP
록	록/NNG
밴드다.	밴드/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.426.4.2
이들의 91년작 <네버마인드>는 세계 대중음악사를 바꾼 앨범으로 평가받는다.

이들의	이/NP+들/XSN+의/JKG
91년작	91/SN+년/NNB+작/NNG
<네버마인드>는	</SS+네버마인드/NNP+>/SS+는/JX
세계	세계/NNG
대중음악사를	대중음악사/NNG+를/JKO
바꾼	바꾸/VV+ㄴ/ETM
앨범으로	앨범/NNG+으로/JKB
평가받는다.	평가/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000024.426.4.3
영국의 권위 있는 음악 전문지 <롤링 스톤> 2004년 6월 특집호는 ‘로큰롤 역사를 바꾼 50장면’ 가운데 하나로 너바나의 등장을 꼽았다.

영국의	영국/NNP+의/JKG
권위	권위/NNG
있는	있/VA+는/ETM
음악	음악/NNG
전문지	전문지/NNG
<롤링	</SS+롤링/NNP
스톤>	스톤/NNP+>/SS
2004년	2004/SN+년/NNB
6월	6/SN+월/NNB
특집호는	특집호/NNG+는/JX
‘로큰롤	‘/SS+로큰롤/NNG
역사를	역사/NNG+를/JKO
바꾼	바꾸/VV+ㄴ/ETM
50장면’	50/SN+장면/NNG+’/SS
가운데	가운데/NNG
하나로	하나/NR+로/JKB
너바나의	너바나/NNP+의/JKG
등장을	등장/NNG+을/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.426.4.4
하지만 너바나는 94년 리더 커트 코베인의 죽음으로 짧은 생명을 다한다.

하지만	하지만/MAJ
너바나는	너바나/NNP+는/JX
94년	94/SN+년/NNB
리더	리더/NNG
커트	커트/NNP
코베인의	코베인/NNP+의/JKG
죽음으로	죽음/NNG+으로/JKB
짧은	짧/VA+은/ETM
생명을	생명/NNG+을/JKO
다한다.	다/MAG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.426.4.5
커트 코베인의 주검 옆에는 가수 닐 영의 노랫말에서 따온 ‘서서히 꺼져가는 것보다 한꺼번에 불타오르는 게 낫다’는 글이 담긴 유서가 있었다.

커트	커트/NNP
코베인의	코베인/NNP+의/JKG
주검	주검/NNG
옆에는	옆/NNG+에/JKB+는/JX
가수	가수/NNG
닐	닐/NNP
영의	영/NNP+의/JKG
노랫말에서	노랫말/NNG+에서/JKB
따온	따오/VV+ㄴ/ETM
‘서서히	‘/SS+서서히/MAG
꺼져가는	꺼지/VV+어/EC+가/VX+는/ETM
것보다	것/NNB+보다/JKB
한꺼번에	한꺼번에/MAG
불타오르는	불타오르/VV+는/ETM
게	거/NNB+이/JKS
낫다’는	낫/VA+다/EF+’/SS+는/ETM
글이	글/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
유서가	유서/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000024.426.5.1
너바나의 92년 8월 30일 레딩 페스티벌 무대는 “너바나 경력에 있어 정점의 순간”으로 일컬어지는 공연이다.

너바나의	너바나/NNP+의/JKG
92년	92/SN+년/NNB
8월	8/SN+월/NNB
30일	30/SN+일/NNB
레딩	레딩/NNP
페스티벌	페스티벌/NNG
무대는	무대/NNG+는/JX
“너바나	“/SS+너바나/NNP
경력에	경력/NNG+에/JKB
있어	있/VA+어/EC
정점의	정점/NNG+의/JKG
순간”으로	순간/NNG+”/SS+으로/JKB
일컬어지는	일컫/VV+어/EC+지/VX+는/ETM
공연이다.	공연/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.426.5.2
<네버마인드> 발표 1년 만에 본격적으로 유럽에 상륙한 순간이기도 하다.

<네버마인드>	</SS+네버마인드/NNP+>/SS
발표	발표/NNG
1년	1/SN+년/NNB
만에	만/NNB+에/JKB
본격적으로	본격/NNG+적/XSN+으로/JKB
유럽에	유럽/NNP+에/JKB
상륙한	상륙/NNG+하/XSV+ㄴ/ETM
순간이기도	순간/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000024.426.5.3
‘스멜스 라이크 틴 스피릿’ ‘컴 애즈 유 아’ 등 <네버마인드> 수록곡뿐 아니라 당시 아직 발표되지 않았던 그들의 마지막 정규앨범 <인 우테로> 수록곡까지 너바나의 대표곡 25곡을 불렀다.

‘스멜스	‘/SS+스멜스/NNP
라이크	라이크/NNP
틴	틴/NNP
스피릿’	스피릿/NNP+’/SS
‘컴	‘/SS+컴/NNP
애즈	애즈/NNP
유	유/NNP
아’	아/NNP+’/SS
등	등/NNB
<네버마인드>	</SS+네버마인드/NNP+>/SS
수록곡뿐	수록곡/NNG+뿐/JX
아니라	아니/VCN+라/EC
당시	당시/NNG
아직	아직/MAG
발표되지	발표/NNG+되/XSV+지/EC
않았던	않/VX+았/EP+던/ETM
그들의	그/NP+들/XSN+의/JKG
마지막	마지막/NNG
정규앨범	정규/NNG+앨범/NNG
<인	</SS+인/NNP
우테로>	우테로/NNP+>/SS
수록곡까지	수록곡/NNG+까지/JX
너바나의	너바나/NNP+의/JKG
대표곡	대표곡/NNG
25곡을	25/SN+곡/NNG+을/JKO
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.426.5.4
커트 코베인은 ‘약물이 그를 앗아갈지도 모른다’는 당시 언론 보도에 시위라도 하듯, 환자복 차림에 휠체어를 타고 무대에 올라 100분간 폭발적인 울림을 쉼없이 토해냈다.

커트	커트/NNP
코베인은	코베인/NNP+은/JX
‘약물이	‘/SS+약물/NNG+이/JKS
그를	그/NP+를/JKO
앗아갈지도	앗/VV+아/EC+가/VX+ㄹ지/EF+도/JX
모른다’는	모르/VV+ㄴ다/EF+’/SS+는/ETM
당시	당시/NNG
언론	언론/NNG
보도에	보도/NNG+에/JKB
시위라도	시위/NNG+이/VCP+라도/EC
하듯,	하/VV+듯/EC+,/SP
환자복	환자복/NNG
차림에	차림/NNG+에/JKB
휠체어를	휠체어/NNG+를/JKO
타고	타/VV+고/EC
무대에	무대/NNG+에/JKB
올라	오르/VV+아/EC
100분간	100/SN+분/NNB+간/XSN
폭발적인	폭발/NNG+적/XSN+이/VCP+ㄴ/ETM
울림을	울림/NNG+을/JKO
쉼없이	쉬/VV+ㅁ/ETN+없이/MAG
토해냈다.	토하/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.426.6.1
당시 모습이 17년 만에 되살아났다.

당시	당시/NNG
모습이	모습/NNG+이/JKS
17년	17/SN+년/NNB
만에	만/NNB+에/JKB
되살아났다.	되살아나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.426.6.2
<라이브 앳 레딩>이라는 제목으로 공연 실황 시디(CD)와 디브이디(DVD)가 나온 것이다.

<라이브	</SS+라이브/NNP
앳	앳/NNP
레딩>이라는	래딩/NNP+>/SS+이/VCP+라는/ETM
제목으로	제목/NNG+으로/JKB
공연	공연/NNG
실황	실황/NNG
시디(CD)와	시디/NNG+(/SS+CD/SL+)/SS+와/JC
디브이디(DVD)가	디브이디/NNG+(/SS+DVD/SL+)/SS+가/JKS
나온	나오/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.426.6.3
너바나의 소중한 흔적을 느낄 수 있는 몇 안 되는 음반이다.

너바나의	너바나/NNP+의/JKG
소중한	소중하/VA+ㄴ/ETM
흔적을	흔적/NNG+을/JKO
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
몇	몇/NR
안	안/MAG
되는	되/VV+는/ETM
음반이다.	음반/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.426.7.1
때마침 너바나의 드러머 출신 데이브 그롤이 결성한 밴드 ‘푸 파이터스’의 베스트 앨범도 발매됐다.

때마침	때마침/MAG
너바나의	너바나/NNP+의/JKG
드러머	드러머/NNG
출신	출신/NNG
데이브	데이브/NNP
그롤이	그롤/NNP+이/JKS
결성한	결성/NNG+하/XSV+ㄴ/ETM
밴드	밴드/NNG
‘푸	‘/SS+푸/NNP
파이터스’의	파이터스/NNP+’/SS+의/JKG
베스트	베스트/NNG
앨범도	앨범/NNG+도/JX
발매됐다.	발매/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.426.7.2
95년 데뷔 이래 주요 히트곡 13곡과 신곡 ‘휠스’ ‘워드 포워드’가 실렸다.

95년	95/SN+년/NNB
데뷔	데뷔/NNG
이래	이래/NNB
주요	주요/NNG
히트곡	히트곡/NNG
13곡과	13/SN+곡/NNG+과/JC
신곡	신곡/NNG
‘휠스’	‘/SS+휠스/NNP+’/SS
‘워드	‘/SS+워드/NNP
포워드’가	포워드/NNP+’/SS+가/JKS
실렸다.	실리/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.426.7.3
너바나의 거대한 그림자에서 벗어나 자신만의 음악 세계를 구축해낸 데이브 그롤의 성취를 저 하늘에서 커트 코베인도 축하해주는 것만 같다.

너바나의	너바나/NNP+의/JKG
거대한	거대/NNG+하/XSA+ㄴ/ETM
그림자에서	그림자/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
자신만의	자신/NNG+만/JX+의/JKG
음악	음악/NNG
세계를	세계/NNG+를/JKO
구축해낸	구축/NNG+하/XSV+아/EC+내/VX+ㄴ/ETM
데이브	데이브/NNP
그롤의	그롤/NNP+의/JKG
성취를	성취/NNG+를/JKO
저	저/MMD
하늘에서	하늘/NNG+에서/JKB
커트	커트/NNP
코베인도	코베인/NNP+도/JX
축하해주는	축하/NNG+하/XSV+아/EC+주/VX+는/ETM
것만	것/NNB+만/JX
같다.	같/VA+다/EF+./SF


