# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.200
metadata : {}


# id : NWRW1800000026.200.1.1
[세계 미술의 巨匠에게 듣는다] 세계적 미술 명소 日나오시마에 이름 건 미술관 연 이우환;보이는 것 너머에 그의 宇宙가 있다

[세계	[/SS+세계/NNG
이우환은	이우환/NNP+은/JX
"관람객이	"/SS+관람객/NNG+이/JKS
잠시나마	잠시/NNG+나마/JX
쉬어가라고	쉬/VV+어/EC+가/VX+라고/EC
만든	만들/VV+ㄴ/ETM
방"이라고	방/NNG+"/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.200.5.1
이우환은 "살아 있는 동안 개인 미술관을 가져야겠다고 생각해본 적이 없다"면서 "내 이름을 단 미술관을 짓는다고 해서 망설이기도 하고 많은 생각을 했다"고 밝혔다.

이우환은	이우환/NNP+은/JX
"살아	"/SS+살/VV+아/EC
있는	있/VX+는/ETM
동안	동안/NNG
개인	개인/NNG
미술관을	미술관/NNG+을/JKO
가져야겠다고	가지/VV+어야/EC+하/VX+겠/EP+다고/EC
생각해본	생각/NNG+하/XSV+아/EC+보/VX+ㄴ/ETM
적이	적/NNB+이/JKS
없다"면서	없/VA+다/EF+"/SS+면서/EC
"내	"/SS+나/NP+의/JKG
이름을	이름/NNG+을/JKO
단	달/VV+ㄴ/ETM
짓는다고	짓/VV+는다고/EC
해서	하/VV+아서/EC
망설이기도	망설이/VV+기/ETN+도/JX
하고	하/VX+고/EC
많은	많/VA+은/ETM
생각을	생각/NNG+을/JKO
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.200.5.2
그는 "미술관으로 어떤 공간이 가능할까 생각하다 컴컴한 동굴 안에 그림을 그린 알타미라 동굴을 떠올렸다"면서 "본다는 것을 넘어선 알타미라 동굴은 생(生)과 사(死)가 결부된 우주적 공간으로, (이우환 미술관에) 그것을 표현하고 싶었다"고 말했다.

그는	그/NP+는/JX
"미술관으로	"/SS+미술관/NNG+으로/JKB
어떤	어떤/MMD
공간이	공간/NNG+이/JKS
가능할까	가능/NNG+하/XSA+ㄹ까/EF
생각하다	생각/NNG+하/XSV+다/EC
컴컴한	컴컴하/VA+ㄴ/ETM
동굴	동굴/NNG
안에	안/NNG+에/JKB
그림을	그림/NNG+을/JKO
그린	그리/VV+ㄴ/ETM
알타미라	알타미라/NNP
동굴을	동굴/NNG+을/JKO
떠올렸다"면서	떠올리/VV+었/EP+다/EF+"/SS+면서/EC
"본다는	"/SS+보/VV+ㄴ다는/ETM
것을	것/NNB+을/JKO
넘어선	넘어서/VV+ㄴ/ETM
동굴은	동굴/NNG+은/JX
생(生)과	생/NNG+(/SS+生/SH+)/SS+과/JC
사(死)가	사/NNG+(/SS+死/SH+)/SS+가/JKS
결부된	결부/NNG+되/XSV+ㄴ/ETM
우주적	우주/NNG+적/XSN
공간으로,	공간/NNG+으로/JKB+,/SP
(이우환	(/SS+이우환/NNP
미술관에)	미술관/NNG+에/JKB+)/SS
그것을	그것/NP+을/JKO
표현하고	표현/NNG+하/XSV+고/EC
싶었다"고	싶/VX+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.200.6.1
이우환 미술관은 후쿠다케 회장이 2007년 베니스비엔날레 특별전으로 열린 이우환의 개인전 〈울림〉을 관람한 것이 계기가 됐다.

이우환	이우환/NNP
미술관은	미술관/NNG+은/JX
후쿠다케	후쿠다케/NNP
회장이	회장/NNG+이/JKS
2007년	2007/SN+년/NNB
베니스비엔날레	베니스/NNP+비엔날레/NNG
특별전으로	특별전/NNG+으로/JKB
열린	열리/VV+ㄴ/ETM
이우환의	이우환/NNP+의/JKG
개인전	개인전/NNG
〈울림〉을	〈/SS+울림/NNG+〉/SS+을/JKO
관람한	관람/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
계기가	계기/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.200.6.2
안도 다다오가 이우환 특별전을 후쿠다케 회장에게 권했고, 전시장을 둘러본 후쿠다케 회장이 미술관을 제안했다.

안도	안도/NNP
다다오가	다다오/NNP+가/JKS
이우환	이우환/NNP
특별전을	특별전/NNG+을/JKO
후쿠다케	후쿠다케/NNP
회장에게	회장/NNG+에게/JKB
권했고,	권/NNG+하/XSV+았/EP+고/EC+,/SP
전시장을	전시장/NNG+을/JKO
둘러본	둘러보/VV+ㄴ/ETM
회장이	회장/NNG+이/JKS
미술관을	미술관/NNG+을/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.200.6.3
이우환은 "안도와는 잘 아는 사이이고, 미술관을 지으면서도 다툼 없이 순조롭게 이어졌다"며 "미술관 앞에 18m에 이르는 콘크리트 폴(봉)을 세운 것은 내 아이디어"라고 밝혔다.

이우환은	이우환/NNP+은/JX
"안도와는	"/SS+안도/NNP+와/JKB+는/JX
잘	잘/MAG
아는	알/VV+는/ETM
사이이고,	사이/NNG+이/VCP+고/EC+,/SP
미술관을	미술관/NNG+을/JKO
지으면서도	짓/VV+으면서/EC+도/JX
다툼	다툼/NNG
없이	없이/MAG
순조롭게	순조/NNG+롭/XSA+게/EC
이어졌다"며	이어지/VV+었/EP+다/EF+"/SS+며/EC
"미술관	"/SS+미술관/NNG
앞에	앞/NNG+에/JKB
18m에	18/SN+m/SW+에/JKB
이르는	이르/VV+는/ETM
콘크리트	콘크리트/NNG
폴(봉)을	폴/NNG+(/SS+봉/NNG+)/SS+을/JKO
세운	세우/VV+ㄴ/ETM
것은	것/NNB+은/JX
내	나/NP+의/JKG
아이디어"라고	아이디어/NNG+"/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.200.7.1
미술관은 고요한 울림과 함께 충만한 에너지를 주고 있었다.

미술관은	미술관/NNG+은/JX
고요한	고요/NNG+하/XSA+ㄴ/ETM
울림과	울림/NNG+과/JKB
함께	함께/MAG
충만한	충만/NNG+하/XSA+ㄴ/ETM
에너지를	에너지/NNG+를/JKO
주고	주/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.200.7.2
이우환은 "베니스비엔날레 특별전에 전시됐던 작품처럼 전시를 통해 잘 알려진 작품이나 내가 중요하다고 생각해온 작품을 가져왔다"며 "후쿠다케재단에서 구입하거나 내가 기탁했다"고 말했다.

이우환은	이우환/NNP+은/JX
"베니스비엔날레	"/SS+베니스/NNP+비엔날레/NNG
특별전에	특별전/NNG+에/JKB
전시됐던	전시/NNG+되/XSV+었/EP+던/ETM
작품처럼	작품/NNG+처럼/JKB
전시를	전시/NNG+를/JKO
통해	통하/VV+아/EC
잘	잘/MAG
알려진	알려지/VV+ㄴ/ETM
작품이나	작품/NNG+이나/JC
내가	내/NP+가/JKS
중요하다고	중요/NNG+하/XSA+다고/EC
생각해온	생각/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
작품을	작품/NNG+을/JKO
가져왔다"며	가져오/VV+았/EP+다/EF+"/SS+며/EC
"후쿠다케재단에서	"/SS+후쿠다케/NNP+재단/NNG+에서/JKB
구입하거나	구입/NNG+하/XSV+거나/EC
기탁했다"고	기탁/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.200.7.3
그는 "1970년대는 점을 찍어 무한을 표현하다가 터치하는 것과 터치하지 않는 것이 어울리는 가운데 무한이 나온다는 생각을 하게 됐다"며 "나와 나 아닌 것이 만날 때 무한이 나온다"고 말했다.

그는	그/NP+는/JX
"1970년대는	"/SS+1970/SN+년대/NNB+는/JX
점을	점/NNG+을/JKO
찍어	찍/VV+어/EC
무한을	무한/NNG+을/JKO
표현하다가	표현/NNG+하/XSV+다가/EC
터치하는	터치/NNG+하/XSV+는/ETM
것과	것/NNB+과/JKB
터치하지	터치/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
것이	것/NNB+이/JKS
어울리는	어울리/VV+는/ETM
가운데	가운데/NNG
무한이	무한/NNG+이/JKS
나온다는	나오/VV+ㄴ다는/ETM
생각을	생각/NNG+을/JKO
하게	하/VV+게/EC
됐다"며	되/VV+었/EP+다/EF+"/SS+며/EC
"나와	"/SS+나/NP+와/JKB
나	나/NP
아닌	아니/VCN+ㄴ/ETM
만날	만나/VV+ㄹ/ETM
때	때/NNG
나온다"고	나오/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.200.7.4
이후 본격화된 설치작품은 돌과 철판을 가져와 제작한 것이다.

이후	이후/NNG
본격화된	본격/NNG+화/XSN+되/XSV+ㄴ/ETM
설치작품은	설치/NNG+작품/NNG+은/JX
돌과	돌/NNG+과/JC
철판을	철판/NNG+을/JKO
가져와	가져오/VV+아/EC
제작한	제작/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.200.7.5
이우환은 대량생산된 '만든 것'과 자연 속의 '만들지 않은 부분'을 만나게 했다.

이우환은	이우환/NNP+은/JX
대량생산된	대량/NNG+생산/NNG+되/XSV+ㄴ/ETM
'만든	'/SS+만들/VV+ㄴ/ETM
것'과	것/NNB+'/SS+과/JKB
자연	자연/NNG
속의	속/NNG+의/JKG
'만들지	'/SS+만들/VV+지/EC
않은	않/VX+은/ETM
부분'을	부분/NNG+'/SS+을/JKO
만나게	만나/VV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.200.7.6
그는 "돌은 수만년 전에도 존재했던 것이고, 철판은 돌에서 뽑아내 제조한 산업사회의 산물"이라며 "둘을 마주 보게 함으로써 산업사회 이전과 이후, 그 밖에 만들어지지 않은 부분까지 느껴보게 한 것"이라고 말했다.

그는	그/NP+는/JX
"돌은	"/SS+돌/NNG+은/JX
수만년	수만/NR+년/NNB
전에도	전/NNG+에/JKB+도/JX
존재했던	존재/NNG+하/XSV+았/EP+던/ETM
것이고,	것/NNB+이/VCP+고/EC+,/SP
철판은	철판/NNG+은/JX
돌에서	돌/NNG+에서/JKB
뽑아내	뽑아내/VV+어/EC
제조한	제조/NNG+하/XSV+ㄴ/ETM
산업사회의	산업/NNG+사회/NNG+의/JKG
산물"이라며	산물/NNG+"/SS+이/VCP+라며/EC
"둘을	"/SS+둘/NR+을/JKO
마주	마주/MAG
보게	보/VV+게/EC
함으로써	하/VX+ㅁ/ETN+으로써/JKB
산업사회	산업/NNG+사회/NNG
이전과	이전/NNG+과/JC
이후,	이후/NNG+,/SP
그	그/MMD
밖에	밖/NNG+에/JKB
만들어지지	만들/VV+어/EC+지/VX+지/EC
않은	않/VX+은/ETM
부분까지	부분/NNG+까지/JX
느껴보게	느끼/VV+어/EC+보/VX+게/EC
한	하/VX+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.200.8.1
1936년 경남 함안에서 태어난 이우환은 1956년 서울대 미대에 입학했으나 중도에 일본으로 건너가 도쿄 일본대학에서 철학을 전공했다.

1936년	1936/SN+년/NNB
경남	경남/NNP
함안에서	함안/NNP+에서/JKB
태어난	태어나/VV+ㄴ/ETM
이우환은	이우환/NNP+은/JX
1956년	1956/SN+년/NNB
서울대	서울대/NNP
미대에	미대/NNG+에/JKB
입학했으나	입학/NNG+하/XSV+았/EP+으나/EC
중도에	중도/NNG+에/JKB
일본으로	일본/NNP+으로/JKB
건너가	건너가/VV+아/EC
도쿄	도쿄/NNP
일본대학에서	일본/NNP+대학/NNG+에서/JKB
철학을	철학/NNG+을/JKO
전공했다.	전공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.200.8.2
이우환은 1969년 발표한 '존재와 무를 넘어서-세키네 노부오론(論)'에서 일본 현대미술 작가 세키네 노부오에 대한 분석을 통해 '모노하(物派)'가 모더니티를 넘어서는 운동이라고 주장했다.

이우환은	이우환/NNP+은/JX
1969년	1969/SN+년/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
'존재와	'/SS+존재/NNG+와/JC
무를	무/NNG+를/JKO
넘어서-세키네	넘/VV+어서/EC+-/SO+세키네/NNP
노부오론(論)'에서	노부오/NNP+론/XSN+(/SS+論/SH+)/SS+'/SS+에서/JKB
일본	일본/NNP
현대미술	현대/NNG+미술/NNG
작가	작가/NNG
세키네	세키네/NNP
노부오에	노부오/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
분석을	분석/NNG+을/JKO
통해	통하/VV+아/EC
'모노하(物派)'가	'/SS+모노하/NNG+(/SS+物派/SH+)/SS+'/SS+가/JKS
모더니티를	모더니티/NNG+를/JKO
넘어서는	넘어서/VV+는/ETM
운동이라고	운동/NNG+이/VCP+라고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.200.8.3
이 글은 일본의 '모노하' 운동을 세계적인 사조로 올려놓는데 결정적인 계기를 제공했다.

이	이/MMD
글은	글/NNG+은/JX
일본의	일본/NNP+의/JKG
'모노하'	'/SS+모노하/NNG+'/SS
운동을	운동/NNG+을/JKO
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
사조로	사조/NNG+로/JKB
올려놓는데	올려놓/VV+는/ETM+데/NNB
결정적인	결정/NNG+적/XSN+이/VCP+ㄴ/ETM
계기를	계기/NNG+를/JKO
제공했다.	제공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.200.8.4
그리고 이우환은 스스로 자연석과 철판을 이용한 조각을 통해 모노하 이론을 창작활동으로 보여주었다.

그리고	그리고/MAJ
이우환은	이우환/NNP+은/JX
스스로	스스로/MAG
자연석과	자연석/NNG+과/JC
철판을	철판/NNG+을/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
조각을	조각/NNG+을/JKO
통해	통하/VV+아/EC
모노하	모노하/NNG
이론을	이론/NNG+을/JKO
창작활동으로	창작/NNG+활동/NNG+으로/JKB
보여주었다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.200.8.5
'모노하'란 인공적으로 생산되지 않은 것을 이용해 창조보다 관계성을 보여준다는 의미다.

'모노하'란	'/SS+모노하/NNG+'/SS+란/JX
인공적으로	인공/NNG+적/XSN+으로/JKB
생산되지	생산/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
것을	것/NNB+을/JKO
이용해	이용/NNG+하/XSV+아/EC
창조보다	창조/NNG+보다/JKB
관계성을	관계/NNG+성/XSN+을/JKO
보여준다는	보이/VV+어/EC+주/VX+ㄴ다는/ETM
의미다.	의미/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.200.9.1
이우환은 내년 세계 현대미술의 대표적인 미술관으로 꼽히는 뉴욕 구겐하임 미술관에서 대규모 회고전을 갖는다.

이우환은	이우환/NNP+은/JX
내년	내년/NNG
세계	세계/NNG
현대미술의	현대/NNG+미술/NNG+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
미술관으로	미술관/NNG+으로/JKB
꼽히는	꼽히/VV+는/ETM
뉴욕	뉴욕/NNP
구겐하임	구겐하임/NNP
미술관에서	미술관/NNG+에서/JKB
대규모	대/XPN+규모/NNG
회고전을	회고전/NNG+을/JKO
갖는다.	갖/VV+는다/EF+./SF


# id : NWRW1800000026.200.9.2
구겐하임 미술관에서 회고전을 갖는 한국 작가는 백남준 이후 처음이다.

구겐하임	구겐하임/NNP
미술관에서	미술관/NNG+에서/JKB
회고전을	회고전/NNG+을/JKO
갖는	갖/VV+는/ETM
한국	한국/NNP
작가는	작가/NNG+는/JX
백남준	백남준/NNP
이후	이후/NNG
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.200.9.3
그는 "생애 처음으로 하는 회고전"이라면서 "구겐하임 미술관에서 2월 11일부터 2개월간 전시가 있고 미국의 다른 미술관에도 순회 전시를 계획 중"이라고 밝혔다.

그는	그/NP+는/JX
"생애	"/SS+생애/NNG
처음으로	처음/NNG+으로/JKB
하는	하/VV+는/ETM
회고전"이라면서	회고전/NNG+"/SS+이/VCP+라면서/EC
"구겐하임	"/SS+구겐하임/NNP
미술관에서	미술관/NNG+에서/JKB
2월	2/SN+월/NNB
11일부터	11/SN+일/NNB+부터/JX
2개월간	2/SN+개월/NNB+간/XSN
전시가	전시/NNG+가/JKS
있고	있/VA+고/EC
미국의	미국/NNP+의/JKG
다른	다른/MMD
미술관에도	미술관/NNG+에/JKB+도/JX
순회	순회/NNG
전시를	전시/NNG+를/JKO
계획	계획/NNG
중"이라고	중/NNB+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.200.10.1
나오시마는… 폐기물 쌓인 섬, 예술 낙원으로 탈바꿈… 섬 전체가 '미술관'

나오시마는…	나오시마/NNP+는/JX+…/SE
폐기물	폐기물/NNG
쌓인	쌓이/VV+ㄴ/ETM
섬,	섬/NNG+,/SP
예술	예술/NNG
낙원으로	낙원/NNG+으로/JKB
탈바꿈…	탈바꿈/NNG+…/SE
섬	섬/NNG
전체가	전체/NNG+가/JKS
'미술관'	'/SS+미술관/NNG+'/SS


# id : NWRW1800000026.200.11.1
나오시마(直島)는 일본 가가와(香川)현 북쪽 해안에 자리 잡은 둘레 16㎞의 작은 섬이다.

나오시마(直島)는	나오시마/NNP+(/SS+直島/SH+)/SS+는/JX
일본	일본/NNP
가가와(香川)현	가가와/NNP+(/SS+香川/SH+)/SS+현/NNG
북쪽	북쪽/NNG
해안에	해안/NNG+에/JKB
자리	자리/NNG
잡은	잡/VV+은/ETM
둘레	둘레/NNG
16㎞의	16/SN+㎞/SW+의/JKG
작은	작/VA+은/ETM
섬이다.	섬/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.200.11.2
원래 구리 제련소가 있던 곳으로 폐기물이 쌓이면서 황폐해져 가던 섬을 출판·교육 그룹인 베네세 그룹의 후쿠다케 소이치로 회장이 1987년부터 예술 프로젝트를 통해 세계적인 미술 명소로 탈바꿈시켰다.

원래	원래/MAG
구리	구리/NNP
제련소가	제련소/NNG+가/JKS
있던	있/VA+던/ETM
곳으로	곳/NNG+으로/JKB
폐기물이	폐기물/NNG+이/JKS
쌓이면서	쌓이/VV+면서/EC
황폐해져	황폐/NNG+하/XSV+아/EC+지/VX+어/EC
가던	가/VX+던/ETM
섬을	섬/NNG+을/JKO
출판·교육	출판/NNG+·/SP+교육/NNG
그룹인	그룹/NNG+이/VCP+ㄴ/ETM
베네세	베네세/NNP
그룹의	그룹/NNG+의/JKG
후쿠다케	후쿠다케/NNP
소이치로	소이치로/NNP
회장이	회장/NNG+이/JKS
1987년부터	1987/SN+년/NNB+부터/JX
예술	예술/NNG
프로젝트를	프로젝트/NNG+를/JKO
통해	통하/VV+아/EC
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
미술	미술/NNG
명소로	명소/NNG+로/JKB
탈바꿈시켰다.	탈바꿈/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.200.11.3
미술에 관심이 많던 후쿠다케 회장은 버려지다시피한 이 섬을 ‘예술 낙원’으로 만들어보자는 꿈을 갖고 세계적인 건축가 안도 다다오와 함께 프로젝트를 진행했다.

미술에	미술/NNG+에/JKB
관심이	관심/NNG+이/JKS
많던	많/VA+던/ETM
후쿠다케	후쿠다케/NNP
회장은	회장/NNG+은/JX
버려지다시피한	버려지/VV+다시피/EC+하/VX+ㄴ/ETM
이	이/MMD
섬을	섬/NNG+을/JKO
‘예술	‘/SS+예술/NNG
낙원’으로	낙원/NNG+’/SS+으로/JKB
만들어보자는	만들/VV+어/EC+보/VX+자는/ETM
꿈을	꿈/NNG+을/JKO
