# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.363
metadata : {}


# id : NWRW1800000038.363.1.1
[개성공단 사태] 김정은 40일만의 경제시찰

[개성공단	[/SS+개성공단/NNP
대동강변에	대동강/NNP+변/NNG+에/JKB
있는	있/VA+는/ETM
지하	지하/NNG
1층,	1/SN+층/NNG+,/SP
지상	지상/NNG
6층	6/SN+층/NNG
규모의	규모/NNG+의/JKG
복합	복합/NNG
문화·쇼핑시설이다.	문화/NNG+·/SP+쇼핑/NNG+시설/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.363.4.2
상점과 식당, 수영장, 목욕탕, 미용실, 당구장, 도서관, 커피점 등을 갖췄다고 통신은 전했다.

상점과	상점/NNG+과/JC
식당,	식당/NNG+,/SP
수영장,	수영장/NNG+,/SP
목욕탕,	목욕탕/NNG+,/SP
미용실,	미용실/NNG+,/SP
당구장,	당구장/NNG+,/SP
도서관,	도서관/NNG+,/SP
커피점	커피점/NNG
등을	등/NNB+을/JKO
갖췄다고	갖추/VV+었/EP+다고/EC
통신은	통신/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.363.4.3
노동신문은 28일자 1면에 김정은이 해당화관 내 철판구이집에서 리설주와 박봉주 내각총리, 최룡해 군 총정치국장, 장성택 국방위원회 부위원장, 김격식 군 인민무력부장, 김양건 노동당 대남비서 겸 통일전선부장 등 당·정·군 핵심인사들과 함께 찍은 사진을 실었다.

노동신문은	노동신문/NNP+은/JX
28일자	28/SN+일/NNB+자/NNG
1면에	1/SN+면/NNG+에/JKB
김정은이	김정은/NNP+이/JKS
해당화관	해당화관/NNP
내	내/NNB
철판구이집에서	철판구이/NNG+집/NNG+에서/JKB
리설주와	리설주/NNP+와/JC
박봉주	박봉주/NNP
내각총리,	내각/NNG+총리/NNG+,/SP
최룡해	최룡해/NNP
군	군/NNG
총정치국장,	총정치국장/NNG+,/SP
장성택	장성택/NNP
국방위원회	국방/NNG+위원회/NNG
부위원장,	부위원장/NNG+,/SP
김격식	김격식/NNP
인민무력부장,	인민무력부장/NNG+,/SP
김양건	김양건/NNP
노동당	노동당/NNP
대남비서	대남/NNG+비서/NNG
겸	겸/NNB
통일전선부장	통일/NNG+전선부장/NNG
등	등/NNB
당·정·군	당·정·군/NNG
핵심인사들과	핵심/NNG+인사/NNG+들/XSN+과/JKB
함께	함께/MAG
찍은	찍/VV+은/ETM
사진을	사진/NNG+을/JKO
실었다.	싣/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.363.4.4
모두 군복이 아닌 인민복 차림이었다.

모두	모두/MAG
군복이	군복/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
인민복	인민복/NNG
차림이었다.	차림/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.363.5.1
김정은은 해당화관을 돌아본 뒤 "우리 인민이 다시는 허리띠를 조이지 않게 하며 사회주의 부귀영화를 마음껏 누리게 하자는 것이 당의 확고한 결심"이라고 말했다고 통신은 전했다.

김정은은	김정은/NNP+은/JX
해당화관을	해당화관/NNP+을/JKO
돌아본	돌아보/VV+ㄴ/ETM
뒤	뒤/NNG
"우리	"/SS+우리/NP
인민이	인민/NNG+이/JKS
다시는	다시/MAG+는/JX
허리띠를	허리띠/NNG+를/JKO
조이지	조이/VV+지/EC
않게	않/VX+게/EC
하며	하/VX+며/EC
사회주의	사회주의/NNG
부귀영화를	부귀영화/NNG+를/JKO
마음껏	마음껏/MAG
누리게	누리/VV+게/EC
하자는	하/VX+자는/ETM
것이	것/NNB+이/JKS
당의	당/NNG+의/JKG
확고한	확고하/VA+ㄴ/ETM
결심"이라고	결심/NNG+"/SS+이라고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
통신은	통신/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.363.6.1
이 같은 김정은 행보에 "정책 전환을 상징적으로 보여준 것 아니냐"(세종연구소 정성장 수석연구위원)는 해석이 나온다.

이	이/NP
같은	같/VA+은/ETM
김정은	김정은/NNP
행보에	행보/NNG+에/JKB
"정책	"/SS+정책/NNG
전환을	전환/NNG+을/JKO
상징적으로	상징/NNG+적/XSN+으로/JKB
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
것	것/NNB
아니냐"(세종연구소	아니/VCN+냐/EF+"/SS+(/SS+세종연구소/NNP
정성장	정성장/NNP
수석연구위원)는	수석/NNG+연구/NNG+위원/NNG+)/SS+는/JX
해석이	해석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.363.6.2
한·미 연합군사훈련이 종료되는 30일을 전후해 북한이 두 달간 지속해 온 대남·대미 위협 전략을 대화 모드로 전환하기 위한 분위기 조성일 수 있다는 것이다.

한·미	한·미/NNP
연합군사훈련이	연합/NNG+군사/NNG+훈련/NNG+이/JKS
종료되는	종료/NNG+되/XSV+는/ETM
30일을	30/SN+일/NNB+을/JKO
전후해	전후/NNG+하/XSV+아/EC
북한이	북한/NNP+이/JKS
두	두/MMN
달간	달/NNB+간/XSN
지속해	지속/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
대남·대미	대남/NNG+·/SP+대미/NNG
위협	위협/NNG
전략을	전략/NNG+을/JKO
대화	대화/NNG
모드로	모드/NNG+로/JKB
전환하기	전환/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
분위기	분위기/NNG
조성일	조성/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.363.7.1
그러나 김태우 전 통일연구원장은 "김정은은 과거에도 군부 인사를 대동하고 위락 시설을 도는 선전 활동을 했었다"며 "전략 변화라고 보기 어렵다"고 했다.

그러나	그러나/MAJ
김태우	김태우/NNP
전	전/MMD
통일연구원장은	통일/NNG+연구원장/NNG+은/JX
"김정은은	"/SS+김정은/NNP+은/JX
과거에도	과거/NNG+에/JKB+도/JX
군부	군부/NNG
인사를	인사/NNG+를/JKO
대동하고	대동/NNG+하/XSV+고/EC
위락	위락/NNG
시설을	시설/NNG+을/JKO
도는	돌/VV+는/ETM
선전	선전/NNG
활동을	활동/NNG+을/JKO
했었다"며	하/VV+았었/EP+다/EF+"/SS+며/EC
"전략	"/SS+전략/NNG
변화라고	변화/NNG+이/VCP+라고/EC
보기	보/VV+기/ETN
어렵다"고	어렵/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


