# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.209
metadata : {}


# id : NWRW1800000030.209.1.1
에닝요 2골… 전북 8강 선착 •아시아챔피언스리그서 톈진에 3대0

에닝요	에닝요/NNP
5승1패로	5/SN+승/NNB+1/SN+패/NNB+로/JKB
1위를	1/SN+위/NNB+를/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
전북은	전북/NNP+은/JX
유일한	유일/NNG+하/XSA+ㄴ/ETM
중국	중국/NNP
팀인	팀/NNG+이/VCP+ㄴ/ETM
E조	E/SL+조/NNG
2위	2/SN+위/NNB
톈진을	톈진/NNP+을/JKO
처음부터	처음/NNG+부터/JX
거세게	거세/VA+게/EC
몰아붙였다.	몰아붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.209.3.3
'입 닥치고 공격한다'는 강공(强攻)의 팀 전북다운 방식이었다.

'입	'/SS+입/NNG
닥치고	닥치/VV+고/EC
공격한다'는	공격/NNG+하/XSV+ㄴ다/EF+'/SS+는/ETM
강공(强攻)의	강공/NNG+(/SS+强攻/SH+)/SS+의/JKG
팀	팀/NNG
전북다운	전북/NNP+답/XSA+ㄴ/ETM
방식이었다.	방식/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.209.3.4
반면 전력 열세를 실감한 톈진은 초반부터 6~7명이 수비 라인을 형성하는 극단적 수비 전술로 나왔다.

반면	반면/NNG
전력	전력/NNG
열세를	열세/NNG+를/JKO
실감한	실감/NNG+하/XSV+ㄴ/ETM
톈진은	톈진/NNP+은/JX
초반부터	초반/NNG+부터/JX
6~7명이	6/SN+~/SO+7/SN+명/NNB+이/JKS
수비	수비/NNG
라인을	라인/NNG+을/JKO
형성하는	형성/NNG+하/XSV+는/ETM
극단적	극단/NNG+적/XSN
전술로	전술/NNG+로/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.209.4.1
결국 방패로 창을 막는 데는 한계가 있었다.

결국	결국/MAG
방패로	방패/NNG+로/JKB
창을	창/NNG+을/JKO
막는	막/VV+는/ETM
데는	데/NNB+는/JX
한계가	한계/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.209.4.2
이날 톈진의 방패를 무너뜨린 스타는 에닝요였다.

이날	이날/NNG
톈진의	톈진/NNP+의/JKG
방패를	방패/NNG+를/JKO
무너뜨린	무너뜨리/VV+ㄴ/ETM
스타는	스타/NNG+는/JX
에닝요였다.	에닝요/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.209.4.3
그는 전반 32분 페널티지역 오른쪽을 파고들어가 선제골을 뽑아냈다.

그는	그/NP+는/JX
전반	전반/NNG
32분	32/SN+분/NNB
페널티지역	페널티/NNG+지역/NNG
오른쪽을	오른쪽/NNG+을/JKO
파고들어가	파고들/VV+어/EC+가/VX+아/EC
선제골을	선제골/NNG+을/JKO
뽑아냈다.	뽑아내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.209.4.4
11분 뒤엔 에닝요의 강슛을 골키퍼가 쳐낸 것이 골문 앞의 이승현에게 걸리며 두 번째 골이 나왔다.

11분	11/SN+분/NNB
뒤엔	뒤/NNG+에/JKB+ㄴ/JX
에닝요의	에닝요/NNP+의/JKG
강슛을	강슛/NNG+을/JKO
골키퍼가	골키퍼/NNG+가/JKS
쳐낸	치/VV+어/EC+내/VX+ㄴ/ETM
것이	것/NNB+이/JKS
골문	골문/NNG
앞의	앞/NNG+의/JKG
이승현에게	이승현/NNP+에게/JKB
걸리며	걸리/VV+며/EC
두	두/MMN
번째	번/NNB+째/XSN
골이	골/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.209.5.1
조광래 A대표팀의 소집 명단에 오른 이승현은 이날 득점으로 기쁨이 두 배가 됐다.

조광래	조광래/NNP
A대표팀의	A/SL+대표/NNG+팀/NNG+의/JKG
소집	소집/NNG
명단에	명단/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
이승현은	이승현/NNP+은/JX
이날	이날/NNG
득점으로	득점/NNG+으로/JKB
기쁨이	기쁨/NNG+이/JKS
두	두/MMN
배가	배/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.209.5.2
에닝요는 후반 38분 로브렉의 패스를 골지역 왼쪽에서 차 넣으며 완승의 마지막을 장식했다.

에닝요는	에닝요/NNP+는/JX
후반	후반/NNG
38분	38/SN+분/NNB
로브렉의	로브렉/NNP+의/JKG
패스를	패스/NNG+를/JKO
골지역	골/NNG+지역/NNG
왼쪽에서	왼쪽/NNG+에서/JKB
차	차/VV+아/EC
넣으며	넣/VV+으며/EC
완승의	완승/NNG+의/JKG
마지막을	마지막/NNG+을/JKO
장식했다.	장식/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.209.6.1
AFC챔피언스리그 8강 대진 추첨은 내달 7일 말레이시아 쿠알라룸푸르 AFC 본부에서 열리며 경기는 9월 14일, 28일 홈·원정으로 치러진다.

AFC챔피언스리그	AFC/SL+챔피언스리그/NNG
8강	8/SN+강/NNB
대진	대진/NNG
추첨은	추첨/NNG+은/JX
내달	내달/NNG
7일	7/SN+일/NNB
말레이시아	말레이시아/NNP
쿠알라룸푸르	쿠알라룸푸르/NNP
AFC	AFC/SL
본부에서	본부/NNG+에서/JKB
열리며	열리/VV+며/EC
경기는	경기/NNG+는/JX
9월	9/SN+월/NNB
14일,	14/SN+일/NNB+,/SP
28일	28/SN+일/NNB
홈·원정으로	홈/NNG+·/SP+원정/NNG+으로/JKB
치러진다.	치르/VV+어/EC+지/VX+ㄴ다/EF+./SF


