# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.368
metadata : {}


# id : NWRW1800000025.368.1.1
“英 세계 최대 플루토늄 벙커 테러 취약”

“英	“/SS+英/SH
보안에	보안/NNG+에/JKB
신경을	신경/NNG+을/JKO
크게	크/VA+게/EC
쓰고	쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.368.4.1
더타임스는 긴급점검에 들어간 구체적 사유는 아직 알려지지 않았지만 최근 군 특수부대가 테러범으로 가장해 국가 주요 기반시설 및 잠재적 테러 대상에 침투하는 ‘레드팀 훈련’을 하는 도중 셀라필드 재처리시설의 허술한 보안상황이 드러났다고 전했다.

더타임스는	더타임스/NNP+는/JX
긴급점검에	긴급/NNG+점검/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
구체적	구체/NNG+적/XSN
사유는	사유/NNG+는/JX
아직	아직/MAG
알려지지	알려지/VV+지/EC
않았지만	않/VX+았/EP+지만/EC
최근	최근/NNG
군	군/NNG
특수부대가	특수/NNG+부대/NNG+가/JKS
테러범으로	테러범/NNG+으로/JKB
가장해	가장/NNG+하/XSV+아/EC
국가	국가/NNG
주요	주요/NNG
기반시설	기반/NNG+시설/NNG
및	및/MAG
잠재적	잠재/NNG+적/XSN
테러	테러/NNG
대상에	대상/NNG+에/JKB
침투하는	침투/NNG+하/XSV+는/ETM
‘레드팀	‘/SS+레드/NNG+팀/NNG
훈련’을	훈련/NNG+’/SS+을/JKO
하는	하/VV+는/ETM
도중	도중/NNG
셀라필드	셀라필드/NNP
재처리시설의	재/XPN+처리/NNG+시설/NNG+의/JKG
허술한	허술하/VA+ㄴ/ETM
보안상황이	보안/NNG+상황/NNG+이/JKS
드러났다고	드러나/VV+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.368.4.2
이 시설의 대테러 취약점을 보고받고 크게 우려한 각료들이 긴급점검 대상에 영국 내 정유시설 및 송유관까지 포함시킨 것으로 알려졌다.

이	이/MMD
시설의	시설/NNG+의/JKG
대테러	대테러/NNG
취약점을	취약점/NNG+을/JKO
보고받고	보고/NNG+받/XSV+고/EC
크게	크/VA+게/EC
우려한	우려/NNG+하/XSV+ㄴ/ETM
각료들이	각료/NNG+들/XSN+이/JKS
긴급점검	긴급/NNG+점검/NNG
대상에	대상/NNG+에/JKB
영국	영국/NNP
내	내/NNB
정유시설	정유/NNG+시설/NNG
및	및/MAG
송유관까지	송유관/NNG+까지/JX
포함시킨	포함/NNG+시키/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.368.4.3
2006년 대서양 상공에서 여객기 테러를 꾸몄던 런던의 알카에다 분파는 이미 이번 긴급점검의 대상이 된 각종 시설이 들어 있는 테러 대상 리스트를 보유하고 있다고 이 신문은 전했다.

2006년	2006/SN+년/NNB
대서양	대서양/NNP
상공에서	상공/NNG+에서/JKB
여객기	여객기/NNG
테러를	테러/NNG+를/JKO
꾸몄던	꾸미/VV+었/EP+던/ETM
런던의	런던/NNP+의/JKG
알카에다	알카에다/NNP
분파는	분파/NNG+는/JX
이미	이미/MAG
이번	이번/NNG
긴급점검의	긴급/NNG+점검/NNG+의/JKG
대상이	대상/NNG+이/JKC
된	되/VV+ㄴ/ETM
각종	각종/NNG
시설이	시설/NNG+이/JKS
들어	들/VV+어/EC
있는	있/VX+는/ETM
테러	테러/NNG
대상	대상/NNG
리스트를	리스트/NNG+를/JKO
보유하고	보유/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
이	이/MMD
신문은	신문/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.368.5.1
현재 HMIC는 긴급점검 결과에 대한 최종보고서를 작성하고 있다.

현재	현재/MAG
HMIC는	HMIC/SL+는/JX
긴급점검	긴급/NNG+점검/NNG
결과에	결과/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
최종보고서를	최종/NNG+보고서/NNG+를/JKO
작성하고	작성/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.368.5.2
사안의 심각성을 감안해 최종보고서는 일부 각료, 경찰총수 및 고위 안보관료에게만 제한적으로 회람된다고 한다.

사안의	사안/NNG+의/JKG
심각성을	심각성/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
최종보고서는	최종/NNG+보고서/NNG+는/JX
일부	일부/NNG
각료,	각료/NNG+,/SP
경찰총수	경찰/NNG+총수/NNG
및	및/MAG
고위	고위/NNG
안보관료에게만	안보/NNG+관료/NNG+에게/JKB+만/JX
제한적으로	제한/NNG+적/XSN+으로/JKB
회람된다고	회람/NNG+되/XSV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.368.5.3
한 소식통은 이번 긴급점검이 “극도로 민감한 작업”이라고 전했다.

한	한/MMN
소식통은	소식통/NNG+은/JX
이번	이번/NNG
긴급점검이	긴급/NNG+점검/NNG+이/JKS
“극도로	“/SS+극도/NNG+로/JKB
민감한	민감/NNG+하/XSA+ㄴ/ETM
작업”이라고	작업/NNG+”/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.368.6.1
완공하는 데 5년이 걸린 셀라필드 재처리시설의 플루토늄 벙커에는 콘크리트 3만6000m³와 에펠탑 제작에 소요된 만큼의 철근이 들어갔다.

완공하는	완공/NNG+하/XSV+는/ETM
데	데/NNB
5년이	5/SN+년/NNB+이/JKS
걸린	걸리/VV+ㄴ/ETM
셀라필드	셀라필드/NNP
재처리시설의	재/XPN+처리/NNG+시설/NNG+의/JKG
플루토늄	플루토늄/NNG
벙커에는	벙커/NNG+에/JKB+는/JX
콘크리트	콘크리트/NNG
3만6000m³와	3/SN+만/NR+6000/SN+m³/SW+와/JC
에펠탑	에펠탑/NNP
제작에	제작/NNG+에/JKB
소요된	소요/NNG+되/XSV+ㄴ/ETM
만큼의	만큼/NNB+의/JKG
철근이	철근/NNG+이/JKS
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.368.6.2
일반적으로 레미콘 차량 한 대에 실리는 콘크리트는 약 6m³로 알려져 있다.

일반적으로	일반/NNG+적/XSN+으로/JKB
레미콘	레미콘/NNG
차량	차량/NNG
한	한/MMN
대에	대/NNB+에/JKB
실리는	실리/VV+는/ETM
콘크리트는	콘크리트/NNG+는/JX
약	약/MMA
6m³로	6/SN+m³/SW+로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


