# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.130
metadata : {}


# id : NWRW1800000045.130.1.1
‘읽는 감동 쓰는 기쁨’ 필사 시집 2권 동시출간

‘읽는	‘/SS+읽/VV+는/ETM
등이	등/NNB+이/JKS
쓴	쓰/VV+ㄴ/ETM
명시	명시/NNG
53편을	53/SN+편/NNB+을/JKO
모은	모으/VV+ㄴ/ETM
필사	필사/NNG
시집	시집/NNG
‘명시를	‘/SS+명시/NNG+를/JKO
쓰다’(사물을봄)도	쓰/VV+다/EF+’/SS+(/SS+사물/NNG+을/JKO+보/VV+ㅁ/ETN+)/SS+도/JX
출간됐다.	출간/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.130.6.2
사물을봄 편집부는 “필사한다는 행위는 필연적으로 사색의 시간을 선물한다”며 “시를 필사하는 행위는 비교적 짧은 글로 인생을 풍요롭게 만들 수 있는 일이다”라고 밝혔다.

사물을봄	사물/NNG+을/JKO+보/VV+ㅁ/ETN
편집부는	편집부/NNG+는/JX
“필사한다는	“/SS+필사/NNG+하/XSV+ㄴ다는/ETM
행위는	행위/NNG+는/JX
필연적으로	필연/NNG+적/XSN+으로/JKB
사색의	사색/NNG+의/JKG
시간을	시간/NNG+을/JKO
선물한다”며	선물/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“시를	“/SS+시/NNG+를/JKO
필사하는	필사/NNG+하/XSV+는/ETM
비교적	비교/NNG+적/XSN
짧은	짧/VA+은/ETM
글로	글/NNG+로/JKB
인생을	인생/NNG+을/JKO
풍요롭게	풍요/NNG+롭/XSA+게/EC
만들	만들/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
일이다”라고	일/NNG+이/VCP+다/EF+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


