# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.191
metadata : {}


# id : NWRW1800000026.191.1.1
[동서남북] 꿈도 꾸기 어려운 초당적 안보

[동서남북]	[/SS+동서남북/NNG+]/SS
정부를	정부/NNG+를/JKO
'초당적으로'	'/SS+초당/NNG+적/XSN+으로/JKB+'/SS
밀어줄	밀/VV+어/EC+주/VX+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000026.191.5.2
대신 '조사를 왜 서두르느냐.

대신	대신/NNG
'조사를	'/SS+조사/NNG+를/JKO
왜	왜/MAG
서두르느냐.	서두르/VV+느냐/EF+./SF


# id : NWRW1800000026.191.5.3
미국의 9·11 테러 땐 3년 걸려 조사결과가 나왔다'는 주장을 편다.

미국의	미국/NNP+의/JKG
9·11	9/SN+·/SP+11/SN
테러	테러/NNG
땐	때/NNG+ㄴ/JX
3년	3/SN+년/NNB
걸려	걸리/VV+어/EC
조사결과가	조사/NNG+결과/NNG+가/JKS
나왔다'는	나오/VV+았/EP+다/EF+'/SS+는/ETM
주장을	주장/NNG+을/JKO
편다.	펴/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.191.5.4
그러나 미국은 9·11 직후 테러와의 전쟁을 시작했고, 여·야는 그야말로 초당적으로 정부를 지원했다.

그러나	그러나/MAJ
미국은	미국/NNP+은/JX
9·11	9/SN+·/SP+11/SN
직후	직후/NNG
테러와의	테러/NNG+와/JKB+의/JKG
전쟁을	전쟁/NNG+을/JKO
시작했고,	시작/NNG+하/XSV+았/EP+고/EC+,/SP
여·야는	여·야/NNG+는/JX
그야말로	그야말로/MAG
초당적으로	초당/NNG+적/XSN+으로/JKB
정부를	정부/NNG+를/JKO
지원했다.	지원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.191.5.5
9·11 조사위의 활동은 나중에 미국이 왜 그런 테러공격에 취약했는가를 포괄적으로 조사하기 위한 것이었다.

9·11	9/SN+·/SP+11/SN
조사위의	조사위/NNG+의/JKG
활동은	활동/NNG+은/JX
나중에	나중/NNG+에/JKB
미국이	미국/NNP+이/JKS
왜	왜/MAG
그런	그런/MMD
테러공격에	테러/NNG+공격/NNG+에/JKB
취약했는가를	취약/NNG+하/XSA+았/EP+는가/EF+를/JKO
포괄적으로	포괄/NNG+적/XSN+으로/JKB
조사하기	조사/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.191.6.1
야당은 감사원의 '천안함 침몰사건 대응실태' 감사 결과를 근거로 군을 비판하고 있다.

야당은	야당/NNG+은/JX
감사원의	감사원/NNG+의/JKG
'천안함	'/SS+천안함/NNP
침몰사건	침몰/NNG+사건/NNG
대응실태'	대응/NNG+실태/NNG+'/SS
감사	감사/NNG
결과를	결과/NNG+를/JKO
근거로	근거/NNG+로/JKB
군을	군/NNG+을/JKO
비판하고	비판/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.191.6.2
감사원의 조사로는, 군은 천안함으로부터 "어뢰피격으로 판단된다"는 보고를 받고도 상급기관에 제대로 보고하지 않았다.

감사원의	감사원/NNG+의/JKG
조사로는,	조사/NNG+로/JKB+는/JX+,/SP
군은	군/NNG+은/JX
천안함으로부터	천안함/NNP+으로부터/JKB
"어뢰피격으로	"/SS+어뢰/NNG+피격/NNG+으로/JKB
판단된다"는	판단/NNG+되/XSV+ㄴ다/EF+"/SS+는/ETM
보고를	보고/NNG+를/JKO
받고도	받/VV+고/EC+도/JX
상급기관에	상급/NNG+기관/NNG+에/JKB
제대로	제대로/MAG
보고하지	보고/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.191.6.3
또 사건 당시 속초함이 "북 신형 반잠수정으로 판단된다"고 보고했는데, 2함대가 이를 상부에 '새떼'로 보고하도록 지시해 '허위보고'를 한 게 됐다.

또	또/MAG
사건	사건/NNG
당시	당시/NNG
속초함이	속초함/NNP+이/JKS
"북	"/SS+북/NNP
신형	신형/NNG
반잠수정으로	반잠수정/NNG+으로/JKB
판단된다"고	판단/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
보고했는데,	보고/NNG+하/XSV+았/EP+는데/EC+,/SP
2함대가	2/SN+함대/NNG+가/JKS
이를	이/NP+를/JKO
상부에	상부/NNG+에/JKB
'새떼'로	'/SS+새/NNG+떼/NNG+'/SS+로/JKB
보고하도록	보고/NNG+하/XSV+도록/EC
지시해	지시/NNG+하/XSV+아/EC
'허위보고'를	'/SS+허위/NNG+보고/NNG+'/SS+를/JKO
한	하/VV+ㄴ/ETM
게	거/NNB+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.191.6.4
야당이 감사원 감사 결과를 믿는다면, 그건 천안함 침몰의 진실, 즉 '북한의 어뢰공격'이라는 걸 받아들인다는 뜻이다.

야당이	야당/NNG+이/JKS
감사원	감사원/NNG
감사	감사/NNG
결과를	결과/NNG+를/JKO
믿는다면,	믿/VV+는다면/EC+,/SP
그건	그거/NP+ㄴ/JX
천안함	천안함/NNP
침몰의	침몰/NNG+의/JKG
진실,	진실/NNG+,/SP
즉	즉/MAG
'북한의	'/SS+북한/NNP+의/JKG
어뢰공격'이라는	어뢰/NNG+공격/NNG+'/SS+이/VCP+라는/ETM
걸	거/NNB+ㄹ/JKO
받아들인다는	받아들이/VV+ㄴ다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.191.6.5
그런데도 야당 정치인들의 '믿고 싶은 것만 믿는 짜집기식' 대응은 계속되고 있다.

그런데도	그렇/VA+ㄴ데/EC+도/JX
야당	야당/NNG
정치인들의	정치인/NNG+들/XSN+의/JKG
'믿고	'/SS+믿/VV+고/EC
싶은	싶/VX+은/ETM
것만	것/NNB+만/JX
믿는	믿/VV+는/ETM
짜집기식'	짜집기식/NNG+'/SS
대응은	대응/NNG+은/JX
계속되고	계속/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.191.6.6
정말 이 땅에선 '초당적 안보'는 상상도 하기 어려운 일이 되고 있다.

정말	정말/MAG
이	이/MMD
땅에선	땅/NNG+에서/JKB+ㄴ/JX
'초당적	'/SS+초당/NNG+적/XSN
안보'는	안보/NNG+'/SS+는/JX
상상도	상상/NNG+도/JX
하기	하/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
일이	일/NNG+이/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.191.7.1
천안함 침몰로 전사한 고 민평기 상사의 어머니가 최근 청와대에 1억원의 방위성금을 기탁하면서, "정치하시는 분들은 제발 안보만큼은 하나 되고 한목소리가 돼 주시기를 부탁한다"고 했다.

천안함	천안함/NNP
침몰로	침몰/NNG+로/JKB
전사한	전사/NNG+하/XSV+ㄴ/ETM
고	고/MMA
민평기	민평기/NNP
상사의	상사/NNG+의/JKG
어머니가	어머니/NNG+가/JKS
최근	최근/NNG
청와대에	청와대/NNP+에/JKB
1억원의	1/SN+억/NR+원/NNB+의/JKG
방위성금을	방위성금/NNG+을/JKO
기탁하면서,	기탁/NNG+하/XSV+면서/EC+,/SP
"정치하시는	"/SS+정치/NNG+하/XSV+시/EP+는/ETM
분들은	분/NNB+들/XSN+은/JX
제발	제발/MAG
안보만큼은	안보/NNG+만큼/JKB+은/JX
하나	하나/NR
되고	되/VV+고/EC
한목소리가	한목소리/NNG+가/JKC
돼	되/VV+어/EC
주시기를	주/VX+시/EP+기/ETN+를/JKO
부탁한다"고	부탁/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.191.7.2
정치인들에게 이만큼 뼈아프게 '초당적 협력'의 의미를 가르쳐주는 목소리는 없었을 것이다.

정치인들에게	정치인/NNG+들/XSN+에게/JKB
이만큼	이만큼/NNG
뼈아프게	뼈아프/VA+게/EC
'초당적	'/SS+초당/NNG+적/XSN
협력'의	협력/NNG+'/SS+의/JKG
의미를	의미/NNG+를/JKO
가르쳐주는	가르치/VV+어/EC+주/VX+는/ETM
목소리는	목소리/NNG+는/JX
없었을	없/VA+었/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


