# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.9
metadata : {}


# id : NWRW1800000054.9.1.1
"1兆 수면 시장 공략"… SK바이오팜, FDA에 신약 신청

"1兆	"/SS+1/SN+兆/SH
판권을	판권/NNG+을/JKO
보유해	보유/NNG+하/XSV+아/EC
추가	추가/NNG
수익	수익/NNG
확보도	확보/NNG+도/JX
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.9.6.1
회사에 따르면 전 세계 중추신경계 질환 치료제 시장은 규모가 2014년 810억달러(약 87조원)로 항암 치료제 분야와 함께 의약품 분야의 양대 시장으로 꼽힌다.

회사에	회사/NNG+에/JKB
따르면	따르/VV+면/EC
전	전/MMN
세계	세계/NNG
중추신경계	중추/NNG+신경/NNG+계/XSN
질환	질환/NNG
치료제	치료제/NNG
시장은	시장/NNG+은/JX
규모가	규모/NNG+가/JKS
2014년	2014/SN+년/NNB
810억달러(약	810/SN+억/NR+달러/NNB+(/SS+약/MMA
87조원)로	87/SN+조/NR+원/NNB+)/SS+로/JKB
항암	항암/NNG
분야와	분야/NNG+와/JKB
함께	함께/MAG
의약품	의약품/NNG
분야의	분야/NNG+의/JKG
양대	양대/MMA
시장으로	시장/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.9.6.2
2021년 시장 규모는 920억달러(약 99조원)로 성장할 전망이다.

2021년	2021/SN+년/NNB
시장	시장/NNG
규모는	규모/NNG+는/JX
920억달러(약	920/SN+억/NR+달러/NNB+(/SS+약/MMA
99조원)로	99/SN+조/NR+원/NNB+)/SS+로/JKB
성장할	성장/NNG+하/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.9.6.3
회사는 "판매 승인 신청이 완료되면 국내 중추신경계 신약 개발로는 첫 글로벌 상업화라는 성과를 거두게 된다"고 강조했다.

회사는	회사/NNG+는/JX
"판매	"/SS+판매/NNG
승인	승인/NNG
신청이	신청/NNG+이/JKS
완료되면	완료/NNG+되/XSV+면/EC
국내	국내/NNG
중추신경계	중추/NNG+신경/NNG+계/XSN
신약	신약/NNG
개발로는	개발/NNG+로/JKB+는/JX
첫	첫/MMN
글로벌	글로벌/NNG
상업화라는	상업/NNG+화/XSN+이/VCP+라는/ETM
성과를	성과/NNG+를/JKO
거두게	거두/VV+게/EC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.9.7.1
재즈사는 현재 수면 장애 치료제 시장에서 매년 1조원 이상의 매출을 올리는 자이렘을 판매 중이며, SKL-N05를 후속 약물로 육성한다는 계획이다.

재즈사는	재즈사/NNP+는/JX
현재	현재/MAG
수면	수면/NNG
장애	장애/NNG
치료제	치료제/NNG
시장에서	시장/NNG+에서/JKB
매년	매년/MAG
1조원	1/SN+조/NR+원/NNB
이상의	이상/NNG+의/JKG
매출을	매출/NNG+을/JKO
올리는	올리/VV+는/ETM
자이렘을	자이렘/NNP+을/JKO
판매	판매/NNG
중이며,	중/NNB+이/VCP+며/EC+,/SP
SKL-N05를	SKL/SL+-/SO+N/SL+05/SN+를/JKO
후속	후속/NNG
약물로	약물/NNG+로/JKB
육성한다는	육성/NNG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.9.7.2
SK바이오팜은 독자 개발 중인 뇌전증 신약(Cenobamate)에 대해서도 3상 임상시험을 진행 중이고, 이르면 내년 FDA에 판매 승인 신청을 낼 계획이다.

SK바이오팜은	SK바이오팜/NNP+은/JX
독자	독자/NNG
개발	개발/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
뇌전증	뇌전증/NNG
신약(Cenobamate)에	신약/NNG+(/SS+Cenobamate/SL+)/SS+에/JKB
대해서도	대하/VV+아서/EC+도/JX
3상	3/SN+상/NNG
임상시험을	임상/NNG+시험/NNG+을/JKO
진행	진행/NNG
중이고,	중/NNB+이/VCP+고/EC+,/SP
이르면	이르/VA+면/EC
내년	내년/NNG
FDA에	FDA/SL+에/JKB
판매	판매/NNG
승인	승인/NNG
신청을	신청/NNG+을/JKO
낼	내/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


